,asd_desc,county,state,year,cyield,irig_flag,days_under0,dewPoint,precipAccumulation,precip,days_under_n10,days_over42,days_over32,humidity,temp_delta,temperatureMin,apparentTemperatureMin,precipIntensity
0,NORTHEAST,boulder,CO,2010,91.7,1,0.0,36.0157377049,10.232,98.0,0.0,179.0,183.0,0.486229508197,24.8650273224,46.9972131148,45.3610382514,0.00325355191257
2,NORTHEAST,larimer,CO,2011,110.0,1,0.0,36.8686413043,3.176,128.0,0.0,181.0,184.0,0.521304347826,25.45,45.4732608696,43.5316304348,0.00281956521739
3,NORTHEAST,larimer,CO,2010,95.9,1,0.0,38.0891803279,4.189,109.0,0.0,182.0,183.0,0.503715846995,26.5378142077,47.4268306011,45.7769945355,0.00241202185792
5,NORTHEAST,weld,CO,2011,104.2,1,0.0,40.2359016393,0.0,121.0,0.0,183.0,183.0,0.515683060109,27.5218579235,49.0933333333,47.1936065574,0.00279453551913
6,NORTHEAST,weld,CO,2010,97.4,1,0.0,41.0096721311,0.0,112.0,0.0,183.0,183.0,0.516393442623,27.7613661202,49.4628415301,47.8653551913,0.00247759562842
12,SAN LUIS VALLEY,alamosa,CO,2013,135.9,1,0.0,34.1750819672,2.327,100.0,0.0,178.0,182.0,0.494480874317,26.9461202186,42.595136612,39.9831693989,0.00137049180328
14,SAN LUIS VALLEY,alamosa,CO,2011,126.8,1,0.0,32.010273224,1.643,95.0,0.0,182.0,183.0,0.44349726776,29.8240437158,42.5009289617,39.4799453552,0.000731147540984
15,SAN LUIS VALLEY,alamosa,CO,2010,137.5,1,0.0,34.6464480874,0.0,92.0,0.0,182.0,183.0,0.490054644809,29.7067213115,42.0710928962,38.8744808743,0.000883606557377
17,SAN LUIS VALLEY,conejos,CO,2013,143.5,1,0.0,33.8966847826,3.01,115.0,0.0,181.0,183.0,0.496956521739,25.9858152174,42.2313586957,39.5735869565,0.00166739130435
19,SAN LUIS VALLEY,conejos,CO,2011,133.2,1,0.0,31.8244808743,2.437,102.0,0.0,182.0,183.0,0.452349726776,29.1678688525,41.8593442623,38.7586338798,0.00104644808743
21,SAN LUIS VALLEY,costilla,CO,2013,139.8,1,0.0,35.1007103825,2.231,113.0,0.0,179.0,182.0,0.495409836066,26.0003825137,43.9331693989,41.8716939891,0.00167267759563
