,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,1/1/00 0:00,51.22,946756800,20.16,946728000,0.58,Adams,17.87,0.48,946710000Adams,39.84551954,-104.7264924,0.85,,0.0001,0.0019,946785600,0.05,rain,1003.37,CO,946736492,946770331,51.22,946756800,27.7,946724400,946710000,9.74,188,0.58
0,1/2/00 0:00,37.7,946850400,10.28,946821600,0.51,Adams,19.48,0.67,946796400Adams,39.84551954,-104.7264924,0.88,,0,0,,0,,1007.02,CO,946822898,946856780,41.82,946850400,19.89,946821600,946796400,9.55,151,1.98
0,1/3/00 0:00,30.44,946944000,0.13,946965600,0.63,Adams,11.44,0.63,946882800Adams,39.84551954,-104.7264924,0.91,0.692,0.0023,0.0224,946890000,0.62,snow,1019.69,CO,946909302,946943230,30.44,946944000,11.57,946958400,946882800,8.7,355,11.24
0,1/4/00 0:00,41.88,947023200,1.77,946969200,0.24,Adams,11.18,0.47,946969200Adams,39.84551954,-104.7264924,0.94,,0,0,,0,,1020.74,CO,946995704,947029682,45.66,947023200,14.23,946983600,946969200,9.93,207,7.39
0,1/5/00 0:00,32.61,947102400,12.89,947138400,0.39,Adams,12.81,0.44,947055600Adams,39.84551954,-104.7264924,0.97,,0,0,,0,,1014.32,CO,947082104,947116135,41.31,947102400,22.69,947138400,947055600,9.95,280,8.28
0,1/6/00 0:00,30.85,947196000,6.65,947167200,0.23,Adams,6.66,0.47,947142000Adams,39.84551954,-104.7264924,1,,0,0,,0,,1027.06,CO,947168502,947202589,37.23,947196000,17.22,947167200,947142000,9.88,200,7.44
0,1/7/00 0:00,42.96,947278800,10.34,947242800,0.4,Adams,9.5,0.41,947228400Adams,39.84551954,-104.7264924,0.03,,0,0,,0,,1021.45,CO,947254897,947289045,45.53,947278800,19.81,947250000,947228400,9.95,209,5.21
0,1/8/00 0:00,43.69,947368800,16.76,947336400,0.46,Adams,11.25,0.38,947314800Adams,39.84551954,-104.7264924,0.06,,0,0,,0,,1009.87,CO,947341290,947375503,47.28,947368800,25.66,947336400,947314800,9.94,245,7.66
0,1/9/00 0:00,33.27,947448000,21.51,947422800,0.44,Adams,8.3,0.34,947401200Adams,39.84551954,-104.7264924,0.09,,0,0,,0,,1005.31,CO,947427682,947461961,40.69,947448000,29.54,947422800,947401200,9.94,280,12.19
0,1/10/00 0:00,43.42,947548800,11.3,947566800,0.48,Adams,16.83,0.53,947487600Adams,39.84551954,-104.7264924,0.12,,0,0,,0,,1006.03,CO,947514071,947548421,47.66,947548800,20.38,947566800,947487600,9.93,261,1.87
0,1/11/00 0:00,62.63,947624400,12.21,947584800,0.4,Adams,15.23,0.45,947574000Adams,39.84551954,-104.7264924,0.16,,0,0,,0,,1007.1,CO,947600458,947634882,62.63,947624400,18.9,947588400,947574000,9.92,228,7.76
0,1/12/00 0:00,53.1,947700000,18.21,947743200,0.31,Adams,18.44,0.42,947660400Adams,39.84551954,-104.7264924,0.19,,0,0,,0,,1012.26,CO,947686842,947721344,53.1,947700000,26.12,947743200,947660400,9.93,270,6.97
0,1/13/00 0:00,42.55,947808000,14.57,947761200,0.42,Adams,18.09,0.57,947746800Adams,39.84551954,-104.7264924,0.23,,0,0,,0,,1029.57,CO,947773225,947807807,45.6,947808000,24.21,947764800,947746800,9.94,155,4.07
0,1/14/00 0:00,61.5,947887200,22.82,947833200,0.59,Adams,12.6,0.32,947833200Adams,39.84551954,-104.7264924,0.26,,0,0,,0,,1023,CO,947859606,947894270,61.5,947887200,29.64,947833200,947833200,10,193,4.61
0,1/15/00 0:00,61.78,947970000,27.8,947941200,0.53,Adams,12.63,0.3,947919600Adams,39.84551954,-104.7264924,0.3,,0,0,,0,,1018.75,CO,947945984,947980735,61.78,947970000,32.75,947944800,947919600,10,155,4.45
0,1/16/00 0:00,51.25,948067200,19.98,948034800,0.63,Adams,20.12,0.53,948006000Adams,39.84551954,-104.7264924,0.34,,0,0,,0,,1021.5,CO,948032361,948067201,51.25,948067200,24.83,948031200,948006000,10,277,1.18
