,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,51.49,946756800,20.91,946728000,0.55,Arapahoe,17.9,0.48,946710000Arapahoe,39.68731718,-104.6005739,0.85,,0.0003,0.0046,946785600,0.19,rain,1003.78,CO,946736433,946770329,51.49,946756800,27.73,946728000,946710000,9.55,172,0.68
0,2000-01-02 00:00:00,37.97,946850400,11.63,946821600,0.5,Arapahoe,20.15,0.68,946796400Arapahoe,39.68731718,-104.6005739,0.88,,0,0,,0,,1007.24,CO,946822840,946856778,41.42,946850400,20.59,946821600,946796400,9.57,154,2.23
0,2000-01-03 00:00:00,28.48,946944000,0.76,946965600,0.62,Arapahoe,11.86,0.65,946882800Arapahoe,39.68731718,-104.6005739,0.91,0.458,0.0015,0.0139,946890000,0.55,snow,1019.99,CO,946909244,946943228,28.48,946944000,11.92,946958400,946882800,8.5,355,11.32
0,2000-01-04 00:00:00,42.47,947019600,2.29,946969200,0.2,Arapahoe,11.16,0.49,946969200Arapahoe,39.68731718,-104.6005739,0.94,,0,0,,0,,1021.49,CO,946995646,947029679,45.33,947019600,13.33,946987200,946969200,9.9,202,6.12
0,2000-01-05 00:00:00,31.93,947102400,14.11,947138400,0.36,Arapahoe,13.11,0.45,947055600Arapahoe,39.68731718,-104.6005739,0.97,,0,0,,0,,1014.8,CO,947082046,947116132,40.75,947102400,22.16,947138400,947055600,9.92,293,7.87
0,2000-01-06 00:00:00,29.99,947196000,7.51,947167200,0.24,Arapahoe,7.88,0.5,947142000Arapahoe,39.68731718,-104.6005739,1,,0,0,,0,,1027.74,CO,947168444,947202587,36.59,947196000,16.37,947167200,947142000,9.82,196,6.49
0,2000-01-07 00:00:00,43.02,947278800,10.29,947242800,0.36,Arapahoe,10.24,0.43,947228400Arapahoe,39.68731718,-104.6005739,0.03,,0,0,,0,,1022.09,CO,947254840,947289042,45.67,947278800,18.86,947253600,947228400,9.92,205,4.17
0,2000-01-08 00:00:00,43.27,947368800,18.77,947336400,0.42,Arapahoe,12.1,0.4,947314800Arapahoe,39.68731718,-104.6005739,0.06,,0,0,,0,,1010.27,CO,947341233,947375500,46.82,947368800,25.48,947340000,947314800,9.97,243,6.17
0,2000-01-09 00:00:00,32.12,947448000,21.33,947430000,0.42,Arapahoe,8.46,0.34,947401200Arapahoe,39.68731718,-104.6005739,0.09,,0,0,,0,,1005.69,CO,947427625,947461958,40.36,947448000,30.3,947430000,947401200,9.97,285,11.74
0,2000-01-10 00:00:00,38.37,947527200,12.83,947566800,0.44,Arapahoe,17.15,0.53,947487600Arapahoe,39.68731718,-104.6005739,0.12,,0,0,,0,,1006.39,CO,947514014,947548417,44.88,947527200,21.48,947566800,947487600,9.9,250,1.89
0,2000-01-11 00:00:00,62.59,947624400,16.66,947584800,0.36,Arapahoe,15.92,0.43,947574000Arapahoe,39.68731718,-104.6005739,0.16,,0,0,,0,,1007.27,CO,947600401,947634878,62.59,947624400,19.72,947588400,947574000,9.88,229,7.42
0,2000-01-12 00:00:00,52.97,947700000,20.19,947743200,0.28,Arapahoe,18.7,0.41,947660400Arapahoe,39.68731718,-104.6005739,0.19,,0,0,,0,,1012.28,CO,947686786,947721340,52.97,947700000,26.75,947743200,947660400,9.89,273,7.12
0,2000-01-13 00:00:00,43.63,947808000,16.04,947757600,0.4,Arapahoe,18.42,0.58,947746800Arapahoe,39.68731718,-104.6005739,0.23,,0,0,,0,,1030.19,CO,947773169,947807802,44.86,947808000,24.83,947761200,947746800,9.9,158,3.71
0,2000-01-14 00:00:00,61.22,947887200,24.29,947833200,0.55,Arapahoe,13.59,0.33,947833200Arapahoe,39.68731718,-104.6005739,0.26,,0,0,,0,,1023.44,CO,947859550,947894266,61.22,947887200,30.99,947833200,947833200,10,187,3.92
0,2000-01-15 00:00:00,61.68,947970000,29.71,947923200,0.48,Arapahoe,13.11,0.3,947919600Arapahoe,39.68731718,-104.6005739,0.3,,0,0,,0,,1018.98,CO,947945929,947980730,61.68,947970000,34.73,947944800,947919600,10,156,4.9
0,2000-01-16 00:00:00,47.83,948067200,21.26,948027600,0.59,Arapahoe,20.4,0.53,948006000Arapahoe,39.68731718,-104.6005739,0.34,,0,0,,0,,1021.81,CO,948032305,948067196,47.83,948067200,25.3,948031200,948006000,10,256,0.78
0,2000-01-17 00:00:00,61.3,948146400,34.4,948175200,0.62,Arapahoe,25.75,0.44,948092400Arapahoe,39.68731718,-104.6005739,0.37,,0,0,,0,,1019.3,CO,948118680,948153662,61.3,948146400,37.97,948175200,948092400,10,191,3.79
0,2000-01-18 00:00:00,51.9,948232800,26.17,948254400,0.57,Arapahoe,28.21,0.61,948178800Arapahoe,39.68731718,-104.6005739,0.41,,0,0,,0,,1019.66,CO,948205053,948240129,51.9,948232800,33.12,948254400,948178800,9.88,153,5.87
0,2000-01-19 00:00:00,53.48,948308400,17.34,948340800,0.46,Arapahoe,25.54,0.59,948265200Arapahoe,39.68731718,-104.6005739,0.45,,0,0,,0,,1016.5,CO,948291423,948326597,53.48,948308400,25.99,948348000,948265200,9.89,338,3.33
0,2000-01-20 00:00:00,54.71,948402000,17.66,948369600,0.59,Arapahoe,18.66,0.54,948351600Arapahoe,39.68731718,-104.6005739,0.49,,0,0,,0,,1017.79,CO,948377792,948413065,54.71,948402000,22.73,948376800,948351600,9.89,185,2.11
0,2000-01-21 00:00:00,53.31,948488400,24.49,948448800,0.62,Arapahoe,20.52,0.48,948438000Arapahoe,39.68731718,-104.6005739,0.52,,0,0,,0,,1008.9,CO,948464159,948499534,53.31,948488400,30.25,948448800,948438000,9.92,199,1.5
0,2000-01-22 00:00:00,38.8,948578400,17.78,948538800,0.37,Arapahoe,18.05,0.56,948524400Arapahoe,39.68731718,-104.6005739,0.56,,0,0,,0,,1012.68,CO,948550523,948586003,45.46,948578400,25.86,948549600,948524400,10,245,2.2
0,2000-01-23 00:00:00,40.3,948664800,15.45,948690000,0.28,Arapahoe,11.61,0.46,948610800Arapahoe,39.68731718,-104.6005739,0.6,,0,0,,0,,1019.22,CO,948636886,948672473,42.28,948664800,23.67,948693600,948610800,9.99,225,1.81
0,2000-01-24 00:00:00,52.93,948747600,16.78,948697200,0.68,Arapahoe,15.11,0.42,948697200Arapahoe,39.68731718,-104.6005739,0.63,,0,0,,0,,1017.74,CO,948723247,948758943,52.93,948747600,24.89,948700800,948697200,9.9,21,1.35
0,2000-01-25 00:00:00,31.55,948844800,14.8,948798000,0.79,Arapahoe,18.19,0.72,948783600Arapahoe,39.68731718,-104.6005739,0.67,0.137,0.0007,0.0173,948844800,0.58,snow,1020.91,CO,948809606,948845414,31.55,948844800,21.38,948798000,948783600,9.72,134,1.42
0,2000-01-26 00:00:00,36.43,948920400,13.69,948888000,0.83,Arapahoe,23.69,0.82,948870000Arapahoe,39.68731718,-104.6005739,0.7,0.566,0.0027,0.013,948949200,0.54,snow,1014.06,CO,948895963,948931885,36.43,948920400,21.11,948888000,948870000,6.84,238,0.21
0,2000-01-27 00:00:00,24.37,949006800,18.64,949017600,0.9,Arapahoe,24.83,0.91,948956400Arapahoe,39.68731718,-104.6005739,0.73,1.382,0.0059,0.0246,948996000,0.63,snow,1019.32,CO,948982318,949018357,30.37,949006800,23.14,949039200,948956400,5.01,69,1.72
0,2000-01-28 00:00:00,24.48,949093200,9.58,949068000,0.76,Arapahoe,17.35,0.82,949042800Arapahoe,39.68731718,-104.6005739,0.76,0.314,0.0009,0.0054,949111200,0.24,snow,1024.89,CO,949068672,949104828,27.77,949093200,15.04,949071600,949042800,7.54,110,1.43
0,2000-01-29 00:00:00,20.91,949179600,-1.53,949143600,0.48,Arapahoe,11.24,0.78,949129200Arapahoe,39.68731718,-104.6005739,0.79,0.129,0.0003,0.0068,949129200,0.33,snow,1025.9,CO,949155024,949191300,28.34,949179600,8.01,949154400,949129200,9.75,155,5.2
0,2000-01-30 00:00:00,28.93,949269600,-0.67,949219200,0.17,Arapahoe,9.99,0.66,949215600Arapahoe,39.68731718,-104.6005739,0.82,,0,0,,0,,1024.06,CO,949241374,949277772,34.85,949269600,10.14,949233600,949215600,9.96,176,5.28
0,2000-01-31 00:00:00,35.04,949356000,6.48,949312800,0.16,Arapahoe,9.62,0.53,949302000Arapahoe,39.68731718,-104.6005739,0.85,,0,0,,0,,1020.74,CO,949327722,949364244,39.79,949356000,14.62,949320000,949302000,9.9,184,4.73
0,2000-02-01 00:00:00,42.47,949442400,8.46,949406400,0.19,Arapahoe,12.45,0.5,949388400Arapahoe,39.68731718,-104.6005739,0.88,,0,0,,0,,1026.42,CO,949414068,949450717,44.64,949442400,17.33,949388400,949388400,9.89,197,6.2
0,2000-02-02 00:00:00,59.56,949528800,24.12,949485600,0.53,Arapahoe,16.15,0.33,949474800Arapahoe,39.68731718,-104.6005739,0.91,,0,0,,0,,1022.58,CO,949500413,949537189,59.56,949528800,31.86,949485600,949474800,9.87,242,7.49
0,2000-02-03 00:00:00,45.24,949564800,15.72,949644000,0.59,Arapahoe,19.85,0.55,949561200Arapahoe,39.68731718,-104.6005739,0.94,,0,0,,0,,1025.98,CO,949586756,949623661,48.95,949564800,26.42,949644000,949561200,9.85,43,5.84
0,2000-02-04 00:00:00,38.06,949708800,11.86,949672800,0.67,Arapahoe,16.78,0.61,949647600Arapahoe,39.68731718,-104.6005739,0.97,,0,0,,0,,1030.73,CO,949673098,949710133,42.47,949708800,18.56,949672800,949647600,9.63,126,4.24
0,2000-02-05 00:00:00,55.42,949780800,16.37,949748400,0.57,Arapahoe,17.04,0.47,949734000Arapahoe,39.68731718,-104.6005739,0.01,,0,0,,0,,1020.11,CO,949759438,949796606,55.42,949780800,22.34,949744800,949734000,10,181,2.14
0,2000-02-06 00:00:00,56.44,949870800,25.08,949903200,0.4,Arapahoe,17.44,0.41,949820400Arapahoe,39.68731718,-104.6005739,0.04,,0,0,,0,,1022.82,CO,949845776,949883078,56.44,949870800,29.71,949903200,949820400,10,259,2.9
0,2000-02-07 00:00:00,53.43,949960800,19.23,949924800,0.21,Arapahoe,19.3,0.49,949906800Arapahoe,39.68731718,-104.6005739,0.07,,0,0,,0,,1029.76,CO,949932113,949969550,53.43,949960800,26.18,949924800,949906800,9.9,164,2.97
0,2000-02-08 00:00:00,60.98,950040000,27.19,949993200,0.44,Arapahoe,12.68,0.29,949993200Arapahoe,39.68731718,-104.6005739,0.1,,0,0,,0,,1021.07,CO,950018449,950056022,60.98,950040000,33.48,949993200,949993200,9.9,193,3.71
0,2000-02-09 00:00:00,54.57,950137200,31.61,950079600,0.64,Arapahoe,16.88,0.34,950079600Arapahoe,39.68731718,-104.6005739,0.14,,0,0,,0,,1011.98,CO,950104783,950142494,54.57,950137200,36.76,950079600,950079600,9.9,256,3.65
0,2000-02-10 00:00:00,42.99,950209200,19,950248800,0.55,Arapahoe,24.77,0.61,950166000Arapahoe,39.68731718,-104.6005739,0.17,,0.0003,0.0068,950248800,0.33,rain,1011,CO,950191115,950228965,47.88,950209200,27.77,950248800,950166000,9.73,97,4.18
0,2000-02-11 00:00:00,32.67,950313600,14.67,950284800,0.82,Arapahoe,23.09,0.9,950252400Arapahoe,39.68731718,-104.6005739,0.21,0.22,0.0008,0.0109,950252400,0.52,snow,1013.93,CO,950277446,950315436,32.67,950313600,19.74,950331600,950252400,5.8,240,0.81
0,2000-02-12 00:00:00,33.69,950400000,17.48,950418000,0.71,Arapahoe,21.63,0.71,950338800Arapahoe,39.68731718,-104.6005739,0.25,,0,0,,0,,1006.19,CO,950363776,950401908,39.29,950400000,22.76,950364000,950338800,7.97,107,0.43
0,2000-02-13 00:00:00,53.49,950486400,15.16,950432400,0.71,Arapahoe,18.67,0.62,950425200Arapahoe,39.68731718,-104.6005739,0.28,,0,0,,0,,1007.6,CO,950450104,950488378,53.49,950486400,22.47,950439600,950425200,7.06,265,2.51
0,2000-02-14 00:00:00,62.27,950565600,23.9,950515200,0.45,Arapahoe,21.85,0.4,950511600Arapahoe,39.68731718,-104.6005739,0.32,,0,0,,0,,1007.52,CO,950536431,950574849,62.27,950565600,31.18,950522400,950511600,9.9,210,4.33
0,2000-02-15 00:00:00,55.44,950644800,23,950680800,0.28,Arapahoe,17.69,0.36,950598000Arapahoe,39.68731718,-104.6005739,0.36,,0,0,,0,,1012.41,CO,950622757,950661319,55.44,950644800,32.02,950680800,950598000,9.78,275,11.78
0,2000-02-16 00:00:00,54.89,950738400,20.35,950709600,0.51,Arapahoe,18.75,0.46,950684400Arapahoe,39.68731718,-104.6005739,0.4,,0.0007,0.017,950745600,0.58,rain,1017.89,CO,950709082,950747789,54.89,950738400,27.98,950709600,950684400,9.72,179,4.68
0,2000-02-17 00:00:00,30.34,950770800,9.02,950853600,0.79,Arapahoe,22.95,0.8,950770800Arapahoe,39.68731718,-104.6005739,0.43,0.469,0.0016,0.0094,950839200,0.5,snow,1011.78,CO,950795405,950834259,33.66,950770800,20.53,950853600,950770800,6.58,355,7.34
0,2000-02-18 00:00:00,35.91,950918400,7.98,950857200,0.57,Arapahoe,19.11,0.81,950857200Arapahoe,39.68731718,-104.6005739,0.47,0.616,0.0023,0.0403,950896800,0.69,snow,1023.01,CO,950881727,950920728,39.11,950918400,17.79,950875200,950857200,8.98,258,0.48
0,2000-02-19 00:00:00,46.41,951004800,9,950954400,0.13,Arapahoe,18.6,0.63,950943600Arapahoe,39.68731718,-104.6005739,0.51,,0,0,,0,,1026.69,CO,950968049,951007197,48.03,951004800,16.75,950954400,950943600,9.84,167,5.18
0,2000-02-20 00:00:00,55.96,951091200,14.69,951040800,0.45,Arapahoe,19.45,0.52,951030000Arapahoe,39.68731718,-104.6005739,0.54,,0,0,,0,,1021.9,CO,951054368,951093666,55.96,951091200,21.09,951048000,951030000,10,196,3.11
0,2000-02-21 00:00:00,65.45,951170400,27.74,951141600,0.34,Arapahoe,21.86,0.38,951116400Arapahoe,39.68731718,-104.6005739,0.58,,0,0,,0,,1013.27,CO,951140687,951180134,65.45,951170400,32.72,951141600,951116400,9.99,195,5.37
0,2000-02-22 00:00:00,56.74,951256800,31.5,951228000,0.63,Arapahoe,26.46,0.52,951202800Arapahoe,39.68731718,-104.6005739,0.61,,0.0075,0.0892,951271200,0.77,rain,1009.31,CO,951227005,951266602,56.74,951256800,34.87,951228000,951202800,9.6,316,6.22
0,2000-02-23 00:00:00,58.95,951343200,30.94,951314400,0.47,Arapahoe,28.58,0.54,951289200Arapahoe,39.68731718,-104.6005739,0.64,,0.0008,0.0081,951292800,0.42,rain,1009.83,CO,951313322,951353070,58.95,951343200,36.55,951314400,951289200,9.78,187,2.84
0,2000-02-24 00:00:00,59.48,951426000,30.24,951393600,0.46,Arapahoe,22.88,0.43,951375600Arapahoe,39.68731718,-104.6005739,0.68,,0,0,,0,,1000.26,CO,951399638,951439537,59.48,951426000,33.9,951393600,951375600,9.89,193,9.34
0,2000-02-25 00:00:00,35.29,951508800,24.38,951534000,0.64,Arapahoe,12.25,0.38,951462000Arapahoe,39.68731718,-104.6005739,0.71,,0.0005,0.0037,951487200,0.14,rain,999.16,CO,951485953,951526004,43.94,951508800,33.33,951483600,951462000,9.8,291,12.67
