,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,23.65,946753200,16.88,946792800,0.78,Archuleta,21.66,0.81,946710000Archuleta,37.1925532,-107.1347994,0.85,0.601,0.003,0.0267,946760400,0.64,snow,1011.32,CO,946736614,946771365,32.54,946753200,23.25,946724400,946710000,7.19,215,4.28
0,2000-01-02 00:00:00,25.19,946850400,10.52,946879200,0.73,Archuleta,20.29,0.82,946796400Archuleta,37.1925532,-107.1347994,0.88,0.378,0.0014,0.0119,946872000,0.53,snow,1011.89,CO,946823023,946857811,31.11,946850400,21.84,946879200,946796400,7.35,237,3.16
0,2000-01-03 00:00:00,15.11,946933200,0.92,946904400,0.24,Archuleta,6.46,0.64,946882800Archuleta,37.1925532,-107.1347994,0.91,0.039,0.0001,0.0031,946926000,0.11,snow,1023.86,CO,946909429,946944259,25.93,946933200,1.8,946965600,946882800,9.67,299,6.64
0,2000-01-04 00:00:00,26.46,947023200,-13.99,946994400,0.07,Archuleta,0.35,0.64,946969200Archuleta,37.1925532,-107.1347994,0.94,,0,0,,0,,1035.99,CO,946995834,947030708,26.46,947023200,-4.32,946994400,946969200,9.99,54,2.04
0,2000-01-05 00:00:00,29.18,947113200,-4.05,947080800,0.2,Archuleta,8.55,0.66,947055600Archuleta,37.1925532,-107.1347994,0.97,0.864,0.0042,0.0473,947102400,0.71,snow,1024.05,CO,947082236,947117159,36,947113200,5.54,947080800,947055600,9.92,14,2.02
0,2000-01-06 00:00:00,29.94,947199600,-5.94,947156400,0.11,Archuleta,2.71,0.65,947142000Archuleta,37.1925532,-107.1347994,1,,0,0,,0,,1032.04,CO,947168637,947203611,29.94,947199600,1.82,947156400,947142000,9.97,35,2.26
0,2000-01-07 00:00:00,27.21,947286000,-11.43,947250000,0.12,Archuleta,2.88,0.64,947228400Archuleta,37.1925532,-107.1347994,0.03,,0,0,,0,,1032.97,CO,947255035,947290064,30.62,947286000,-1.51,947257200,947228400,9.99,52,1.87
0,2000-01-08 00:00:00,25.64,947376000,3.45,947329200,0.27,Archuleta,8.75,0.66,947314800Archuleta,37.1925532,-107.1347994,0.06,,0,0,,0,,1022.9,CO,947341432,947376518,32.75,947376000,5.76,947340000,947314800,9.83,357,0.13
0,2000-01-09 00:00:00,32.7,947462400,-2.89,947401200,0.16,Archuleta,10.46,0.62,947401200Archuleta,37.1925532,-107.1347994,0.09,,0,0,,0,,1018.57,CO,947427826,947462973,38.16,947462400,9.5,947401200,947401200,9.8,264,3.15
0,2000-01-10 00:00:00,39.76,947538000,5.11,947502000,0.13,Archuleta,13.06,0.54,947487600Archuleta,37.1925532,-107.1347994,0.12,,0,0,,0,,1018.37,CO,947514219,947549429,46.03,947538000,13.23,947505600,947487600,9.83,244,2.67
0,2000-01-11 00:00:00,48.92,947624400,12.43,947592000,0.02,Archuleta,16.51,0.54,947574000Archuleta,37.1925532,-107.1347994,0.16,,0,0,,0,,1018.5,CO,947600610,947635886,48.92,947624400,18.39,947602800,947574000,10,96,1.64
0,2000-01-12 00:00:00,43.32,947714400,18.8,947685600,0.06,Archuleta,19.34,0.57,947660400Archuleta,37.1925532,-107.1347994,0.19,,0,0,,0,,1021.26,CO,947686998,947722344,48.27,947714400,23.71,947685600,947660400,10,212,1.58
