,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,61.57,946760400,24.31,946717200,0.14,Baca,22.73,0.46,946710000Baca,37.34294033,-102.5426158,0.85,,0.0002,0.0049,946792800,0.21,rain,1002.46,CO,946735537,946770237,61.57,946760400,30.94,946735200,946710000,7.3,231,12.63
0,2000-01-02 00:00:00,43.84,946850400,17.2,946818000,0.15,Baca,23.16,0.63,946796400Baca,37.34294033,-102.5426158,0.88,,0,0,,0,,1005.95,CO,946821945,946856684,48.59,946850400,25.33,946821600,946796400,7.28,211,1.22
0,2000-01-03 00:00:00,24.89,946944000,0.94,946965600,0.4,Baca,17.52,0.7,946882800Baca,37.34294033,-102.5426158,0.91,0.454,0.0019,0.0174,946900800,0.58,snow,1015.43,CO,946908352,946943132,33.09,946944000,13.33,946965600,946882800,8.18,329,18.48
0,2000-01-04 00:00:00,39.82,947023200,-6.4,946983600,0,Baca,11.39,0.58,946969200Baca,37.34294033,-102.5426158,0.94,,0,0,,0,,1024.73,CO,946994756,947029581,45.25,947023200,8.69,946983600,946969200,7.72,213,7.68
0,2000-01-05 00:00:00,43.82,947102400,15.19,947066400,0.26,Baca,19.13,0.54,947055600Baca,37.34294033,-102.5426158,0.97,,0,0,,0,,1013.65,CO,947081158,947116032,48.81,947102400,25.62,947066400,947055600,7.31,335,4.93
0,2000-01-06 00:00:00,36.63,947192400,12.82,947221200,0.45,Baca,19.28,0.63,947142000Baca,37.34294033,-102.5426158,1,,0,0,,0,,1026.71,CO,947167559,947202484,41.51,947192400,22.01,947224800,947142000,7.94,337,5.78
0,2000-01-07 00:00:00,42.21,947282400,4.66,947253600,0.01,Baca,15.3,0.59,947228400Baca,37.34294033,-102.5426158,0.03,,0,0,,0,,1023.03,CO,947253957,947288937,48.79,947282400,16.19,947250000,947228400,7.45,200,12.57
0,2000-01-08 00:00:00,48.02,947368800,10.82,947325600,0.04,Baca,14.91,0.5,947314800Baca,37.34294033,-102.5426158,0.06,,0,0,,0,,1010.67,CO,947340354,947375391,49.58,947368800,21.88,947325600,947314800,7.74,279,5.48
0,2000-01-09 00:00:00,43.17,947451600,15.28,947415600,0.07,Baca,13.02,0.42,947401200Baca,37.34294033,-102.5426158,0.09,,0,0,,0,,1006.08,CO,947426748,947461846,48.55,947451600,26.1,947426400,947401200,7.29,288,11.27
