,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,48.45,946756800,19.55,946720800,0.47,Boulder,15.79,0.46,946710000Boulder,40.08435066,-105.3414056,0.85,,0.0003,0.0031,946789200,0.11,rain,1004.07,CO,946736682,946770436,48.45,946756800,25.74,946724400,946710000,9.76,260,0.9
0,2000-01-02 00:00:00,39.19,946850400,10.6,946879200,0.47,Boulder,18.48,0.66,946796400Boulder,40.08435066,-105.3414056,0.88,,0,0,,0,,1007.13,CO,946823088,946856885,39.19,946850400,19.58,946814400,946796400,9.44,208,0.11
0,2000-01-03 00:00:00,13.93,946929600,2.42,946965600,0.52,Boulder,9.38,0.6,946882800Boulder,40.08435066,-105.3414056,0.91,0.33,0.001,0.0102,946890000,0.51,snow,1020.13,CO,946909492,946943335,26.85,946929600,13.26,946965600,946882800,9.14,344,10.69
0,2000-01-04 00:00:00,39.87,947019600,0.94,946983600,0.23,Boulder,10.8,0.5,946969200Boulder,40.08435066,-105.3414056,0.94,,0,0,,0,,1021.56,CO,946995894,947029787,43.36,947019600,11.56,946987200,946969200,9.99,236,6.57
0,2000-01-05 00:00:00,31.86,947102400,14.35,947134800,0.35,Boulder,11.75,0.45,947055600Boulder,40.08435066,-105.3414056,0.97,,0,0,,0,,1014.68,CO,947082293,947116241,40.62,947102400,20.81,947138400,947055600,9.74,288,9.96
0,2000-01-06 00:00:00,29.99,947196000,6.49,947160000,0.15,Boulder,4.48,0.44,947142000Boulder,40.08435066,-105.3414056,1,0.156,0.0004,0.0075,947224800,0.38,snow,1027.78,CO,947168691,947202695,36.01,947196000,14.72,947160000,947142000,10,206,4.62
0,2000-01-07 00:00:00,36.5,947278800,6.58,947242800,0.31,Boulder,8.96,0.43,947228400Boulder,40.08435066,-105.3414056,0.03,4.014,0.0184,0.098,947282400,0.78,snow,1021.97,CO,947255086,947289152,42.38,947278800,18.07,947250000,947228400,9.99,240,4.92
0,2000-01-08 00:00:00,42.15,947365200,18.51,947343600,0.37,Boulder,10.88,0.41,947314800Boulder,40.08435066,-105.3414056,0.06,0.388,0.0015,0.0226,947318400,0.62,snow,1010.66,CO,947341479,947375609,44.99,947365200,23.58,947332800,947314800,9.93,258,7.53
0,2000-01-09 00:00:00,29.25,947448000,20.07,947430000,0.36,Boulder,9.5,0.38,947401200Boulder,40.08435066,-105.3414056,0.09,,0,0,,0,,1006.09,CO,947427870,947462068,38.19,947448000,29.24,947430000,947401200,9.49,282,13.02
