,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,39.77,946753200,16.32,946792800,0.46,Fremont,16.62,0.57,946710000Fremont,38.39613408,-105.4119719,0.85,0.21,0.0008,0.0125,946785600,0.54,snow,1005.24,CO,946736403,946770749,44.68,946753200,21.9,946735200,946710000,8.96,252,3.22
0,2000-01-02 00:00:00,29.16,946846800,10.85,946818000,0.44,Fremont,17.41,0.74,946796400Fremont,38.39613408,-105.4119719,0.88,0.05,0.0003,0.0039,946846800,0.15,snow,1007.83,CO,946822810,946857197,34.69,946846800,16.54,946814400,946796400,9.49,170,1.3
0,2000-01-03 00:00:00,27.03,946944000,0.23,946911600,0.48,Fremont,7.35,0.63,946882800Fremont,38.39613408,-105.4119719,0.91,,0,0,,0,,1019.65,CO,946909216,946943645,27.03,946944000,7.41,946965600,946882800,8.83,342,12.16
0,2000-01-04 00:00:00,34.91,947023200,-2.14,946976400,0.2,Fremont,5.06,0.52,946969200Fremont,38.39613408,-105.4119719,0.94,,0,0,,0,,1026.17,CO,946995619,947030096,39.4,947023200,4.48,946983600,946969200,9.55,269,0.67
0,2000-01-05 00:00:00,37.03,947113200,15.04,947084400,0.46,Fremont,12.83,0.53,947055600Fremont,38.39613408,-105.4119719,0.97,,0,0,,0,,1016.38,CO,947082020,947116548,41.5,947113200,20.23,947138400,947055600,9.05,333,5.44
0,2000-01-06 00:00:00,25.63,947196000,8.52,947170800,0.36,Fremont,8.22,0.62,947142000Fremont,38.39613408,-105.4119719,1,0.307,0.0009,0.0092,947188800,0.5,snow,1029.62,CO,947168420,947203001,30.89,947196000,12.23,947221200,947142000,9.11,199,1.3
0,2000-01-07 00:00:00,40.66,947282400,0.61,947239200,0.16,Fremont,5.75,0.51,947228400Fremont,38.39613408,-105.4119719,0.03,3.767,0.0144,0.0764,947282400,0.76,snow,1025.86,CO,947254817,947289455,40.66,947282400,7.4,947239200,947228400,9.66,318,1.35
0,2000-01-08 00:00:00,36.08,947368800,17.23,947343600,0.32,Fremont,8.39,0.46,947314800Fremont,38.39613408,-105.4119719,0.06,0.496,0.0016,0.0176,947318400,0.58,snow,1013.31,CO,947341212,947375910,39.32,947368800,17.23,947343600,947314800,9.79,291,1.77
0,2000-01-09 00:00:00,27.97,947462400,11.91,947401200,0.33,Fremont,9.51,0.46,947401200Fremont,38.39613408,-105.4119719,0.09,,0,0,,0,,1008.59,CO,947427605,947462367,35.97,947462400,22.47,947401200,947401200,8.91,292,11.2
