,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,47.2,946756800,20.53,946720800,0.55,Gilpin,16.99,0.5,946710000Gilpin,39.84047333,-105.523051,0.85,,0.0004,0.0039,946789200,0.15,rain,1004.15,CO,946736682,946770523,47.2,946756800,25.69,946720800,946710000,9.45,160,0.22
0,2000-01-02 00:00:00,37.81,946850400,10.24,946879200,0.54,Gilpin,18.56,0.69,946796400Gilpin,39.84047333,-105.523051,0.88,0.09,0.0005,0.0071,946846800,0.35,snow,1006.89,CO,946823088,946856972,37.81,946850400,19.25,946814400,946796400,9.2,97,0.72
0,2000-01-03 00:00:00,12.13,946929600,0.65,946965600,0.56,Gilpin,8.8,0.63,946882800Gilpin,39.84047333,-105.523051,0.91,0.304,0.0008,0.0087,946890000,0.46,snow,1020.17,CO,946909492,946943422,25.47,946929600,10.74,946965600,946882800,8.87,351,9.49
0,2000-01-04 00:00:00,41.38,947019600,0.27,946983600,0.29,Gilpin,9.63,0.53,946969200Gilpin,39.84047333,-105.523051,0.94,,0,0,,0,,1023.12,CO,946995894,947029874,41.38,947019600,8.26,946987200,946969200,10,229,4.28
0,2000-01-05 00:00:00,34.09,947113200,13.06,947134800,0.46,Gilpin,12.64,0.5,947055600Gilpin,39.84047333,-105.523051,0.97,,0,0,,0,,1015.08,CO,947082294,947116327,40,947113200,17.61,947138400,947055600,9.36,294,7.89
0,2000-01-06 00:00:00,27.97,947196000,6.43,947167200,0.17,Gilpin,4.13,0.49,947142000Gilpin,39.84047333,-105.523051,1,0.481,0.0016,0.0167,947188800,0.58,snow,1028.38,CO,947168692,947202782,33.72,947196000,11.75,947160000,947142000,9.91,189,3.82
0,2000-01-07 00:00:00,34.23,947278800,1.03,947242800,0.31,Gilpin,8.39,0.48,947228400Gilpin,39.84047333,-105.523051,0.03,7.475,0.0317,0.1687,947282400,0.83,snow,1023.43,CO,947255087,947289238,40.11,947278800,13.18,947239200,947228400,9.99,226,2.42
0,2000-01-08 00:00:00,40.19,947368800,16.92,947343600,0.44,Gilpin,11.62,0.45,947314800Gilpin,39.84047333,-105.523051,0.06,0.902,0.0033,0.0389,947318400,0.68,snow,1011.66,CO,947341481,947375695,43.22,947368800,22.15,947325600,947314800,9.8,262,5.59
0,2000-01-09 00:00:00,27.29,947448000,18.46,947430000,0.46,Gilpin,10.99,0.43,947401200Gilpin,39.84047333,-105.523051,0.09,,0,0,,0,,1007.06,CO,947427872,947462153,36.13,947448000,27.39,947430000,947401200,9.03,283,11.04
0,2000-01-10 00:00:00,37.14,947548800,18.61,947566800,0.54,Gilpin,17.29,0.53,947487600Gilpin,39.84047333,-105.523051,0.12,,0,0,,0,,1006.47,CO,947514261,947548613,42.46,947548800,24.32,947570400,947487600,9.37,272,5.3
0,2000-01-11 00:00:00,58.24,947620800,20.31,947584800,0.36,Gilpin,15.4,0.41,947574000Gilpin,39.84047333,-105.523051,0.16,,0,0,,0,,1006.83,CO,947600648,947635074,58.24,947620800,23.13,947588400,947574000,9.96,242,9.23
