,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,50.37,946756800,19.87,946731600,0.3,Huerfano,17,0.5,946710000Huerfano,37.664501,-105.0917903,0.85,0.191,0.0009,0.0135,946785600,0.55,snow,1005.62,CO,946736202,946770796,50.37,946756800,24.64,946735200,946710000,9.55,245,6.85
0,2000-01-02 00:00:00,35.15,946846800,13.11,946821600,0.3,Huerfano,19.11,0.68,946796400Huerfano,37.664501,-105.0917903,0.88,,0,0,,0,,1008.14,CO,946822610,946857243,40.11,946846800,20.47,946825200,946796400,9.84,220,2.86
0,2000-01-03 00:00:00,32.74,946944000,-3.64,946965600,0.38,Huerfano,8.96,0.59,946882800Huerfano,37.664501,-105.0917903,0.91,,0,0,,0,,1018.59,CO,946909016,946943691,32.74,946944000,8.12,946965600,946882800,9.19,340,13.73
0,2000-01-04 00:00:00,37.05,947019600,-7.14,946972800,0.04,Huerfano,3.37,0.48,946969200Huerfano,37.664501,-105.0917903,0.94,,0,0,,0,,1026.68,CO,946995420,947030141,42.14,947019600,3.45,946983600,946969200,9.66,234,2.74
0,2000-01-05 00:00:00,41.65,947106000,10.96,947080800,0.28,Huerfano,11.96,0.48,947055600Huerfano,37.664501,-105.0917903,0.97,,0,0,,0,,1016.38,CO,947081822,947116592,43.84,947106000,21.13,947080800,947055600,9.73,347,3.7
0,2000-01-06 00:00:00,31.96,947196000,7.07,947221200,0.43,Huerfano,11.59,0.62,947142000Huerfano,37.664501,-105.0917903,1,0.056,0.0001,0.0035,947167200,0.13,snow,1028.83,CO,947168223,947203044,35.2,947196000,14.08,947224800,947142000,9.35,265,1.3
0,2000-01-07 00:00:00,44.76,947282400,-3.18,947250000,0.06,Huerfano,6.02,0.51,947228400Huerfano,37.664501,-105.0917903,0.03,,0,0,,0,,1026.06,CO,947254621,947289497,44.76,947282400,8.25,947250000,947228400,9.72,280,2.86
0,2000-01-08 00:00:00,40.38,947368800,7.9,947314800,0.14,Huerfano,8.17,0.43,947314800Huerfano,37.664501,-105.0917903,0.06,,0,0,,0,,1013.68,CO,947341017,947375952,43.89,947368800,17.8,947340000,947314800,10,253,3.35
0,2000-01-09 00:00:00,33.3,947448000,10.23,947426400,0.07,Huerfano,5.63,0.36,947401200Huerfano,37.664501,-105.0917903,0.09,,0,0,,0,,1009.17,CO,947427411,947462408,42.21,947448000,20.54,947426400,947401200,10,284,10.3
0,2000-01-10 00:00:00,52.37,947538000,19.51,947498400,0.08,Huerfano,12.42,0.37,947487600Huerfano,37.664501,-105.0917903,0.12,,0,0,,0,,1008.84,CO,947513803,947548864,52.37,947538000,25.88,947570400,947487600,9.59,256,12.07
0,2000-01-11 00:00:00,61.95,947628000,15.39,947602800,0.07,Huerfano,13.55,0.43,947574000Huerfano,37.664501,-105.0917903,0.16,,0,0,,0,,1011.77,CO,947600193,947635322,61.95,947628000,21.43,947588400,947574000,9.63,221,5.14
0,2000-01-12 00:00:00,57.8,947710800,25.65,947739600,0.1,Huerfano,15.06,0.33,947660400Huerfano,37.664501,-105.0917903,0.19,,0,0,,0,,1013.76,CO,947686581,947721781,57.8,947710800,27.09,947743200,947660400,9.65,250,6.58
0,2000-01-13 00:00:00,44.09,947800800,14.24,947761200,0.05,Huerfano,15.3,0.53,947746800Huerfano,37.664501,-105.0917903,0.23,,0,0,,0,,1032.14,CO,947772967,947808240,47.74,947800800,18.87,947772000,947746800,9.68,171,2.12
0,2000-01-14 00:00:00,53.3,947887200,13.72,947858400,0.05,Huerfano,13.32,0.45,947833200Huerfano,37.664501,-105.0917903,0.26,,0,0,,0,,1028.32,CO,947859351,947894701,53.3,947887200,20.89,947847600,947833200,10,258,3.1
0,2000-01-15 00:00:00,55.82,947970000,20.71,947923200,0,Huerfano,10.3,0.32,947919600Huerfano,37.664501,-105.0917903,0.3,,0,0,,0,,1022.09,CO,947945733,947981162,55.82,947970000,28.93,947923200,947919600,9.99,252,1.75
