,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-01 00:00:00,36.74,946760400,14.72,946720800,0.52,Jackson,15.7,0.59,946710000Jackson,40.5722355,-106.3113643,0.85,,0,0,,0,,1008.06,CO,946737004,946770580,39.13,946760400,18.86,946710000,946710000,9.36,283,1.22
0,2000-01-02 00:00:00,28.24,946846800,6.5,946879200,0.59,Jackson,16.49,0.75,946796400Jackson,40.5722355,-106.3113643,0.88,0.569,0.0027,0.0159,946850400,0.57,snow,1009.53,CO,946823409,946857029,31.63,946846800,17.75,946814400,946796400,8.44,278,2.35
0,2000-01-03 00:00:00,8.14,946933200,-5.03,946911600,0.41,Jackson,4.4,0.68,946882800Jackson,40.5722355,-106.3113643,0.91,,0,0,,0,,1025.15,CO,946909813,946943480,20.25,946933200,4.53,946965600,946882800,9.58,334,8.51
0,2000-01-04 00:00:00,27.04,947026800,-7.25,946983600,0.41,Jackson,6.18,0.61,946969200Jackson,40.5722355,-106.3113643,0.94,,0,0,,0,,1028,CO,946996214,947029933,31.36,947026800,3.01,946983600,946969200,9.93,247,4.81
0,2000-01-05 00:00:00,20.68,947098800,5.14,947138400,0.54,Jackson,12.77,0.63,947055600Jackson,40.5722355,-106.3113643,0.97,0.357,0.0012,0.0077,947062800,0.39,snow,1019.08,CO,947082613,947116387,30.37,947098800,11.75,947138400,947055600,8.98,285,8.86
0,2000-01-06 00:00:00,16.77,947185200,-5.6,947152800,0.15,Jackson,1.51,0.58,947142000Jackson,40.5722355,-106.3113643,1,0.368,0.0008,0.0145,947224800,0.56,snow,1032.44,CO,947169010,947202842,26.86,947185200,5.36,947152800,947142000,9.83,222,2.83
0,2000-01-07 00:00:00,20.95,947282400,-3.79,947242800,0.22,Jackson,5.17,0.57,947228400Jackson,40.5722355,-106.3113643,0.03,10.402,0.0355,0.1888,947282400,0.84,snow,1027.69,CO,947255405,947289299,30.82,947282400,7.16,947246400,947228400,9.94,238,3.87
0,2000-01-08 00:00:00,28.06,947365200,10.55,947336400,0.47,Jackson,11.52,0.58,947314800Jackson,40.5722355,-106.3113643,0.06,1.359,0.0037,0.0436,947318400,0.7,snow,1015.95,CO,947341797,947375757,34.64,947365200,15.62,947340000,947314800,9.58,255,5.89
0,2000-01-09 00:00:00,18.87,947455200,11.9,947430000,0.52,Jackson,13.22,0.56,947401200Jackson,40.5722355,-106.3113643,0.09,0.283,0.001,0.0068,947404800,0.33,snow,1010.19,CO,947428187,947462217,30.84,947455200,22.08,947426400,947401200,9.16,272,12.84
