,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.28,949356000,5.16,949320000,0.18,Adams,9.63,0.51,949302000Adams,39.84551954,-104.7264924,0.85,,0,0,,0,,1020.23,CO,949327772,949364254,40.42,949356000,15.37,949323600,949302000,9.94,195,6.36
0,2000-02-29 00:00:00,54.16,951865200,28.23,951890400,0.45,Adams,22.48,0.45,951807600Adams,39.84551954,-104.7264924,0.83,,0,0,,0,,1011.49,CO,951831242,951871890,54.16,951865200,34.36,951890400,951807600,9.93,0,4.52
0,2000-03-31 00:00:00,33.18,954547200,18,954504000,0.96,Adams,27.14,0.89,954486000Adams,39.84551954,-104.7264924,0.86,3.163,0.0144,0.055,954514800,0.72,snow,1025.96,CO,954506673,954552204,38.08,954547200,28.12,954511200,954486000,3.59,6,4.51
0,2000-04-30 00:00:00,59.6,957139200,26.57,957078000,0.88,Adams,34.3,0.73,957074400Adams,39.84551954,-104.7264924,0.88,,0.0091,0.1045,957078000,0.79,rain,1022,CO,957096045,957146021,59.6,957139200,38,957078000,957074400,9.32,2,13.81
0,2000-05-31 00:00:00,81.42,959806800,53.53,959752800,0.51,Adams,53.94,0.7,959752800Adams,39.84551954,-104.7264924,0.93,,0,0,,0,,1007.67,CO,959772852,959826128,81.34,959806800,53.53,959752800,959752800,8.62,33,1.79
0,2000-06-30 00:00:00,84.75,962398800,56.61,962362800,0.34,Adams,46.62,0.45,962344800Adams,39.84551954,-104.7264924,0.96,,0,0,,0,,1010.72,CO,962364919,962418744,88.19,962398800,56.61,962362800,962344800,9.94,169,8.9
0,2000-07-31 00:00:00,86.98,965088000,55,965044800,0.18,Adams,44.53,0.41,965023200Adams,39.84551954,-104.7264924,0.03,,0,0,,0,,1016.98,CO,965044716,965096060,91.13,965088000,55,965044800,965023200,9.93,135,1.7
0,2000-08-31 00:00:00,75.83,967766400,54.19,967723200,0.65,Adams,52.4,0.77,967701600Adams,39.84551954,-104.7264924,0.09,,0.0096,0.1149,967770000,0.8,rain,1013.21,CO,967724882,967771979,75.83,967766400,54.19,967723200,967701600,9.71,92,2.45
0,2000-09-30 00:00:00,79.68,970344000,53.13,970318800,0.52,Adams,39.9,0.43,970293600Adams,39.84551954,-104.7264924,0.1,,0,0,,0,,1009.72,CO,970318560,970361023,79.68,970344000,53.13,970318800,970293600,10,226,7.17
0,2000-10-31 00:00:00,38.55,973036800,29.58,972993600,0.72,Adams,35.78,0.84,972975600Adams,39.84551954,-104.7264924,0.15,,0.0022,0.0182,973051200,0.59,rain,1007.81,CO,972998916,973036731,44.85,973036800,35.07,972993600,972975600,7.46,295,3.28
0,2000-11-30 00:00:00,50.25,975618000,18.62,975571200,0.21,Adams,15.42,0.47,975567600Adams,39.84551954,-104.7264924,0.15,,0,0,,0,,1017.17,CO,975592940,975627383,50.25,975618000,24.25,975567600,975567600,9.94,302,9.02
0,2000-12-31 00:00:00,28.89,978285600,6.33,978249600,0.48,Adams,17.55,0.82,978246000Adams,39.84551954,-104.7264924,0.19,,0,0,,0,,1024.72,CO,978272490,978306319,33.49,978285600,15.4,978271200,978246000,8.37,170,2.4
0,2001-01-31 00:00:00,29.2,980978400,1.55,980938800,0.46,Adams,8.22,0.58,980924400Adams,39.84551954,-104.7264924,0.23,,0,0,,0,,1021.71,CO,980950132,980986708,29.2,980978400,14.4,980949600,980924400,9.93,202,6.29
0,2001-02-28 00:00:00,40.53,983404800,7.94,983354400,0.77,Adams,18.4,0.76,983343600Adams,39.84551954,-104.7264924,0.17,0.085,0.0003,0.003,983379600,0.1,snow,1018.25,CO,983367265,983407873,44.89,983404800,16.61,983358000,983343600,7.8,125,1.05
0,2001-03-31 00:00:00,59.33,986083200,19.58,986036400,0.56,Adams,27.14,0.72,986022000Adams,39.84551954,-104.7264924,0.23,0.752,0.0032,0.0241,986029200,0.63,snow,1015.54,CO,986042698,986088188,59.33,986083200,27.1,986047200,986022000,8.81,98,3.35
0,2001-04-30 00:00:00,76.43,988675200,44.41,988617600,0.51,Adams,32.26,0.39,988610400Adams,39.84551954,-104.7264924,0.25,,0,0,,0,,1012.3,CO,988632065,988682005,76.43,988675200,47.84,988628400,988610400,9.94,217,2.6
0,2001-05-31 00:00:00,76.9,991353600,43.84,991306800,0.32,Adams,46.98,0.66,991288800Adams,39.84551954,-104.7264924,0.32,,0,0,,0,,1015.42,CO,991308859,991362117,76.9,991353600,46.69,991306800,991288800,9.71,81,1.78
0,2001-06-30 00:00:00,90.59,993934800,62.98,993902400,0.53,Adams,46.1,0.33,993880800Adams,39.84551954,-104.7264924,0.34,,0.0002,0.004,993938400,0.15,rain,1011.6,CO,993900912,993954746,95.03,993934800,62.98,993902400,993880800,10,167,4.95
0,2001-07-31 00:00:00,86.03,996616800,65.34,996642000,0.59,Adams,51.59,0.43,996559200Adams,39.84551954,-104.7264924,0.39,,0.0139,0.3231,996627600,0.87,rain,1007.21,CO,996580702,996632076,88.44,996616800,65.34,996642000,996559200,9.92,225,3.92
0,2001-08-31 00:00:00,78.31,999284400,57.97,999262800,0.57,Adams,47.85,0.51,999237600Adams,39.84551954,-104.7264924,0.43,,0.0006,0.0062,999306000,0.29,rain,1011.86,CO,999260867,999308003,78.31,999284400,57.97,999262800,999237600,9.96,205,5.38
0,2001-09-30 00:00:00,76.01,1001894400,47.46,1001854800,0.3,Adams,44.13,0.56,1001829600Adams,39.84551954,-104.7264924,0.44,,0,0,,0,,1022.43,CO,1001854545,1001897049,76.01,1001894400,49.59,1001854800,1001829600,10,343,1.12
0,2001-10-31 00:00:00,70.61,1004554800,43.65,1004594400,0.51,Adams,27.54,0.31,1004511600Adams,39.84551954,-104.7264924,0.48,,0,0,,0,,1003.05,CO,1004534898,1004572750,70.61,1004554800,46.74,1004594400,1004511600,9.6,246,10.66
0,2001-11-30 00:00:00,37.37,1007146800,15.35,1007103600,0.51,Adams,16.47,0.56,1007103600Adams,39.84551954,-104.7264924,0.49,,0,0,,0,,1008.92,CO,1007128925,1007163387,41.1,1007146800,21.47,1007103600,1007103600,9.91,233,4.82
0,2001-12-31 00:00:00,26.19,1009836000,2.31,1009800000,0.44,Adams,14.32,0.74,1009782000Adams,39.84551954,-104.7264924,0.55,,0,0,,0,,1021.59,CO,1009808488,1009842306,34.2,1009836000,11.97,1009800000,1009782000,9,111,4.52
