,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,30.67,949363200,-9.22,949316400,0.43,Alamosa,8.67,0.72,949302000Alamosa,37.571542,-105.8298738,0.85,0.036,0.0001,0.0013,949345200,0.02,snow,1023.85,CO,949327756,949364800,33.5,949363200,0.87,949316400,949302000,8.99,337,2.76
0,2000-02-29 00:00:00,44.34,951865200,14.54,951832800,0.26,Alamosa,19.73,0.58,951807600Alamosa,37.571542,-105.8298738,0.83,,0,0,,0,,1015.66,CO,951831394,951872268,47.79,951865200,22.06,951832800,951807600,9.39,179,1.59
0,2000-03-31 00:00:00,29.21,954547200,14.21,954493200,0.92,Alamosa,24.96,0.84,954486000Alamosa,37.571542,-105.8298738,0.86,1.737,0.0074,0.0255,954500400,0.63,snow,1019.55,CO,954507016,954552390,33.86,954547200,26.22,954568800,954486000,5.45,11,3.53
0,2000-04-30 00:00:00,59.22,957139200,30.2,957103200,0.78,Alamosa,31.19,0.67,957074400Alamosa,37.571542,-105.8298738,0.88,,0.0182,0.1591,957092400,0.82,rain,1017.77,CO,957096567,957146030,59.22,957139200,36.42,957103200,957074400,9.14,4,4.22
0,2000-05-31 00:00:00,81.78,959810400,40.44,959770800,0.07,Alamosa,30.91,0.31,959752800Alamosa,37.571542,-105.8298738,0.93,,0,0,,0,,1008.98,CO,959773513,959825997,84.89,959810400,43.76,959770800,959752800,9.62,194,5.75
0,2000-06-30 00:00:00,79.73,962395200,44.88,962362800,0.15,Alamosa,36.55,0.41,962344800Alamosa,37.571542,-105.8298738,0.96,,0,0,,0,,1015.45,CO,962365604,962418589,79.73,962395200,46.43,962366400,962344800,9.87,227,2.19
0,2000-07-31 00:00:00,81.29,965088000,43.54,965044800,0.09,Alamosa,41.61,0.5,965023200Alamosa,37.571542,-105.8298738,0.03,,0,0,,0,,1020.26,CO,965045294,965096011,84.13,965088000,46,965044800,965023200,9.71,55,2.51
0,2000-08-31 00:00:00,75.77,967762800,50.37,967719600,0.37,Alamosa,41.97,0.5,967701600Alamosa,37.571542,-105.8298738,0.09,,0.0001,0.0015,967777200,0.03,rain,1013.39,CO,967725288,967772103,75.77,967762800,50.37,967719600,967701600,9.85,198,2.86
0,2000-09-30 00:00:00,75.64,970351200,36.23,970318800,0.1,Alamosa,32.79,0.45,970293600Alamosa,37.571542,-105.8298738,0.1,,0,0,,0,,1015.19,CO,970318784,970361329,75.64,970351200,40.03,970318800,970293600,10,283,5
0,2000-10-31 00:00:00,40.66,973026000,20.23,973058400,0.22,Alamosa,22.9,0.57,972975600Alamosa,37.571542,-105.8298738,0.15,,0,0,,0,,1009.91,CO,972998955,973037221,46.42,973026000,27.52,973058400,972975600,9.77,202,6.53
0,2000-11-30 00:00:00,52.88,975618000,19.53,975574800,0.04,Alamosa,15.76,0.47,975567600Alamosa,37.571542,-105.8298738,0.15,,0,0,,0,,1019.19,CO,975592839,975628014,52.88,975618000,22.07,975646800,975567600,9.85,28,0.77
0,2000-12-31 00:00:00,39.12,978303600,-9.6,978256800,0.02,Alamosa,3.21,0.57,978246000Alamosa,37.571542,-105.8298738,0.19,,0,0,,0,,1028.08,CO,978272361,978306977,39.12,978303600,1.06,978264000,978246000,9.92,71,0.64
0,2001-01-31 00:00:00,17.54,980978400,-16.85,980949600,0.17,Alamosa,0.53,0.71,980924400Alamosa,37.571542,-105.8298738,0.23,,0,0,,0,,1028.01,CO,980950121,980987250,23.8,980978400,-5.3,980949600,980924400,9.8,292,1.84
0,2001-02-28 00:00:00,32.17,983404800,9.35,983419200,0.67,Alamosa,21.65,0.86,983343600Alamosa,37.571542,-105.8298738,0.17,2.327,0.0082,0.0391,983383200,0.68,snow,1016.56,CO,983367416,983408252,34.7,983404800,17.59,983426400,983343600,6.16,172,2.01
0,2001-03-31 00:00:00,61.86,986083200,17.78,986036400,0.11,Alamosa,19.13,0.51,986022000Alamosa,37.571542,-105.8298738,0.23,,0,0,,0,,1015,CO,986043040,986088376,61.86,986083200,21.66,986040000,986022000,9.98,207,1.33
0,2001-04-30 00:00:00,75.49,988675200,27.18,988632000,0.06,Alamosa,22.21,0.33,988610400Alamosa,37.571542,-105.8298738,0.25,,0,0,,0,,1016.12,CO,988632584,988682015,75.49,988675200,32.31,988632000,988610400,9.88,292,3.02
0,2001-05-31 00:00:00,78.62,991353600,37.96,991306800,0.14,Alamosa,37.67,0.51,991288800Alamosa,37.571542,-105.8298738,0.32,,0,0,,0,,1016.06,CO,991309519,991361987,78.62,991353600,38.58,991310400,991288800,9.78,67,1.01
0,2001-06-30 00:00:00,82.7,993934800,51.44,993902400,0.1,Alamosa,44.9,0.48,993880800Alamosa,37.571542,-105.8298738,0.34,,0.0002,0.0059,993938400,0.27,rain,1017.53,CO,993901597,993954590,85.72,993934800,51.44,993902400,993880800,10,116,2.79
0,2001-07-31 00:00:00,81.7,996613200,60.23,996584400,0.44,Alamosa,54.17,0.62,996559200Alamosa,37.571542,-105.8298738,0.39,,0.0028,0.0235,996559200,0.62,rain,1012.84,CO,996581281,996632026,83.6,996613200,60.23,996584400,996559200,9.67,231,2.71
0,2001-08-31 00:00:00,70.92,999288000,47.18,999259200,0.4,Alamosa,47.17,0.71,999237600Alamosa,37.571542,-105.8298738,0.43,,0.0119,0.205,999295200,0.84,rain,1016.78,CO,999261275,999308125,70.92,999288000,47.18,999259200,999237600,9.78,176,0.72
0,2001-09-30 00:00:00,73.26,1001880000,36.89,1001854800,0.23,Alamosa,37.22,0.49,1001829600Alamosa,37.571542,-105.8298738,0.44,,0,0,,0,,1022.58,CO,1001854771,1001897353,73.26,1001880000,39.3,1001854800,1001829600,9.97,9,1.25
0,2001-10-31 00:00:00,64.12,1004554800,35.61,1004594400,0.25,Alamosa,30.99,0.47,1004511600Alamosa,37.571542,-105.8298738,0.48,,0.0001,0.0013,1004558400,0.02,rain,1010.07,CO,1004534939,1004573238,64.12,1004554800,35.61,1004594400,1004511600,9.82,222,7.21
0,2001-11-30 00:00:00,27.95,1007154000,-2.64,1007110800,0.18,Alamosa,9.16,0.64,1007103600Alamosa,37.571542,-105.8298738,0.49,0.063,0.0001,0.0013,1007107200,0.02,snow,1016.49,CO,1007128824,1007164017,36.83,1007154000,8.23,1007110800,1007103600,9.6,246,4.68
0,2001-12-31 00:00:00,25.48,1009839600,6.96,1009857600,0.6,Alamosa,16.3,0.86,1009782000Alamosa,37.571542,-105.8298738,0.55,0.033,0.0001,0.0009,1009836000,0.01,snow,1020.51,CO,1009808359,1009842965,25.48,1009839600,13.08,1009864800,1009782000,6.46,251,0.76
0,2002-01-31 00:00:00,20.53,1012521600,-7,1012543200,0.47,Alamosa,4.56,0.73,1012460400Alamosa,37.571542,-105.8298738,0.61,1.319,0.0029,0.0323,1012464000,0.66,snow,1022.58,CO,1012486133,1012523232,20.53,1012521600,0.16,1012543200,1012460400,7.25,310,1.28
0,2002-02-28 00:00:00,44.49,1014930000,-3.32,1014890400,0.11,Alamosa,1.27,0.43,1014879600Alamosa,37.571542,-105.8298738,0.55,0.14,0.0004,0.0085,1014940800,0.45,snow,1011.81,CO,1014903437,1014944237,49.11,1014930000,3.84,1014901200,1014879600,9.57,243,1.74
0,2002-03-31 00:00:00,71.12,1017619200,19.32,1017579600,0.02,Alamosa,17.18,0.34,1017558000Alamosa,37.571542,-105.8298738,0.61,,0,0,,0,,1014.69,CO,1017579063,1017624362,71.12,1017619200,24.86,1017579600,1017558000,10,263,0.83
0,2002-04-30 00:00:00,73.76,1020200400,36.2,1020171600,0.03,Alamosa,9.46,0.16,1020146400Alamosa,37.571542,-105.8298738,0.63,,0,0,,0,,1006.48,CO,1020168602,1020218001,73.76,1020200400,41.32,1020168000,1020146400,9.83,228,10.14
