,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.04,949356000,6.48,949312800,0.16,Arapahoe,9.62,0.53,949302000Arapahoe,39.68731718,-104.6005739,0.85,,0,0,,0,,1020.74,CO,949327722,949364244,39.79,949356000,14.62,949320000,949302000,9.9,184,4.73
0,2000-02-29 00:00:00,53.97,951865200,28.63,951829200,0.45,Arapahoe,23.02,0.47,951807600Arapahoe,39.68731718,-104.6005739,0.83,,0,0,,0,,1011.9,CO,951831204,951871868,53.97,951865200,36.56,951890400,951807600,9.89,353,4.3
0,2000-03-31 00:00:00,33.28,954547200,18.22,954504000,0.96,Arapahoe,27.11,0.9,954486000Arapahoe,39.68731718,-104.6005739,0.86,2.789,0.0129,0.0516,954525600,0.72,snow,1026.25,CO,954506648,954552168,36.13,954547200,28.08,954511200,954486000,3.55,7,5.02
0,2000-04-30 00:00:00,57.04,957139200,27.94,957078000,0.88,Arapahoe,34.25,0.74,957074400Arapahoe,39.68731718,-104.6005739,0.88,,0.0105,0.0852,957078000,0.77,rain,1022.3,CO,957096034,957145973,57.04,957139200,37.99,957081600,957074400,9.1,3,13.37
0,2000-05-31 00:00:00,81.21,959806800,53.17,959763600,0.48,Arapahoe,53.71,0.69,959752800Arapahoe,39.68731718,-104.6005739,0.93,,0,0,,0,,1007.9,CO,959772850,959826070,81.23,959806800,53.17,959763600,959752800,8.52,66,1.38
0,2000-06-30 00:00:00,84.3,962398800,55.32,962362800,0.35,Arapahoe,46.85,0.46,962344800Arapahoe,39.68731718,-104.6005739,0.96,,0,0,,0,,1011.4,CO,962364919,962418684,87.66,962398800,55.32,962362800,962344800,9.91,172,8.57
0,2000-07-31 00:00:00,85.63,965088000,55.51,965044800,0.15,Arapahoe,44.62,0.42,965023200Arapahoe,39.68731718,-104.6005739,0.03,,0,0,,0,,1017.54,CO,965044708,965096007,89.56,965088000,55.51,965044800,965023200,9.89,113,1.66
0,2000-08-31 00:00:00,74.62,967766400,54.46,967723200,0.65,Arapahoe,52.4,0.76,967701600Arapahoe,39.68731718,-104.6005739,0.09,,0.009,0.1088,967770000,0.79,rain,1013.48,CO,967724862,967771938,74.62,967766400,54.46,967723200,967701600,9.65,94,2.38
0,2000-09-30 00:00:00,79.37,970344000,51.98,970318800,0.48,Arapahoe,39.86,0.44,970293600Arapahoe,39.68731718,-104.6005739,0.1,,0,0,,0,,1010.28,CO,970318527,970360996,79.37,970344000,51.98,970318800,970293600,10,228,5.59
0,2000-10-31 00:00:00,39.18,973036800,29.95,972993600,0.68,Arapahoe,35.46,0.83,972975600Arapahoe,39.68731718,-104.6005739,0.15,,0.0021,0.0153,973051200,0.57,rain,1008.21,CO,972998869,973036717,44.62,973036800,34.43,972993600,972975600,7.42,308,2.74
0,2000-11-30 00:00:00,50.36,975618000,18.96,975571200,0.21,Arapahoe,15.88,0.46,975567600Arapahoe,39.68731718,-104.6005739,0.15,,0,0,,0,,1017.44,CO,975592884,975627379,50.36,975618000,23.99,975567600,975567600,9.9,306,8.47
0,2000-12-31 00:00:00,30.3,978289200,6.94,978271200,0.45,Arapahoe,17.7,0.8,978246000Arapahoe,39.68731718,-104.6005739,0.19,,0,0,,0,,1024.77,CO,978272431,978306317,34.27,978289200,15.26,978271200,978246000,8.69,173,2.35
0,2001-01-31 00:00:00,29.36,980978400,1.9,980946000,0.45,Arapahoe,8.29,0.58,980924400Arapahoe,39.68731718,-104.6005739,0.23,,0,0,,0,,1022.11,CO,980950082,980986698,29.36,980978400,13.13,980949600,980924400,9.89,199,5.1
0,2001-02-28 00:00:00,38.51,983404800,7.99,983343600,0.76,Arapahoe,18.88,0.79,983343600Arapahoe,39.68731718,-104.6005739,0.17,0.225,0.0009,0.0081,983386800,0.42,snow,1018.73,CO,983367227,983407851,41.52,983404800,15.93,983358000,983343600,7.45,155,1.25
0,2001-03-31 00:00:00,59.51,986083200,19.99,986036400,0.57,Arapahoe,27.4,0.72,986022000Arapahoe,39.68731718,-104.6005739,0.23,0.585,0.0026,0.0165,986029200,0.57,snow,1015.87,CO,986042673,986088152,59.51,986083200,27.18,986047200,986022000,8.59,103,2.95
0,2001-04-30 00:00:00,74.96,988675200,44.12,988628400,0.49,Arapahoe,31.59,0.38,988610400Arapahoe,39.68731718,-104.6005739,0.25,,0.0001,0.0013,988642800,0.02,rain,1012.89,CO,988632053,988681957,74.96,988675200,46.93,988624800,988610400,9.91,205,2.21
0,2001-05-31 00:00:00,75.56,991353600,44.26,991306800,0.33,Arapahoe,46.68,0.66,991288800Arapahoe,39.68731718,-104.6005739,0.32,,0.0001,0.0015,991306800,0.03,rain,1015.95,CO,991308857,991362058,75.56,991353600,45.98,991306800,991288800,9.61,71,1.88
0,2001-06-30 00:00:00,90.7,993931200,62.52,993902400,0.51,Arapahoe,46.03,0.34,993880800Arapahoe,39.68731718,-104.6005739,0.34,,0.0005,0.0118,993938400,0.53,rain,1012.24,CO,993900912,993954685,95.06,993931200,62.52,993902400,993880800,10,170,5.05
0,2001-07-31 00:00:00,86.03,996616800,64.91,996642000,0.57,Arapahoe,50.96,0.42,996559200Arapahoe,39.68731718,-104.6005739,0.39,,0.0126,0.2898,996627600,0.87,rain,1007.6,CO,996580694,996632023,88.65,996616800,64.91,996642000,996559200,9.88,227,3.67
0,2001-08-31 00:00:00,78.46,999284400,57.62,999262800,0.57,Arapahoe,48.45,0.53,999237600Arapahoe,39.68731718,-104.6005739,0.43,,0.0017,0.0173,999306000,0.58,rain,1012.27,CO,999260847,999307963,78.46,999284400,57.62,999262800,999237600,9.93,203,5.65
0,2001-09-30 00:00:00,74.66,1001894400,47.66,1001854800,0.29,Arapahoe,44.13,0.56,1001829600Arapahoe,39.68731718,-104.6005739,0.44,,0,0,,0,,1022.91,CO,1001854512,1001897021,74.66,1001894400,49.25,1001854800,1001829600,9.99,336,0.9
0,2001-10-31 00:00:00,70.16,1004554800,44.46,1004594400,0.49,Arapahoe,27.58,0.3,1004511600Arapahoe,39.68731718,-104.6005739,0.48,,0,0,,0,,1003.37,CO,1004534852,1004572735,70.16,1004554800,47.43,1004594400,1004511600,9.74,243,10.14
0,2001-11-30 00:00:00,36.72,1007154000,16.69,1007103600,0.5,Arapahoe,16.16,0.55,1007103600Arapahoe,39.68731718,-104.6005739,0.49,,0,0,,0,,1009.15,CO,1007128868,1007163383,41.24,1007154000,22.41,1007103600,1007103600,9.87,233,4.38
0,2001-12-31 00:00:00,27.2,1009836000,2.92,1009800000,0.43,Arapahoe,14.77,0.75,1009782000Arapahoe,39.68731718,-104.6005739,0.55,,0,0,,0,,1021.78,CO,1009808429,1009842304,34.87,1009836000,11.92,1009800000,1009782000,9.3,109,4.22
0,2002-01-31 00:00:00,28.26,1012521600,0.1,1012485600,0.36,Arapahoe,4.72,0.57,1012460400Arapahoe,39.68731718,-104.6005739,0.61,0.078,0.0002,0.0021,1012464000,0.06,snow,1023.1,CO,1012486096,1012522679,33.26,1012521600,6.85,1012485600,1012460400,9.52,340,4.57
