,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,27.96,949363200,9.94,949316400,0.8,Archuleta,18.12,0.78,949302000Archuleta,37.1925532,-107.1347994,0.85,0.808,0.003,0.023,949341600,0.62,snow,1021.22,CO,949328025,949365158,34.55,949363200,17.42,949320000,949302000,8.08,3,0.76
0,2000-02-29 00:00:00,46.23,951861600,20.86,951807600,0.25,Archuleta,21.77,0.62,951807600Archuleta,37.1925532,-107.1347994,0.83,0.089,0.0003,0.0042,951836400,0.17,snow,1018.07,CO,951831689,951872599,47.26,951861600,23.5,951832800,951807600,9.83,204,1.77
0,2000-03-31 00:00:00,34.21,954547200,25.89,954493200,0.89,Archuleta,30.06,0.85,954486000Archuleta,37.1925532,-107.1347994,0.86,,0.0113,0.0235,954536400,0.62,rain,1013.92,CO,954507342,954552690,38.34,954547200,31.13,954568800,954486000,7.02,91,4.03
0,2000-04-30 00:00:00,63.64,957139200,40.42,957099600,0.48,Archuleta,33.17,0.55,957074400Archuleta,37.1925532,-107.1347994,0.88,,0.018,0.19,957092400,0.84,rain,1015.03,CO,957096921,957146302,63.64,957139200,40.42,957099600,957074400,9.74,9,2.24
0,2000-05-31 00:00:00,82.57,959814000,42.91,959770800,0.01,Archuleta,25.01,0.21,959752800Archuleta,37.1925532,-107.1347994,0.93,,0,0,,0,,1007.91,CO,959773889,959826247,86.11,959814000,45.09,959770800,959752800,10,237,3.44
0,2000-06-30 00:00:00,80.47,962395200,50.08,962366400,0.15,Archuleta,45.18,0.5,962344800Archuleta,37.1925532,-107.1347994,0.96,,0.0004,0.0053,962416800,0.23,rain,1013.63,CO,962365984,962418835,82.47,962395200,50.08,962366400,962344800,10,46,0.97
0,2000-07-31 00:00:00,82.96,965088000,48.51,965044800,0.05,Archuleta,43.84,0.48,965023200Archuleta,37.1925532,-107.1347994,0.03,,0,0,,0,,1018.4,CO,965045658,965096274,86.13,965088000,49.09,965044800,965023200,9.96,48,1.37
0,2000-08-31 00:00:00,74.99,967762800,51.19,967726800,0.41,Archuleta,45,0.55,967701600Archuleta,37.1925532,-107.1347994,0.09,,0,0,,0,,1013.54,CO,967725624,967772393,74.99,967762800,51.19,967726800,967701600,9.96,213,1.27
0,2000-09-30 00:00:00,76.89,970347600,42.04,970318800,0.08,Archuleta,38.01,0.49,970293600Archuleta,37.1925532,-107.1347994,0.1,,0.0002,0.0037,970304400,0.14,rain,1015.49,CO,970319091,970361648,76.89,970347600,44.22,970318800,970293600,10,294,2.89
0,2000-10-31 00:00:00,38.31,972975600,25.9,973051200,0.57,Archuleta,27.99,0.7,972975600Archuleta,37.1925532,-107.1347994,0.15,,0.004,0.0362,972990000,0.68,rain,1011.4,CO,972999233,973037571,42.52,972975600,28.91,973058400,972975600,9.68,206,4.29
0,2000-11-30 00:00:00,46.29,975621600,23.68,975592800,0.04,Archuleta,21.05,0.58,975567600Archuleta,37.1925532,-107.1347994,0.15,,0,0,,0,,1021.5,CO,975593094,975628386,49.89,975621600,23.68,975592800,975567600,10,292,1.54
