,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.46,949352400,4.37,949316400,0.15,Boulder,8.74,0.53,949302000Boulder,40.08435066,-105.3414056,0.85,,0,0,,0,,1020.6,CO,949327950,949364372,40.1,949352400,12.41,949320000,949302000,9.94,185,2.67
0,2000-02-29 00:00:00,53.72,951858000,28.49,951890400,0.35,Boulder,21.65,0.45,951807600Boulder,40.08435066,-105.3414056,0.83,,0,0,,0,,1011.82,CO,951831401,951872026,53.72,951858000,32.88,951890400,951807600,9.99,336,3.81
0,2000-03-31 00:00:00,34.32,954547200,20.52,954500400,0.91,Boulder,26.21,0.87,954486000Boulder,40.08435066,-105.3414056,0.86,2.267,0.0106,0.05,954525600,0.71,snow,1024.91,CO,954506812,954552360,37.39,954547200,27.53,954568800,954486000,4.75,338,1.98
0,2000-04-30 00:00:00,58.18,957139200,28.28,957078000,0.87,Boulder,32.49,0.68,957074400Boulder,40.08435066,-105.3414056,0.88,,0.0067,0.0565,957078000,0.73,rain,1021.69,CO,957096165,957146197,58.18,957139200,38.11,957078000,957074400,9.49,357,11.7
0,2000-05-31 00:00:00,78.34,959810400,51.6,959763600,0.5,Boulder,51.97,0.68,959752800Boulder,40.08435066,-105.3414056,0.93,,0.0004,0.0051,959756400,0.22,rain,1007.14,CO,959772956,959826319,78.34,959810400,51.6,959763600,959752800,7.9,93,1.63
0,2000-06-30 00:00:00,83.89,962402400,53.39,962362800,0.27,Boulder,47.08,0.49,962344800Boulder,40.08435066,-105.3414056,0.96,,0.0003,0.0076,962409600,0.38,rain,1011.2,CO,962365020,962418938,87.22,962402400,53.39,962362800,962344800,9.93,166,6.51
0,2000-07-31 00:00:00,84.73,965084400,55.51,965041200,0.13,Boulder,44.8,0.42,965023200Boulder,40.08435066,-105.3414056,0.03,,0.0002,0.005,965088000,0.21,rain,1017.29,CO,965044830,965096241,88.3,965084400,55.51,965041200,965023200,9.95,102,1.36
0,2000-08-31 00:00:00,72.14,967766400,51.51,967726800,0.51,Boulder,50.67,0.75,967701600Boulder,40.08435066,-105.3414056,0.09,,0.0061,0.0783,967770000,0.76,rain,1013.04,CO,967725014,967772141,72.14,967766400,51.51,967726800,967701600,9.86,123,2.89
0,2000-09-30 00:00:00,77.22,970344000,51.35,970311600,0.37,Boulder,39.82,0.46,970293600Boulder,40.08435066,-105.3414056,0.1,,0,0,,0,,1010.46,CO,970318713,970361166,77.22,970344000,51.35,970311600,970293600,10,242,5.81
0,2000-10-31 00:00:00,41.03,973029600,31.33,972986400,0.72,Boulder,34.38,0.84,972975600Boulder,40.08435066,-105.3414056,0.15,,0.0067,0.0401,973051200,0.69,rain,1007.78,CO,972999088,973036854,42.94,973029600,34.18,972990000,972975600,7.55,335,3.51
0,2000-11-30 00:00:00,38.75,975618000,17.21,975567600,0.18,Boulder,15.61,0.47,975567600Boulder,40.08435066,-105.3414056,0.15,,0,0,,0,,1017.1,CO,975593128,975627490,46.97,975618000,24.03,975567600,975567600,9.8,292,13.13
0,2000-12-31 00:00:00,31.59,978307200,6.41,978249600,0.49,Boulder,16.26,0.8,978246000Boulder,40.08435066,-105.3414056,0.19,0.035,0.0001,0.0025,978310800,0.08,snow,1024.46,CO,978272680,978306423,31.59,978307200,15.21,978246000,978246000,7.81,261,1.09
0,2001-01-31 00:00:00,24.8,980985600,0.62,980938800,0.35,Boulder,6,0.58,980924400Boulder,40.08435066,-105.3414056,0.23,,0,0,,0,,1022.03,CO,980950310,980986826,29.68,980985600,9.48,980942400,980924400,9.94,237,4.04
0,2001-02-28 00:00:00,41.97,983404800,7.13,983343600,0.65,Boulder,17.31,0.75,983343600Boulder,40.08435066,-105.3414056,0.17,0.3,0.0012,0.0101,983412000,0.51,snow,1017.82,CO,983367425,983408009,43.64,983404800,14.57,983358000,983343600,7.56,71,0.41
0,2001-03-31 00:00:00,61.79,986083200,18.87,986040000,0.53,Boulder,25.71,0.7,986022000Boulder,40.08435066,-105.3414056,0.23,0.545,0.0023,0.015,986058000,0.56,snow,1015.61,CO,986042837,986088344,61.79,986083200,25.34,986047200,986022000,8.42,48,0.62
0,2001-04-30 00:00:00,73.12,988675200,43.24,988628400,0.36,Boulder,32.06,0.39,988610400Boulder,40.08435066,-105.3414056,0.25,,0,0,,0,,1012.75,CO,988632184,988682181,73.12,988675200,45.77,988624800,988610400,9.95,245,3.22
0,2001-05-31 00:00:00,75.15,991353600,43.06,991303200,0.34,Boulder,44.73,0.64,991288800Boulder,40.08435066,-105.3414056,0.32,,0.0012,0.0226,991314000,0.62,rain,1015.4,CO,991308963,991362308,75.15,991353600,44.17,991306800,991288800,9.45,36,1.94
