,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,28.37,949356000,-6.32,949323600,0.45,Chaffee,5.05,0.65,949302000Chaffee,38.71840717,-106.1915062,0.85,,0,0,,0,,1021.84,CO,949327982,949364748,28.37,949356000,2.98,949316400,949302000,9.07,15,3.25
0,2000-02-29 00:00:00,45.09,951858000,20.22,951890400,0.36,Chaffee,21.81,0.61,951807600Chaffee,38.71840717,-106.1915062,0.83,,0.0008,0.0166,951843600,0.58,rain,1014.94,CO,951831537,951872299,45.09,951858000,26.5,951890400,951807600,9.41,326,2.48
0,2000-03-31 00:00:00,29.01,954547200,18.51,954504000,0.91,Chaffee,22.69,0.83,954486000Chaffee,38.71840717,-106.1915062,0.86,1.403,0.0058,0.0405,954525600,0.69,snow,1020.21,CO,954507064,954552516,32.65,954547200,24.66,954496800,954486000,6.08,352,2.07
0,2000-04-30 00:00:00,55.25,957139200,32.14,957099600,0.71,Chaffee,30.31,0.61,957074400Chaffee,38.71840717,-106.1915062,0.88,,0.0051,0.0294,957092400,0.65,rain,1016.78,CO,957096526,957146244,55.25,957139200,38.72,957099600,957074400,9.55,352,6.6
0,2000-05-31 00:00:00,79.13,959810400,43.56,959770800,0.11,Chaffee,33.68,0.35,959752800Chaffee,38.71840717,-106.1915062,0.93,,0,0,,0,,1007.27,CO,959773403,959826280,80.92,959810400,46.33,959770800,959752800,9.3,206,5.32
0,2000-06-30 00:00:00,78.23,962395200,47.9,962366400,0.26,Chaffee,38.49,0.43,962344800Chaffee,38.71840717,-106.1915062,0.96,,0,0,,0,,1013.07,CO,962365483,962418883,78.23,962395200,47.9,962366400,962344800,9.8,186,2.89
0,2000-07-31 00:00:00,81.31,965088000,46.47,965044800,0.08,Chaffee,36.7,0.41,965023200Chaffee,38.71840717,-106.1915062,0.03,,0.0005,0.011,965088000,0.52,rain,1018.22,CO,965045226,965096253,84.26,965088000,46.47,965044800,965023200,9.73,46,1.4
0,2000-08-31 00:00:00,68.79,967762800,48.91,967723200,0.53,Chaffee,45.39,0.64,967701600Chaffee,38.71840717,-106.1915062,0.09,,0.0021,0.0207,967770000,0.61,rain,1013.3,CO,967725305,967772259,68.79,967762800,48.91,967723200,967701600,9.69,152,1.39
0,2000-09-30 00:00:00,72.53,970351200,40.96,970318800,0.25,Chaffee,35.94,0.52,970293600Chaffee,38.71840717,-106.1915062,0.1,,0,0,,0,,1013.39,CO,970318892,970361395,72.53,970351200,42.75,970318800,970293600,10,290,3.49
0,2000-10-31 00:00:00,38.62,973022400,26.18,973047600,0.53,Chaffee,25.82,0.67,972975600Chaffee,38.71840717,-106.1915062,0.15,,0.0017,0.0096,973029600,0.5,rain,1008.1,CO,972999154,973037196,42.14,973022400,28.37,973058400,972975600,8.75,226,1.71
0,2000-11-30 00:00:00,39.19,975618000,17.52,975646800,0.27,Chaffee,16,0.5,975567600Chaffee,38.71840717,-106.1915062,0.15,,0,0,,0,,1018.01,CO,975593107,975627919,43.73,975618000,20.83,975650400,975567600,9.46,303,4.33
0,2000-12-31 00:00:00,23.91,978296400,5.76,978246000,0.15,Chaffee,5.73,0.62,978246000Chaffee,38.71840717,-106.1915062,0.19,,0,0,,0,,1025.6,CO,978272643,978306869,29.77,978296400,6.47,978267600,978246000,9.91,356,1.52
