,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,39.63,949356000,1.5,949327200,0.04,Cheyenne,12.1,0.62,949302000Cheyenne,38.82650725,-102.6535915,0.85,,0,0,,0,,1021.62,CO,949327147,949363884,43.06,949356000,11.16,949327200,949302000,8.79,283,2.69
0,2000-02-29 00:00:00,55.68,951865200,28.12,951890400,0.32,Cheyenne,26.59,0.49,951807600Cheyenne,38.82650725,-102.6535915,0.83,,0.0024,0.0251,951840000,0.63,rain,1010.26,CO,951830694,951871444,55.68,951865200,34.59,951890400,951807600,9.59,351,10.88
0,2000-03-31 00:00:00,40.09,954547200,22.23,954518400,0.96,Cheyenne,31.42,0.92,954486000Cheyenne,38.82650725,-102.6535915,0.86,,0.0154,0.0393,954493200,0.69,rain,1024.17,CO,954506212,954551670,43,954547200,31.6,954565200,954486000,4.64,27,10.24
0,2000-04-30 00:00:00,57.7,957139200,33.63,957103200,0.9,Cheyenne,40.18,0.81,957074400Cheyenne,38.82650725,-102.6535915,0.88,,0.039,0.2797,957078000,0.86,rain,1018.12,CO,957095666,957145406,57.7,957139200,42.85,957103200,957074400,9.05,0,18.18
0,2000-05-31 00:00:00,85.55,959814000,55.05,959770800,0.43,Cheyenne,53,0.64,959752800Cheyenne,38.82650725,-102.6535915,0.93,,0.0002,0.0046,959778000,0.19,rain,1007.99,CO,959772536,959825449,87.94,959814000,55.05,959770800,959752800,8.32,144,8.01
0,2000-06-30 00:00:00,85.01,962409600,54.64,962366400,0.12,Cheyenne,51.76,0.55,962344800Cheyenne,38.82650725,-102.6535915,0.96,,0,0,,0,,1012.01,CO,962364613,962418054,87.75,962409600,54.64,962366400,962344800,9.31,150,3.96
0,2000-07-31 00:00:00,85.8,965088000,55.57,965044800,0.04,Cheyenne,51.37,0.53,965023200Cheyenne,38.82650725,-102.6535915,0.03,,0,0,,0,,1017.41,CO,965044362,965095419,88.98,965088000,55.57,965044800,965023200,9.67,109,2.26
0,2000-08-31 00:00:00,81.47,967766400,59.41,967723200,0.32,Cheyenne,55.57,0.64,967701600Cheyenne,38.82650725,-102.6535915,0.09,,0.0015,0.0137,967701600,0.55,rain,1010.82,CO,967724448,967771417,82.32,967766400,59.41,967723200,967701600,9.66,32,4.19
0,2000-09-30 00:00:00,81.95,970347600,51.57,970318800,0.05,Cheyenne,40.6,0.42,970293600Cheyenne,38.82650725,-102.6535915,0.1,,0,0,,0,,1008.93,CO,970318044,970360545,84.99,970347600,51.57,970318800,970293600,9.99,285,5.24
