,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.15,949352400,4.49,949316400,0.25,Clear Creek,8.76,0.57,949302000Clear Creek,39.7293976,-105.6707984,0.85,,0,0,,0,,1020.34,CO,949327984,949364496,37.18,949352400,11.37,949320000,949302000,9.7,175,1.73
0,2000-02-29 00:00:00,51.95,951858000,25.91,951890400,0.38,Clear Creek,22.44,0.5,951807600Clear Creek,39.7293976,-105.6707984,0.83,,0.0007,0.0157,951843600,0.57,rain,1012.17,CO,951831462,951872123,51.95,951858000,31.37,951890400,951807600,9.87,344,3.28
0,2000-03-31 00:00:00,32.03,954547200,19.78,954507600,0.9,Clear Creek,25.23,0.87,954486000Clear Creek,39.7293976,-105.6707984,0.86,2.375,0.0109,0.0581,954525600,0.73,snow,1022.78,CO,954506903,954552426,35.31,954547200,26.52,954511200,954486000,5.05,327,1.34
0,2000-04-30 00:00:00,57.12,957139200,31.06,957078000,0.84,Clear Creek,32.34,0.66,957074400Clear Creek,39.7293976,-105.6707984,0.88,,0.0068,0.0545,957078000,0.72,rain,1019.68,CO,957096285,957146235,57.12,957139200,39.09,957099600,957074400,9.42,1,9.96
0,2000-05-31 00:00:00,79.19,959810400,50.95,959770800,0.36,Clear Creek,47.66,0.57,959752800Clear Creek,39.7293976,-105.6707984,0.93,,0,0,,0,,1006.73,CO,959773099,959826334,79.19,959810400,50.95,959770800,959752800,8.48,171,0.55
0,2000-06-30 00:00:00,82.19,962402400,51.7,962362800,0.28,Clear Creek,44.55,0.47,962344800Clear Creek,39.7293976,-105.6707984,0.96,,0,0,,0,,1011.4,CO,962365168,962418948,85.16,962402400,51.7,962362800,962344800,9.98,169,6.07
0,2000-07-31 00:00:00,83.78,965088000,53.09,965041200,0.11,Clear Creek,41.43,0.4,965023200Clear Creek,39.7293976,-105.6707984,0.03,,0.0004,0.0105,965088000,0.51,rain,1017.37,CO,965044960,965096270,87.4,965088000,53.09,965041200,965023200,9.98,90,1.01
0,2000-08-31 00:00:00,70.14,967766400,50.71,967726800,0.53,Clear Creek,49.4,0.73,967701600Clear Creek,39.7293976,-105.6707984,0.09,,0.0064,0.08,967770000,0.76,rain,1013.15,CO,967725116,967772198,70.14,967766400,50.71,967726800,967701600,9.85,127,1.97
0,2000-09-30 00:00:00,76.07,970351200,47.37,970311600,0.39,Clear Creek,39.14,0.48,970293600Clear Creek,39.7293976,-105.6707984,0.1,,0,0,,0,,1011.5,CO,970318785,970361252,76.07,970351200,49.09,970318800,970293600,10,240,4.59
