,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,34.59,949363200,-7.09,949312800,0.51,Conejos,11.47,0.73,949302000Conejos,37.20282129,-106.01636,0.85,0.183,0.0005,0.0076,949384800,0.38,snow,1022.82,CO,949327757,949364888,34.59,949363200,3.88,949320000,949302000,9.08,307,2.99
0,2000-02-29 00:00:00,47.78,951861600,18.48,951890400,0.23,Conejos,19.45,0.57,951807600Conejos,37.20282129,-106.01636,0.83,,0,0,,0,,1015.72,CO,951831421,951872330,47.78,951861600,22.63,951832800,951807600,9.56,191,2.09
0,2000-03-31 00:00:00,29.9,954547200,18.02,954493200,0.87,Conejos,25.94,0.81,954486000Conejos,37.20282129,-106.01636,0.86,1.688,0.0083,0.0259,954500400,0.63,snow,1017.65,CO,954507073,954552422,34.41,954547200,27.27,954568800,954486000,6.19,74,3.14
0,2000-04-30 00:00:00,58.87,957139200,33.88,957103200,0.72,Conejos,31.73,0.65,957074400Conejos,37.20282129,-106.01636,0.88,,0.0204,0.1631,957092400,0.83,rain,1017.06,CO,957096651,957146034,58.87,957139200,37.73,957099600,957074400,9.3,15,4.05
0,2000-05-31 00:00:00,82.56,959806800,40.85,959770800,0.06,Conejos,27.97,0.26,959752800Conejos,37.20282129,-106.01636,0.93,,0,0,,0,,1008.25,CO,959773619,959825981,86.01,959806800,43.81,959770800,959752800,9.93,203,4.45
0,2000-06-30 00:00:00,78.73,962395200,45.09,962362800,0.14,Conejos,39.82,0.46,962344800Conejos,37.20282129,-106.01636,0.96,,0.0001,0.0014,962416800,0.03,rain,1014.84,CO,962365714,962418568,80.1,962395200,47.34,962362800,962344800,10,296,1.31
0,2000-07-31 00:00:00,80.71,965088000,44.32,965044800,0.09,Conejos,42.33,0.5,965023200Conejos,37.20282129,-106.01636,0.03,,0,0,,0,,1019.94,CO,965045388,965096007,83.2,965088000,46.99,965044800,965023200,9.88,44,2.48
0,2000-08-31 00:00:00,76.38,967762800,50.06,967719600,0.29,Conejos,41.41,0.49,967701600Conejos,37.20282129,-106.01636,0.09,,0,0,,0,,1012.97,CO,967725354,967772125,76.38,967762800,50.06,967719600,967701600,9.98,203,3.36
0,2000-09-30 00:00:00,76.48,970354800,38.87,970315200,0.11,Conejos,34.18,0.45,970293600Conejos,37.20282129,-106.01636,0.1,,0.0001,0.0013,970304400,0.02,rain,1014.9,CO,970318823,970361380,76.48,970354800,42.28,970318800,970293600,10,284,5.48
0,2000-10-31 00:00:00,38.77,973026000,21.74,973051200,0.24,Conejos,23.74,0.59,972975600Conejos,37.20282129,-106.01636,0.15,,0.0002,0.0014,973029600,0.03,rain,1009.87,CO,972998965,973037301,45.28,973026000,28.24,973058400,972975600,9.88,202,7.76
0,2000-11-30 00:00:00,52.61,975621600,20.04,975646800,0.02,Conejos,17.72,0.5,975567600Conejos,37.20282129,-106.01636,0.15,,0,0,,0,,1018.8,CO,975592827,975628116,52.61,975621600,23.35,975650400,975567600,10,305,0.76
0,2000-12-31 00:00:00,36.77,978303600,-5.03,978256800,0.02,Conejos,5.41,0.57,978246000Conejos,37.20282129,-106.01636,0.19,,0,0,,0,,1027.18,CO,978272345,978307083,38.68,978303600,4.4,978264000,978246000,9.91,21,0.82
0,2001-01-31 00:00:00,19.8,980982000,-11.53,980949600,0.21,Conejos,3.6,0.73,980924400Conejos,37.20282129,-106.01636,0.23,,0,0,,0,,1026.87,CO,980950122,980987337,25.06,980982000,-0.68,980949600,980924400,9.78,279,2.17
0,2001-02-28 00:00:00,33.7,983404800,12.36,983422800,0.67,Conejos,22.42,0.84,983343600Conejos,37.20282129,-106.01636,0.17,2.59,0.0097,0.033,983383200,0.66,snow,1015.92,CO,983367443,983408315,35.93,983404800,20.24,983422800,983343600,6.62,177,2.29
0,2001-03-31 00:00:00,61.4,986083200,19.7,986043600,0.08,Conejos,18.58,0.46,986022000Conejos,37.20282129,-106.01636,0.23,,0,0,,0,,1014.3,CO,986043097,986088408,61.4,986083200,23.67,986043600,986022000,9.99,230,1.3
0,2001-04-30 00:00:00,76.26,988675200,27.07,988632000,0.05,Conejos,23.29,0.35,988610400Conejos,37.20282129,-106.01636,0.25,,0,0.0012,988614000,0,,1015.74,CO,988632669,988682020,76.26,988675200,32.29,988632000,988610400,9.91,278,3.37
0,2001-05-31 00:00:00,78.45,991353600,39.25,991310400,0.08,Conejos,34.65,0.44,991288800Conejos,37.20282129,-106.01636,0.32,,0,0,,0,,1014.79,CO,991309625,991361970,80.13,991353600,39.25,991310400,991288800,9.94,190,1.07
