,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,38.64,949363200,-3.8,949312800,0.36,Costilla,11.87,0.68,949302000Costilla,37.25221743,-105.4708121,0.85,0.107,0.0003,0.0074,949384800,0.37,snow,1022.86,CO,949327632,949364751,38.64,949363200,6.67,949320000,949302000,9.18,318,3.45
0,2000-02-29 00:00:00,49.97,951861600,18.99,951832800,0.26,Costilla,20.49,0.54,951807600Costilla,37.25221743,-105.4708121,0.83,,0,0,,0,,1014.89,CO,951831293,951872197,49.97,951861600,26.08,951832800,951807600,9.31,278,0.97
0,2000-03-31 00:00:00,30.22,954547200,19.84,954493200,0.87,Costilla,25.93,0.81,954486000Costilla,37.25221743,-105.4708121,0.86,1.517,0.0075,0.0234,954496800,0.62,snow,1020.35,CO,954506941,954552293,34.85,954547200,27.35,954568800,954486000,5.8,40,3.66
0,2000-04-30 00:00:00,59.15,957139200,30.08,957103200,0.77,Costilla,31.99,0.67,957074400Costilla,37.25221743,-105.4708121,0.88,,0.0191,0.127,957092400,0.81,rain,1017.85,CO,957096515,957145909,59.15,957139200,37.66,957099600,957074400,9.3,357,7.11
0,2000-05-31 00:00:00,82.85,959810400,45.29,959770800,0.12,Costilla,35.38,0.34,959752800Costilla,37.25221743,-105.4708121,0.93,,0,0,,0,,1008.44,CO,959773480,959825858,86.24,959810400,47.43,959770800,959752800,9.48,180,5.07
0,2000-06-30 00:00:00,79.17,962395200,47.47,962362800,0.15,Costilla,41.92,0.47,962344800Costilla,37.25221743,-105.4708121,0.96,,0,0,,0,,1014.72,CO,962365574,962418446,80.61,962395200,49.36,962366400,962344800,9.81,251,1.63
0,2000-07-31 00:00:00,81.06,965088000,47.29,965044800,0.11,Costilla,43.64,0.49,965023200Costilla,37.25221743,-105.4708121,0.03,,0,0,,0,,1019.67,CO,965045250,965095883,83.63,965088000,49.59,965044800,965023200,9.69,43,2.96
0,2000-08-31 00:00:00,77.27,967762800,52.38,967719600,0.29,Costilla,43.39,0.49,967701600Costilla,37.25221743,-105.4708121,0.09,,0.0001,0.0029,967777200,0.09,rain,1012.9,CO,967725220,967771997,77.27,967762800,52.38,967719600,967701600,9.78,209,2.88
0,2000-09-30 00:00:00,78.34,970354800,41.82,970315200,0.12,Costilla,34.92,0.43,970293600Costilla,37.25221743,-105.4708121,0.1,,0.0001,0.0012,970304400,0.02,rain,1013.67,CO,970318693,970361248,78.34,970354800,44.44,970318800,970293600,10,289,5.7
0,2000-10-31 00:00:00,42.9,973026000,23.84,973058400,0.2,Costilla,24.76,0.57,972975600Costilla,37.25221743,-105.4708121,0.15,,0,0,,0,,1009.43,CO,972998839,973037166,48.58,973026000,30.63,973058400,972975600,9.67,205,7.28
0,2000-11-30 00:00:00,55.53,975618000,24.74,975571200,0.02,Costilla,17.92,0.47,975567600Costilla,37.25221743,-105.4708121,0.15,,0,0,,0,,1018.26,CO,975592703,975627977,55.53,975618000,25.89,975650400,975567600,9.8,11,1.02
0,2000-12-31 00:00:00,39.32,978303600,-1.83,978256800,0.03,Costilla,8.02,0.59,978246000Costilla,37.25221743,-105.4708121,0.19,,0,0,,0,,1026.7,CO,978272222,978306943,39.32,978303600,6.56,978256800,978246000,9.87,7,0.87
0,2001-01-31 00:00:00,26.53,980982000,-6.82,980949600,0.22,Costilla,6.52,0.72,980924400Costilla,37.25221743,-105.4708121,0.23,,0,0,,0,,1025.9,CO,980949997,980987201,26.53,980982000,3.31,980949600,980924400,9.6,271,1.93
0,2001-02-28 00:00:00,38.43,983404800,13.6,983422800,0.71,Costilla,21.86,0.86,983343600Costilla,37.25221743,-105.4708121,0.17,2.67,0.0087,0.0291,983383200,0.65,snow,1017.72,CO,983367314,983408181,38.43,983404800,21.56,983419200,983343600,6.05,166,3.07
0,2001-03-31 00:00:00,64.49,986083200,19.71,986043600,0.16,Costilla,21.37,0.51,986022000Costilla,37.25221743,-105.4708121,0.23,,0,0,,0,,1014.39,CO,986042964,986088279,64.49,986083200,25.03,986040000,986022000,9.98,148,0.87
0,2001-04-30 00:00:00,77.88,988675200,30.68,988632000,0.09,Costilla,24.37,0.34,988610400Costilla,37.25221743,-105.4708121,0.25,,0.0001,0.0013,988614000,0.02,rain,1015.22,CO,988632533,988681895,77.88,988675200,35.43,988632000,988610400,9.72,279,2.49
0,2001-05-31 00:00:00,78.83,991353600,41.65,991310400,0.12,Costilla,39.73,0.52,991288800Costilla,37.25221743,-105.4708121,0.32,,0.0001,0.0014,991306800,0.03,rain,1015.74,CO,991309486,991361847,80.41,991353600,41.65,991310400,991288800,9.68,153,1.6
0,2001-06-30 00:00:00,82.84,993934800,54.73,993902400,0.08,Costilla,45.91,0.45,993880800Costilla,37.25221743,-105.4708121,0.34,,0.0005,0.0116,993938400,0.53,rain,1016.24,CO,993901567,993954447,85.77,993934800,54.73,993902400,993880800,9.99,106,2.67
0,2001-07-31 00:00:00,83.2,996613200,61.49,996584400,0.35,Costilla,54.04,0.56,996559200Costilla,37.25221743,-105.4708121,0.39,,0.0032,0.02,996559200,0.6,rain,1011.46,CO,996581237,996631897,85.52,996613200,61.49,996584400,996559200,9.65,217,4.2
0,2001-08-31 00:00:00,72.99,999302400,50.06,999259200,0.36,Costilla,47.75,0.66,999237600Costilla,37.25221743,-105.4708121,0.43,,0.0101,0.1555,999295200,0.82,rain,1015.39,CO,999261208,999308020,72.99,999302400,50.06,999259200,999237600,9.85,54,0.48
0,2001-09-30 00:00:00,73.19,1001880000,40.57,1001854800,0.2,Costilla,38.58,0.48,1001829600Costilla,37.25221743,-105.4708121,0.44,,0,0,,0,,1021.83,CO,1001854679,1001897272,73.19,1001880000,42.69,1001854800,1001829600,9.96,55,0.27
0,2001-10-31 00:00:00,68.38,1004554800,41,1004594400,0.18,Costilla,31.15,0.4,1004511600Costilla,37.25221743,-105.4708121,0.48,,0,0,,0,,1008.7,CO,1004534822,1004573183,68.38,1004554800,43.23,1004594400,1004511600,9.77,234,8.77
0,2001-11-30 00:00:00,31.71,1007154000,5.91,1007110800,0.15,Costilla,12.36,0.57,1007103600Costilla,37.25221743,-105.4708121,0.49,,0,0,,0,,1013.99,CO,1007128689,1007163980,40.35,1007154000,17.05,1007118000,1007103600,9.72,248,7.66
0,2001-12-31 00:00:00,26.7,1009839600,7.91,1009857600,0.57,Costilla,16.4,0.85,1009782000Costilla,37.25221743,-105.4708121,0.55,0.078,0.0003,0.0023,1009836000,0.07,snow,1020.93,CO,1009808220,1009842932,26.7,1009839600,14.74,1009810800,1009782000,6.64,231,1.73
0,2002-01-31 00:00:00,23.94,1012521600,-6.53,1012543200,0.49,Costilla,6.53,0.73,1012460400Costilla,37.25221743,-105.4708121,0.61,0.978,0.0022,0.0195,1012464000,0.6,snow,1022.83,CO,1012486010,1012523183,23.94,1012521600,2.2,1012543200,1012460400,7.32,280,1.59
0,2002-02-28 00:00:00,51.53,1014930000,1.45,1014890400,0.1,Costilla,2.04,0.38,1014879600Costilla,37.25221743,-105.4708121,0.55,0.118,0.0003,0.0074,1014940800,0.37,snow,1011,CO,1014903335,1014944166,51.53,1014930000,9.63,1014901200,1014879600,9.54,231,2.86
