,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,30.81,949356000,-2.8,949320000,0.23,Custer,8.1,0.64,949302000Custer,38.108415,-105.2848065,0.85,,0,0,,0,,1022.54,CO,949327690,949364604,34.55,949356000,5.69,949316400,949302000,9.35,341,2.58
0,2000-02-29 00:00:00,51,951858000,25.09,951832800,0.35,Custer,23.23,0.52,951807600Custer,38.108415,-105.2848065,0.83,,0,0,,0,,1013.38,CO,951831289,951872111,51,951858000,31.59,951890400,951807600,9.34,338,4.95
0,2000-03-31 00:00:00,31.96,954547200,18.75,954514800,0.96,Custer,25.82,0.87,954486000Custer,38.108415,-105.2848065,0.86,1.674,0.0074,0.024,954525600,0.62,snow,1023.64,CO,954506868,954552277,34.89,954547200,26.92,954568800,954486000,4.11,359,7.39
0,2000-04-30 00:00:00,58.06,957139200,30.05,957103200,0.84,Custer,33.83,0.71,957074400Custer,38.108415,-105.2848065,0.88,,0.0152,0.0499,957092400,0.71,rain,1018.88,CO,957096377,957145958,58.06,957139200,38.94,957099600,957074400,9.33,349,11.17
0,2000-05-31 00:00:00,80.98,959810400,50.11,959770800,0.23,Custer,44.28,0.5,959752800Custer,38.108415,-105.2848065,0.93,,0,0,,0,,1008.24,CO,959773291,959825957,83.15,959810400,50.11,959770800,959752800,8.94,152,5.18
0,2000-06-30 00:00:00,79.6,962395200,51.98,962366400,0.2,Custer,43.8,0.47,962344800Custer,38.108415,-105.2848065,0.96,,0,0,,0,,1013.49,CO,962365377,962418554,81.22,962395200,51.98,962366400,962344800,9.67,203,3.04
0,2000-07-31 00:00:00,82.78,965088000,51.53,965044800,0.09,Custer,43.86,0.46,965023200Custer,38.108415,-105.2848065,0.03,,0.0001,0.0031,965088000,0.1,rain,1018.4,CO,965045092,965095952,86.09,965088000,51.53,965044800,965023200,9.57,52,2.83
0,2000-08-31 00:00:00,75.59,967766400,54.41,967723200,0.42,Custer,48.78,0.6,967701600Custer,38.108415,-105.2848065,0.09,,0.0012,0.0149,967770000,0.56,rain,1012.52,CO,967725124,967772004,75.59,967766400,54.41,967723200,967701600,9.59,101,1.2
0,2000-09-30 00:00:00,79.02,970351200,43.65,970318800,0.17,Custer,36.98,0.44,970293600Custer,38.108415,-105.2848065,0.1,,0,0,,0,,1011.51,CO,970318663,970361189,79.02,970351200,46.29,970318800,970293600,10,283,5.41
0,2000-10-31 00:00:00,50.52,973022400,27.57,973058400,0.32,Custer,27.98,0.61,972975600Custer,38.108415,-105.2848065,0.15,,0.0003,0.0026,973029600,0.08,rain,1008.39,CO,972998876,973037039,50.52,973022400,34.05,973058400,972975600,9.14,224,4.03
0,2000-11-30 00:00:00,52.9,975610800,21.61,975578400,0.11,Custer,17.03,0.47,975567600Custer,38.108415,-105.2848065,0.15,,0,0,,0,,1017.94,CO,975592792,975627799,52.9,975610800,24.99,975574800,975567600,9.52,341,1.96
0,2000-12-31 00:00:00,35.6,978292800,8.25,978271200,0.13,Custer,10.12,0.66,978246000Custer,38.108415,-105.2848065,0.19,,0,0,,0,,1026.01,CO,978272321,978306755,35.6,978292800,8.25,978271200,978246000,9.46,35,1.12
0,2001-01-31 00:00:00,21.66,980974800,-3.94,980946000,0.26,Custer,6.27,0.68,980924400Custer,38.108415,-105.2848065,0.23,,0,0,,0,,1024.58,CO,980950053,980987055,26.52,980974800,4.15,980949600,980924400,9.49,293,1.37
0,2001-02-28 00:00:00,38.06,983404800,7.92,983350800,0.77,Custer,18.79,0.85,983343600Custer,38.108415,-105.2848065,0.17,1.214,0.0033,0.0121,983361600,0.53,snow,1019.5,CO,983367311,983408095,38.06,983404800,16.45,983358000,983343600,7.01,142,2.68
0,2001-03-31 00:00:00,63.24,986083200,24.34,986022000,0.43,Custer,25.16,0.63,986022000Custer,38.108415,-105.2848065,0.23,,0.0005,0.0057,986058000,0.26,rain,1015.2,CO,986042891,986088263,63.24,986083200,28.5,986040000,986022000,9.7,87,1.95
0,2001-04-30 00:00:00,76.54,988675200,37.75,988632000,0.18,Custer,26.6,0.34,988610400Custer,38.108415,-105.2848065,0.25,,0,0,,0,,1014.15,CO,988632395,988681943,76.54,988675200,40.44,988632000,988610400,9.68,277,2.17
0,2001-05-31 00:00:00,75.93,991353600,42.23,991310400,0.2,Custer,43.2,0.6,991288800Custer,38.108415,-105.2848065,0.32,,0.0008,0.0139,991314000,0.55,rain,1016.6,CO,991309297,991361947,75.93,991353600,42.23,991310400,991288800,9.42,40,1.84
0,2001-06-30 00:00:00,84.11,993934800,55.6,993902400,0.2,Custer,46.51,0.43,993880800Custer,38.108415,-105.2848065,0.34,,0.0008,0.0202,993938400,0.6,rain,1014.37,CO,993901370,993954555,87.49,993934800,55.6,993902400,993880800,9.99,153,3.36
0,2001-07-31 00:00:00,84.31,996609600,66.1,996642000,0.38,Custer,52.59,0.47,996559200Custer,38.108415,-105.2848065,0.39,,0.0014,0.0124,996620400,0.54,rain,1008.82,CO,996581078,996631967,87.14,996609600,66.1,996642000,996559200,9.42,232,4.43
0,2001-08-31 00:00:00,73.85,999302400,53.05,999262800,0.43,Custer,49.64,0.66,999237600Custer,38.108415,-105.2848065,0.43,,0.014,0.0749,999295200,0.76,rain,1014.1,CO,999261111,999308027,73.85,999302400,53.05,999262800,999237600,9.83,165,1.49
0,2001-09-30 00:00:00,73.56,1001880000,44,1001854800,0.2,Custer,39.17,0.48,1001829600Custer,38.108415,-105.2848065,0.44,,0,0,,0,,1021.81,CO,1001854649,1001897213,73.56,1001880000,45.66,1001854800,1001829600,9.95,344,1.56
