,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,33.27,949363200,5.26,949323600,0.7,Delta,13.99,0.72,949302000Delta,38.8365959,-107.8409976,0.85,0.562,0.002,0.0089,949370400,0.48,snow,1021.12,CO,949328392,949365129,33.27,949363200,15.11,949309200,949302000,8.35,74,2.26
0,2000-02-29 00:00:00,44.55,951865200,23.81,951890400,0.42,Delta,25.07,0.66,951807600Delta,38.8365959,-107.8409976,0.83,,0.0012,0.0197,951843600,0.6,rain,1016.65,CO,951831938,951872689,46.05,951865200,28.75,951832800,951807600,9.75,267,1.86
0,2000-03-31 00:00:00,40.71,954547200,25.12,954507600,0.87,Delta,26.26,0.73,954486000Delta,38.8365959,-107.8409976,0.86,,0.0077,0.0479,954525600,0.71,rain,1015.85,CO,954507455,954552916,43.91,954547200,30.35,954507600,954486000,8.44,11,4.21
0,2000-04-30 00:00:00,67.35,957139200,39.99,957096000,0.46,Delta,29.86,0.45,957074400Delta,38.8365959,-107.8409976,0.88,,0.0001,0.0025,957132000,0.08,rain,1016.39,CO,957096908,957146653,67.35,957139200,43.69,957099600,957074400,9.91,335,6.81
0,2000-05-31 00:00:00,83.8,959810400,52.94,959770800,0,Delta,26.08,0.19,959752800Delta,38.8365959,-107.8409976,0.93,,0,0,,0,,1004.42,CO,959773779,959826697,87.81,959810400,52.94,959770800,959752800,9.91,221,6.12
0,2000-06-30 00:00:00,82.2,962395200,52.46,962366400,0.11,Delta,40.08,0.37,962344800Delta,38.8365959,-107.8409976,0.96,,0.0001,0.002,962427600,0.05,rain,1010.73,CO,962365857,962419301,85.37,962395200,52.46,962366400,962344800,10,163,2.03
0,2000-07-31 00:00:00,87.61,965088000,52.79,965044800,0.02,Delta,39.18,0.35,965023200Delta,38.8365959,-107.8409976,0.03,,0.0003,0.0066,965088000,0.32,rain,1015.63,CO,965045606,965096665,91.89,965088000,52.79,965044800,965023200,9.96,135,1.59
0,2000-08-31 00:00:00,73.59,967755600,52.68,967726800,0.42,Delta,46.18,0.58,967701600Delta,38.8365959,-107.8409976,0.09,,0.0057,0.0788,967712400,0.76,rain,1012.09,CO,967725694,967772662,73.59,967755600,52.68,967726800,967701600,9.91,157,2.21
0,2000-09-30 00:00:00,76.36,970351200,44.57,970311600,0.14,Delta,40.08,0.55,970293600Delta,38.8365959,-107.8409976,0.1,,0,0,,0,,1014.38,CO,970319290,970361788,76.36,970351200,45.44,970318800,970293600,10,259,2.06
