,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.53,949363200,15.16,949316400,0.87,Dolores,21.72,0.8,949302000Dolores,37.70675433,-108.582805,0.85,2.343,0.009,0.1384,949384800,0.81,snow,1020.59,CO,949328433,949365445,36.94,949363200,23.16,949302000,949302000,7.42,92,1.96
0,2000-02-29 00:00:00,46.54,951861600,25.45,951836400,0.32,Dolores,25.77,0.67,951807600Dolores,37.70675433,-108.582805,0.83,,0.0005,0.0059,951836400,0.27,rain,1018.02,CO,951832061,951872922,49.02,951861600,25.76,951832800,951807600,9.83,245,0.64
0,2000-03-31 00:00:00,40.64,954547200,28.29,954522000,0.94,Dolores,31.08,0.8,954486000Dolores,37.70675433,-108.582805,0.86,,0.0114,0.0284,954565200,0.65,rain,1013.71,CO,954507672,954553055,44.33,954547200,34.28,954496800,954486000,7.82,25,5.36
0,2000-04-30 00:00:00,70.09,957139200,40.8,957096000,0.28,Dolores,32.1,0.44,957074400Dolores,37.70675433,-108.582805,0.88,,0.0007,0.0178,957128400,0.59,rain,1015.12,CO,957097212,957146706,70.09,957139200,43.32,957096000,957074400,9.97,344,5.17
0,2000-05-31 00:00:00,85.03,959814000,50.14,959770800,0.01,Dolores,27.32,0.2,959752800Dolores,37.70675433,-108.582805,0.93,,0,0,,0,,1006.33,CO,959774150,959826681,88.94,959814000,50.14,959770800,959752800,10,216,4.14
0,2000-06-30 00:00:00,83.63,962395200,55.44,962366400,0.17,Dolores,47.79,0.46,962344800Dolores,37.70675433,-108.582805,0.96,,0.0004,0.0078,962427600,0.4,rain,1011.97,CO,962366241,962419274,86.2,962395200,55.44,962366400,962344800,10,132,1.75
0,2000-07-31 00:00:00,87.58,965088000,54.99,965044800,0.02,Dolores,45.59,0.42,965023200Dolores,37.70675433,-108.582805,0.03,,0,0,,0,,1016.4,CO,965045938,965096689,91.47,965088000,54.99,965044800,965023200,9.99,151,2.04
0,2000-08-31 00:00:00,75.58,967755600,53.65,967726800,0.42,Dolores,47.68,0.57,967701600Dolores,37.70675433,-108.582805,0.09,,0.0003,0.0081,967716000,0.42,rain,1012.99,CO,967725941,967772771,75.58,967755600,53.65,967726800,967701600,9.98,133,1.44
0,2000-09-30 00:00:00,78.41,970358400,45.01,970318800,0.07,Dolores,41.19,0.52,970293600Dolores,37.70675433,-108.582805,0.1,,0,0,,0,,1014.98,CO,970319448,970361986,80.03,970358400,47.34,970318800,970293600,10,284,1.31
