,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,34.08,949356000,7.31,949312800,0.16,Douglas,8.48,0.54,949302000Douglas,39.406145,-104.9195347,0.85,,0,0,,0,,1021.47,CO,949327763,949364356,38.64,949356000,11.73,949320000,949302000,9.77,165,1.77
0,2000-02-29 00:00:00,53.09,951865200,28.69,951832800,0.43,Douglas,22.99,0.47,951807600Douglas,39.406145,-104.9195347,0.83,,0,0,,0,,1012.36,CO,951831266,951871959,53.09,951865200,35.21,951890400,951807600,9.79,347,4.46
0,2000-03-31 00:00:00,32.91,954547200,18.16,954507600,0.95,Douglas,26.38,0.89,954486000Douglas,39.406145,-104.9195347,0.86,2.289,0.0105,0.0723,954525600,0.75,snow,1025.9,CO,954506735,954552234,36.08,954547200,27.47,954568800,954486000,3.61,2,5.31
0,2000-04-30 00:00:00,57.95,957139200,28.74,957099600,0.88,Douglas,33.86,0.74,957074400Douglas,39.406145,-104.9195347,0.88,,0.0101,0.0531,957074400,0.72,rain,1021.74,CO,957096143,957146017,57.95,957139200,38.3,957092400,957074400,9.34,358,13.09
0,2000-05-31 00:00:00,80.93,959810400,52,959763600,0.42,Douglas,52.07,0.66,959752800Douglas,39.406145,-104.9195347,0.93,,0,0,,0,,1007.92,CO,959772977,959826096,81.2,959810400,52,959763600,959752800,8.47,124,2.03
0,2000-06-30 00:00:00,82.54,962398800,54.1,962362800,0.32,Douglas,46.79,0.48,962344800Douglas,39.406145,-104.9195347,0.96,,0,0,,0,,1012.07,CO,962365049,962418707,85.44,962398800,54.1,962362800,962344800,9.84,172,7.12
0,2000-07-31 00:00:00,84.52,965088000,54.55,965044800,0.14,Douglas,44.44,0.43,965023200Douglas,39.406145,-104.9195347,0.03,,0.0001,0.0033,965088000,0.12,rain,1017.9,CO,965044825,965096044,88.24,965088000,54.55,965044800,965023200,9.81,75,1.82
0,2000-08-31 00:00:00,73.46,967766400,54.08,967723200,0.62,Douglas,51.89,0.74,967701600Douglas,39.406145,-104.9195347,0.09,,0.0064,0.0841,967770000,0.77,rain,1013.4,CO,967724956,967771997,73.46,967766400,54.08,967723200,967701600,9.65,100,2.19
0,2000-09-30 00:00:00,78.3,970344000,49.85,970318800,0.44,Douglas,39.8,0.46,970293600Douglas,39.406145,-104.9195347,0.1,,0,0,,0,,1010.79,CO,970318599,970361077,78.3,970344000,49.85,970318800,970293600,10,242,4.14
