,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,25.25,949356000,-6.35,949327200,0.53,Eagle,8.58,0.69,949302000Eagle,39.65344946,-106.6447736,0.85,0.37,0.0012,0.0108,949370400,0.52,snow,1021.4,CO,949328208,949364740,29.15,949356000,6.61,949327200,949302000,9.19,45,1.97
0,2000-02-29 00:00:00,42.68,951858000,21.8,951818400,0.33,Eagle,20.84,0.66,951807600Eagle,39.65344946,-106.6447736,0.83,0.237,0.0014,0.0312,951843600,0.66,snow,1016.21,CO,951831692,951872361,44.46,951858000,23.52,951832800,951807600,9.76,257,1.86
0,2000-03-31 00:00:00,36.9,954547200,21.59,954511200,0.76,Eagle,22.84,0.75,954486000Eagle,39.65344946,-106.6447736,0.86,0.838,0.0046,0.0416,954532800,0.69,snow,1017.22,CO,954507140,954552657,36.9,954547200,26.26,954511200,954486000,8.59,96,1.62
0,2000-04-30 00:00:00,59.12,957139200,36.21,957092400,0.65,Eagle,29.67,0.53,957074400Eagle,39.65344946,-106.6447736,0.88,,0.0001,0.0033,957132000,0.12,rain,1016.79,CO,957096528,957146460,59.12,957139200,40.55,957099600,957074400,9.8,354,4.73
0,2000-05-31 00:00:00,79.79,959810400,43.48,959770800,0.02,Eagle,26.6,0.25,959752800Eagle,39.65344946,-106.6447736,0.93,,0,0,,0,,1005.23,CO,959773347,959826554,82.2,959810400,46.51,959770800,959752800,9.46,232,6.75
0,2000-06-30 00:00:00,79.67,962402400,44.42,962362800,0.13,Eagle,36.52,0.39,962344800Eagle,39.65344946,-106.6447736,0.96,,0,0,,0,,1011.75,CO,962365416,962419168,81.94,962402400,46.59,962362800,962344800,10,190,1.61
0,2000-07-31 00:00:00,83.8,965088000,47.82,965044800,0.03,Eagle,34.17,0.34,965023200Eagle,39.65344946,-106.6447736,0.03,,0.0008,0.02,965088000,0.6,rain,1017.06,CO,965045204,965096492,87.62,965088000,47.82,965044800,965023200,9.96,92,1.35
0,2000-08-31 00:00:00,70.87,967762800,45.86,967723200,0.43,Eagle,44.47,0.62,967701600Eagle,39.65344946,-106.6447736,0.09,,0.0072,0.0845,967712400,0.77,rain,1012.6,CO,967725355,967772426,70.87,967762800,47.58,967726800,967701600,9.91,227,2.51
0,2000-09-30 00:00:00,72.49,970351200,39.65,970311600,0.2,Eagle,36.71,0.55,970293600Eagle,39.65344946,-106.6447736,0.1,,0,0,,0,,1014.52,CO,970319018,970361487,72.49,970351200,41.6,970318800,970293600,10,253,3.97
0,2000-10-31 00:00:00,33.69,973022400,23.19,973054800,0.59,Eagle,25.94,0.7,972975600Eagle,39.65344946,-106.6447736,0.15,,0.0023,0.0152,973029600,0.56,rain,1007.54,CO,972999357,973037211,40.33,973022400,31.03,973058400,972975600,9.06,226,4.28
0,2000-11-30 00:00:00,33.84,975618000,16.09,975650400,0.35,Eagle,16.79,0.56,975567600Eagle,39.65344946,-106.6447736,0.15,,0,0,,0,,1020.26,CO,975593369,975627875,40.52,975618000,16.09,975650400,975567600,9.6,278,5.61
0,2000-12-31 00:00:00,22.18,978303600,-2.03,978260400,0.21,Eagle,9.09,0.7,978246000Eagle,39.65344946,-106.6447736,0.19,,0,0,,0,,1027.43,CO,978272916,978306814,30.04,978303600,8.75,978271200,978246000,9.88,350,1.26
