,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.67,949356000,4.33,949323600,0.12,Elbert,8.71,0.55,949302000Elbert,39.27791283,-104.2462262,0.85,,0,0,,0,,1021.85,CO,949327585,949364211,39.89,949356000,11.03,949320000,949302000,9.75,210,0.75
0,2000-02-29 00:00:00,54.16,951865200,28.46,951832800,0.41,Elbert,24.07,0.49,951807600Elbert,39.27791283,-104.2462262,0.83,,0,0,,0,,1012.29,CO,951831098,951871804,54.16,951865200,33.46,951890400,951807600,9.72,354,6.31
0,2000-03-31 00:00:00,36.29,954547200,18.45,954507600,0.95,Elbert,27.51,0.9,954486000Elbert,39.27791283,-104.2462262,0.86,1.938,0.0092,0.0315,954525600,0.66,snow,1026.07,CO,954506578,954552068,36.29,954547200,28.46,954565200,954486000,3.52,8,7.72
0,2000-04-30 00:00:00,57.42,957139200,28.47,957092400,0.85,Elbert,34.88,0.75,957074400Elbert,39.27791283,-104.2462262,0.88,,0.0118,0.0604,957074400,0.73,rain,1021.43,CO,957095996,957145840,57.42,957139200,38.72,957092400,957074400,9.37,359,15.84
0,2000-05-31 00:00:00,81.11,959814000,53.49,959763600,0.44,Elbert,53.12,0.68,959752800Elbert,39.27791283,-104.2462262,0.93,,0,0,,0,,1008.21,CO,959772838,959825911,81.75,959814000,53.49,959763600,959752800,8.14,137,4.41
0,2000-06-30 00:00:00,82.75,962398800,54.89,962366400,0.25,Elbert,48.01,0.49,962344800Elbert,39.27791283,-104.2462262,0.96,,0,0,,0,,1012.27,CO,962364911,962418521,85.56,962398800,54.89,962366400,962344800,9.78,175,6.22
0,2000-07-31 00:00:00,84.7,965088000,54.71,965044800,0.12,Elbert,46.64,0.46,965023200Elbert,39.27791283,-104.2462262,0.03,,0,0,,0,,1017.87,CO,965044681,965095864,88.33,965088000,54.71,965044800,965023200,9.73,70,2.07
0,2000-08-31 00:00:00,73.82,967766400,54.88,967723200,0.6,Elbert,53.09,0.73,967701600Elbert,39.27791283,-104.2462262,0.09,,0.0059,0.0666,967770000,0.74,rain,1013.04,CO,967724803,967771828,73.82,967766400,54.88,967723200,967701600,9.58,70,2.53
0,2000-09-30 00:00:00,78.63,970344000,50.04,970318800,0.32,Elbert,39.96,0.45,970293600Elbert,39.27791283,-104.2462262,0.1,,0,0,,0,,1010.37,CO,970318435,970360918,80.03,970344000,50.04,970318800,970293600,10,256,4.15
0,2000-10-31 00:00:00,48.71,973022400,30.49,972997200,0.51,Elbert,34.39,0.78,972975600Elbert,39.27791283,-104.2462262,0.15,,0.0018,0.0107,973026000,0.52,rain,1008.37,CO,972998743,973036674,48.71,973022400,33.43,972993600,972975600,8.18,328,3.27
0,2000-11-30 00:00:00,52.43,975610800,18.56,975571200,0.15,Elbert,16.54,0.47,975567600Elbert,39.27791283,-104.2462262,0.15,,0,0,,0,,1017.88,CO,975592731,975627361,52.43,975610800,22.93,975574800,975567600,9.75,318,7.53
0,2000-12-31 00:00:00,33.14,978289200,6.5,978271200,0.39,Elbert,16.82,0.78,978246000Elbert,39.27791283,-104.2462262,0.19,,0,0,,0,,1025.56,CO,978272274,978306304,33.14,978289200,12.83,978271200,978246000,8.46,179,1.54
0,2001-01-31 00:00:00,24.72,980974800,5.02,980946000,0.32,Elbert,8.37,0.62,980924400Elbert,39.27791283,-104.2462262,0.23,,0,0,,0,,1023,CO,980949946,980986664,29.56,980974800,11.09,980949600,980924400,9.72,215,2.38
0,2001-02-28 00:00:00,39.56,983404800,5.22,983343600,0.74,Elbert,18.11,0.81,983343600Elbert,39.27791283,-104.2462262,0.17,0.44,0.0017,0.0206,983386800,0.6,snow,1019.9,CO,983367121,983407787,39.56,983404800,14.34,983358000,983343600,7.56,170,3.34
