,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.14,949363200,3.99,949323600,0.66,Garfield,14.15,0.7,949302000Garfield,39.5075545,-107.6535056,0.85,0.318,0.0013,0.0073,949384800,0.36,snow,1022.25,CO,949328431,949365000,35.14,949363200,13.73,949312800,949302000,8.54,79,1.22
0,2000-02-29 00:00:00,44.59,951865200,17.49,951832800,0.42,Garfield,24.28,0.64,951807600Garfield,39.5075545,-107.6535056,0.83,,0.0012,0.0242,951843600,0.63,rain,1016.64,CO,951831926,951872611,47.56,951865200,24.48,951832800,951807600,9.78,267,4.41
0,2000-03-31 00:00:00,42.85,954547200,25.02,954507600,0.81,Garfield,26.54,0.71,954486000Garfield,39.5075545,-107.6535056,0.86,,0.0051,0.0381,954525600,0.68,rain,1017.16,CO,954507387,954552894,47.47,954547200,31.18,954486000,954486000,9.1,18,2.96
0,2000-04-30 00:00:00,69.89,957139200,38.16,957099600,0.5,Garfield,29.92,0.47,957074400Garfield,39.5075545,-107.6535056,0.88,,0.0002,0.0044,957132000,0.18,rain,1017.8,CO,957096787,957146685,69.89,957139200,43.4,957099600,957074400,9.95,314,9.22
0,2000-05-31 00:00:00,84.26,959810400,51.3,959770800,0,Garfield,25.32,0.19,959752800Garfield,39.5075545,-107.6535056,0.93,,0,0,,0,,1004.48,CO,959773615,959826770,88.6,959810400,51.3,959770800,959752800,9.92,237,6.1
0,2000-06-30 00:00:00,83.83,962402400,50.49,962366400,0.04,Garfield,38.53,0.36,962344800Garfield,39.5075545,-107.6535056,0.96,,0,0,,0,,1010.89,CO,962365686,962419382,87.49,962402400,50.49,962366400,962344800,10,180,1.36
0,2000-07-31 00:00:00,89.97,965088000,52.26,965044800,0.01,Garfield,38.02,0.35,965023200Garfield,39.5075545,-107.6535056,0.03,,0.0004,0.0084,965088000,0.44,rain,1016.03,CO,965045467,965096714,95.05,965088000,52.26,965044800,965023200,9.86,96,1.91
0,2000-08-31 00:00:00,75.58,967755600,51.31,967716000,0.35,Garfield,46.86,0.59,967701600Garfield,39.5075545,-107.6535056,0.09,,0.0095,0.1155,967712400,0.8,rain,1012.25,CO,967725606,967772659,75.58,967755600,51.31,967716000,967701600,9.7,210,3.05
0,2000-09-30 00:00:00,76.74,970351200,42.46,970322400,0.15,Garfield,39.49,0.56,970293600Garfield,39.5075545,-107.6535056,0.1,,0,0,,0,,1014.82,CO,970319257,970361731,76.74,970351200,43.82,970318800,970293600,10,248,3.15
