,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,31.83,949352400,3.38,949316400,0.26,Grand,8.76,0.59,949302000Grand,40.03600688,-105.9739819,0.85,,0,0,,0,,1020.32,CO,949328096,949364530,35.95,949352400,10.75,949327200,949302000,9.69,157,2.02
0,2000-02-29 00:00:00,51.22,951858000,23.12,951822000,0.34,Grand,19.98,0.51,951807600Grand,40.03600688,-105.9739819,0.83,,0.0008,0.0183,951843600,0.59,rain,1012.52,CO,951831551,951872180,51.22,951858000,30.35,951832800,951807600,9.86,345,2.61
0,2000-03-31 00:00:00,31.08,954547200,20.81,954504000,0.83,Grand,25.1,0.86,954486000Grand,40.03600688,-105.9739819,0.86,2.338,0.0108,0.0534,954525600,0.72,snow,1022.05,CO,954506965,954552510,35.2,954547200,26.43,954511200,954486000,5.98,16,0.1
0,2000-04-30 00:00:00,56.6,957139200,32.24,957099600,0.79,Grand,31.72,0.64,957074400Grand,40.03600688,-105.9739819,0.88,,0.0062,0.0531,957078000,0.72,rain,1019.21,CO,957096322,957146343,56.6,957139200,39.19,957099600,957074400,9.53,359,8.85
0,2000-05-31 00:00:00,79.08,959810400,50.46,959770800,0.3,Grand,45.27,0.52,959752800Grand,40.03600688,-105.9739819,0.93,,0,0,,0,,1006.71,CO,959773117,959826462,79.08,959810400,50.46,959770800,959752800,8.57,240,0.97
0,2000-06-30 00:00:00,82.13,962402400,50.85,962362800,0.22,Grand,42.7,0.45,962344800Grand,40.03600688,-105.9739819,0.96,,0,0,,0,,1011.38,CO,962365182,962419080,85.2,962402400,50.85,962362800,962344800,9.97,164,5.14
0,2000-07-31 00:00:00,83.63,965088000,52.89,965044800,0.08,Grand,40.55,0.39,965023200Grand,40.03600688,-105.9739819,0.03,,0.0005,0.0109,965088000,0.52,rain,1017.45,CO,965044988,965096386,87.22,965088000,52.89,965044800,965023200,9.97,111,1.39
0,2000-08-31 00:00:00,69.67,967766400,48.91,967726800,0.48,Grand,48.49,0.71,967701600Grand,40.03600688,-105.9739819,0.09,,0.0062,0.0757,967770000,0.76,rain,1013.37,CO,967725169,967772290,69.67,967766400,49.86,967726800,967701600,9.88,140,1.72
0,2000-09-30 00:00:00,75.21,970351200,45.32,970311600,0.32,Grand,39.02,0.5,970293600Grand,40.03600688,-105.9739819,0.1,,0,0,,0,,1011.85,CO,970318864,970361319,75.21,970351200,47.8,970318800,970293600,10,237,4.23
