,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,17.48,949363200,-12.64,949323600,0.61,Gunnison,0.99,0.69,949302000Gunnison,38.66048891,-106.9259132,0.85,0.113,0.0003,0.0018,949356000,0.04,snow,1021.4,CO,949328151,949364931,22.8,949363200,-3.01,949316400,949302000,9.15,35,2.24
0,2000-02-29 00:00:00,40.54,951865200,18.04,951829200,0.3,Gunnison,21.02,0.66,951807600Gunnison,38.66048891,-106.9259132,0.83,0.223,0.0012,0.0233,951843600,0.62,snow,1016.18,CO,951831710,951872478,40.54,951865200,22.68,951832800,951807600,9.78,265,2.57
0,2000-03-31 00:00:00,30.04,954547200,17.78,954511200,0.9,Gunnison,22.96,0.77,954486000Gunnison,38.66048891,-106.9259132,0.86,1.291,0.006,0.0381,954525600,0.68,snow,1016.16,CO,954507242,954552690,34.47,954547200,26.98,954496800,954486000,7.3,24,3.2
0,2000-04-30 00:00:00,57.05,957139200,37.19,957157200,0.58,Gunnison,29.76,0.52,957074400Gunnison,38.66048891,-106.9259132,0.88,,0.0034,0.0281,957092400,0.64,rain,1015.77,CO,957096709,957146414,57.05,957139200,40.93,957157200,957074400,9.83,351,2.88
0,2000-05-31 00:00:00,79.83,959810400,39.14,959770800,0,Gunnison,23.96,0.25,959752800Gunnison,38.66048891,-106.9259132,0.93,,0,0,,0,,1005.2,CO,959773590,959826446,82.79,959810400,43.28,959770800,959752800,9.92,236,5.62
0,2000-06-30 00:00:00,78.53,962395200,45.99,962362800,0.23,Gunnison,36.9,0.4,962344800Gunnison,38.66048891,-106.9259132,0.96,,0,0,,0,,1011.61,CO,962365670,962419049,80.15,962395200,47.75,962362800,962344800,10,201,1.5
0,2000-07-31 00:00:00,81.78,965088000,39.74,965048400,0.02,Gunnison,36.56,0.42,965023200Gunnison,38.66048891,-106.9259132,0.03,,0.0004,0.0098,965088000,0.5,rain,1016.81,CO,965045410,965096421,84.89,965088000,44.27,965048400,965023200,9.91,132,1.31
0,2000-08-31 00:00:00,69.23,967755600,46.62,967716000,0.45,Gunnison,43.22,0.6,967701600Gunnison,38.66048891,-106.9259132,0.09,,0.0015,0.0156,967773600,0.57,rain,1012.53,CO,967725485,967772431,69.23,967755600,48.52,967723200,967701600,9.92,121,1.42
0,2000-09-30 00:00:00,70.78,970351200,40.18,970318800,0.16,Gunnison,35.35,0.55,970293600Gunnison,38.66048891,-106.9259132,0.1,,0,0,,0,,1014.56,CO,970319067,970361572,70.78,970351200,40.18,970318800,970293600,10,270,3.73
0,2000-10-31 00:00:00,37.65,973015200,22.76,973058400,0.52,Gunnison,24.19,0.63,972975600Gunnison,38.66048891,-106.9259132,0.15,,0.006,0.031,973000800,0.66,rain,1007.96,CO,972999325,973037378,42.11,973015200,28.42,973058400,972975600,9.49,224,3.95
0,2000-11-30 00:00:00,36.79,975621600,13.99,975596400,0.26,Gunnison,15.38,0.57,975567600Gunnison,38.66048891,-106.9259132,0.15,,0,0,,0,,1019.47,CO,975593274,975628105,42.32,975621600,18.89,975650400,975567600,9.82,286,3.56
0,2000-12-31 00:00:00,20.12,978303600,-4.74,978260400,0.06,Gunnison,0.07,0.6,978246000Gunnison,38.66048891,-106.9259132,0.19,,0,0,,0,,1026.79,CO,978272809,978307055,26.35,978303600,0.85,978274800,978246000,9.98,8,0.27
0,2001-01-31 00:00:00,22.77,980985600,-14.41,980949600,0.2,Gunnison,-2,0.66,980924400Gunnison,38.66048891,-106.9259132,0.23,,0,0,,0,,1026.67,CO,980950514,980987383,22.77,980985600,-4.71,980949600,980924400,9.85,16,0.65
0,2001-02-28 00:00:00,33.26,983390400,12.81,983358000,0.44,Gunnison,19.17,0.72,983343600Gunnison,38.66048891,-106.9259132,0.17,1.495,0.0055,0.0209,983394000,0.61,snow,1013.15,CO,983367732,983408462,36.5,983390400,19.57,983368800,983343600,9.54,282,0.98
0,2001-03-31 00:00:00,54.89,986083200,20.72,986047200,0.15,Gunnison,17.94,0.49,986022000Gunnison,38.66048891,-106.9259132,0.23,,0.0008,0.0098,986029200,0.5,rain,1013.98,CO,986043266,986088675,54.89,986083200,23.61,986043600,986022000,9.77,270,3.41
0,2001-04-30 00:00:00,70.35,988675200,29.98,988635600,0.09,Gunnison,23.07,0.36,988610400Gunnison,38.66048891,-106.9259132,0.25,,0,0,,0,,1015.32,CO,988632727,988682398,70.35,988675200,34.28,988635600,988610400,10,262,4.16
0,2001-05-31 00:00:00,75.76,991353600,37.73,991310400,0.09,Gunnison,26.78,0.35,991288800Gunnison,38.66048891,-106.9259132,0.32,,0.0022,0.0441,991314000,0.7,rain,1014.56,CO,991309596,991362435,75.76,991353600,37.73,991310400,991288800,10,327,2.17
0,2001-06-30 00:00:00,81.69,993942000,51.4,993902400,0.09,Gunnison,39.41,0.38,993880800Gunnison,38.66048891,-106.9259132,0.34,,0,0,,0,,1013.77,CO,993901663,993955050,84.72,993942000,51.4,993902400,993880800,10,151,0.67
0,2001-07-31 00:00:00,72.17,996606000,57.22,996577200,0.54,Gunnison,53.33,0.71,996559200Gunnison,38.66048891,-106.9259132,0.39,,0.0046,0.0254,996620400,0.63,rain,1012.63,CO,996581397,996632436,72.17,996606000,57.22,996577200,996559200,9.81,107,2.78
0,2001-08-31 00:00:00,70.64,999302400,45.79,999262800,0.41,Gunnison,41.35,0.58,999237600Gunnison,38.66048891,-106.9259132,0.43,,0.0279,0.1862,999259200,0.84,rain,1014.52,CO,999261471,999308455,70.64,999302400,46.87,999262800,999237600,9.97,134,1.36
0,2001-09-30 00:00:00,72.31,1001880000,38.9,1001858400,0.2,Gunnison,29.89,0.38,1001829600Gunnison,38.66048891,-106.9259132,0.44,,0,0,,0,,1019.86,CO,1001855053,1001897597,72.31,1001880000,40.79,1001854800,1001829600,9.87,73,2.97
0,2001-10-31 00:00:00,50.17,1004572800,32.29,1004594400,0.54,Gunnison,29.59,0.57,1004511600Gunnison,38.66048891,-106.9259132,0.48,,0.0033,0.0506,1004562000,0.71,rain,1009.4,CO,1004535308,1004573396,50.17,1004572800,35.41,1004594400,1004511600,9.73,234,3.3
0,2001-11-30 00:00:00,20.77,1007154000,8.59,1007114400,0.74,Gunnison,14.09,0.74,1007103600Gunnison,38.66048891,-106.9259132,0.49,0.465,0.0012,0.0066,1007139600,0.32,snow,1013.66,CO,1007129259,1007164108,28.79,1007154000,16.14,1007186400,1007103600,7.78,311,2.28
0,2001-12-31 00:00:00,21.1,1009839600,2.22,1009810800,0.62,Gunnison,12.52,0.76,1009782000Gunnison,38.66048891,-106.9259132,0.55,0.07,0.0002,0.0039,1009821600,0.15,snow,1017.64,CO,1009808807,1009843043,26.83,1009839600,9.39,1009810800,1009782000,8.82,359,0.94
0,2002-01-31 00:00:00,16.05,1012521600,-16.1,1012485600,0.36,Gunnison,-4.92,0.64,1012460400Gunnison,38.66048891,-106.9259132,0.61,0.321,0.0007,0.0085,1012464000,0.45,snow,1026.9,CO,1012486527,1012523365,16.05,1012521600,-6.38,1012489200,1012460400,9.7,269,1.66
0,2002-02-28 00:00:00,26.92,1014937200,-6.29,1014897600,0.35,Gunnison,0.25,0.46,1014879600Gunnison,38.66048891,-106.9259132,0.55,0.036,0.0001,0.0021,1014940800,0.06,snow,1009.68,CO,1014903754,1014944446,32.79,1014937200,3.08,1014901200,1014879600,9.92,229,0.72
0,2002-03-31 00:00:00,62.91,1017619200,18.79,1017583200,0.01,Gunnison,17.59,0.41,1017558000Gunnison,38.66048891,-106.9259132,0.61,,0,0,,0,,1015.63,CO,1017579291,1017624661,62.91,1017619200,24.34,1017579600,1017558000,10,265,1.39
0,2002-04-30 00:00:00,66.89,1020204000,29.94,1020168000,0.01,Gunnison,9.56,0.21,1020146400Gunnison,38.66048891,-106.9259132,0.63,,0,0,,0,,1004.03,CO,1020168746,1020218383,66.89,1020204000,33.86,1020168000,1020146400,9.99,242,6.85
0,2002-05-31 00:00:00,81.93,1022875200,45.73,1022846400,0.05,Gunnison,28.77,0.26,1022824800Gunnison,38.66048891,-106.9259132,0.68,,0,0,,0,,1008.84,CO,1022845602,1022898425,85.38,1022875200,47.8,1022842800,1022824800,9.69,222,2.34
0,2002-06-30 00:00:00,83.54,1025478000,50.93,1025438400,0.02,Gunnison,25.06,0.21,1025416800Gunnison,38.66048891,-106.9259132,0.69,,0,0,,0,,1013.3,CO,1025437656,1025491052,87.67,1025478000,50.93,1025438400,1025416800,9.18,200,1.27
0,2002-07-31 00:00:00,83.98,1028152800,47.38,1028113200,0.03,Gunnison,30.19,0.27,1028095200Gunnison,38.66048891,-106.9259132,0.73,,0,0,,0,,1011.75,CO,1028117383,1028168451,88.12,1028152800,47.91,1028116800,1028095200,9.3,193,0.82
0,2002-08-31 00:00:00,76.95,1030824000,37.75,1030798800,0.12,Gunnison,30.97,0.36,1030773600Gunnison,38.66048891,-106.9259132,0.77,,0,0,,0,,1017.82,CO,1030797457,1030844479,76.95,1030824000,41.34,1030798800,1030773600,10,245,1.23
0,2002-09-30 00:00:00,62.23,1033426800,35.8,1033387200,0.3,Gunnison,34.11,0.62,1033365600Gunnison,38.66048891,-106.9259132,0.79,,0.0002,0.0048,1033376400,0.2,rain,1011.58,CO,1033391039,1033433621,62.23,1033426800,37.31,1033390800,1033365600,9.56,188,2.36
0,2002-10-31 00:00:00,40.5,1036094400,23.45,1036069200,0.46,Gunnison,24.43,0.62,1036047600Gunnison,38.66048891,-106.9259132,0.85,,0.0122,0.0443,1036130400,0.7,rain,1012.56,CO,1036071291,1036109413,45.8,1036094400,27.95,1036072800,1036047600,8.96,237,1.56
0,2002-11-30 00:00:00,37.21,1038690000,6.37,1038664800,0.16,Gunnison,11.28,0.56,1038639600Gunnison,38.66048891,-106.9259132,0.87,,0,0,,0,,1024.26,CO,1038665244,1038700112,41.23,1038690000,12.86,1038664800,1038639600,10,109,0.15
0,2002-12-31 00:00:00,21.29,1041375600,-4.87,1041328800,0.61,Gunnison,7.02,0.67,1041318000Gunnison,38.66048891,-106.9259132,0.93,0.252,0.0008,0.0084,1041386400,0.44,snow,1016.95,CO,1041344804,1041379031,25.79,1041375600,5.3,1041332400,1041318000,9.07,283,0.14
0,2003-01-31 00:00:00,45.76,1044050400,22.47,1044021600,0.1,Gunnison,20.07,0.59,1043996400Gunnison,38.66048891,-106.9259132,0.98,,0,0,,0,,1025,CO,1044022540,1044059346,48.32,1044050400,22.47,1044021600,1043996400,9.99,279,1.24
0,2003-02-28 00:00:00,26.19,1046466000,9.02,1046476800,0.81,Gunnison,15.86,0.68,1046415600Gunnison,38.66048891,-106.9259132,0.93,1.941,0.0063,0.0367,1046419200,0.68,snow,1007.04,CO,1046439777,1046480429,32.47,1046466000,19,1046476800,1046415600,8.69,284,2.79
0,2003-03-31 00:00:00,57.61,1049151600,16.01,1049115600,0.01,Gunnison,17.3,0.44,1049094000Gunnison,38.66048891,-106.9259132,0.97,,0,0,,0,,1019.86,CO,1049115315,1049160646,57.61,1049151600,22.11,1049115600,1049094000,10,222,1.43
0,2003-04-30 00:00:00,53.25,1051732800,29.7,1051765200,0.14,Gunnison,14.58,0.35,1051682400Gunnison,38.66048891,-106.9259132,0.98,,0,0,,0,,1005.3,CO,1051704764,1051754368,53.25,1051732800,32.1,1051704000,1051682400,9.99,261,6.82
0,2003-05-31 00:00:00,75.41,1054407600,47.35,1054382400,0.28,Gunnison,40.72,0.52,1054360800Gunnison,38.66048891,-106.9259132,0.02,,0.0065,0.0678,1054411200,0.75,rain,1011.14,CO,1054381609,1054434413,75.41,1054407600,47.35,1054382400,1054360800,9.84,356,0.44
0,2003-06-30 00:00:00,81.49,1057017600,48.07,1056974400,0.08,Gunnison,32.38,0.31,1056952800Gunnison,38.66048891,-106.9259132,0.03,,0,0,,0,,1013.72,CO,1056973649,1057027053,84.51,1057017600,49.57,1056978000,1056952800,10,117,0.25
0,2003-07-31 00:00:00,78.52,1059681600,51.7,1059652800,0.19,Gunnison,39.77,0.41,1059631200Gunnison,38.66048891,-106.9259132,0.08,,0.0019,0.025,1059703200,0.63,rain,1016.36,CO,1059653369,1059704466,78.52,1059681600,51.7,1059652800,1059631200,9.79,84,0.89
0,2003-08-31 00:00:00,75.51,1062374400,40.14,1062331200,0.15,Gunnison,36.39,0.49,1062309600Gunnison,38.66048891,-106.9259132,0.14,,0,0,,0,,1017.74,CO,1062333443,1062380502,75.51,1062374400,42.77,1062334800,1062309600,9.91,269,1.42
