,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,25.12,949363200,2.91,949316400,0.7,Hinsdale,12.28,0.74,949302000Hinsdale,38.026256,-107.276581,0.85,0.578,0.0017,0.0166,949341600,0.58,snow,1021.31,CO,949328158,949365093,30.59,949363200,11.25,949316400,949302000,8.32,50,1.83
0,2000-02-29 00:00:00,44.74,951865200,22.04,951890400,0.33,Hinsdale,23.15,0.66,951807600Hinsdale,38.026256,-107.276581,0.83,0.184,0.0009,0.0162,951843600,0.57,snow,1017.28,CO,951831763,951872593,44.74,951865200,25.04,951832800,951807600,9.76,245,1.63
0,2000-03-31 00:00:00,35.32,954547200,25.47,954493200,0.91,Hinsdale,27.05,0.82,954486000Hinsdale,38.026256,-107.276581,0.86,1.703,0.0089,0.0298,954525600,0.65,snow,1015.22,CO,954507348,954552752,39.01,954547200,29.55,954496800,954486000,7.41,23,1.88
0,2000-04-30 00:00:00,63.21,957139200,39.68,957099600,0.51,Hinsdale,31.61,0.51,957074400Hinsdale,38.026256,-107.276581,0.88,,0.0058,0.0504,957092400,0.71,rain,1015.57,CO,957096864,957146427,63.21,957139200,41.8,957099600,957074400,9.78,341,4.17
0,2000-05-31 00:00:00,81.89,959810400,45.59,959770800,0,Hinsdale,25.1,0.22,959752800Hinsdale,38.026256,-107.276581,0.93,,0,0,,0,,1006.3,CO,959773783,959826421,85.34,959810400,47.29,959770800,959752800,9.93,226,4.9
0,2000-06-30 00:00:00,80.23,962395200,50.13,962366400,0.16,Hinsdale,40.88,0.42,962344800Hinsdale,38.026256,-107.276581,0.96,,0.0002,0.0026,962427600,0.08,rain,1012.32,CO,962365870,962419017,82.51,962395200,50.13,962366400,962344800,10,166,1.01
0,2000-07-31 00:00:00,84.41,965088000,47.64,965044800,0.03,Hinsdale,39.84,0.41,965023200Hinsdale,38.026256,-107.276581,0.03,,0.0003,0.0065,965088000,0.31,rain,1017.22,CO,965045581,965096419,88.16,965088000,48.89,965044800,965023200,9.94,136,1.4
0,2000-08-31 00:00:00,72.5,967762800,50.71,967726800,0.44,Hinsdale,45.12,0.59,967701600Hinsdale,38.026256,-107.276581,0.09,,0.0012,0.0108,967773600,0.52,rain,1012.98,CO,967725608,967772477,72.5,967762800,50.71,967726800,967701600,9.94,156,1.24
0,2000-09-30 00:00:00,75.08,970351200,42.13,970318800,0.13,Hinsdale,37.94,0.53,970293600Hinsdale,38.026256,-107.276581,0.1,,0,0,,0,,1015.05,CO,970319140,970361667,75.08,970351200,43.46,970318800,970293600,10,270,2.43
0,2000-10-31 00:00:00,35.64,973022400,25.95,973051200,0.61,Hinsdale,27.53,0.69,972975600Hinsdale,38.026256,-107.276581,0.15,,0.0072,0.0331,972990000,0.66,rain,1009.67,CO,972999347,973037524,41.44,973022400,29.37,973058400,972975600,9.43,220,3.55
0,2000-11-30 00:00:00,40.29,975621600,21.87,975650400,0.16,Hinsdale,18.61,0.55,975567600Hinsdale,38.026256,-107.276581,0.15,,0,0,,0,,1020.68,CO,975593258,975628290,44.94,975621600,21.87,975650400,975567600,9.89,292,2.35
0,2000-12-31 00:00:00,30.66,978303600,2.09,978274800,0.04,Hinsdale,7.31,0.6,978246000Hinsdale,38.026256,-107.276581,0.19,,0,0,,0,,1027.1,CO,978272785,978307248,34.71,978303600,8.03,978274800,978246000,9.99,113,0.56
0,2001-01-31 00:00:00,25.19,980985600,-9.57,980949600,0.22,Hinsdale,2.3,0.68,980924400Hinsdale,38.026256,-107.276581,0.23,,0,0,,0,,1027.21,CO,980950521,980987543,25.19,980985600,-1.03,980949600,980924400,9.79,114,0.31
0,2001-02-28 00:00:00,37.2,983390400,19.27,983365200,0.54,Hinsdale,22.77,0.76,983343600Hinsdale,38.026256,-107.276581,0.17,1.412,0.0063,0.0304,983394000,0.65,snow,1013.36,CO,983367785,983408577,37.2,983390400,24.81,983368800,983343600,9.02,212,0.47
0,2001-03-31 00:00:00,57.48,986083200,23.37,986032800,0.1,Hinsdale,18.32,0.44,986022000Hinsdale,38.026256,-107.276581,0.23,,0.0005,0.0065,986029200,0.31,rain,1014.37,CO,986043372,986088738,57.48,986083200,25.57,986043600,986022000,9.88,260,2.69
0,2001-04-30 00:00:00,74.22,988675200,32.84,988632000,0.08,Hinsdale,24.49,0.35,988610400Hinsdale,38.026256,-107.276581,0.25,,0,0,,0,,1015.92,CO,988632882,988682412,74.22,988675200,37.14,988632000,988610400,10,269,3.05
0,2001-05-31 00:00:00,78.03,991353600,40.26,991310400,0.05,Hinsdale,27.95,0.33,991288800Hinsdale,38.026256,-107.276581,0.32,,0.0015,0.0294,991314000,0.65,rain,1014.22,CO,991309789,991362411,78.03,991353600,40.26,991310400,991288800,10,316,2.29
0,2001-06-30 00:00:00,84.39,993934800,53.89,993902400,0.09,Hinsdale,41.59,0.38,993880800Hinsdale,38.026256,-107.276581,0.34,,0,0,,0,,1014.46,CO,993901863,993955019,88.08,993934800,53.89,993902400,993880800,9.99,109,1.54
0,2001-07-31 00:00:00,74.04,996616800,57.51,996584400,0.5,Hinsdale,54.52,0.7,996559200Hinsdale,38.026256,-107.276581,0.39,,0.0045,0.0199,996620400,0.6,rain,1013.17,CO,996581568,996632434,74.04,996616800,57.51,996584400,996559200,9.8,111,2.7
