,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,35.01,949363200,-2.51,949312800,0.19,Huerfano,11.18,0.66,949302000Huerfano,37.664501,-105.0917903,0.85,,0,0,,0,,1022.63,CO,949327591,949364611,38.73,949363200,8.06,949320000,949302000,9.36,321,2.79
0,2000-02-29 00:00:00,52.39,951861600,23.19,951832800,0.32,Huerfano,23.11,0.52,951807600Huerfano,37.664501,-105.0917903,0.83,,0,0,,0,,1013.34,CO,951831222,951872086,52.39,951861600,31.66,951832800,951807600,9.28,332,4.2
0,2000-03-31 00:00:00,36.06,954547200,20.66,954565200,0.92,Huerfano,26.79,0.85,954486000Huerfano,37.664501,-105.0917903,0.86,1.751,0.0086,0.0217,954486000,0.61,snow,1023.18,CO,954506836,954552215,36.06,954547200,28.09,954568800,954486000,4.53,6,7.08
0,2000-04-30 00:00:00,59.81,957139200,29.09,957103200,0.85,Huerfano,34.34,0.72,957074400Huerfano,37.664501,-105.0917903,0.88,,0.0198,0.0799,957092400,0.76,rain,1018.75,CO,957096379,957145863,59.81,957139200,38.68,957103200,957074400,9.26,350,11
0,2000-05-31 00:00:00,82.04,959814000,50.84,959770800,0.2,Huerfano,43.82,0.47,959752800Huerfano,37.664501,-105.0917903,0.93,,0,0,,0,,1008.24,CO,959773320,959825836,84.96,959814000,50.84,959770800,959752800,9.07,154,5.88
0,2000-06-30 00:00:00,80.43,962395200,52.07,962366400,0.15,Huerfano,45.08,0.48,962344800Huerfano,37.664501,-105.0917903,0.96,,0,0,,0,,1013.7,CO,962365410,962418428,82.43,962395200,52.07,962366400,962344800,9.73,225,2.52
0,2000-07-31 00:00:00,83.13,965088000,52.35,965044800,0.1,Huerfano,45.46,0.47,965023200Huerfano,37.664501,-105.0917903,0.03,,0,0,,0,,1018.44,CO,965045105,965095846,86.45,965088000,52.35,965044800,965023200,9.64,49,2.69
0,2000-08-31 00:00:00,78.69,967766400,55.72,967723200,0.32,Huerfano,47.45,0.53,967701600Huerfano,37.664501,-105.0917903,0.09,,0.0002,0.0046,967777200,0.19,rain,1012.05,CO,967725105,967771931,78.69,967766400,55.72,967723200,967701600,9.69,165,0.7
0,2000-09-30 00:00:00,78.57,970347600,43.73,970318800,0.11,Huerfano,36.67,0.42,970293600Huerfano,37.664501,-105.0917903,0.1,,0,0,,0,,1011.64,CO,970318609,970361150,80.09,970347600,46.5,970318800,970293600,10,280,6.12
