,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,34.55,949356000,7.88,949316400,0.17,Jefferson,8.83,0.53,949302000Jefferson,39.65053921,-105.1832473,0.85,,0,0,,0,,1021.14,CO,949327857,949364389,38.97,949356000,12.93,949320000,949302000,9.78,177,2.32
0,2000-02-29 00:00:00,53.36,951858000,29.3,951832800,0.42,Jefferson,22.41,0.46,951807600Jefferson,39.65053921,-105.1832473,0.83,,0,0,,0,,1012.42,CO,951831341,951872010,53.36,951858000,35.61,951890400,951807600,9.81,343,3.99
0,2000-03-31 00:00:00,32.71,954547200,18.98,954507600,0.95,Jefferson,26.26,0.89,954486000Jefferson,39.65053921,-105.1832473,0.86,2.455,0.0113,0.0717,954525600,0.75,snow,1025.76,CO,954506789,954552306,36.74,954547200,27.24,954568800,954486000,3.8,355,3.96
0,2000-04-30 00:00:00,58.65,957139200,28.3,957078000,0.89,Jefferson,33.36,0.72,957074400Jefferson,39.65053921,-105.1832473,0.88,,0.0083,0.0565,957078000,0.73,rain,1021.73,CO,957096178,957146108,58.65,957139200,37.8,957081600,957074400,9.32,358,12.08
0,2000-05-31 00:00:00,80.28,959810400,51.97,959763600,0.44,Jefferson,52.06,0.66,959752800Jefferson,39.65053921,-105.1832473,0.93,,0,0,,0,,1007.93,CO,959772997,959826203,80.09,959810400,51.97,959763600,959752800,8.24,76,1.4
0,2000-06-30 00:00:00,83.02,962398800,53.85,962362800,0.33,Jefferson,46.73,0.48,962344800Jefferson,39.65053921,-105.1832473,0.96,,0,0,,0,,1011.96,CO,962365066,962418816,86.11,962398800,53.85,962362800,962344800,9.86,169,7.18
0,2000-07-31 00:00:00,84.44,965088000,55.51,965041200,0.15,Jefferson,44.25,0.42,965023200Jefferson,39.65053921,-105.1832473,0.03,,0.0002,0.0047,965088000,0.2,rain,1017.85,CO,965044854,965096141,88.16,965088000,55.51,965041200,965023200,9.83,81,1.58
0,2000-08-31 00:00:00,73.43,967766400,53.4,967723200,0.61,Jefferson,51.33,0.74,967701600Jefferson,39.65053921,-105.1832473,0.09,,0.0069,0.0887,967770000,0.77,rain,1013.61,CO,967725004,967772076,73.43,967766400,53.4,967723200,967701600,9.67,110,2.27
0,2000-09-30 00:00:00,78.01,970344000,51.51,970318800,0.47,Jefferson,39.72,0.45,970293600Jefferson,39.65053921,-105.1832473,0.1,,0,0,,0,,1010.79,CO,970318667,970361136,78.01,970344000,51.51,970318800,970293600,10,236,4.64
0,2000-10-31 00:00:00,42.65,973029600,31.35,973058400,0.68,Jefferson,33.71,0.8,972975600Jefferson,39.65053921,-105.1832473,0.15,,0.0016,0.0103,973051200,0.51,rain,1008.38,CO,972999006,973036861,44.05,973029600,34.25,972993600,972975600,7.61,325,2.56
0,2000-11-30 00:00:00,42.18,975610800,20.37,975571200,0.21,Jefferson,15.26,0.44,975567600Jefferson,39.65053921,-105.1832473,0.15,,0,0,,0,,1017.36,CO,975593018,975627525,49.49,975610800,24.09,975567600,975567600,9.76,300,9.04
0,2000-12-31 00:00:00,27.92,978289200,8.83,978271200,0.45,Jefferson,16.49,0.77,978246000Jefferson,39.65053921,-105.1832473,0.19,,0,0,,0,,1024.57,CO,978272564,978306463,32.61,978289200,15.58,978271200,978246000,8.56,163,1.17
0,2001-01-31 00:00:00,22.58,980985600,2.58,980946000,0.45,Jefferson,6.79,0.58,980924400Jefferson,39.65053921,-105.1832473,0.23,,0,0,,0,,1022.55,CO,980950217,980986842,28.64,980985600,10.91,980942400,980924400,9.77,209,3.49
0,2001-02-28 00:00:00,42.25,983404800,7.78,983343600,0.77,Jefferson,18.27,0.78,983343600Jefferson,39.65053921,-105.1832473,0.17,0.327,0.0013,0.0094,983412000,0.5,snow,1018.61,CO,983367364,983407993,42.25,983404800,15.34,983358000,983343600,7.07,137,0.86
0,2001-03-31 00:00:00,60.88,986083200,20.1,986040000,0.58,Jefferson,26.28,0.71,986022000Jefferson,39.65053921,-105.1832473,0.23,0.468,0.0021,0.021,986058000,0.61,snow,1015.78,CO,986042814,986088291,60.88,986083200,26.8,986047200,986022000,8.61,104,2.34
0,2001-04-30 00:00:00,74.61,988675200,44.16,988628400,0.46,Jefferson,30.97,0.37,988610400Jefferson,39.65053921,-105.1832473,0.25,,0,0,,0,,1013.4,CO,988632197,988682093,74.61,988675200,45.56,988624800,988610400,9.86,203,1.98
0,2001-05-31 00:00:00,75.17,991353600,44.59,991292400,0.34,Jefferson,45.25,0.64,991288800Jefferson,39.65053921,-105.1832473,0.32,,0.0012,0.0211,991314000,0.61,rain,1016.34,CO,991309003,991362192,75.17,991353600,44.76,991306800,991288800,9.53,57,2.06
0,2001-06-30 00:00:00,89.07,993931200,60.77,993902400,0.49,Jefferson,46.52,0.36,993880800Jefferson,39.65053921,-105.1832473,0.34,,0.0008,0.0198,993938400,0.6,rain,1012.73,CO,993901059,993954818,93.07,993931200,60.77,993902400,993880800,10,162,3.46
0,2001-07-31 00:00:00,85.14,996616800,63.51,996642000,0.59,Jefferson,50.63,0.44,996559200Jefferson,39.65053921,-105.1832473,0.39,,0.0083,0.1758,996627600,0.83,rain,1008,CO,996580839,996632157,87.59,996616800,63.51,996642000,996559200,9.78,231,3.57
0,2001-08-31 00:00:00,76.6,999284400,55.05,999262800,0.55,Jefferson,47.86,0.54,999237600Jefferson,39.65053921,-105.1832473,0.43,,0.0139,0.0892,999259200,0.77,rain,1012.78,CO,999260990,999308100,76.6,999284400,55.05,999262800,999237600,9.96,210,4.42
0,2001-09-30 00:00:00,73.48,1001894400,46.71,1001854800,0.29,Jefferson,42.94,0.55,1001829600Jefferson,39.65053921,-105.1832473,0.44,,0,0,,0,,1023.1,CO,1001854652,1001897162,73.48,1001894400,48.74,1001854800,1001829600,9.99,301,0.73
0,2001-10-31 00:00:00,66.95,1004554800,45.09,1004594400,0.49,Jefferson,28.41,0.33,1004511600Jefferson,39.65053921,-105.1832473,0.48,,0.0002,0.0023,1004569200,0.07,rain,1004.09,CO,1004534988,1004572879,66.95,1004554800,47.12,1004590800,1004511600,9.69,241,9.5
0,2001-11-30 00:00:00,36.78,1007150400,18.13,1007186400,0.49,Jefferson,14.98,0.53,1007103600Jefferson,39.65053921,-105.1832473,0.49,,0,0,,0,,1009.25,CO,1007129002,1007163529,41.07,1007150400,22.91,1007103600,1007103600,9.74,239,3.93
0,2001-12-31 00:00:00,28.27,1009836000,5,1009803600,0.45,Jefferson,13.86,0.72,1009782000Jefferson,39.65053921,-105.1832473,0.55,,0,0,,0,,1021.15,CO,1009808562,1009842451,34.43,1009836000,12.13,1009807200,1009782000,9.14,102,3.18
0,2002-01-31 00:00:00,26.16,1012521600,-2.17,1012474800,0.34,Jefferson,3.31,0.56,1012460400Jefferson,39.65053921,-105.1832473,0.61,0.062,0.0001,0.0032,1012471200,0.11,snow,1023.43,CO,1012486231,1012522824,31.7,1012521600,5.46,1012485600,1012460400,9.53,341,4.38
0,2002-02-28 00:00:00,41.31,1014930000,2.43,1014940800,0.53,Jefferson,12.4,0.57,1014879600Jefferson,39.65053921,-105.1832473,0.55,0.285,0.0009,0.0128,1014958800,0.54,snow,1010.26,CO,1014903387,1014943976,44.58,1014930000,14.15,1014940800,1014879600,8.43,62,4.46
0,2002-03-31 00:00:00,70.73,1017619200,19.41,1017579600,0.31,Jefferson,23.81,0.49,1017558000Jefferson,39.65053921,-105.1832473,0.61,,0,0,,0,,1015.62,CO,1017578839,1017624276,70.73,1017619200,27.01,1017572400,1017558000,10,170,1.69
0,2002-04-30 00:00:00,73.87,1020204000,42.99,1020160800,0.23,Jefferson,30.79,0.38,1020146400Jefferson,39.65053921,-105.1832473,0.63,,0.0003,0.0068,1020211200,0.33,rain,1003.54,CO,1020168216,1020218077,73.87,1020204000,45.44,1020160800,1020146400,9.63,107,0.64
0,2002-05-31 00:00:00,84.96,1022871600,60.47,1022842800,0.34,Jefferson,39.3,0.29,1022824800Jefferson,39.65053921,-105.1832473,0.68,,0,0,,0,,1008.56,CO,1022845010,1022898180,88.79,1022871600,60.47,1022842800,1022824800,9.89,157,1.38
0,2002-06-30 00:00:00,89.32,1025481600,61.97,1025434800,0.13,Jefferson,36.9,0.24,1025416800Jefferson,39.65053921,-105.1832473,0.69,,0,0,,0,,1011.65,CO,1025437051,1025490819,93.74,1025481600,61.97,1025434800,1025416800,8.47,107,4.08
0,2002-07-31 00:00:00,90.26,1028152800,63.52,1028113200,0.35,Jefferson,35.24,0.22,1028095200Jefferson,39.65053921,-105.1832473,0.73,,0,0,,0,,1009.83,CO,1028116825,1028168173,95.8,1028152800,63.52,1028113200,1028095200,9.85,150,2.24
0,2002-08-31 00:00:00,83.39,1030827600,57.57,1030798800,0.4,Jefferson,39.96,0.37,1030773600Jefferson,39.65053921,-105.1832473,0.77,,0,0,,0,,1015.58,CO,1030796975,1030844124,86.94,1030827600,57.57,1030798800,1030773600,9.99,180,2.35
0,2002-09-30 00:00:00,73.29,1033426800,50.84,1033380000,0.22,Jefferson,29.73,0.33,1033365600Jefferson,39.65053921,-105.1832473,0.79,,0,0,,0,,1007.05,CO,1033390637,1033433187,73.29,1033426800,50.84,1033380000,1033365600,9.86,235,3.44
0,2002-10-31 00:00:00,15.68,1036108800,8.8,1036058400,0.94,Jefferson,16.67,0.91,1036047600Jefferson,39.65053921,-105.1832473,0.85,0.69,0.0018,0.0332,1036083600,0.67,snow,1024.96,CO,1036070970,1036108897,20.53,1036108800,16.65,1036072800,1036047600,4.13,53,2.73
0,2002-11-30 00:00:00,41.62,1038700800,16.27,1038657600,0.29,Jefferson,17.21,0.52,1038639600Jefferson,39.65053921,-105.1832473,0.87,,0,0,,0,,1024.28,CO,1038664986,1038699533,46.06,1038700800,24.82,1038657600,1038639600,10,162,4.22
0,2002-12-31 00:00:00,51.04,1041368400,16.43,1041325200,0.44,Jefferson,12.56,0.43,1041318000Jefferson,39.65053921,-105.1832473,0.93,,0,0,,0,,1009.58,CO,1041344560,1041378439,51.04,1041368400,23.31,1041325200,1041318000,9.78,62,0.4
