,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,39.51,949356000,1.14,949327200,0.04,Kiowa,12.27,0.64,949302000Kiowa,38.43816325,-102.9142575,0.85,,0,0,,0,,1021.55,CO,949327162,949363995,42.71,949356000,10.14,949327200,949302000,8.83,281,2.58
0,2000-02-29 00:00:00,56.34,951861600,29.91,951890400,0.32,Kiowa,26.15,0.48,951807600Kiowa,38.43816325,-102.9142575,0.83,,0.0004,0.01,951843600,0.51,rain,1010.37,CO,951830737,951871525,56.34,951861600,36.09,951890400,951807600,9.31,346,10.69
0,2000-03-31 00:00:00,39.57,954547200,22.6,954518400,0.96,Kiowa,31.2,0.92,954486000Kiowa,38.43816325,-102.9142575,0.86,,0.0154,0.0442,954493200,0.7,rain,1023.92,CO,954506288,954551719,42.12,954547200,31.55,954565200,954486000,4.61,26,9.77
0,2000-04-30 00:00:00,58.75,957139200,33.02,957103200,0.9,Kiowa,39.8,0.8,957074400Kiowa,38.43816325,-102.9142575,0.88,,0.0404,0.3761,957078000,0.88,rain,1018.16,CO,957095772,957145425,58.75,957139200,42.15,957103200,957074400,9.16,0,16.57
0,2000-05-31 00:00:00,84.86,959806800,54.72,959767200,0.39,Kiowa,52.84,0.64,959752800Kiowa,38.43816325,-102.9142575,0.93,,0.0001,0.0033,959778000,0.12,rain,1007.73,CO,959772666,959825445,86.47,959806800,54.72,959767200,959752800,8.62,139,7.6
0,2000-06-30 00:00:00,84.99,962409600,54.7,962366400,0.11,Kiowa,51.71,0.55,962344800Kiowa,38.43816325,-102.9142575,0.96,,0,0,,0,,1011.85,CO,962364748,962418045,87.87,962409600,54.7,962366400,962344800,9.53,157,3.4
0,2000-07-31 00:00:00,85.85,965088000,55.81,965044800,0.04,Kiowa,50.49,0.51,965023200Kiowa,38.43816325,-102.9142575,0.03,,0,0,,0,,1017.2,CO,965044478,965095428,89.19,965088000,55.81,965044800,965023200,9.78,102,2.47
0,2000-08-31 00:00:00,81.71,967766400,59.44,967723200,0.28,Kiowa,54.35,0.6,967701600Kiowa,38.43816325,-102.9142575,0.09,,0.0014,0.0121,967701600,0.53,rain,1010.51,CO,967724535,967771456,82.91,967766400,59.44,967723200,967701600,9.72,42,3.2
0,2000-09-30 00:00:00,82.19,970347600,51.08,970318800,0.04,Kiowa,40.27,0.42,970293600Kiowa,38.43816325,-102.9142575,0.1,,0,0,,0,,1009.09,CO,970318100,970360614,85.33,970347600,51.08,970318800,970293600,9.99,278,5.46
