,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,40.95,949356000,1.83,949323600,0.06,Kit Carson,10.65,0.57,949302000Kit Carson,39.31097667,-102.66238,0.85,,0,0,,0,,1021.26,CO,949327209,949363826,43.62,949356000,11.97,949327200,949302000,9.64,270,2.44
0,2000-02-29 00:00:00,54.89,951865200,26.86,951886800,0.35,Kit Carson,25.68,0.49,951807600Kit Carson,39.31097667,-102.66238,0.83,,0.0007,0.0156,951843600,0.57,rain,1010.64,CO,951830720,951871422,54.89,951865200,33.86,951886800,951807600,9.85,357,10.3
0,2000-03-31 00:00:00,38.78,954547200,20.97,954511200,0.96,Kit Carson,30.32,0.91,954486000Kit Carson,39.31097667,-102.66238,0.86,,0.0135,0.0481,954500400,0.71,rain,1024.89,CO,954506197,954551689,41.75,954547200,30.51,954565200,954486000,4.14,26,9.29
0,2000-04-30 00:00:00,57.85,957139200,31.42,957103200,0.88,Kit Carson,38.47,0.8,957074400Kit Carson,39.31097667,-102.66238,0.88,,0.029,0.2207,957078000,0.85,rain,1019.2,CO,957095612,957145464,57.85,957139200,41.32,957103200,957074400,9.15,2,18.9
0,2000-05-31 00:00:00,84.88,959814000,53.93,959767200,0.49,Kit Carson,52.66,0.66,959752800Kit Carson,39.31097667,-102.66238,0.93,,0.0002,0.0052,959778000,0.23,rain,1008.34,CO,959772452,959825537,86.86,959814000,53.93,959767200,959752800,7.99,141,6.56
0,2000-06-30 00:00:00,84.52,962409600,53.26,962366400,0.15,Kit Carson,50.06,0.54,962344800Kit Carson,39.31097667,-102.66238,0.96,,0,0,,0,,1012.1,CO,962364525,962418147,87.52,962409600,53.26,962366400,962344800,9.28,154,5.14
0,2000-07-31 00:00:00,85.74,965088000,54.84,965044800,0.05,Kit Carson,50.14,0.52,965023200Kit Carson,39.31097667,-102.66238,0.03,,0,0,,0,,1017.58,CO,965044296,965095489,89.04,965088000,54.84,965044800,965023200,9.74,123,1.83
0,2000-08-31 00:00:00,80.37,967766400,58.08,967726800,0.42,Kit Carson,55.6,0.7,967701600Kit Carson,39.31097667,-102.66238,0.09,,0.005,0.0459,967770000,0.7,rain,1011.76,CO,967724420,967771450,80.53,967766400,58.08,967726800,967701600,9.61,20,5.21
0,2000-09-30 00:00:00,80.5,970347600,52.23,970318800,0.13,Kit Carson,40.49,0.43,970293600Kit Carson,39.31097667,-102.66238,0.1,,0,0,,0,,1009.11,CO,970318055,970360538,83,970347600,52.23,970318800,970293600,9.99,281,5.38
