,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,28.83,949363200,13.16,949316400,0.86,La Plata,21.39,0.83,949302000La Plata,37.23009167,-107.9126813,0.85,1.571,0.0061,0.0783,949384800,0.76,snow,1021.18,CO,949328216,949365340,35.69,949363200,21.54,949316400,949302000,7.64,65,0.94
0,2000-02-29 00:00:00,44.33,951861600,20.13,951825600,0.24,La Plata,22.95,0.66,951807600La Plata,37.23009167,-107.9126813,0.83,0.122,0.0005,0.0056,951836400,0.25,snow,1018.88,CO,951831877,951872784,47.23,951861600,23.03,951832800,951807600,9.89,212,1.15
0,2000-03-31 00:00:00,34.51,954547200,24.5,954522000,0.96,La Plata,32.23,0.93,954486000La Plata,37.23009167,-107.9126813,0.86,,0.012,0.0289,954536400,0.65,rain,1013.82,CO,954507527,954552878,39,954547200,32.27,954568800,954486000,6.08,58,3.47
0,2000-04-30 00:00:00,65.75,957139200,39.82,957099600,0.42,La Plata,34.97,0.56,957074400La Plata,37.23009167,-107.9126813,0.88,,0.0151,0.19,957092400,0.84,rain,1014.89,CO,957097103,957146493,65.75,957139200,41.49,957099600,957074400,9.91,12,2.21
0,2000-05-31 00:00:00,82.44,959814000,40.31,959770800,0.01,La Plata,25.99,0.24,959752800La Plata,37.23009167,-107.9126813,0.93,,0,0,,0,,1008.51,CO,959774069,959826440,85.8,959814000,42.75,959770800,959752800,10,238,2.79
0,2000-06-30 00:00:00,81.84,962409600,51.57,962366400,0.14,La Plata,47.28,0.52,962344800La Plata,37.23009167,-107.9126813,0.96,,0.0006,0.0074,962427600,0.37,rain,1013.69,CO,962366164,962419028,84.34,962409600,51.57,962366400,962344800,10,65,1.24
0,2000-07-31 00:00:00,84.64,965088000,48.86,965044800,0.02,La Plata,44.72,0.48,965023200La Plata,37.23009167,-107.9126813,0.03,,0,0,,0,,1018.25,CO,965045840,965096465,88.28,965088000,49.61,965044800,965023200,9.98,143,0.49
0,2000-08-31 00:00:00,74.55,967762800,51.93,967726800,0.49,La Plata,46.98,0.59,967701600La Plata,37.23009167,-107.9126813,0.09,,0,0,,0,,1013.79,CO,967725808,967772582,74.55,967762800,51.93,967726800,967701600,9.95,286,0.51
0,2000-09-30 00:00:00,78.31,970347600,42.07,970318800,0.05,La Plata,38.69,0.49,970293600La Plata,37.23009167,-107.9126813,0.1,,0,0,,0,,1015.65,CO,970319279,970361834,78.31,970347600,45.12,970318800,970293600,10,276,2.71
0,2000-10-31 00:00:00,39.64,972975600,26.75,973047600,0.73,La Plata,30.19,0.76,972975600La Plata,37.23009167,-107.9126813,0.15,,0.0042,0.0353,972990000,0.67,rain,1011.84,CO,972999423,973037754,44.78,972975600,29.48,973058400,972975600,9.55,206,3.75
0,2000-11-30 00:00:00,50.42,975621600,21.57,975589200,0.04,La Plata,22.23,0.61,975567600La Plata,37.23009167,-107.9126813,0.15,,0,0,,0,,1022.24,CO,975593286,975628567,50.42,975621600,23.73,975592800,975567600,10,286,2
0,2000-12-31 00:00:00,38.1,978300000,3.3,978267600,0.01,La Plata,12.36,0.64,978246000La Plata,37.23009167,-107.9126813,0.19,,0,0,,0,,1027.26,CO,978272805,978307533,41.82,978300000,10.17,978267600,978246000,10,87,1.14
0,2001-01-31 00:00:00,19.88,980982000,-3.33,980956800,0.26,La Plata,6.53,0.75,980924400La Plata,37.23009167,-107.9126813,0.23,,0,0,,0,,1027.5,CO,980950580,980987790,26.23,980982000,1.53,980949600,980924400,9.56,39,0.55
0,2001-02-28 00:00:00,31.96,983404800,20.23,983426400,0.68,La Plata,27.17,0.82,983343600La Plata,37.23009167,-107.9126813,0.17,,0.0062,0.0346,983394000,0.67,rain,1013.83,CO,983367899,983408769,37.33,983404800,23.05,983422800,983343600,8.23,170,0.48
0,2001-03-31 00:00:00,61.96,986083200,25.06,986029200,0.01,La Plata,18.2,0.38,986022000La Plata,37.23009167,-107.9126813,0.23,,0,0,,0,,1014.67,CO,986043550,986088865,61.96,986083200,28.05,986043600,986022000,9.99,256,3.84
0,2001-04-30 00:00:00,77.19,988675200,31.8,988628400,0.03,La Plata,26.17,0.36,988610400La Plata,37.23009167,-107.9126813,0.25,,0,0,,0,,1016.87,CO,988633121,988682479,77.19,988675200,35.13,988628400,988610400,9.99,277,2.97
0,2001-05-31 00:00:00,79.42,991353600,36.72,991310400,0.02,La Plata,28.92,0.31,991288800La Plata,37.23009167,-107.9126813,0.32,,0,0,,0,,1013.73,CO,991310075,991362430,81.69,991353600,39.16,991310400,991288800,10,300,2.86
0,2001-06-30 00:00:00,86.54,993934800,54.04,993898800,0.07,La Plata,44.75,0.43,993880800La Plata,37.23009167,-107.9126813,0.34,,0,0,,0,,1016.1,CO,993902158,993955029,90.34,993934800,54.04,993898800,993880800,9.97,90,2.51
0,2001-07-31 00:00:00,77.41,996624000,57.44,996584400,0.44,La Plata,56.55,0.7,996559200La Plata,37.23009167,-107.9126813,0.39,,0.0042,0.0222,996620400,0.61,rain,1014.24,CO,996581827,996632480,77.41,996624000,57.44,996584400,996559200,9.83,65,1.16
0,2001-08-31 00:00:00,76.95,999302400,51.34,999262800,0.23,La Plata,45.59,0.58,999237600La Plata,37.23009167,-107.9126813,0.43,,0.0012,0.0219,999295200,0.61,rain,1015.25,CO,999261795,999308604,76.95,999302400,51.34,999262800,999237600,9.96,83,1.62
0,2001-09-30 00:00:00,77.7,1001883600,46.78,1001854800,0.17,La Plata,33.38,0.35,1001829600La Plata,37.23009167,-107.9126813,0.44,,0,0,,0,,1019.73,CO,1001855265,1001897858,77.7,1001883600,48.25,1001854800,1001829600,9.99,64,3.8
0,2001-10-31 00:00:00,55.66,1004572800,32.92,1004594400,0.51,La Plata,34.5,0.59,1004511600La Plata,37.23009167,-107.9126813,0.48,,0.0013,0.0148,1004558400,0.56,rain,1013.27,CO,1004535407,1004573770,55.66,1004572800,36.49,1004594400,1004511600,9.98,266,1.49
0,2001-11-30 00:00:00,22.34,1007154000,11.63,1007186400,0.72,La Plata,19.65,0.81,1007103600La Plata,37.23009167,-107.9126813,0.49,0.801,0.0027,0.0236,1007139600,0.62,snow,1017.87,CO,1007129272,1007164570,31.27,1007154000,19.08,1007182800,1007103600,8.24,237,3.03
0,2001-12-31 00:00:00,31.78,1009836000,15.14,1009861200,0.58,La Plata,21.6,0.84,1009782000La Plata,37.23009167,-107.9126813,0.55,,0,0,,0,,1019.34,CO,1009808802,1009843522,31.78,1009836000,19.95,1009864800,1009782000,9.3,287,1.08
0,2002-01-31 00:00:00,26.77,1012521600,-6.32,1012485600,0.16,La Plata,3.67,0.62,1012460400La Plata,37.23009167,-107.9126813,0.61,1.508,0.0033,0.04,1012464000,0.69,snow,1023.32,CO,1012486593,1012523772,31.68,1012521600,4.84,1012485600,1012460400,9.73,292,2.64
0,2002-02-28 00:00:00,42.62,1014930000,2.52,1014901200,0.05,La Plata,0.07,0.33,1014879600La Plata,37.23009167,-107.9126813,0.55,0.119,0.0004,0.01,1014940800,0.51,snow,1011.67,CO,1014903920,1014944754,48.14,1014930000,9.49,1014904800,1014879600,9.94,208,1.46
0,2002-03-31 00:00:00,69.07,1017619200,24.34,1017572400,0,La Plata,17.42,0.32,1017558000La Plata,37.23009167,-107.9126813,0.61,,0,0,,0,,1014.82,CO,1017579574,1017624851,69.07,1017619200,29.31,1017579600,1017558000,10,261,1.91
0,2002-04-30 00:00:00,72.15,1020207600,29.5,1020171600,0,La Plata,9.93,0.18,1020146400La Plata,37.23009167,-107.9126813,0.63,,0,0,,0,,1008.62,CO,1020169138,1020218464,72.15,1020207600,35.72,1020171600,1020146400,9.99,230,7.23
0,2002-05-31 00:00:00,85.88,1022878800,51.48,1022846400,0.01,La Plata,27.8,0.22,1022824800La Plata,37.23009167,-107.9126813,0.68,,0,0,,0,,1009.52,CO,1022846081,1022898419,91.05,1022878800,51.48,1022846400,1022824800,9.97,250,1.13
0,2002-06-30 00:00:00,89.93,1025481600,52.9,1025438400,0,La Plata,27.61,0.19,1025416800La Plata,37.23009167,-107.9126813,0.69,,0,0,,0,,1012.93,CO,1025438151,1025491030,94.69,1025481600,52.9,1025438400,1025416800,9.18,276,3.03
0,2002-07-31 00:00:00,87.25,1028149200,55.13,1028120400,0.02,La Plata,36.22,0.28,1028095200La Plata,37.23009167,-107.9126813,0.73,,0,0,,0,,1012.57,CO,1028117814,1028168494,91.86,1028149200,55.13,1028120400,1028095200,9.89,233,0.24
0,2002-08-31 00:00:00,80.34,1030831200,44.34,1030795200,0.1,La Plata,33.49,0.34,1030773600La Plata,37.23009167,-107.9126813,0.77,,0,0,,0,,1018.36,CO,1030797783,1030844627,82.88,1030831200,46.2,1030795200,1030773600,10,258,0.87
0,2002-09-30 00:00:00,66.75,1033426800,34.27,1033390800,0.08,La Plata,35.09,0.62,1033365600La Plata,37.23009167,-107.9126813,0.79,,0.0002,0.0056,1033376400,0.25,rain,1014.43,CO,1033391252,1033433881,66.75,1033426800,38.6,1033390800,1033365600,9.91,116,2.19
0,2002-10-31 00:00:00,51.76,1036098000,26.41,1036069200,0.16,La Plata,30.34,0.68,1036047600La Plata,37.23009167,-107.9126813,0.85,,0.0009,0.0168,1036051200,0.58,rain,1015.3,CO,1036071391,1036109787,51.76,1036098000,31.91,1036072800,1036047600,9.53,140,1.95
0,2002-11-30 00:00:00,48.46,1038697200,12.36,1038646800,0.41,La Plata,17.79,0.58,1038639600La Plata,37.23009167,-107.9126813,0.87,,0.0041,0.0673,1038718800,0.75,rain,1025.66,CO,1038665257,1038700573,48.46,1038697200,19.2,1038654000,1038639600,9.86,72,1.76
0,2002-12-31 00:00:00,28.82,1041379200,4.24,1041332400,0.53,La Plata,16.37,0.74,1041318000La Plata,37.23009167,-107.9126813,0.93,0.162,0.0007,0.0115,1041393600,0.53,snow,1022.22,CO,1041344799,1041379510,35.92,1041379200,10.29,1041328800,1041318000,8.89,56,0.19
0,2003-01-31 00:00:00,54.15,1044054000,17.03,1044021600,0.01,La Plata,24.18,0.62,1043996400La Plata,37.23009167,-107.9126813,0.98,,0,0,,0,,1026.18,CO,1044022605,1044059755,54.15,1044054000,22.65,1044021600,1043996400,10,98,1.39
0,2003-02-28 00:00:00,26.4,1046462400,13.21,1046451600,0.83,La Plata,21.55,0.83,1046415600La Plata,37.23009167,-107.9126813,0.93,0.846,0.0035,0.023,1046480400,0.62,snow,1010.39,CO,1046439941,1046480738,30.76,1046462400,20.32,1046491200,1046415600,7.63,228,4.13
0,2003-03-31 00:00:00,66.81,1049155200,21.32,1049104800,0,La Plata,16.86,0.38,1049094000La Plata,37.23009167,-107.9126813,0.97,,0,0,,0,,1020.88,CO,1049115597,1049160837,66.81,1049155200,22.86,1049115600,1049094000,10,205,1.76
0,2003-04-30 00:00:00,59.28,1051736400,32.6,1051704000,0.02,La Plata,9.56,0.24,1051682400La Plata,37.23009167,-107.9126813,0.98,,0,0,,0,,1008.19,CO,1051705156,1051754450,59.28,1051736400,32.6,1051704000,1051682400,9.73,245,7.48
0,2003-05-31 00:00:00,80.31,1054407600,56.27,1054386000,0.18,La Plata,41.98,0.38,1054360800La Plata,37.23009167,-107.9126813,0.02,,0.0028,0.0416,1054411200,0.69,rain,1010.05,CO,1054382087,1054434409,82.27,1054407600,56.27,1054386000,1054360800,9.89,331,2.36
0,2003-06-30 00:00:00,85.68,1057017600,55.72,1056960000,0.01,La Plata,32.73,0.25,1056952800La Plata,37.23009167,-107.9126813,0.03,,0,0,,0,,1014.24,CO,1056974144,1057027031,90.04,1057017600,55.72,1056960000,1056952800,9.99,154,1.91
0,2003-07-31 00:00:00,82.25,1059685200,60.31,1059652800,0.21,La Plata,50.28,0.49,1059631200La Plata,37.23009167,-107.9126813,0.08,,0.0067,0.0549,1059692400,0.72,rain,1017.59,CO,1059653801,1059704508,84.69,1059685200,60.31,1059652800,1059631200,9.9,31,2.65
0,2003-08-31 00:00:00,79.76,1062374400,51.14,1062331200,0.16,La Plata,43.75,0.51,1062309600La Plata,37.23009167,-107.9126813,0.14,,0,0,,0,,1017.04,CO,1062333770,1062380649,81.7,1062374400,51.14,1062331200,1062309600,9.92,322,1.22
0,2003-09-30 00:00:00,78.79,1064959200,36.36,1064926800,0.02,La Plata,30.06,0.35,1064901600La Plata,37.23009167,-107.9126813,0.17,,0,0,,0,,1018.88,CO,1064927239,1064969905,80.52,1064959200,39.61,1064926800,1064901600,9.99,228,0.53
0,2003-10-31 00:00:00,61.82,1067634000,28.99,1067608800,0.1,La Plata,23.12,0.38,1067583600La Plata,37.23009167,-107.9126813,0.23,,0,0,,0,,1011.59,CO,1067607375,1067645804,61.82,1067634000,35.23,1067608800,1067583600,9.65,187,7.07
0,2003-11-30 00:00:00,53.03,1070229600,11.22,1070190000,0.02,La Plata,16.01,0.53,1070175600La Plata,37.23009167,-107.9126813,0.25,,0,0,,0,,1027.23,CO,1070201242,1070236577,53.03,1070229600,18.23,1070200800,1070175600,10,70,2.14
