,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,24.15,949348800,-13.9,949312800,0.48,Lake,2.98,0.65,949302000Lake,39.19825133,-106.3642143,0.85,,0,0,,0,,1019.09,CO,949328083,949364729,27.96,949348800,0.36,949302000,949302000,8.92,13,5.56
0,2000-02-29 00:00:00,42.24,951858000,11.24,951886800,0.36,Lake,20.39,0.63,951807600Lake,39.19825133,-106.3642143,0.83,0.045,0.0003,0.0059,951843600,0.27,snow,1014.44,CO,951831602,951872316,44.91,951858000,17.68,951886800,951807600,9.54,326,2.78
0,2000-03-31 00:00:00,14.08,954547200,5.71,954500400,0.94,Lake,16.41,0.83,954486000Lake,39.19825133,-106.3642143,0.86,0.391,0.0012,0.0102,954525600,0.51,snow,1017.38,CO,954507089,954552574,23.59,954547200,18.69,954496800,954486000,6.26,192,8.48
0,2000-04-30 00:00:00,42.6,957132000,25.48,957096000,0.81,Lake,28.1,0.69,957074400Lake,39.19825133,-106.3642143,0.88,,0.0004,0.003,957074400,0.1,rain,1014.48,CO,957096513,957146340,45.92,957132000,31.37,957157200,957074400,8.94,352,7.39
0,2000-05-31 00:00:00,74.73,959806800,36.39,959770800,0.03,Lake,20.63,0.24,959752800Lake,39.19825133,-106.3642143,0.93,,0,0,,0,,1005.19,CO,959773361,959826406,74.73,959806800,41.13,959770800,959752800,9.82,230,5.94
0,2000-06-30 00:00:00,74.63,962402400,41.89,962359200,0.27,Lake,33.61,0.45,962344800Lake,39.19825133,-106.3642143,0.96,,0,0,,0,,1012.28,CO,962365435,962419014,74.63,962402400,41.89,962359200,962344800,10,208,1.42
0,2000-07-31 00:00:00,76.99,965088000,38.59,965048400,0.04,Lake,27.89,0.36,965023200Lake,39.19825133,-106.3642143,0.03,,0.0008,0.02,965088000,0.6,rain,1017.84,CO,965045201,965096361,76.99,965088000,40.2,965041200,965023200,9.99,52,2.14
0,2000-08-31 00:00:00,63.34,967762800,37.75,967716000,0.5,Lake,41.13,0.73,967701600Lake,39.19825133,-106.3642143,0.09,,0.0006,0.0041,967773600,0.16,rain,1012.89,CO,967725316,967772330,63.34,967762800,40.46,967723200,967701600,9.96,125,1.25
0,2000-09-30 00:00:00,72,970351200,40.47,970322400,0.31,Lake,33.53,0.54,970293600Lake,39.19825133,-106.3642143,0.1,,0,0,,0,,1013.24,CO,970318942,970361428,72,970351200,43.15,970311600,970293600,10,304,4.96
0,2000-10-31 00:00:00,28.17,973008000,11.02,973058400,0.71,Lake,22,0.76,972975600Lake,39.19825133,-106.3642143,0.15,0.316,0.0017,0.0109,973029600,0.52,snow,1005.82,CO,972999244,973037190,36.71,973008000,21.84,973054800,972975600,7.89,199,1.89
0,2000-11-30 00:00:00,34,975628800,6.82,975650400,0.32,Lake,12.51,0.53,975567600Lake,39.19825133,-106.3642143,0.15,,0,0,,0,,1015.87,CO,975593227,975627883,34,975628800,13.86,975650400,975567600,8.94,305,8.78
0,2000-12-31 00:00:00,18.96,978292800,-3.2,978267600,0.21,Lake,5.71,0.59,978246000Lake,39.19825133,-106.3642143,0.19,,0,0,,0,,1023.04,CO,978272768,978306827,29.57,978292800,7.26,978267600,978246000,9.82,355,6.09
0,2001-01-31 00:00:00,4.38,980974800,-17.79,980949600,0.55,Lake,-3.49,0.66,980924400Lake,39.19825133,-106.3642143,0.23,,0,0,,0,,1022.73,CO,980950445,980987182,17.74,980974800,-5.73,980949600,980924400,9.21,351,4.88
0,2001-02-28 00:00:00,22.63,983390400,3.81,983365200,0.65,Lake,15.2,0.8,983343600Lake,39.19825133,-106.3642143,0.17,1.096,0.0041,0.0371,983412000,0.68,snow,1012.82,CO,983367625,983408300,31.53,983390400,11.73,983368800,983343600,8.6,218,0.45
0,2001-03-31 00:00:00,39.66,986061600,13.03,986029200,0.53,Lake,15.55,0.54,986022000Lake,39.19825133,-106.3642143,0.23,0.819,0.0034,0.04,986058000,0.69,snow,1013.97,CO,986043113,986088559,43.27,986061600,22.32,986040000,986022000,9.02,321,6.8
0,2001-04-30 00:00:00,58.44,988675200,29.58,988621200,0.13,Lake,21.77,0.4,988610400Lake,39.19825133,-106.3642143,0.25,,0,0,,0,,1014.88,CO,988632532,988682324,58.44,988675200,35.16,988621200,988610400,10,301,5.15
0,2001-05-31 00:00:00,63.96,991342800,29.93,991299600,0.15,Lake,26.41,0.44,991288800Lake,39.19825133,-106.3642143,0.32,,0.0046,0.09,991314000,0.77,rain,1014.56,CO,991309367,991362395,63.96,991342800,34.24,991299600,991288800,10,335,5.01
0,2001-06-30 00:00:00,78.75,993938400,44.89,993902400,0.28,Lake,38.71,0.46,993880800Lake,39.19825133,-106.3642143,0.34,,0,0,,0,,1015.05,CO,993901428,993955016,80.44,993938400,44.89,993902400,993880800,10,259,0.5
0,2001-07-31 00:00:00,68.34,996609600,45.83,996642000,0.61,Lake,47.16,0.72,996559200Lake,39.19825133,-106.3642143,0.39,,0.004,0.0761,996620400,0.76,rain,1011.74,CO,996581187,996632376,68.34,996609600,48.33,996642000,996559200,9.61,328,2.49
0,2001-08-31 00:00:00,70.76,999302400,35.99,999262800,0.55,Lake,41.53,0.74,999237600Lake,39.19825133,-106.3642143,0.43,,0.0512,0.38,999259200,0.88,rain,1015.15,CO,999261302,999308354,70.76,999302400,39.72,999262800,999237600,9.98,323,0.36
0,2001-09-30 00:00:00,64.4,1001883600,33.37,1001840400,0.3,Lake,29.72,0.51,1001829600Lake,39.19825133,-106.3642143,0.44,,0,0,,0,,1022.55,CO,1001854927,1001897453,64.4,1001883600,35.81,1001851200,1001829600,9.98,137,1.48
0,2001-10-31 00:00:00,42.73,1004522400,28.55,1004590800,0.67,Lake,28.81,0.64,1004511600Lake,39.19825133,-106.3642143,0.48,,0.0016,0.0127,1004562000,0.54,rain,1006.98,CO,1004535226,1004573208,46.48,1004522400,33.33,1004590800,1004511600,9.27,270,2.88
0,2001-11-30 00:00:00,13.85,1007154000,1.43,1007182800,0.84,Lake,9.77,0.72,1007103600Lake,39.19825133,-106.3642143,0.49,0.087,0.0002,0.0013,1007114400,0.02,snow,1009.55,CO,1007129211,1007163887,22.9,1007154000,10.99,1007182800,1007103600,7.77,331,5.15
0,2001-12-31 00:00:00,20.7,1009832400,-5.48,1009810800,0.55,Lake,7.8,0.65,1009782000Lake,39.19825133,-106.3642143,0.55,0.015,0.0001,0.001,1009821600,0.01,snow,1015.21,CO,1009808766,1009842814,26.44,1009832400,5.79,1009810800,1009782000,9.37,359,3.1
