,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,36.27,949352400,-0.98,949312800,0.12,Las Animas,14.82,0.63,949302000Las Animas,37.26808809,-104.3400759,0.85,,0,0,,0,,1019.22,CO,949327363,949364478,40.86,949352400,11.96,949327200,949302000,9.96,284,3.76
0,2000-02-29 00:00:00,52.11,951865200,18.88,951822000,0.24,Las Animas,26.11,0.63,951807600Las Animas,37.26808809,-104.3400759,0.83,,0.0008,0.0099,951822000,0.51,rain,1012.27,CO,951831022,951871924,52.11,951865200,30.35,951836400,951807600,8.87,308,6.74
0,2000-03-31 00:00:00,24.94,954558000,16.94,954540000,1,Las Animas,26.77,0.9,954486000Las Animas,37.26808809,-104.3400759,0.86,3.147,0.0147,0.0585,954525600,0.73,snow,1022.74,CO,954506669,954552022,30.86,954558000,27.11,954568800,954486000,3.82,332,10.48
0,2000-04-30 00:00:00,58.68,957139200,27.85,957103200,0.87,Las Animas,36.48,0.78,957074400Las Animas,37.26808809,-104.3400759,0.88,,0.0365,0.1757,957078000,0.83,rain,1018.71,CO,957096242,957145639,58.68,957139200,37.18,957103200,957074400,9.53,346,13.44
0,2000-05-31 00:00:00,88.29,959803200,50.19,959774400,0.09,Las Animas,44.73,0.49,959752800Las Animas,37.26808809,-104.3400759,0.93,,0.0037,0.0865,959835600,0.77,rain,1006.48,CO,959773206,959825589,92.57,959803200,50.19,959774400,959752800,9.2,161,8.47
0,2000-06-30 00:00:00,80.61,962398800,54.93,962366400,0.03,Las Animas,51.03,0.58,962344800Las Animas,37.26808809,-104.3400759,0.96,,0,0,,0,,1013.02,CO,962365300,962418177,82.08,962398800,54.93,962366400,962344800,9.99,259,5.42
0,2000-07-31 00:00:00,81.34,965088000,54.94,965044800,0.08,Las Animas,43.87,0.42,965023200Las Animas,37.26808809,-104.3400759,0.03,,0,0,,0,,1017.41,CO,965044977,965095613,84.14,965088000,54.94,965044800,965023200,9.94,330,2.92
0,2000-08-31 00:00:00,81.13,967762800,58.6,967719600,0.14,Las Animas,45.65,0.45,967701600Las Animas,37.26808809,-104.3400759,0.09,,0.0002,0.004,967777200,0.15,rain,1010.32,CO,967724948,967771727,83.75,967762800,58.6,967719600,967701600,9.98,282,2.02
0,2000-09-30 00:00:00,79.73,970351200,53.84,970311600,0.03,Las Animas,36.25,0.34,970293600Las Animas,37.26808809,-104.3400759,0.1,,0,0,,0,,1010.44,CO,970318421,970360977,82.02,970351200,53.84,970311600,970293600,10,276,10.52
0,2000-10-31 00:00:00,60.7,973022400,27.17,973058400,0.15,Las Animas,26.86,0.45,972975600Las Animas,37.26808809,-104.3400759,0.15,,0,0,,0,,1006.75,CO,972998569,973036893,60.7,973022400,37,973058400,972975600,9.98,211,14.78
0,2000-11-30 00:00:00,62.65,975621600,21.46,975650400,0,Las Animas,19.76,0.42,975567600Las Animas,37.26808809,-104.3400759,0.15,,0,0,,0,,1015.42,CO,975592434,975627703,62.65,975621600,29.94,975650400,975567600,9.97,53,2.18
0,2000-12-31 00:00:00,37.1,978296400,-2.49,978256800,0,Las Animas,14.15,0.7,978246000Las Animas,37.26808809,-104.3400759,0.19,,0,0,,0,,1024.91,CO,978271954,978306669,38.95,978296400,10.1,978256800,978246000,9.95,289,3.85
0,2001-01-31 00:00:00,35.6,980982000,-0.49,980949600,0.02,Las Animas,13.83,0.66,980924400Las Animas,37.26808809,-104.3400759,0.23,0.023,0.0001,0.0018,980960400,0.04,snow,1021.46,CO,980949728,980986927,35.6,980982000,13.81,980949600,980924400,9.97,254,6.37
0,2001-02-28 00:00:00,42.49,983404800,8.81,983350800,0.65,Las Animas,21.86,0.9,983343600Las Animas,37.26808809,-104.3400759,0.17,3.006,0.0083,0.0225,983354400,0.62,snow,1018.91,CO,983367044,983407909,47.73,983404800,18.03,983368800,983343600,5.84,104,2.44
0,2001-03-31 00:00:00,69.67,986083200,27.84,986047200,0.38,Las Animas,29.49,0.62,986022000Las Animas,37.26808809,-104.3400759,0.23,,0,0,,0,,1013.69,CO,986042693,986088008,69.67,986083200,33.89,986047200,986022000,9.98,61,4.35
0,2001-04-30 00:00:00,79.22,988675200,38.73,988632000,0.01,Las Animas,28.37,0.35,988610400Las Animas,37.26808809,-104.3400759,0.25,,0.0001,0.0015,988614000,0.03,rain,1012.52,CO,988632260,988681625,81.96,988675200,44.86,988632000,988610400,9.99,264,5.3
0,2001-05-31 00:00:00,79.7,991353600,39.91,991310400,0.04,Las Animas,43.62,0.56,991288800Las Animas,37.26808809,-104.3400759,0.32,,0.0003,0.0025,991350000,0.07,rain,1014.71,CO,991309212,991361578,81.85,991353600,45.94,991310400,991288800,9.98,232,3.28
0,2001-06-30 00:00:00,87.03,993934800,60.9,993902400,0.08,Las Animas,47.68,0.41,993880800Las Animas,37.26808809,-104.3400759,0.34,,0.0007,0.0158,993938400,0.57,rain,1014.06,CO,993901293,993954179,90.92,993934800,60.9,993902400,993880800,9.93,216,5.91
0,2001-07-31 00:00:00,87.18,996624000,66.15,996584400,0.13,Las Animas,54.2,0.46,996559200Las Animas,37.26808809,-104.3400759,0.39,,0.0012,0.0076,996559200,0.38,rain,1008.86,CO,996580964,996631628,90.65,996624000,66.15,996584400,996559200,9.9,218,11.64
0,2001-08-31 00:00:00,80.15,999288000,54.08,999255600,0.09,Las Animas,44.99,0.48,999237600Las Animas,37.26808809,-104.3400759,0.43,,0.0067,0.072,999295200,0.75,rain,1013.12,CO,999260935,999307750,81.75,999288000,54.08,999255600,999237600,9.99,212,2.29
