,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,38.19,949356000,1.81,949323600,0.06,Lincoln,8.89,0.58,949302000Lincoln,39.14205317,-103.4900195,0.85,,0,0,,0,,1021.61,CO,949327387,949364046,41.83,949356000,9.25,949327200,949302000,9.68,282,1.28
0,2000-02-29 00:00:00,54.73,951865200,25.45,951890400,0.4,Lincoln,25.61,0.51,951807600Lincoln,39.14205317,-103.4900195,0.83,,0.0003,0.0061,951843600,0.28,rain,1011.21,CO,951830910,951871629,54.73,951865200,31.01,951890400,951807600,9.82,0,10.29
0,2000-03-31 00:00:00,32.95,954547200,18.61,954507600,0.97,Lincoln,28.91,0.91,954486000Lincoln,39.14205317,-103.4900195,0.86,1.917,0.0096,0.0275,954500400,0.64,snow,1025.12,CO,954506401,954551882,37.53,954547200,29.29,954565200,954486000,3.58,23,10.07
0,2000-04-30 00:00:00,55.28,957139200,28.75,957092400,0.86,Lincoln,37.25,0.81,957074400Lincoln,39.14205317,-103.4900195,0.88,,0.0211,0.1319,957078000,0.81,rain,1019.98,CO,957095830,957145643,55.28,957139200,39.5,957103200,957074400,9.27,5,18.56
0,2000-05-31 00:00:00,82.51,959814000,54,959767200,0.45,Lincoln,52.89,0.67,959752800Lincoln,39.14205317,-103.4900195,0.93,,0.0001,0.002,959778000,0.05,rain,1007.91,CO,959772681,959825706,84.15,959814000,54,959767200,959752800,8.18,151,6.83
0,2000-06-30 00:00:00,82.91,962402400,54.59,962366400,0.17,Lincoln,49.65,0.51,962344800Lincoln,39.14205317,-103.4900195,0.96,,0,0,,0,,1012.02,CO,962364755,962418314,85.31,962402400,54.59,962366400,962344800,9.69,174,5.53
0,2000-07-31 00:00:00,84.4,965088000,53.7,965044800,0.07,Lincoln,48.63,0.51,965023200Lincoln,39.14205317,-103.4900195,0.03,,0,0,,0,,1017.73,CO,965044519,965095664,87.76,965088000,53.7,965044800,965023200,9.8,82,2.28
0,2000-08-31 00:00:00,75.73,967766400,56.56,967723200,0.55,Lincoln,54.41,0.71,967701600Lincoln,39.14205317,-103.4900195,0.09,,0.0046,0.0487,967770000,0.71,rain,1012.1,CO,967724630,967771638,75.73,967766400,56.56,967723200,967701600,9.63,37,4.66
0,2000-09-30 00:00:00,79.66,970344000,48.76,970318800,0.16,Lincoln,40.57,0.47,970293600Lincoln,39.14205317,-103.4900195,0.1,,0,0,,0,,1009.93,CO,970318251,970360740,81.74,970344000,49.74,970318800,970293600,10,276,4.79
0,2000-10-31 00:00:00,55.82,973022400,31.31,972997200,0.32,Lincoln,35.72,0.77,972975600Lincoln,39.14205317,-103.4900195,0.15,,0.0044,0.0558,973033200,0.73,rain,1007.75,CO,972998548,973036506,55.82,973022400,33.09,972993600,972975600,8.75,268,2.85
0,2000-11-30 00:00:00,53.66,975614400,15.67,975567600,0.09,Lincoln,17.62,0.52,975567600Lincoln,39.14205317,-103.4900195,0.15,,0,0,,0,,1017.73,CO,975592527,975627202,53.66,975614400,21.48,975578400,975567600,9.84,339,7.7
0,2000-12-31 00:00:00,28.37,978292800,6.02,978264000,0.35,Lincoln,16.38,0.79,978246000Lincoln,39.14205317,-103.4900195,0.19,,0,0,,0,,1026.31,CO,978272068,978306146,33.33,978292800,9.54,978271200,978246000,8.46,198,1.58
0,2001-01-31 00:00:00,31.34,980974800,3.83,980949600,0.23,Lincoln,10.87,0.65,980924400Lincoln,39.14205317,-103.4900195,0.23,,0,0,,0,,1022.54,CO,980949748,980986499,31.34,980974800,13.06,981007200,980924400,9.81,270,3.23
0,2001-02-28 00:00:00,36.99,983404800,4.17,983347200,0.74,Lincoln,17.47,0.81,983343600Lincoln,39.14205317,-103.4900195,0.17,0.723,0.0028,0.036,983386800,0.68,snow,1020.44,CO,983366933,983407612,39.09,983404800,13.08,983343600,983343600,8.39,181,5.64
0,2001-03-31 00:00:00,60.91,986083200,22.75,986043600,0.53,Lincoln,27.71,0.69,986022000Lincoln,39.14205317,-103.4900195,0.23,,0.0012,0.0081,986058000,0.42,rain,1016.17,CO,986042426,986087867,60.91,986083200,29.22,986043600,986022000,9.42,50,1.82
0,2001-04-30 00:00:00,77.46,988675200,38.59,988632000,0.2,Lincoln,33.03,0.4,988610400Lincoln,39.14205317,-103.4900195,0.25,,0.0005,0.0061,988642800,0.28,rain,1012.78,CO,988631849,988681628,77.46,988675200,42.77,988632000,988610400,9.87,293,2.47
0,2001-05-31 00:00:00,75.93,991353600,45.63,991306800,0.21,Lincoln,48.51,0.7,991288800Lincoln,39.14205317,-103.4900195,0.32,,0.0001,0.0029,991306800,0.09,rain,1015.88,CO,991308687,991361695,75.93,991353600,46.22,991303200,991288800,9.59,44,2.11
0,2001-06-30 00:00:00,89.08,993931200,61.95,993902400,0.19,Lincoln,52.24,0.43,993880800Lincoln,39.14205317,-103.4900195,0.34,,0.0039,0.0696,993880800,0.75,rain,1012.88,CO,993900748,993954315,92.2,993931200,61.95,993902400,993880800,10,166,7.45
0,2001-07-31 00:00:00,88.1,996613200,69.03,996642000,0.28,Lincoln,54.68,0.45,996559200Lincoln,39.14205317,-103.4900195,0.39,,0.004,0.0864,996627600,0.77,rain,1007.32,CO,996580505,996631679,90.67,996613200,69.03,996642000,996559200,9.8,220,5.99
0,2001-08-31 00:00:00,78.83,999291600,58.87,999262800,0.48,Lincoln,54.32,0.65,999237600Lincoln,39.14205317,-103.4900195,0.43,,0.0047,0.0298,999306000,0.65,rain,1012.7,CO,999260616,999307662,78.83,999291600,58.87,999262800,999237600,9.59,171,6.03
0,2001-09-30 00:00:00,76.64,1001887200,48.14,1001847600,0.14,Lincoln,44.59,0.55,1001829600Lincoln,39.14205317,-103.4900195,0.44,,0,0,,0,,1021.91,CO,1001854236,1001896765,76.64,1001887200,49.91,1001847600,1001829600,10,2,1.08
0,2001-10-31 00:00:00,72.83,1004554800,42.89,1004590800,0.2,Lincoln,29.64,0.32,1004511600Lincoln,39.14205317,-103.4900195,0.48,,0,0,,0,,1004.04,CO,1004534530,1004572524,72.83,1004554800,42.94,1004594400,1004511600,9.79,264,10.68
0,2001-11-30 00:00:00,37.54,1007154000,11.5,1007103600,0.28,Lincoln,16.16,0.59,1007103600Lincoln,39.14205317,-103.4900195,0.49,,0,0,,0,,1009.92,CO,1007128512,1007163206,43.71,1007154000,19.92,1007103600,1007103600,9.73,281,5.25
0,2001-12-31 00:00:00,27.76,1009836000,2.99,1009803600,0.34,Lincoln,13.46,0.76,1009782000Lincoln,39.14205317,-103.4900195,0.55,,0,0,,0,,1023.02,CO,1009808066,1009842134,32.56,1009836000,9.97,1009807200,1009782000,9.2,147,0.19
0,2002-01-31 00:00:00,12.96,1012510800,-2.46,1012489200,0.44,Lincoln,6.53,0.65,1012460400Lincoln,39.14205317,-103.4900195,0.61,0.422,0.0009,0.0077,1012464000,0.39,snow,1023.17,CO,1012485762,1012522480,25.8,1012510800,9.43,1012532400,1012460400,8.18,345,9.79
0,2002-02-28 00:00:00,44.64,1014933600,0.98,1014879600,0.25,Lincoln,11.29,0.53,1014879600Lincoln,39.14205317,-103.4900195,0.55,0.135,0.0006,0.0067,1014958800,0.32,snow,1011.23,CO,1014902955,1014943596,48.75,1014933600,11.8,1014879600,1014879600,9.38,82,3.34
