,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.49,949352400,0.52,949323600,0.54,Moffat,12.95,0.68,949302000Moffat,40.570502,-107.9777003,0.85,0.693,0.0027,0.0205,949370400,0.6,snow,1022.97,CO,949328645,949364942,32.49,949352400,13.04,949312800,949302000,9.03,114,2.09
0,2000-02-29 00:00:00,43.84,951861600,15,951832800,0.38,Moffat,20.97,0.65,951807600Moffat,40.570502,-107.9777003,0.83,0.102,0.0006,0.0135,951843600,0.55,snow,1017.12,CO,951832059,951872634,45.37,951861600,21.96,951832800,951807600,9.92,246,3.06
0,2000-03-31 00:00:00,42.6,954547200,19.51,954493200,0.61,Moffat,21.63,0.6,954486000Moffat,40.570502,-107.9777003,0.86,,0.0022,0.018,954532800,0.59,rain,1019.88,CO,954507426,954553011,46.18,954547200,29.42,954507600,954486000,9.83,39,8.54
0,2000-04-30 00:00:00,66.83,957139200,34.88,957092400,0.49,Moffat,28.79,0.51,957074400Moffat,40.570502,-107.9777003,0.88,,0.0002,0.0047,957132000,0.2,rain,1020.56,CO,957096739,957146888,66.83,957139200,39.46,957099600,957074400,10,349,6.02
0,2000-05-31 00:00:00,81.22,959806800,47.3,959774400,0.02,Moffat,30.02,0.28,959752800Moffat,40.570502,-107.9777003,0.93,,0,0,,0,,1005.57,CO,959773499,959827042,84.32,959806800,48.26,959774400,959752800,9.92,245,5.89
0,2000-06-30 00:00:00,82.5,962398800,43.72,962366400,0.05,Moffat,35.76,0.35,962344800Moffat,40.570502,-107.9777003,0.96,,0,0,,0,,1011.58,CO,962365558,962419665,85.83,962398800,47.44,962366400,962344800,10,188,1.2
0,2000-07-31 00:00:00,88.07,965088000,53.38,965044800,0.04,Moffat,38.42,0.33,965023200Moffat,40.570502,-107.9777003,0.03,,0,0,,0,,1016.37,CO,965045392,965096944,92.41,965088000,53.38,965044800,965023200,9.97,80,2.48
0,2000-08-31 00:00:00,71.91,967755600,51.66,967726800,0.49,Moffat,47.37,0.63,967701600Moffat,40.570502,-107.9777003,0.09,,0.0096,0.1208,967712400,0.8,rain,1012.37,CO,967725616,967772805,71.91,967755600,51.66,967726800,967701600,9.89,214,3.49
0,2000-09-30 00:00:00,73.42,970358400,41.52,970322400,0.1,Moffat,38.06,0.56,970293600Moffat,40.570502,-107.9777003,0.1,,0,0,,0,,1014.59,CO,970319355,970361789,73.42,970358400,41.99,970318800,970293600,9.99,250,5.21
