,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,30.5,949363200,18.19,949302000,0.91,Montezuma,24.05,0.84,949302000Montezuma,37.41688838,-108.5914044,0.85,2.484,0.0102,0.1292,949384800,0.81,snow,1020.08,CO,949328400,949365481,36.15,949363200,25.07,949309200,949302000,6.85,89,1.67
0,2000-02-29 00:00:00,45.63,951861600,24.5,951832800,0.31,Montezuma,26.18,0.69,951807600Montezuma,37.41688838,-108.5914044,0.83,,0.0005,0.0058,951836400,0.26,rain,1017.94,CO,951832049,951872938,49.45,951861600,24.5,951832800,951807600,9.89,252,0.47
0,2000-03-31 00:00:00,38.1,954547200,27.33,954518400,0.96,Montezuma,32.17,0.84,954486000Montezuma,37.41688838,-108.5914044,0.86,,0.0128,0.0403,954565200,0.69,rain,1012.81,CO,954507684,954553048,43.48,954547200,33.46,954568800,954486000,7.9,24,4.32
0,2000-04-30 00:00:00,70.72,957139200,38.07,957096000,0.19,Montezuma,32.12,0.44,957074400Montezuma,37.41688838,-108.5914044,0.88,,0.0009,0.0208,957128400,0.61,rain,1014.65,CO,957097246,957146676,70.72,957139200,40.81,957096000,957074400,9.97,346,5.8
0,2000-05-31 00:00:00,85.37,959814000,46.69,959770800,0,Montezuma,27.48,0.2,959752800Montezuma,37.41688838,-108.5914044,0.93,,0,0,,0,,1006.87,CO,959774201,959826634,89.32,959814000,49.63,959770800,959752800,10,199,3.95
0,2000-06-30 00:00:00,85.44,962409600,53.18,962366400,0.18,Montezuma,50,0.52,962344800Montezuma,37.41688838,-108.5914044,0.96,,0.0004,0.0093,962427600,0.5,rain,1012.51,CO,962366294,962419224,86.6,962409600,53.18,962366400,962344800,10,132,1.73
0,2000-07-31 00:00:00,86.23,965084400,53.47,965044800,0.01,Montezuma,46.37,0.45,965023200Montezuma,37.41688838,-108.5914044,0.03,,0,0,,0,,1016.87,CO,965045978,965096653,89.9,965084400,53.47,965044800,965023200,9.99,159,2.46
0,2000-08-31 00:00:00,75.95,967759200,51.8,967726800,0.44,Montezuma,47.49,0.59,967701600Montezuma,37.41688838,-108.5914044,0.09,,0.0003,0.0083,967716000,0.43,rain,1013.41,CO,967725960,967772755,75.95,967759200,51.8,967726800,967701600,9.99,124,1.01
0,2000-09-30 00:00:00,78.5,970358400,43.85,970318800,0.07,Montezuma,41.19,0.53,970293600Montezuma,37.41688838,-108.5914044,0.1,,0,0,,0,,1015.26,CO,970319445,970361993,80.29,970358400,46.57,970318800,970293600,10,294,1.5
0,2000-10-31 00:00:00,43.32,972975600,31.08,972990000,0.81,Montezuma,32.12,0.79,972975600Montezuma,37.41688838,-108.5914044,0.15,,0.0132,0.1156,972990000,0.8,rain,1011.23,CO,972999604,973037899,44.9,972975600,31.18,973051200,972975600,9.05,211,3.83
0,2000-11-30 00:00:00,51.49,975621600,18.87,975600000,0.04,Montezuma,24.36,0.64,975567600Montezuma,37.41688838,-108.5914044,0.15,,0,0,,0,,1021.86,CO,975593478,975628701,51.49,975621600,25.02,975592800,975567600,10,356,1.76
