,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,33.62,949363200,10.91,949305600,0.77,Montrose,17.61,0.75,949302000Montrose,38.37045833,-108.3353917,0.85,1.263,0.0047,0.055,949384800,0.72,snow,1021.17,CO,949328454,949365305,36.05,949363200,19.18,949309200,949302000,8.1,91,2.06
0,2000-02-29 00:00:00,46.75,951861600,26.74,951825600,0.39,Montrose,25.51,0.66,951807600Montrose,38.37045833,-108.3353917,0.83,,0.0014,0.0212,951843600,0.61,rain,1017.25,CO,951832034,951872831,47.86,951861600,28.12,951832800,951807600,9.75,252,1.34
0,2000-03-31 00:00:00,42.79,954547200,26.74,954504000,0.89,Montrose,28.56,0.75,954486000Montrose,38.37045833,-108.3353917,0.86,,0.0098,0.0426,954522000,0.7,rain,1015.17,CO,954507590,954553018,45.58,954547200,32.48,954496800,954486000,8.32,17,5.65
0,2000-04-30 00:00:00,69.9,957139200,41.49,957096000,0.4,Montrose,30.69,0.44,957074400Montrose,38.37045833,-108.3353917,0.88,,0.0007,0.0132,957128400,0.55,rain,1016.13,CO,957097079,957146720,69.9,957139200,44.39,957099600,957074400,9.98,336,6.04
0,2000-05-31 00:00:00,84.81,959810400,53.05,959770800,0,Montrose,26.94,0.19,959752800Montrose,38.37045833,-108.3353917,0.93,,0,0,,0,,1005.1,CO,959773978,959826735,88.93,959810400,53.05,959770800,959752800,9.93,222,5.48
0,2000-06-30 00:00:00,83.33,962395200,54.62,962366400,0.12,Montrose,43.06,0.39,962344800Montrose,38.37045833,-108.3353917,0.96,,0.0003,0.0042,962427600,0.17,rain,1011.08,CO,962366061,962419334,86.68,962395200,54.62,962366400,962344800,10,152,1.92
0,2000-07-31 00:00:00,89.2,965088000,54.65,965044800,0.02,Montrose,42.1,0.37,965023200Montrose,38.37045833,-108.3353917,0.03,,0,0,,0,,1015.77,CO,965045789,965096719,93.51,965088000,54.65,965044800,965023200,9.97,146,1.58
0,2000-08-31 00:00:00,75.51,967755600,54.06,967726800,0.41,Montrose,47.08,0.56,967701600Montrose,38.37045833,-108.3353917,0.09,,0.0065,0.0969,967712400,0.78,rain,1012.36,CO,967725841,967772752,75.51,967755600,54.06,967726800,967701600,9.93,158,2.04
0,2000-09-30 00:00:00,78.65,970358400,44.87,970318800,0.11,Montrose,41.04,0.54,970293600Montrose,38.37045833,-108.3353917,0.1,,0,0,,0,,1014.66,CO,970319400,970361915,78.65,970358400,46.44,970318800,970293600,10,233,1.47
