,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,41.97,949356000,3.3,949320000,0.06,Morgan,9.81,0.55,949302000Morgan,40.30870413,-103.8142028,0.85,,0,0,,0,,1021.08,CO,949327613,949363976,41.97,949356000,13.38,949320000,949302000,9.99,238,3.22
0,2000-02-29 00:00:00,54.14,951865200,28.15,951832800,0.35,Morgan,23.52,0.47,951807600Morgan,40.30870413,-103.8142028,0.83,,0,0,,0,,1011.63,CO,951831047,951871648,54.14,951865200,33.09,951890400,951807600,9.98,351,6.32
0,2000-03-31 00:00:00,36.25,954547200,20.6,954500400,0.91,Morgan,27.99,0.88,954486000Morgan,40.30870413,-103.8142028,0.86,2.016,0.0101,0.0246,954525600,0.63,snow,1026.01,CO,954506437,954552001,38.65,954547200,29.15,954507600,954486000,4.93,12,3.76
0,2000-04-30 00:00:00,58.72,957139200,28.75,957081600,0.79,Morgan,34.64,0.73,957074400Morgan,40.30870413,-103.8142028,0.88,,0.0156,0.1082,957078000,0.79,rain,1021.92,CO,957095772,957145857,58.72,957139200,38.55,957085200,957074400,9.49,1,15.73
0,2000-05-31 00:00:00,77.56,959810400,52.36,959763600,0.56,Morgan,53.92,0.75,959752800Morgan,40.30870413,-103.8142028,0.93,,0.001,0.0083,959756400,0.43,rain,1008.92,CO,959772548,959825994,77.56,959810400,52.36,959763600,959752800,7.53,111,4.71
0,2000-06-30 00:00:00,85.23,962402400,54.44,962362800,0.15,Morgan,48.2,0.5,962344800Morgan,40.30870413,-103.8142028,0.96,,0.0005,0.0124,962409600,0.54,rain,1011.49,CO,962364610,962418615,88.65,962402400,54.44,962362800,962344800,9.97,171,6.34
0,2000-07-31 00:00:00,86.36,965088000,55.92,965044800,0.07,Morgan,47.57,0.46,965023200Morgan,40.30870413,-103.8142028,0.03,,0,0,,0,,1017.37,CO,965044430,965095908,90.11,965088000,55.92,965044800,965023200,9.96,144,1.95
0,2000-08-31 00:00:00,73.85,967766400,53.41,967723200,0.53,Morgan,53.39,0.79,967701600Morgan,40.30870413,-103.8142028,0.09,,0.0076,0.0669,967770000,0.74,rain,1013.38,CO,967724633,967771790,73.85,967766400,53.41,967723200,967701600,9.67,59,2.59
0,2000-09-30 00:00:00,79.32,970344000,51.57,970318800,0.21,Morgan,39.37,0.44,970293600Morgan,40.30870413,-103.8142028,0.1,,0,0,,0,,1009.79,CO,970318350,970360796,79.32,970344000,51.57,970318800,970293600,10,254,6.82
0,2000-10-31 00:00:00,43.97,973022400,30.17,972993600,0.65,Morgan,36.96,0.88,972975600Morgan,40.30870413,-103.8142028,0.15,,0.0051,0.0355,973047600,0.67,rain,1008.03,CO,972998745,973036465,45.56,973022400,35.52,972993600,972975600,7.12,328,4.43
0,2000-11-30 00:00:00,41.02,975614400,15.52,975567600,0.14,Morgan,17.1,0.52,975567600Morgan,40.30870413,-103.8142028,0.15,,0,0,,0,,1018.05,CO,975592799,975627086,49.41,975614400,21.87,975574800,975567600,9.88,306,12.95
0,2000-12-31 00:00:00,24.94,978307200,4.75,978271200,0.52,Morgan,16.88,0.84,978246000Morgan,40.30870413,-103.8142028,0.19,0.056,0.0002,0.0041,978310800,0.16,snow,1025.93,CO,978272354,978306016,29.67,978307200,13.19,978271200,978246000,6.85,237,2.75
0,2001-01-31 00:00:00,24.44,980985600,-0.09,980946000,0.24,Morgan,7.9,0.62,980924400Morgan,40.30870413,-103.8142028,0.23,,0,0,,0,,1022.26,CO,980949972,980986430,29.76,980985600,10.52,980953200,980924400,9.98,260,5.61
0,2001-02-28 00:00:00,39.29,983404800,4.26,983343600,0.48,Morgan,16.67,0.76,983343600Morgan,40.30870413,-103.8142028,0.17,0.383,0.0015,0.0186,983386800,0.59,snow,1019.88,CO,983367070,983407630,43.45,983404800,11.95,983358000,983343600,8.58,197,3.05
0,2001-03-31 00:00:00,66.82,986083200,20.14,986022000,0.53,Morgan,27.64,0.68,986022000Morgan,40.30870413,-103.8142028,0.23,0.603,0.0026,0.0164,986032800,0.57,snow,1016.45,CO,986042463,986087985,66.82,986083200,26.81,986043600,986022000,8.43,357,1.34
