,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,27.74,949363200,6.74,949323600,0.75,Ouray,14.91,0.74,949302000Ouray,38.132559,-107.728036,0.85,1.155,0.0037,0.0496,949384800,0.71,snow,1020.85,CO,949328279,949365188,32.69,949363200,15.69,949309200,949302000,8.1,65,2.12
0,2000-02-29 00:00:00,45.7,951865200,25.06,951890400,0.39,Ouray,24.55,0.67,951807600Ouray,38.132559,-107.728036,0.83,,0.0013,0.0206,951843600,0.61,rain,1017.32,CO,951831876,951872696,45.7,951865200,27.38,951832800,951807600,9.69,274,1.55
0,2000-03-31 00:00:00,38.12,954547200,27.32,954504000,0.91,Ouray,28.31,0.82,954486000Ouray,38.132559,-107.728036,0.86,,0.0095,0.0379,954522000,0.68,rain,1014.94,CO,954507452,954552864,41.66,954547200,30.54,954496800,954486000,7.56,10,2.31
0,2000-04-30 00:00:00,65.93,957139200,40.08,957096000,0.44,Ouray,31.69,0.48,957074400Ouray,38.132559,-107.728036,0.88,,0.0007,0.0159,957128400,0.57,rain,1015.43,CO,957096960,957146547,65.93,957139200,42.89,957099600,957074400,9.87,330,5.72
0,2000-05-31 00:00:00,82.91,959810400,50.27,959770800,0,Ouray,25.96,0.21,959752800Ouray,38.132559,-107.728036,0.93,,0,0,,0,,1005.76,CO,959773873,959826548,86.56,959810400,50.27,959770800,959752800,10,225,4.66
0,2000-06-30 00:00:00,81.52,962395200,52.58,962362800,0.16,Ouray,42.69,0.42,962344800Ouray,38.132559,-107.728036,0.96,,0.0003,0.0038,962427600,0.14,rain,1011.68,CO,962365959,962419145,84.27,962395200,52.58,962362800,962344800,10,151,1.34
0,2000-07-31 00:00:00,85.89,965088000,50.94,965044800,0.03,Ouray,40.89,0.4,965023200Ouray,38.132559,-107.728036,0.03,,0.0004,0.0087,965088000,0.46,rain,1016.54,CO,965045675,965096541,89.88,965088000,50.94,965044800,965023200,9.97,152,1.29
0,2000-08-31 00:00:00,72.86,967755600,51.89,967726800,0.45,Ouray,46.33,0.59,967701600Ouray,38.132559,-107.728036,0.09,,0.0015,0.0138,967773600,0.55,rain,1012.81,CO,967725710,967772591,72.86,967755600,51.89,967726800,967701600,9.94,129,1.57
0,2000-09-30 00:00:00,76.31,970351200,44.04,970318800,0.13,Ouray,39.82,0.54,970293600Ouray,38.132559,-107.728036,0.1,,0,0,,0,,1014.81,CO,970319250,970361774,76.31,970351200,45.49,970318800,970293600,10,272,1.59
0,2000-10-31 00:00:00,38.8,973015200,27.22,973051200,0.69,Ouray,29.36,0.73,972975600Ouray,38.132559,-107.728036,0.15,,0.009,0.0435,972990000,0.7,rain,1009.69,CO,972999466,973037622,41.54,973015200,30.04,973058400,972975600,9.3,230,2.53
0,2000-11-30 00:00:00,40.57,975625200,16.51,975600000,0.13,Ouray,19.29,0.55,975567600Ouray,38.132559,-107.728036,0.15,,0,0,,0,,1020.97,CO,975593383,975628381,44.96,975625200,23.14,975650400,975567600,9.91,296,2.22
0,2000-12-31 00:00:00,32.28,978300000,3.81,978267600,0.03,Ouray,8.44,0.58,978246000Ouray,38.132559,-107.728036,0.19,,0,0,,0,,1026.95,CO,978272911,978307338,36,978300000,11.48,978267600,978246000,9.99,156,0.78
0,2001-01-31 00:00:00,22.22,980985600,-9.51,980949600,0.19,Ouray,3.09,0.67,980924400Ouray,38.132559,-107.728036,0.23,,0,0,,0,,1027,CO,980950642,980987639,25.78,980985600,0.68,980949600,980924400,9.81,149,0.8
0,2001-02-28 00:00:00,38.56,983390400,19.08,983365200,0.56,Ouray,22.85,0.75,983343600Ouray,38.132559,-107.728036,0.17,0.855,0.0043,0.0287,983394000,0.65,snow,1013.15,CO,983367898,983408681,38.56,983390400,25.29,983426400,983343600,9.34,168,0.46
0,2001-03-31 00:00:00,56.46,986083200,22.18,986032800,0.08,Ouray,18.38,0.43,986022000Ouray,38.132559,-107.728036,0.23,,0.0007,0.0087,986029200,0.46,rain,1014.32,CO,986043476,986088850,56.46,986083200,25.79,986043600,986022000,9.9,251,1.91
0,2001-04-30 00:00:00,76.17,988675200,34.83,988632000,0.11,Ouray,24.77,0.34,988610400Ouray,38.132559,-107.728036,0.25,,0,0,,0,,1015.7,CO,988632978,988682532,76.17,988675200,38.71,988628400,988610400,9.99,262,2.81
0,2001-05-31 00:00:00,76.89,991353600,38.37,991310400,0.03,Ouray,26.97,0.31,991288800Ouray,38.132559,-107.728036,0.32,,0.002,0.039,991314000,0.68,rain,1014.03,CO,991309879,991362537,76.89,991353600,41.09,991310400,991288800,10,309,2.22
0,2001-06-30 00:00:00,85.92,993934800,54.96,993902400,0.09,Ouray,40.96,0.36,993880800Ouray,38.132559,-107.728036,0.34,,0,0,,0,,1013.66,CO,993901952,993955146,89.92,993934800,54.96,993902400,993880800,9.99,112,1.66
0,2001-07-31 00:00:00,74.82,996616800,57.13,996584400,0.52,Ouray,54.08,0.7,996559200Ouray,38.132559,-107.728036,0.39,,0.0035,0.0181,996620400,0.59,rain,1012.86,CO,996581662,996632556,74.82,996616800,57.13,996584400,996559200,9.79,117,3.41
0,2001-08-31 00:00:00,77.65,999302400,50.38,999262800,0.31,Ouray,43,0.55,999237600Ouray,38.132559,-107.728036,0.43,,0.0217,0.1648,999259200,0.83,rain,1013.91,CO,999261696,999308615,77.65,999302400,50.38,999262800,999237600,9.98,139,2.37
