,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,40.33,949356000,-2.44,949327200,0.09,Phillips,12.68,0.69,949302000Phillips,40.6018665,-102.4066428,0.85,,0,0,,0,,1022.29,CO,949327313,949363600,42.59,949356000,9.46,949327200,949302000,9.08,290,4.61
0,2000-02-29 00:00:00,54.92,951865200,25.38,951890400,0.24,Phillips,27.08,0.53,951807600Phillips,40.6018665,-102.4066428,0.83,,0.0004,0.0106,951843600,0.52,rain,1011.1,CO,951830725,951871294,54.92,951865200,30.15,951890400,951807600,9.97,357,9.66
0,2000-03-31 00:00:00,43.27,954547200,25.74,954500400,0.84,Phillips,29.82,0.77,954486000Phillips,40.6018665,-102.4066428,0.86,,0.0077,0.0226,954500400,0.62,rain,1025.12,CO,954506089,954551674,46.85,954547200,32.59,954568800,954486000,7.5,23,5.36
0,2000-04-30 00:00:00,61.75,957139200,34.16,957085200,0.79,Phillips,39.64,0.79,957074400Phillips,40.6018665,-102.4066428,0.88,,0.0282,0.1171,957078000,0.8,rain,1020.02,CO,957095400,957145554,61.75,957139200,41.21,957157200,957074400,9.22,357,17.2
0,2000-05-31 00:00:00,77.7,959814000,52.61,959767200,0.73,Phillips,55.12,0.81,959752800Phillips,40.6018665,-102.4066428,0.93,,0.0008,0.0084,959770800,0.44,rain,1010.46,CO,959772157,959825710,77.7,959814000,52.61,959767200,959752800,7.09,110,7.51
0,2000-06-30 00:00:00,86.35,962409600,50.27,962362800,0.01,Phillips,49.78,0.55,962344800Phillips,40.6018665,-102.4066428,0.96,,0,0,,0,,1012.39,CO,962364215,962418335,89.48,962409600,50.27,962362800,962344800,9.77,156,3.95
0,2000-07-31 00:00:00,89.09,965088000,55.06,965044800,0,Phillips,52.71,0.55,965023200Phillips,40.6018665,-102.4066428,0.03,,0,0,,0,,1017.51,CO,965044050,965095613,92.12,965088000,55.06,965044800,965023200,9.68,149,3.64
0,2000-08-31 00:00:00,79.87,967766400,57.99,967726800,0.41,Phillips,56.29,0.75,967701600Phillips,40.6018665,-102.4066428,0.09,,0.0032,0.0267,967701600,0.64,rain,1012.59,CO,967724276,967771472,79.87,967766400,57.99,967726800,967701600,9.68,18,7.04
0,2000-09-30 00:00:00,80.25,970347600,52.28,970318800,0.01,Phillips,42.18,0.48,970293600Phillips,40.6018665,-102.4066428,0.1,,0,0,,0,,1008.23,CO,970318017,970360453,82.6,970347600,52.28,970318800,970293600,9.96,281,8.15
0,2000-10-31 00:00:00,55.69,973026000,33.84,972993600,0.45,Phillips,42.39,0.88,972975600Phillips,40.6018665,-102.4066428,0.15,,0.0083,0.0522,973044000,0.72,rain,1007.86,CO,972998437,973036097,55.69,973026000,37.79,972993600,972975600,7.45,178,0.59
0,2000-11-30 00:00:00,40.85,975614400,13.47,975574800,0.17,Phillips,20.85,0.63,975567600Phillips,40.6018665,-102.4066428,0.15,,0,0,,0,,1018.51,CO,975592511,975626698,48.86,975614400,22.26,975582000,975567600,9.67,316,10.53
0,2000-12-31 00:00:00,24.4,978307200,0.73,978274800,0.66,Phillips,13.25,0.89,978246000Phillips,40.6018665,-102.4066428,0.19,,0,0,,0,,1029.15,CO,978272070,978305624,31.68,978307200,7.76,978271200,978246000,6.03,192,3.39
