,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,21.75,949356000,-9.75,949330800,0.52,Pitkin,7.08,0.7,949302000Pitkin,39.23813867,-106.8441035,0.85,0.093,0.0003,0.0018,949356000,0.04,snow,1022.01,CO,949328203,949364840,28,949356000,2.22,949330800,949302000,8.33,350,1.14
0,2000-02-29 00:00:00,37.01,951858000,16.4,951890400,0.51,Pitkin,21.04,0.69,951807600Pitkin,39.23813867,-106.8441035,0.83,0.427,0.0023,0.0556,951843600,0.73,snow,1015.24,CO,951831719,951872430,39.96,951858000,22.01,951886800,951807600,8.99,302,2.3
0,2000-03-31 00:00:00,32.56,954547200,19.08,954511200,0.89,Pitkin,22.24,0.78,954486000Pitkin,39.23813867,-106.8441035,0.86,1.576,0.0086,0.0729,954532800,0.75,snow,1015.27,CO,954507202,954552691,38.58,954547200,23.91,954511200,954486000,8.54,163,1.56
0,2000-04-30 00:00:00,62.81,957139200,34.38,957096000,0.72,Pitkin,29.47,0.55,957074400Pitkin,39.23813867,-106.8441035,0.88,,0.0001,0.0021,957132000,0.06,rain,1015.16,CO,957096624,957146460,62.81,957139200,39.44,957099600,957074400,9.93,343,6.12
0,2000-05-31 00:00:00,80.14,959810400,42.13,959770800,0,Pitkin,25.63,0.25,959752800Pitkin,39.23813867,-106.8441035,0.93,,0,0,,0,,1005.53,CO,959773469,959826528,83.13,959810400,46.43,959770800,959752800,9.94,218,6.44
0,2000-06-30 00:00:00,79.13,962398800,43.36,962362800,0.27,Pitkin,36.89,0.4,962344800Pitkin,39.23813867,-106.8441035,0.96,,0,0,,0,,1011.27,CO,962365543,962419137,80.97,962398800,46.34,962366400,962344800,10,200,0.74
0,2000-07-31 00:00:00,84.21,965088000,43.1,965044800,0.08,Pitkin,33.74,0.35,965023200Pitkin,39.23813867,-106.8441035,0.03,,0.0006,0.0153,965088000,0.56,rain,1016.73,CO,965045311,965096482,87.92,965088000,46.43,965044800,965023200,9.99,212,2.15
0,2000-08-31 00:00:00,70.18,967762800,42.92,967723200,0.52,Pitkin,44.04,0.67,967701600Pitkin,39.23813867,-106.8441035,0.09,,0.0063,0.061,967712400,0.74,rain,1012.54,CO,967725429,967772448,70.18,967762800,45.91,967723200,967701600,9.84,204,3.38
0,2000-09-30 00:00:00,68.5,970358400,36.15,970311600,0.28,Pitkin,36.49,0.58,970293600Pitkin,39.23813867,-106.8441035,0.1,,0,0,,0,,1014.75,CO,970319058,970361542,68.5,970358400,39.81,970318800,970293600,10,256,2.91
