,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,39.84,949356000,2.91,949327200,0.09,Prowers,15.87,0.7,949302000Prowers,38.0183464,-102.4122948,0.85,,0,0,,0,,1021.23,CO,949326990,949363925,43.3,949356000,11.57,949327200,949302000,7.49,253,2.96
0,2000-02-29 00:00:00,57.82,951861600,31.26,951890400,0.25,Prowers,28.2,0.48,951807600Prowers,38.0183464,-102.4122948,0.83,,0.004,0.0369,951840000,0.68,rain,1009.24,CO,951830596,951871425,57.82,951861600,37.43,951886800,951807600,9.28,339,11.22
0,2000-03-31 00:00:00,40.5,954547200,25.01,954518400,0.96,Prowers,33.61,0.93,954486000Prowers,38.0183464,-102.4122948,0.86,,0.0219,0.0584,954493200,0.73,rain,1022.8,CO,954506182,954551584,44,954547200,33.53,954565200,954486000,5.96,33,9.42
0,2000-04-30 00:00:00,57.14,957139200,37.2,957110400,0.94,Prowers,42.59,0.82,957074400Prowers,38.0183464,-102.4122948,0.88,,0.0633,0.5977,957078000,0.91,rain,1017.13,CO,957095698,957145258,57.14,957139200,44.9,957103200,957074400,8.85,2,14.72
0,2000-05-31 00:00:00,89.68,959806800,57.53,959767200,0.33,Prowers,54.57,0.61,959752800Prowers,38.0183464,-102.4122948,0.93,,0.0049,0.1109,959835600,0.79,rain,1007.19,CO,959772617,959825252,91.64,959806800,57.53,959767200,959752800,9.36,150,7.97
0,2000-06-30 00:00:00,87.62,962409600,56.75,962366400,0.09,Prowers,55.74,0.6,962344800Prowers,38.0183464,-102.4122948,0.96,,0,0,,0,,1011.29,CO,962364703,962417849,89.89,962409600,56.75,962366400,962344800,9.59,149,3.75
0,2000-07-31 00:00:00,86.83,965088000,56.72,965044800,0.02,Prowers,53.09,0.53,965023200Prowers,38.0183464,-102.4122948,0.03,,0,0,,0,,1016.87,CO,965044414,965095251,89.7,965088000,56.72,965044800,965023200,9.36,119,2.64
0,2000-08-31 00:00:00,85.4,967766400,61.65,967719600,0.12,Prowers,54.22,0.53,967701600Prowers,38.0183464,-102.4122948,0.09,,0.0002,0.0036,967773600,0.13,rain,1009.39,CO,967724440,967771310,87.82,967766400,61.65,967719600,967701600,9.95,67,1.63
0,2000-09-30 00:00:00,84.08,970347600,52.67,970318800,0.01,Prowers,41.34,0.41,970293600Prowers,38.0183464,-102.4122948,0.1,,0,0,,0,,1008.75,CO,970317972,970360501,87.67,970347600,52.67,970318800,970293600,9.98,267,5.18
0,2000-10-31 00:00:00,66.37,973022400,36.55,972997200,0.18,Prowers,37.93,0.62,972975600Prowers,38.0183464,-102.4122948,0.15,,0.0064,0.1273,973033200,0.81,rain,1006.81,CO,972998178,973036359,66.37,973022400,38.45,972997200,972975600,9.51,202,11.09
0,2000-11-30 00:00:00,59.15,975618000,14.93,975585600,0.01,Prowers,21.02,0.56,975567600Prowers,38.0183464,-102.4122948,0.15,,0,0,,0,,1017.1,CO,975592088,975627124,59.15,975618000,24.03,975585600,975567600,9.57,341,2.34
0,2000-12-31 00:00:00,37.05,978307200,5.74,978256800,0.41,Prowers,16.55,0.85,978246000Prowers,38.0183464,-102.4122948,0.19,,0,0,,0,,1027.31,CO,978271616,978306081,37.05,978307200,10.81,978271200,978246000,7.2,126,2.37
0,2001-01-31 00:00:00,28.71,980974800,4.67,981003600,0.18,Prowers,16.8,0.75,980924400Prowers,38.0183464,-102.4122948,0.23,0.046,0.0002,0.0041,980960400,0.16,snow,1022.49,CO,980949354,980986376,33.39,980974800,14.16,981003600,980924400,9.64,276,6.51
0,2001-02-28 00:00:00,49.18,983404800,5.46,983343600,0.88,Prowers,17.26,0.83,983343600Prowers,38.0183464,-102.4122948,0.17,2.117,0.006,0.0378,983386800,0.68,snow,1021.85,CO,983366618,983407410,49.61,983404800,15,983343600,983343600,8.1,132,2.3
0,2001-03-31 00:00:00,70.6,986083200,27.08,986043600,0.47,Prowers,29.73,0.65,986022000Prowers,38.0183464,-102.4122948,0.23,,0.0001,0.003,986036400,0.1,rain,1015.93,CO,986042206,986087570,70.6,986083200,33.98,986043600,986022000,9.23,42,4.58
0,2001-04-30 00:00:00,83.19,988675200,42.52,988632000,0.02,Prowers,39.09,0.43,988610400Prowers,38.0183464,-102.4122948,0.25,,0.0002,0.0025,988642800,0.07,rain,1011.42,CO,988631716,988681243,86.66,988675200,46.59,988632000,988610400,10,246,3.91
0,2001-05-31 00:00:00,80.28,991353600,48.72,991306800,0.14,Prowers,52.4,0.72,991288800Prowers,38.0183464,-102.4122948,0.32,,0.0003,0.0032,991350000,0.11,rain,1014.78,CO,991308623,991361241,81.23,991353600,49.81,991310400,991288800,9.89,75,2.09
0,2001-06-30 00:00:00,92.39,993938400,65.27,993902400,0.05,Prowers,57.62,0.5,993880800Prowers,38.0183464,-102.4122948,0.34,,0.0052,0.1236,993880800,0.8,rain,1013.04,CO,993900696,993953850,94.03,993938400,65.27,993902400,993880800,9.97,131,6.86
0,2001-07-31 00:00:00,95.35,996609600,74.84,996584400,0.1,Prowers,58.38,0.43,996559200Prowers,38.0183464,-102.4122948,0.39,,0,0,,0,,1007.78,CO,996580401,996631266,95.82,996609600,74.84,996584400,996559200,9.96,198,14.04
0,2001-08-31 00:00:00,83.85,999302400,59.21,999255600,0.26,Prowers,56.97,0.66,999237600Prowers,38.0183464,-102.4122948,0.43,,0.0036,0.0509,999320400,0.72,rain,1012.5,CO,999260427,999307333,86.17,999302400,59.21,999255600,999237600,9.79,131,4.42
0,2001-09-30 00:00:00,79.96,1001887200,52.68,1001854800,0.05,Prowers,45.79,0.51,1001829600Prowers,38.0183464,-102.4122948,0.44,,0,0,,0,,1020.54,CO,1001853958,1001896526,81.36,1001887200,52.68,1001854800,1001829600,9.98,150,4.91
