,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,37.02,949363200,1.04,949312800,0.09,Pueblo,11.02,0.64,949302000Pueblo,38.1504858,-104.6040895,0.85,,0,0,,0,,1022.42,CO,949327532,949364436,40.7,949363200,8.46,949320000,949302000,9.5,307,1.48
0,2000-02-29 00:00:00,55.72,951861600,28.55,951890400,0.37,Pueblo,24.59,0.47,951807600Pueblo,38.1504858,-104.6040895,0.83,,0,0,,0,,1012.14,CO,951831128,951871945,55.72,951861600,33.77,951890400,951807600,9.55,345,6.81
0,2000-03-31 00:00:00,35.67,954547200,20.24,954518400,0.97,Pueblo,28.93,0.89,954486000Pueblo,38.1504858,-104.6040895,0.86,1.702,0.009,0.028,954493200,0.64,snow,1024.58,CO,954506703,954552115,38.97,954547200,29.94,954565200,954486000,3.65,4,10.08
0,2000-04-30 00:00:00,60.85,957139200,31.37,957110400,0.9,Pueblo,37.17,0.75,957074400Pueblo,38.1504858,-104.6040895,0.88,,0.0208,0.1049,957078000,0.79,rain,1019.58,CO,957096209,957145799,60.85,957139200,41.31,957110400,957074400,9.26,349,14.56
0,2000-05-31 00:00:00,84.17,959814000,53.55,959767200,0.3,Pueblo,50.75,0.59,959752800Pueblo,38.1504858,-104.6040895,0.93,,0,0,,0,,1007.82,CO,959773120,959825801,86.86,959814000,53.55,959767200,959752800,8.99,125,6.63
0,2000-06-30 00:00:00,83.19,962398800,55.57,962366400,0.14,Pueblo,48.19,0.48,962344800Pueblo,38.1504858,-104.6040895,0.96,,0,0,,0,,1012.51,CO,962365206,962418399,85.97,962398800,55.57,962366400,962344800,9.72,205,3.22
0,2000-07-31 00:00:00,85.56,965088000,55.64,965044800,0.07,Pueblo,48.93,0.48,965023200Pueblo,38.1504858,-104.6040895,0.03,,0,0,,0,,1017.62,CO,965044922,965095795,89.24,965088000,55.64,965044800,965023200,9.68,64,3.08
0,2000-08-31 00:00:00,79.83,967766400,57.31,967723200,0.33,Pueblo,51.79,0.59,967701600Pueblo,38.1504858,-104.6040895,0.09,,0.0008,0.0091,967770000,0.49,rain,1011.74,CO,967724958,967771844,80.72,967766400,57.31,967723200,967701600,9.67,80,2.23
0,2000-09-30 00:00:00,80.39,970358400,47.05,970318800,0.12,Pueblo,39.28,0.43,970293600Pueblo,38.1504858,-104.6040895,0.1,,0,0,,0,,1010.3,CO,970318500,970361025,82.94,970358400,48.53,970318800,970293600,10,269,5.82
0,2000-10-31 00:00:00,55.11,973029600,31.02,972997200,0.22,Pueblo,30.93,0.63,972975600Pueblo,38.1504858,-104.6040895,0.15,,0.0002,0.003,973026000,0.1,rain,1007.9,CO,972998717,973036871,55.11,973029600,34.51,972993600,972975600,9.34,226,4.48
0,2000-11-30 00:00:00,56.08,975618000,18.23,975574800,0.06,Pueblo,18,0.5,975567600Pueblo,38.1504858,-104.6040895,0.15,,0,0,,0,,1017.93,CO,975592635,975627629,56.08,975618000,22.79,975574800,975567600,9.7,25,1.54
0,2000-12-31 00:00:00,38.45,978307200,6.03,978264000,0.17,Pueblo,15.48,0.73,978246000Pueblo,38.1504858,-104.6040895,0.19,,0,0,,0,,1026.14,CO,978272165,978306585,38.45,978307200,10.74,978271200,978246000,9.09,112,1.02
0,2001-01-31 00:00:00,23.98,980971200,1.18,980946000,0.23,Pueblo,10.61,0.7,980924400Pueblo,38.1504858,-104.6040895,0.23,,0,0,,0,,1023.93,CO,980949895,980986886,30.61,980971200,8.52,980949600,980924400,9.66,276,1.53
0,2001-02-28 00:00:00,41.36,983404800,6.49,983347200,0.86,Pueblo,18.76,0.84,983343600Pueblo,38.1504858,-104.6040895,0.17,0.56,0.0016,0.0087,983386800,0.46,snow,1020.45,CO,983367150,983407929,43.47,983404800,15.82,983358000,983343600,7.77,130,3.65
0,2001-03-31 00:00:00,69.41,986083200,26.96,986043600,0.52,Pueblo,28.59,0.67,986022000Pueblo,38.1504858,-104.6040895,0.23,,0.0001,0.003,986058000,0.1,rain,1015.44,CO,986042727,986088101,69.41,986083200,32.58,986043600,986022000,9.76,89,4.28
0,2001-04-30 00:00:00,79.3,988675200,38.72,988632000,0.15,Pueblo,29.67,0.35,988610400Pueblo,38.1504858,-104.6040895,0.25,,0.0001,0.0008,988642800,0.01,rain,1013.04,CO,988632227,988681784,81.52,988675200,41.74,988632000,988610400,9.75,258,2.06
