,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,33.48,949363200,5.15,949323600,0.63,Rio Blanco,14.72,0.71,949302000Rio Blanco,39.9520975,-108.3471925,0.85,0.799,0.0032,0.0227,949370400,0.62,snow,1022.15,CO,949328654,949365110,33.48,949363200,15.31,949312800,949302000,8.55,90,1.65
0,2000-02-29 00:00:00,44.28,951858000,21.72,951825600,0.38,Rio Blanco,22.85,0.64,951807600Rio Blanco,39.9520975,-108.3471925,0.83,0.141,0.0007,0.0143,951843600,0.56,snow,1016.96,CO,951832115,951872755,46.25,951858000,24.67,951832800,951807600,9.89,257,2.29
0,2000-03-31 00:00:00,42.89,954547200,21.33,954511200,0.71,Rio Blanco,22.9,0.61,954486000Rio Blanco,39.9520975,-108.3471925,0.86,,0.0034,0.0279,954525600,0.64,rain,1018.18,CO,954507537,954553077,46.12,954547200,30.67,954496800,954486000,9.48,32,7.99
0,2000-04-30 00:00:00,67.71,957139200,36.63,957096000,0.46,Rio Blanco,29.05,0.48,957074400Rio Blanco,39.9520975,-108.3471925,0.88,,0.0002,0.0054,957132000,0.24,rain,1018.93,CO,957096901,957146903,67.71,957139200,41.09,957099600,957074400,9.94,348,6.86
0,2000-05-31 00:00:00,82.42,959810400,51.95,959770800,0.01,Rio Blanco,28.22,0.23,959752800Rio Blanco,39.9520975,-108.3471925,0.93,,0,0,,0,,1004.74,CO,959773701,959827017,85.96,959810400,51.95,959770800,959752800,9.92,239,5.74
0,2000-06-30 00:00:00,82.56,962402400,50.32,962366400,0.06,Rio Blanco,37.44,0.35,962344800Rio Blanco,39.9520975,-108.3471925,0.96,,0,0,,0,,1010.99,CO,962365768,962419634,85.9,962402400,50.32,962366400,962344800,10,169,1.41
0,2000-07-31 00:00:00,88.95,965088000,54.1,965044800,0.01,Rio Blanco,38.67,0.33,965023200Rio Blanco,39.9520975,-108.3471925,0.03,,0.0002,0.0049,965088000,0.21,rain,1015.8,CO,965045570,965096943,93.36,965088000,54.1,965044800,965023200,9.97,86,1.96
0,2000-08-31 00:00:00,73.19,967755600,52.29,967726800,0.45,Rio Blanco,47.42,0.61,967701600Rio Blanco,39.9520975,-108.3471925,0.09,,0.0109,0.1493,967712400,0.82,rain,1012.05,CO,967725745,967772854,73.19,967755600,52.29,967726800,967701600,9.86,197,2.9
0,2000-09-30 00:00:00,75.35,970358400,43.79,970318800,0.11,Rio Blanco,39.3,0.55,970293600Rio Blanco,39.9520975,-108.3471925,0.1,,0,0,,0,,1014.45,CO,970319432,970361889,75.35,970358400,43.79,970318800,970293600,10,250,3.27
0,2000-10-31 00:00:00,36.22,973029600,27.84,973054800,0.71,Rio Blanco,30.09,0.76,972975600Rio Blanco,39.9520975,-108.3471925,0.15,,0.0146,0.0496,972993600,0.71,rain,1009.52,CO,972999797,973037589,41.81,973029600,33.45,973000800,972975600,9.22,247,2.59
0,2000-11-30 00:00:00,38.99,975618000,16.66,975643200,0.27,Rio Blanco,18.79,0.58,975567600Rio Blanco,39.9520975,-108.3471925,0.15,,0,0,,0,,1022.63,CO,975593828,975628234,43.02,975618000,17.66,975650400,975567600,9.75,272,4.83
0,2000-12-31 00:00:00,29.31,978303600,8.82,978260400,0.1,Rio Blanco,12.56,0.72,978246000Rio Blanco,39.9520975,-108.3471925,0.19,,0,0,,0,,1028.96,CO,978273378,978307169,34.19,978303600,10.81,978271200,978246000,9.85,280,0.31
0,2001-01-31 00:00:00,26.48,980985600,-4.95,980938800,0.37,Rio Blanco,3.86,0.7,980924400Rio Blanco,39.9520975,-108.3471925,0.23,,0,0,,0,,1029.51,CO,980951014,980987564,26.48,980985600,-0.19,980949600,980924400,9.77,201,0.72
0,2001-02-28 00:00:00,32.67,983404800,15.98,983354400,0.7,Rio Blanco,22.8,0.82,983343600Rio Blanco,39.9520975,-108.3471925,0.17,0.853,0.0038,0.0242,983394000,0.63,snow,1014.89,CO,983368139,983408737,36.43,983404800,22.73,983368800,983343600,8.45,92,0.82
0,2001-03-31 00:00:00,58.81,986083200,26.39,986043600,0.2,Rio Blanco,20.64,0.47,986022000Rio Blanco,39.9520975,-108.3471925,0.23,,0.0004,0.0049,986029200,0.21,rain,1014.54,CO,986043562,986089061,58.81,986083200,26.39,986043600,986022000,9.93,267,5
0,2001-04-30 00:00:00,70.25,988671600,35.07,988635600,0.05,Rio Blanco,28.08,0.41,988610400Rio Blanco,39.9520975,-108.3471925,0.25,,0,0,,0,,1016.18,CO,988632920,988682887,70.25,988671600,36.26,988632000,988610400,9.99,269,3.62
0,2001-05-31 00:00:00,79.43,991353600,43.37,991310400,0.03,Rio Blanco,30.49,0.35,991288800Rio Blanco,39.9520975,-108.3471925,0.32,,0.0011,0.0221,991314000,0.61,rain,1015.47,CO,991309708,991363006,81.68,991353600,43.37,991310400,991288800,9.97,278,2.56
0,2001-06-30 00:00:00,88.83,993938400,56.19,993902400,0.03,Rio Blanco,40.47,0.32,993880800Rio Blanco,39.9520975,-108.3471925,0.34,,0,0,,0,,1012.8,CO,993901760,993955635,93.52,993938400,56.19,993902400,993880800,10,126,1.13
0,2001-07-31 00:00:00,80.05,996624000,60.91,996584400,0.42,Rio Blanco,53.23,0.59,996559200Rio Blanco,39.9520975,-108.3471925,0.39,,0.0062,0.0539,996606000,0.72,rain,1011.23,CO,996581556,996632959,80.96,996624000,60.91,996584400,996559200,9.93,146,3.08
