,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.65,949352400,-4.11,949323600,0.42,Routt,10,0.66,949302000Routt,40.38683722,-106.9546369,0.85,0.61,0.0022,0.0194,949370400,0.6,snow,1022.51,CO,949328376,949364720,32.65,949352400,9.64,949327200,949302000,9.51,110,3.26
0,2000-02-29 00:00:00,46.47,951858000,5.52,951822000,0.35,Routt,16.42,0.62,951807600Routt,40.38683722,-106.9546369,0.83,0.246,0.0009,0.0219,951843600,0.61,snow,1016.46,CO,951831804,951872398,46.47,951858000,15.91,951822000,951807600,9.9,244,1.91
0,2000-03-31 00:00:00,37.29,954547200,21.09,954496800,0.63,Routt,22.87,0.71,954486000Routt,40.38683722,-106.9546369,0.86,0.762,0.004,0.0249,954532800,0.63,snow,1019.5,CO,954507187,954552758,41.46,954547200,27.47,954496800,954486000,9.15,63,3.84
0,2000-04-30 00:00:00,60.28,957139200,33.78,957092400,0.6,Routt,29.42,0.56,957074400Routt,40.38683722,-106.9546369,0.88,,0.0002,0.0046,957132000,0.19,rain,1019.61,CO,957096516,957146620,60.28,957139200,38.91,957099600,957074400,9.91,332,6.02
0,2000-05-31 00:00:00,79.88,959810400,45.77,959774400,0.08,Routt,32.05,0.31,959752800Routt,40.38683722,-106.9546369,0.93,,0,0,,0,,1005.52,CO,959773288,959826762,82.24,959810400,47.98,959774400,959752800,9.62,239,5.98
0,2000-06-30 00:00:00,81.04,962402400,43.13,962366400,0.08,Routt,35.67,0.37,962344800Routt,40.38683722,-106.9546369,0.96,,0,0,,0,,1011.85,CO,962365349,962419384,83.92,962402400,46.77,962366400,962344800,9.97,130,1.88
0,2000-07-31 00:00:00,84.8,965088000,51.51,965044800,0.05,Routt,37.12,0.33,965023200Routt,40.38683722,-106.9546369,0.03,,0.0008,0.02,965088000,0.6,rain,1017.07,CO,965045173,965096672,88.67,965088000,51.51,965044800,965023200,9.96,90,3.14
0,2000-08-31 00:00:00,70.96,967762800,47.09,967726800,0.45,Routt,45.89,0.62,967701600Routt,40.38683722,-106.9546369,0.09,,0.0086,0.1079,967712400,0.79,rain,1012.46,CO,967725382,967772548,70.96,967762800,49.5,967726800,967701600,9.92,206,3.03
0,2000-09-30 00:00:00,72.71,970351200,41.99,970311600,0.15,Routt,37.68,0.55,970293600Routt,40.38683722,-106.9546369,0.1,,0,0,,0,,1014.15,CO,970319106,970361547,72.71,970351200,42.78,970318800,970293600,9.99,251,3.94
0,2000-10-31 00:00:00,34.24,973029600,24.56,973054800,0.66,Routt,28.68,0.78,972975600Routt,40.38683722,-106.9546369,0.15,,0.0099,0.048,973047600,0.71,rain,1009.13,CO,972999507,973037210,39.25,973029600,30.93,973000800,972975600,8.84,256,2.12
0,2000-11-30 00:00:00,31.18,975614400,10.56,975643200,0.33,Routt,17.92,0.61,975567600Routt,40.38683722,-106.9546369,0.15,,0,0,,0,,1021.93,CO,975593567,975627826,39.08,975614400,15.65,975650400,975567600,9.26,278,10.06
0,2000-12-31 00:00:00,21.69,978303600,-0.85,978260400,0.28,Routt,11.83,0.77,978246000Routt,40.38683722,-106.9546369,0.19,,0,0,,0,,1029.02,CO,978273122,978306756,29.21,978303600,10.2,978246000,978246000,9.33,279,2
0,2001-01-31 00:00:00,22.28,980985600,-9.14,980938800,0.49,Routt,2.37,0.74,980924400Routt,40.38683722,-106.9546369,0.23,,0,0,,0,,1029.36,CO,980950735,980987175,22.28,980985600,-2.32,980949600,980924400,9.41,148,1.04
0,2001-02-28 00:00:00,26.45,983404800,10.41,983368800,0.73,Routt,18.29,0.85,983343600Routt,40.38683722,-106.9546369,0.17,0.595,0.0021,0.0159,983404800,0.57,snow,1016.46,CO,983367827,983408380,29.93,983404800,16.55,983368800,983343600,6.73,124,0.26
0,2001-03-31 00:00:00,54.28,986083200,22.79,986032800,0.35,Routt,21.56,0.53,986022000Routt,40.38683722,-106.9546369,0.23,0.251,0.0011,0.0071,986029200,0.35,snow,1015.07,CO,986043213,986088742,54.28,986083200,26.5,986043600,986022000,9.69,279,6.45
0,2001-04-30 00:00:00,66.36,988671600,32.49,988632000,0.06,Routt,28.35,0.45,988610400Routt,40.38683722,-106.9546369,0.25,,0,0,,0,,1016.38,CO,988632535,988682604,66.36,988671600,34.86,988628400,988610400,9.95,273,5.28
0,2001-05-31 00:00:00,76.68,991353600,39.97,991310400,0.07,Routt,32.24,0.42,991288800Routt,40.38683722,-106.9546369,0.32,,0.0024,0.0477,991314000,0.71,rain,1016.25,CO,991309294,991362751,76.68,991353600,39.97,991310400,991288800,9.9,284,3.06
0,2001-06-30 00:00:00,85.74,993938400,53.67,993902400,0.06,Routt,40.66,0.36,993880800Routt,40.38683722,-106.9546369,0.34,,0,0,,0,,1013.81,CO,993901341,993955385,89.78,993938400,53.67,993902400,993880800,9.98,105,1.68
0,2001-07-31 00:00:00,76.63,996609600,59.55,996577200,0.52,Routt,52.65,0.63,996559200Routt,40.38683722,-106.9546369,0.39,,0.0098,0.1088,996606000,0.79,rain,1011.3,CO,996581158,996632688,76.63,996609600,59.55,996577200,996559200,9.89,145,2.07
0,2001-08-31 00:00:00,76.86,999302400,46.73,999262800,0.3,Routt,46.16,0.62,999237600Routt,40.38683722,-106.9546369,0.43,,0.0526,0.38,999259200,0.88,rain,1014.2,CO,999261367,999308573,76.86,999302400,49.5,999262800,999237600,9.88,128,2.62
0,2001-09-30 00:00:00,75.76,1001887200,40.55,1001854800,0.11,Routt,33.14,0.42,1001829600Routt,40.38683722,-106.9546369,0.44,,0,0,,0,,1021.19,CO,1001855090,1001897573,75.76,1001887200,42.94,1001854800,1001829600,9.96,114,1.91
0,2001-10-31 00:00:00,55.44,1004522400,35.27,1004594400,0.56,Routt,32.2,0.54,1004511600Routt,40.38683722,-106.9546369,0.48,,0.0048,0.0475,1004562000,0.71,rain,1008.23,CO,1004535489,1004573228,55.44,1004522400,39.35,1004594400,1004511600,9.85,261,9.28
0,2001-11-30 00:00:00,21,1007154000,15.48,1007118000,0.79,Routt,19.77,0.79,1007103600Routt,40.38683722,-106.9546369,0.49,0.956,0.0031,0.0096,1007118000,0.5,snow,1011.19,CO,1007129551,1007163831,30.01,1007154000,22.06,1007121600,1007103600,6.12,265,4.78
0,2001-12-31 00:00:00,28.99,1009832400,7.13,1009803600,0.75,Routt,16.82,0.8,1009782000Routt,40.38683722,-106.9546369,0.55,0.462,0.0016,0.013,1009850400,0.54,snow,1020.53,CO,1009809120,1009842743,28.99,1009832400,15.87,1009803600,1009782000,8.97,99,1.92
0,2002-01-31 00:00:00,13.77,1012521600,-28.3,1012485600,0.38,Routt,-9.02,0.63,1012460400Routt,40.38683722,-106.9546369,0.61,,0,0,,0,,1031.76,CO,1012486750,1012523156,19.44,1012521600,-12.22,1012478400,1012460400,9.79,135,1.48
0,2002-02-28 00:00:00,32.65,1014937200,-0.63,1014886800,0.64,Routt,8.89,0.61,1014879600Routt,40.38683722,-106.9546369,0.55,0.208,0.0007,0.0053,1014962400,0.23,snow,1011.59,CO,1014903851,1014944363,32.65,1014937200,9.63,1014886800,1014879600,8.61,67,0.48
0,2002-03-31 00:00:00,63.53,1017619200,22.47,1017579600,0.03,Routt,23.09,0.49,1017558000Routt,40.38683722,-106.9546369,0.61,,0,0,,0,,1016.74,CO,1017579238,1017624727,63.53,1017619200,27.13,1017579600,1017558000,10,250,4.09
0,2002-04-30 00:00:00,69.42,1020204000,34.88,1020168000,0.06,Routt,20.57,0.33,1020146400Routt,40.38683722,-106.9546369,0.63,,0,0,,0,,1004.56,CO,1020168555,1020218588,69.42,1020204000,34.88,1020168000,1020146400,9.97,252,5.24
0,2002-05-31 00:00:00,83.5,1022875200,46.48,1022842800,0.05,Routt,34.85,0.32,1022824800Routt,40.38683722,-106.9546369,0.68,,0,0,,0,,1009.52,CO,1022845301,1022898739,87.09,1022875200,48.92,1022842800,1022824800,9.98,117,1.92
0,2002-06-30 00:00:00,86.81,1025478000,51.18,1025434800,0.01,Routt,28.26,0.21,1025416800Routt,40.38683722,-106.9546369,0.69,,0,0,,0,,1013.21,CO,1025437334,1025491387,91.38,1025478000,51.18,1025434800,1025416800,9.82,148,1.28
0,2002-07-31 00:00:00,86.84,1028149200,53.21,1028116800,0.03,Routt,31.48,0.24,1028095200Routt,40.38683722,-106.9546369,0.73,,,,,,rain,1012.22,CO,1028117144,1028168704,91.45,1028149200,53.21,1028116800,1028095200,9.99,233,1.41
0,2002-08-31 00:00:00,78.52,1030824000,44.13,1030798800,0.12,Routt,33.56,0.37,1030773600Routt,40.38683722,-106.9546369,0.77,,,,,,rain,1017.94,CO,1030797352,1030844597,80.26,1030824000,46.32,1030798800,1030773600,10,193,1.74
0,2002-09-30 00:00:00,63.08,1033423200,38.49,1033387200,0.43,Routt,34.63,0.6,1033365600Routt,40.38683722,-106.9546369,0.79,,0.0013,0.01,1033437600,0.51,rain,1011.24,CO,1033391075,1033433599,63.08,1033423200,39.63,1033380000,1033365600,9.7,225,3.84
0,2002-10-31 00:00:00,30.29,1036098000,13.69,1036069200,0.85,Routt,21.76,0.86,1036047600Routt,40.38683722,-106.9546369,0.85,2.938,0.0101,0.0263,1036130400,0.64,snow,1018.34,CO,1036071471,1036109247,30.29,1036098000,20.6,1036072800,1036047600,7.52,238,0.35
0,2002-11-30 00:00:00,43.94,1038693600,11.16,1038654000,0.12,Routt,19.89,0.72,1038639600Routt,40.38683722,-106.9546369,0.87,0,,,,,snow,1025.85,CO,1038665535,1038699835,43.94,1038693600,18.48,1038664800,1038639600,9.87,127,3.39
0,2002-12-31 00:00:00,25.48,1041372000,2.33,1041325200,0.73,Routt,17,0.79,1041318000Routt,40.38683722,-106.9546369,0.93,2.345,0.0141,0.0604,1041364800,0.73,snow,1017.12,CO,1041345118,1041378731,29.85,1041372000,11,1041325200,1041318000,6.83,178,1.65
0,2003-01-31 00:00:00,46.51,1044057600,29.66,1044021600,0.4,Routt,28.62,0.69,1043996400Routt,40.38683722,-106.9546369,0.98,,,,,,rain,1023.96,CO,1044022764,1044059136,47.91,1044057600,33.5,1044021600,1043996400,9.99,233,2.72
0,2003-02-28 00:00:00,23.08,1046469600,13.39,1046476800,0.72,Routt,16.56,0.8,1046415600Routt,40.38683722,-106.9546369,0.93,0.953,0.0028,0.0102,1046437200,0.51,snow,1010.02,CO,1046439874,1046480345,29.95,1046469600,17.6,1046437200,1046415600,8.77,275,1.36
0,2003-03-31 00:00:00,61.64,1049155200,22.87,1049112000,0.04,Routt,24.68,0.51,1049094000Routt,40.38683722,-106.9546369,0.97,,,,,,rain,1018.99,CO,1049115264,1049160711,61.64,1049155200,28.44,1049112000,1049094000,9.75,208,3.71
0,2003-04-30 00:00:00,44.63,1051740000,34.29,1051696800,0.52,Routt,31.42,0.69,1051682400Routt,40.38683722,-106.9546369,0.98,,0.0129,,,,rain,1007.17,CO,1051704575,1051754572,48.84,1051740000,35.31,1051704000,1051682400,9.79,251,2.55
0,2003-05-31 00:00:00,79.01,1054411200,51.43,1054382400,0.28,Routt,46.78,0.57,1054360800Routt,40.38683722,-106.9546369,0.02,,0.1359,0.89,1054400400,0.92,rain,1010.63,CO,1054381309,1054434728,79.01,1054411200,51.43,1054382400,1054360800,9.66,214,0.99
0,2003-06-30 00:00:00,83.14,1057017600,45.01,1056970800,0.05,Routt,37.93,0.39,1056952800Routt,40.38683722,-106.9546369,0.03,,,,,,rain,1013.98,CO,1056973327,1057027388,86.71,1057017600,47.53,1056970800,1056952800,9.89,139,2.19
0,2003-07-31 00:00:00,81.91,1059681600,52.59,1059649200,0.11,Routt,42.25,0.4,1059631200Routt,40.38683722,-106.9546369,0.08,,,,,,rain,1015.54,CO,1059653129,1059704720,84.71,1059681600,52.59,1059649200,1059631200,9.83,123,2.76
0,2003-08-31 00:00:00,77.69,1062374400,46.16,1062324000,0.44,Routt,42.99,0.62,1062309600Routt,40.38683722,-106.9546369,0.14,,0.3333,,,,rain,1019.3,CO,1062333337,1062380622,77.69,1062374400,47.27,1062327600,1062309600,9.88,300,1
0,2003-09-30 00:00:00,67.64,1064962800,39.36,1064926800,0.13,Routt,29.89,0.44,1064901600Routt,40.38683722,-106.9546369,0.17,,0,0,,0,,1019.76,CO,1064927060,1064969625,67.64,1064962800,39.36,1064926800,1064901600,9.99,285,1.43
0,2003-10-31 00:00:00,35.24,1067644800,16.27,1067594400,0.64,Routt,19.92,0.76,1067583600Routt,40.38683722,-106.9546369,0.23,1.054,0.0041,0.0303,1067616000,0.65,snow,1013.07,CO,1067607453,1067645266,35.24,1067644800,21.21,1067598000,1067583600,7.31,209,3.69
0,2003-11-30 00:00:00,41.95,1070222400,23.28,1070179200,0.45,Routt,23.75,0.66,1070175600Routt,40.38683722,-106.9546369,0.25,,0.0002,0.0044,1070215200,0.18,rain,1024.4,CO,1070201519,1070235840,43.35,1070222400,26.71,1070186400,1070175600,9.99,164,1.48
0,2003-12-31 00:00:00,34.7,1072908000,14.74,1072882800,0.35,Routt,16.69,0.65,1072854000Routt,40.38683722,-106.9546369,0.29,0.052,0.0002,0.0052,1072890000,0.23,snow,1015.45,CO,1072881116,1072914719,34.7,1072908000,21.94,1072882800,1072854000,9.9,173,3.44
0,2004-01-31 00:00:00,21.11,1075532400,6.84,1075615200,0.83,Routt,15.45,0.74,1075532400Routt,40.38683722,-106.9546369,0.33,3.053,0.0095,0.0445,1075575600,0.7,snow,1007.56,CO,1075558778,1075595117,29.37,1075532400,14.03,1075615200,1075532400,7.32,297,4.84
0,2004-02-29 00:00:00,29.88,1078099200,11.3,1078120800,0.85,Routt,19.33,0.78,1078038000Routt,40.38683722,-106.9546369,0.3,0.543,0.0019,0.006,1078092000,0.28,snow,1009.2,CO,1078062207,1078102795,29.88,1078099200,22.14,1078120800,1078038000,7.44,300,7.73
