,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,30.13,949359600,-5.79,949330800,0.41,Saguache,6.11,0.67,949302000Saguache,38.12978667,-106.061172,0.85,,0,0,,0,,1022.67,CO,949327879,949364788,30.13,949359600,2.06,949316400,949302000,9.03,2,3.27
0,2000-02-29 00:00:00,45.17,951858000,19.67,951890400,0.36,Saguache,22.03,0.58,951807600Saguache,38.12978667,-106.061172,0.83,,0.0005,0.0101,951843600,0.51,rain,1014.87,CO,951831477,951872296,46.64,951858000,27.2,951890400,951807600,9.33,334,2.44
0,2000-03-31 00:00:00,30.48,954547200,17.98,954504000,0.94,Saguache,24.22,0.85,954486000Saguache,38.12978667,-106.061172,0.86,1.484,0.0062,0.0201,954525600,0.6,snow,1020.55,CO,954507053,954552464,34.29,954547200,26.11,954496800,954486000,5.47,358,4.61
0,2000-04-30 00:00:00,57.62,957139200,32.47,957103200,0.73,Saguache,31.41,0.63,957074400Saguache,38.12978667,-106.061172,0.88,,0.0097,0.0571,957092400,0.73,rain,1017.09,CO,957096561,957146147,57.62,957139200,38.85,957099600,957074400,9.41,345,7.25
0,2000-05-31 00:00:00,80.51,959810400,44.56,959770800,0.13,Saguache,35.81,0.38,959752800Saguache,38.12978667,-106.061172,0.93,,0,0,,0,,1007.73,CO,959773474,959826147,83.01,959810400,47.06,959770800,959752800,9.34,185,4.95
0,2000-06-30 00:00:00,79.88,962395200,49.02,962366400,0.23,Saguache,39.1,0.43,962344800Saguache,38.12978667,-106.061172,0.96,,0,0,,0,,1013.56,CO,962365559,962418744,79.88,962395200,49.02,962366400,962344800,9.75,202,2.26
0,2000-07-31 00:00:00,81.91,965088000,46.99,965044800,0.09,Saguache,40.14,0.45,965023200Saguache,38.12978667,-106.061172,0.03,,0.0002,0.0046,965088000,0.19,rain,1018.49,CO,965045275,965096141,85.01,965088000,47.66,965044800,965023200,9.65,53,2.2
0,2000-08-31 00:00:00,71.3,967762800,51.09,967723200,0.47,Saguache,45.66,0.6,967701600Saguache,38.12978667,-106.061172,0.09,,0.0005,0.0067,967773600,0.32,rain,1013.05,CO,967725310,967772192,71.3,967762800,51.09,967723200,967701600,9.67,140,1.94
0,2000-09-30 00:00:00,74.75,970351200,40.44,970318800,0.19,Saguache,35.89,0.5,970293600Saguache,38.12978667,-106.061172,0.1,,0,0,,0,,1013.44,CO,970318850,970361374,74.75,970351200,42.84,970318800,970293600,10,295,3.68
0,2000-10-31 00:00:00,41.24,973022400,25.06,973058400,0.41,Saguache,25.9,0.64,972975600Saguache,38.12978667,-106.061172,0.15,,0.001,0.0059,973000800,0.27,rain,1008.58,CO,972999065,973037223,44.91,973022400,29.12,973058400,972975600,9.17,215,2.19
0,2000-11-30 00:00:00,44.02,975610800,16.16,975650400,0.18,Saguache,16.41,0.49,975567600Saguache,38.12978667,-106.061172,0.15,,0,0,,0,,1018.54,CO,975592982,975627982,46.79,975610800,22.57,975650400,975567600,9.55,313,2.15
0,2000-12-31 00:00:00,32.98,978303600,3.75,978246000,0.08,Saguache,4.87,0.6,978246000Saguache,38.12978667,-106.061172,0.19,,0,0,,0,,1026.61,CO,978272511,978306938,32.98,978303600,5.51,978274800,978246000,9.83,38,0.98
0,2001-01-31 00:00:00,22.58,980982000,-3.21,980956800,0.25,Saguache,1.65,0.68,980924400Saguache,38.12978667,-106.061172,0.23,,0,0,,0,,1025.93,CO,980950242,980987239,22.58,980982000,-1.71,980949600,980924400,9.52,352,0.71
0,2001-02-28 00:00:00,29.51,983404800,11.45,983350800,0.64,Saguache,18.89,0.81,983343600Saguache,38.12978667,-106.061172,0.17,1.601,0.0047,0.0181,983383200,0.59,snow,1017.18,CO,983367498,983408280,32.96,983404800,18.02,983365200,983343600,7.75,159,1.57
0,2001-03-31 00:00:00,56.79,986083200,22.31,986022000,0.3,Saguache,20.73,0.55,986022000Saguache,38.12978667,-106.061172,0.23,,0.0004,0.0046,986029200,0.19,rain,1014.83,CO,986043077,986088450,56.79,986083200,24.62,986040000,986022000,9.77,246,0.67
0,2001-04-30 00:00:00,72.85,988675200,33.5,988632000,0.17,Saguache,24.03,0.35,988610400Saguache,38.12978667,-106.061172,0.25,,0,0,,0,,1015.19,CO,988632579,988682132,72.85,988675200,37.5,988632000,988610400,9.78,279,2.49
0,2001-05-31 00:00:00,73.84,991353600,39.24,991310400,0.16,Saguache,36.25,0.5,991288800Saguache,38.12978667,-106.061172,0.32,,0.0011,0.0208,991314000,0.61,rain,1016.36,CO,991309480,991362137,73.84,991353600,39.24,991310400,991288800,9.61,5,2.01
0,2001-06-30 00:00:00,81.75,993934800,51.88,993902400,0.17,Saguache,42.97,0.42,993880800Saguache,38.12978667,-106.061172,0.34,,0.0007,0.0161,993938400,0.57,rain,1014.98,CO,993901552,993954746,84.62,993934800,51.88,993902400,993880800,10,129,2.03
0,2001-07-31 00:00:00,79.52,996609600,60.87,996642000,0.51,Saguache,53,0.59,996559200Saguache,38.12978667,-106.061172,0.39,,0.0025,0.0158,996620400,0.57,rain,1010.71,CO,996581262,996632156,79.52,996609600,60.87,996642000,996559200,9.47,242,1.65
