,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,27.14,949363200,6.69,949316400,0.75,San Juan,15.45,0.76,949302000San Juan,37.848391,-107.680381,0.85,1.189,0.0038,0.0469,949384800,0.71,snow,1021.18,CO,949328233,949365211,32.74,949363200,15.22,949316400,949302000,7.97,54,1.74
0,2000-02-29 00:00:00,45.69,951865200,24.48,951890400,0.35,San Juan,23.76,0.66,951807600San Juan,37.848391,-107.680381,0.83,,0.0009,0.0153,951843600,0.57,rain,1017.52,CO,951831851,951872699,45.69,951865200,25.4,951832800,951807600,9.7,246,1.13
0,2000-03-31 00:00:00,36.22,954547200,27.06,954504000,0.93,San Juan,28.45,0.83,954486000San Juan,37.848391,-107.680381,0.86,,0.0094,0.0253,954525600,0.63,rain,1014.87,CO,954507451,954552843,40.35,954547200,30.62,954496800,954486000,7.3,24,1.99
0,2000-04-30 00:00:00,65.11,957139200,39.26,957099600,0.47,San Juan,32.28,0.51,957074400San Juan,37.848391,-107.680381,0.88,,0.0054,0.0489,957092400,0.71,rain,1015.44,CO,957096980,957146504,65.11,957139200,41.81,957099600,957074400,9.78,337,4.66
0,2000-05-31 00:00:00,82.49,959810400,46.5,959770800,0.01,San Juan,25.56,0.21,959752800San Juan,37.848391,-107.680381,0.93,,0,0,,0,,1006.5,CO,959773910,959826488,86.04,959810400,47.96,959770800,959752800,10,225,4.34
0,2000-06-30 00:00:00,80.84,962395200,51.71,962362800,0.16,San Juan,42.78,0.43,962344800San Juan,37.848391,-107.680381,0.96,,0.0003,0.0036,962427600,0.13,rain,1012.39,CO,962365999,962419082,83.25,962395200,51.71,962362800,962344800,10,142,0.99
0,2000-07-31 00:00:00,84.99,965088000,50.04,965044800,0.03,San Juan,41.42,0.42,965023200San Juan,37.848391,-107.680381,0.03,,0.0002,0.006,965088000,0.28,rain,1017.22,CO,965045702,965096492,88.8,965088000,50.04,965044800,965023200,9.95,140,1.4
0,2000-08-31 00:00:00,73.17,967762800,51.4,967726800,0.45,San Juan,45.94,0.59,967701600San Juan,37.848391,-107.680381,0.09,,0.0012,0.0102,967773600,0.51,rain,1013.08,CO,967725715,967772563,73.17,967762800,51.4,967726800,967701600,9.94,149,1.35
0,2000-09-30 00:00:00,76.25,970351200,42.76,970318800,0.11,San Juan,38.77,0.52,970293600San Juan,37.848391,-107.680381,0.1,,0,0,,0,,1015.09,CO,970319234,970361767,76.25,970351200,44.55,970318800,970293600,10,278,2.06
0,2000-10-31 00:00:00,39.38,972975600,27,973047600,0.66,San Juan,28.81,0.72,972975600San Juan,37.848391,-107.680381,0.15,,0.0075,0.0399,972990000,0.69,rain,1010.04,CO,972999427,973037639,41.41,972975600,29.74,973058400,972975600,9.32,219,3.19
0,2000-11-30 00:00:00,41.52,975610800,20.23,975600000,0.11,San Juan,19.24,0.55,975567600San Juan,37.848391,-107.680381,0.15,,0,0,,0,,1020.98,CO,975593327,975628415,45.37,975610800,23.06,975650400,975567600,9.92,303,1.94
0,2000-12-31 00:00:00,33.74,978300000,4.34,978267600,0.03,San Juan,8.09,0.57,978246000San Juan,37.848391,-107.680381,0.19,,0,0,,0,,1027.04,CO,978272852,978307375,37.08,978300000,10.82,978274800,978246000,9.99,145,0.54
0,2001-01-31 00:00:00,20.37,980985600,-9.63,980949600,0.19,San Juan,2.58,0.68,980924400San Juan,37.848391,-107.680381,0.23,,0,0,,0,,1027.22,CO,980950597,980987661,24.7,980985600,-0.41,980949600,980924400,9.8,180,0.26
0,2001-02-28 00:00:00,37.41,983390400,19.89,983365200,0.59,San Juan,22.95,0.76,983343600San Juan,37.848391,-107.680381,0.17,1.2,0.0056,0.0275,983394000,0.64,snow,1013.35,CO,983367873,983408683,37.41,983390400,24.04,983426400,983343600,9,180,0.58
0,2001-03-31 00:00:00,56.01,986083200,23.06,986032800,0.06,San Juan,17.85,0.43,986022000San Juan,37.848391,-107.680381,0.23,,0.0005,0.006,986029200,0.28,rain,1014.45,CO,986043474,986088829,56.01,986083200,25.05,986043600,986022000,9.92,254,2.3
0,2001-04-30 00:00:00,75.92,988675200,33.52,988632000,0.09,San Juan,24.29,0.35,988610400San Juan,37.848391,-107.680381,0.25,,0,0,,0,,1016.02,CO,988632998,988682490,75.92,988675200,37.18,988628400,988610400,9.99,268,3.01
0,2001-05-31 00:00:00,76.27,991353600,37.8,991310400,0.03,San Juan,27.25,0.32,991288800San Juan,37.848391,-107.680381,0.32,,0.0014,0.0268,991314000,0.64,rain,1014.09,CO,991309916,991362478,76.27,991353600,40.08,991310400,991288800,10,308,2.38
0,2001-06-30 00:00:00,85.48,993934800,54.05,993902400,0.1,San Juan,41.42,0.38,993880800San Juan,37.848391,-107.680381,0.34,,0,0,,0,,1014.51,CO,993901992,993955084,89.35,993934800,54.05,993902400,993880800,9.98,106,1.78
0,2001-07-31 00:00:00,75.61,996616800,56.44,996584400,0.53,San Juan,53.77,0.7,996559200San Juan,37.848391,-107.680381,0.39,,0.0038,0.02,996620400,0.6,rain,1013.23,CO,996581689,996632507,75.61,996616800,56.44,996584400,996559200,9.8,115,2.71
0,2001-08-31 00:00:00,76.72,999302400,48.32,999262800,0.32,San Juan,43.1,0.57,999237600San Juan,37.848391,-107.680381,0.43,,0.0179,0.1132,999259200,0.8,rain,1014.51,CO,999261702,999308586,76.72,999302400,49.37,999262800,999237600,9.97,133,2.08
0,2001-09-30 00:00:00,75.55,1001887200,44.73,1001854800,0.24,San Juan,31.13,0.36,1001829600San Juan,37.848391,-107.680381,0.44,,0,0,,0,,1019.46,CO,1001855220,1001897792,75.55,1001887200,46.26,1001854800,1001829600,9.97,95,3.13
0,2001-10-31 00:00:00,54.11,1004558400,33.38,1004594400,0.51,San Juan,31.38,0.55,1004511600San Juan,37.848391,-107.680381,0.48,,0.0019,0.0197,1004562000,0.6,rain,1011.26,CO,1004535410,1004573656,54.11,1004558400,35.97,1004590800,1004511600,9.9,236,2.68
0,2001-11-30 00:00:00,30.23,1007164800,15.05,1007103600,0.79,San Juan,16.76,0.76,1007103600San Juan,37.848391,-107.680381,0.49,0.633,0.0019,0.014,1007139600,0.55,snow,1015.88,CO,1007129312,1007164418,30.23,1007164800,18.9,1007186400,1007103600,7.91,274,1.49
0,2001-12-31 00:00:00,23.73,1009832400,13.54,1009807200,0.61,San Juan,18.15,0.81,1009782000San Juan,37.848391,-107.680381,0.55,0.031,0.0001,0.0025,1009821600,0.08,snow,1018.66,CO,1009808850,1009843363,29.41,1009832400,17.34,1009810800,1009782000,9.08,268,1.2
0,2002-01-31 00:00:00,25.19,1012521600,-6.25,1012492800,0.24,San Juan,-1.69,0.62,1012460400San Juan,37.848391,-107.680381,0.61,0.503,0.0011,0.0132,1012464000,0.55,snow,1025.52,CO,1012486610,1012523644,25.19,1012521600,-0.61,1012489200,1012460400,9.68,282,1.58
0,2002-02-28 00:00:00,35.46,1014937200,2.48,1014901200,0.22,San Juan,0.31,0.36,1014879600San Juan,37.848391,-107.680381,0.55,0.055,0.0001,0.0033,1014940800,0.12,snow,1010.65,CO,1014903895,1014944667,41.05,1014937200,10.38,1014901200,1014879600,9.84,200,1.84
0,2002-03-31 00:00:00,64.12,1017619200,23.12,1017579600,0,San Juan,17.62,0.37,1017558000San Juan,37.848391,-107.680381,0.61,,0,0,,0,,1015.27,CO,1017579498,1017624815,64.12,1017619200,27.9,1017579600,1017558000,10,258,1.13
0,2002-04-30 00:00:00,67,1020204000,37.03,1020171600,0,San Juan,7.7,0.17,1020146400San Juan,37.848391,-107.680381,0.63,,0,0,,0,,1006.07,CO,1020169016,1020218475,67,1020204000,39.55,1020168000,1020146400,9.99,226,7.13
0,2002-05-31 00:00:00,83.19,1022878800,51.27,1022842800,0.03,San Juan,26.9,0.23,1022824800San Juan,37.848391,-107.680381,0.68,,0,0,,0,,1008.95,CO,1022845922,1022898467,87.38,1022878800,51.27,1022842800,1022824800,9.95,204,1.38
0,2002-06-30 00:00:00,84.22,1025474400,51.78,1025434800,0.01,San Juan,24.41,0.19,1025416800San Juan,37.848391,-107.680381,0.69,,0,0,,0,,1013.04,CO,1025437985,1025491085,88.65,1025474400,51.78,1025434800,1025416800,9.68,238,1.7
0,2002-07-31 00:00:00,84.88,1028149200,53.81,1028113200,0.02,San Juan,32.02,0.26,1028095200San Juan,37.848391,-107.680381,0.73,,0,0,,0,,1011.91,CO,1028117675,1028168521,89.21,1028149200,53.81,1028113200,1028095200,9.86,192,0.97
0,2002-08-31 00:00:00,78.74,1030831200,43.55,1030798800,0.11,San Juan,32.96,0.36,1030773600San Juan,37.848391,-107.680381,0.77,,0,0,,0,,1017.95,CO,1030797689,1030844609,78.74,1030831200,46.22,1030798800,1030773600,10,183,1.06
0,2002-09-30 00:00:00,62.18,1033426800,34.45,1033390800,0.17,San Juan,33,0.57,1033365600San Juan,37.848391,-107.680381,0.79,,0.0002,0.0052,1033376400,0.23,rain,1012.89,CO,1033391207,1033433816,62.18,1033426800,38.83,1033390800,1033365600,9.9,142,3.85
0,2002-10-31 00:00:00,42.98,1036098000,25.72,1036072800,0.3,San Juan,26.79,0.64,1036047600San Juan,37.848391,-107.680381,0.85,,0.0101,0.0553,1036130400,0.72,rain,1013.76,CO,1036071394,1036109673,46.94,1036098000,29.73,1036072800,1036047600,9.45,167,2.33
0,2002-11-30 00:00:00,39.44,1038686400,12.46,1038661200,0.29,San Juan,15.17,0.53,1038639600San Juan,37.848391,-107.680381,0.87,0.523,0.0025,0.0343,1038718800,0.67,snow,1025.01,CO,1038665297,1038700422,43.47,1038686400,20.19,1038661200,1038639600,9.93,151,0.92
0,2002-12-31 00:00:00,35.04,1041368400,10.54,1041332400,0.62,San Juan,15.66,0.6,1041318000San Juan,37.848391,-107.680381,0.93,0.148,0.0007,0.0053,1041386400,0.23,snow,1019.52,CO,1041344847,1041379351,38.35,1041368400,18.76,1041325200,1041318000,8.74,239,1
0,2003-01-31 00:00:00,48.69,1044057600,18.69,1044021600,0.05,San Juan,22.41,0.62,1043996400San Juan,37.848391,-107.680381,0.98,,0,0,,0,,1025.68,CO,1044022623,1044059626,48.69,1044057600,23.5,1044021600,1043996400,9.99,175,0.59
0,2003-02-28 00:00:00,29.67,1046462400,9.02,1046476800,0.87,San Juan,17.87,0.79,1046415600San Juan,37.848391,-107.680381,0.93,1.543,0.005,0.0247,1046480400,0.63,snow,1008.51,CO,1046439916,1046480652,29.67,1046462400,19,1046476800,1046415600,8.07,263,2.64
0,2003-03-31 00:00:00,63.74,1049155200,16.85,1049115600,0.01,San Juan,17.17,0.41,1049094000San Juan,37.848391,-107.680381,0.97,,0,0,,0,,1020.24,CO,1049115522,1049160801,63.74,1049155200,23.57,1049115600,1049094000,10,194,1.62
0,2003-04-30 00:00:00,53.43,1051736400,29.73,1051704000,0.09,San Juan,10.71,0.28,1051682400San Juan,37.848391,-107.680381,0.98,,0,0,,0,,1006.73,CO,1051705034,1051754461,53.43,1051736400,33.59,1051704000,1051682400,9.94,240,6.76
0,2003-05-31 00:00:00,79.15,1054407600,52.58,1054386000,0.24,San Juan,41.83,0.46,1054360800San Juan,37.848391,-107.680381,0.02,,0.0037,0.036,1054411200,0.67,rain,1010.47,CO,1054381928,1054434456,80.39,1054407600,52.58,1054386000,1054360800,9.94,75,0.33
0,2003-06-30 00:00:00,84.39,1057017600,53.39,1056967200,0.05,San Juan,31.94,0.27,1056952800San Juan,37.848391,-107.680381,0.03,,0,0,,0,,1013.6,CO,1056973978,1057027086,88.43,1057017600,53.39,1056967200,1056952800,10,152,1.65
0,2003-07-31 00:00:00,81.16,1059681600,58.77,1059652800,0.19,San Juan,46.54,0.44,1059631200San Juan,37.848391,-107.680381,0.08,,0.0048,0.0305,1059692400,0.66,rain,1016.68,CO,1059653662,1059704536,83.27,1059681600,58.77,1059652800,1059631200,9.89,82,1.57
0,2003-08-31 00:00:00,78.72,1062367200,45.86,1062327600,0.18,San Juan,41.35,0.52,1062309600San Juan,37.848391,-107.680381,0.14,,0,0,,0,,1017.14,CO,1062333676,1062380632,78.72,1062367200,47.8,1062327600,1062309600,9.89,351,0.12
0,2003-09-30 00:00:00,78.8,1064955600,40.62,1064923200,0.08,San Juan,29.56,0.35,1064901600San Juan,37.848391,-107.680381,0.17,,0,0,,0,,1017.43,CO,1064927193,1064969840,78.8,1064955600,41.53,1064926800,1064901600,9.99,166,0.11
0,2003-10-31 00:00:00,60.99,1067634000,31.01,1067608800,0.18,San Juan,21.77,0.35,1067583600San Juan,37.848391,-107.680381,0.23,,0.0001,0.002,1067644800,0.05,rain,1008.02,CO,1067607377,1067645690,60.99,1067634000,37.01,1067608800,1067583600,9.84,193,9.11
0,2003-11-30 00:00:00,48.78,1070229600,13.71,1070193600,0.13,San Juan,16.85,0.58,1070175600San Juan,37.848391,-107.680381,0.25,,0,0,,0,,1026.15,CO,1070201282,1070236425,49.3,1070229600,18.93,1070200800,1070175600,9.99,93,1.14
0,2003-12-31 00:00:00,27.86,1072904400,9.43,1072872000,0.49,San Juan,15.59,0.63,1072854000San Juan,37.848391,-107.680381,0.29,0.031,0.0001,0.003,1072890000,0.1,snow,1018.16,CO,1072880844,1072915339,34.8,1072904400,20.57,1072872000,1072854000,9.46,140,5.48
0,2004-01-31 00:00:00,26.33,1075579200,15.16,1075615200,0.88,San Juan,20.57,0.81,1075532400San Juan,37.848391,-107.680381,0.33,0.56,0.0023,0.014,1075575600,0.55,snow,1006.27,CO,1075558635,1075595608,31.16,1075579200,20.79,1075615200,1075532400,7.35,286,2.23
0,2004-02-29 00:00:00,34.59,1078099200,11.88,1078063200,0.77,San Juan,16.89,0.76,1078038000San Juan,37.848391,-107.680381,0.3,0.275,0.001,0.0107,1078077600,0.52,snow,1009.96,CO,1078062254,1078103096,34.59,1078099200,16.32,1078059600,1078038000,7.58,276,5.46
0,2004-03-31 00:00:00,66.57,1080774000,25.97,1080727200,0.06,San Juan,14.46,0.28,1080716400San Juan,37.848391,-107.680381,0.34,,0,0,,0,,1015.83,CO,1080737854,1080783241,66.57,1080774000,31.35,1080738000,1080716400,9.98,151,1.47
0,2004-04-30 00:00:00,53.64,1083369600,27.43,1083312000,0.71,San Juan,30.25,0.76,1083304800San Juan,37.848391,-107.680381,0.35,,0.0073,0.0593,1083304800,0.73,rain,1014.98,CO,1083327383,1083376902,53.64,1083369600,32.07,1083330000,1083304800,8.12,201,0.79
0,2004-05-31 00:00:00,71.83,1086048000,34.45,1085990400,0.09,San Juan,21.97,0.34,1085983200San Juan,37.848391,-107.680381,0.41,,0,0,,0,,1013.47,CO,1086004311,1086056887,71.83,1086048000,34.79,1086004800,1085983200,9.97,265,7.51
0,2004-06-30 00:00:00,74.93,1088640000,47.2,1088582400,0.38,San Juan,43.15,0.64,1088575200San Juan,37.848391,-107.680381,0.44,,0.0109,0.0406,1088578800,0.69,rain,1016.18,CO,1088596398,1088649482,74.93,1088640000,47.2,1088582400,1088575200,9.38,258,3.02
0,2004-07-31 00:00:00,78.44,1091311200,50.39,1091275200,0.09,San Juan,34.73,0.35,1091253600San Juan,37.848391,-107.680381,0.51,,0,0,,0,,1013.44,CO,1091276100,1091326894,80.07,1091311200,50.39,1091275200,1091253600,10,173,1.26
0,2004-08-31 00:00:00,76.37,1093996800,44.48,1093957200,0.09,San Juan,29.36,0.32,1093932000San Juan,37.848391,-107.680381,0.56,,0.0003,0.0048,1093993200,0.2,rain,1019.31,CO,1093956113,1094002966,76.37,1093996800,46.36,1093957200,1093932000,9.99,90,0.97
0,2004-09-30 00:00:00,53.02,1096588800,34.38,1096549200,0.65,San Juan,36.51,0.79,1096524000San Juan,37.848391,-107.680381,0.58,,0.007,0.041,1096585200,0.69,rain,1012.7,CO,1096549632,1096592171,53.02,1096588800,37.23,1096549200,1096524000,8.8,124,0.47
0,2004-10-31 00:00:00,33.48,1099260000,15.38,1099267200,0.6,San Juan,22.28,0.73,1099202400San Juan,37.848391,-107.680381,0.62,1.145,0.0052,0.028,1099256400,0.64,snow,1012.63,CO,1099229824,1099268041,39.13,1099260000,24.43,1099288800,1099202400,8.8,287,3.28
0,2004-11-30 00:00:00,14.14,1101844800,-8.41,1101823200,0.11,San Juan,0.37,0.69,1101798000San Juan,37.848391,-107.680381,0.62,0.098,0.0002,0.0051,1101830400,0.22,snow,1032.04,CO,1101823724,1101858815,20.89,1101844800,-0.49,1101823200,1101798000,9.93,147,1.55
0,2004-12-31 00:00:00,33.22,1104530400,18.42,1104505200,0.19,San Juan,19.09,0.62,1104476400San Juan,37.848391,-107.680381,0.66,0.331,0.0016,0.0077,1104526800,0.39,snow,1014.55,CO,1104503252,1104537773,37.1,1104530400,24.64,1104559200,1104476400,9.94,159,4.24
0,2005-01-31 00:00:00,31.64,1107205200,15.05,1107180000,0.81,San Juan,20.65,0.82,1107154800San Juan,37.848391,-107.680381,0.7,1.289,0.0045,0.0125,1107219600,0.54,snow,1022.23,CO,1107180999,1107218059,31.64,1107205200,19.95,1107176400,1107154800,7.31,214,0.55
0,2005-02-28 00:00:00,36.9,1109631600,14.44,1109588400,0.16,San Juan,16.56,0.59,1109574000San Juan,37.848391,-107.680381,0.65,,0,0,,0,,1017.97,CO,1109598276,1109639081,42.55,1109631600,18.23,1109599200,1109574000,9.8,261,2.16
0,2005-03-31 00:00:00,43.11,1112313600,7.69,1112263200,0.39,San Juan,12.87,0.59,1112252400San Juan,37.848391,-107.680381,0.71,1.561,0.0061,0.027,1112310000,0.64,snow,1023.5,CO,1112273878,1112319227,46.49,1112313600,18.08,1112263200,1112252400,9,328,5.33
0,2005-04-30 00:00:00,43.83,1114898400,23.36,1114862400,0.46,San Juan,25.15,0.61,1114840800San Juan,37.848391,-107.680381,0.73,,0.0024,0.0134,1114912800,0.55,rain,1016.98,CO,1114863401,1114912888,48.21,1114898400,26.76,1114862400,1114840800,9.32,256,4.36
0,2005-05-31 00:00:00,66.36,1117584000,35.64,1117533600,0.17,San Juan,28.6,0.45,1117519200San Juan,37.848391,-107.680381,0.79,,0,0,,0,,1010.92,CO,1117540317,1117592876,66.36,1117584000,38,1117540800,1117519200,9.95,259,4.69
0,2005-06-30 00:00:00,78.3,1120176000,45.31,1120132800,0.04,San Juan,29.71,0.32,1120111200San Juan,37.848391,-107.680381,0.82,,0,0,,0,,1013.98,CO,1120132391,1120185484,80.1,1120176000,45.31,1120132800,1120111200,9.99,231,2.61
0,2005-07-31 00:00:00,79.42,1122836400,57.55,1122811200,0.16,San Juan,41.11,0.39,1122789600San Juan,37.848391,-107.680381,0.87,,0.0002,0.004,1122865200,0.15,rain,1016.48,CO,1122812087,1122862909,81.01,1122836400,57.55,1122811200,1122789600,9.92,159,2.2
0,2005-08-31 00:00:00,78.14,1125525600,46.06,1125486000,0.07,San Juan,26.41,0.29,1125468000San Juan,37.848391,-107.680381,0.91,,0,0,,0,,1013.42,CO,1125492100,1125538989,80.14,1125525600,46.47,1125489600,1125468000,10,218,1.61
0,2005-09-30 00:00:00,68.53,1128124800,39.49,1128085200,0.13,San Juan,37.42,0.63,1128060000San Juan,37.848391,-107.680381,0.91,,0.0007,0.0051,1128063600,0.22,rain,1016.08,CO,1128085618,1128128195,68.53,1128124800,39.49,1128085200,1128060000,9.67,251,1.69
0,2005-10-31 00:00:00,43.81,1130803200,21.67,1130756400,0.05,San Juan,20.1,0.57,1130742000San Juan,37.848391,-107.680381,0.95,,0.0002,0.0026,1130796000,0.08,rain,1030.52,CO,1130765808,1130804058,47.68,1130803200,24.89,1130763600,1130742000,9.78,273,4.02
0,2005-11-30 00:00:00,33.98,1133395200,9.55,1133341200,0.58,San Juan,13.68,0.6,1133334000San Juan,37.848391,-107.680381,0.97,0.42,0.0014,0.0128,1133341200,0.54,snow,1017.64,CO,1133359709,1133394819,33.98,1133395200,20.5,1133413200,1133334000,8.22,258,8.57
0,2005-12-31 00:00:00,39.14,1136062800,21.13,1136019600,0.45,San Juan,21.54,0.59,1136012400San Juan,37.848391,-107.680381,0.03,,0.0016,0.0173,1136088000,0.58,rain,1011.33,CO,1136039249,1136073761,42.6,1136062800,28.57,1136012400,1136012400,9.19,223,4.22
0,2006-01-31 00:00:00,30.84,1138741200,22.14,1138766400,0.49,San Juan,20.59,0.67,1138690800San Juan,37.848391,-107.680381,0.08,,0,0,,0,,1013.99,CO,1138717012,1138754041,38.14,1138741200,24.52,1138773600,1138690800,9.48,256,4.68
0,2006-02-28 00:00:00,45.57,1141167600,30.01,1141131600,0.57,San Juan,23.37,0.49,1141110000San Juan,37.848391,-107.680381,0.03,,0.0006,0.0103,1141174800,0.51,rain,1015.91,CO,1141134298,1141175065,48.8,1141167600,35.48,1141124400,1141110000,9.65,223,5.56
0,2006-03-31 00:00:00,46.6,1143842400,18.54,1143806400,0.26,San Juan,17.96,0.49,1143788400San Juan,37.848391,-107.680381,0.09,,0.0011,0.0137,1143846000,0.55,rain,1017.03,CO,1143809902,1143855213,49.43,1143842400,23.55,1143806400,1143788400,9.8,185,4.71
0,2006-04-30 00:00:00,63.3,1146441600,34.18,1146394800,0.27,San Juan,21.16,0.35,1146376800San Juan,37.848391,-107.680381,0.11,,0.0005,0.0039,1146387600,0.15,rain,1012.11,CO,1146399419,1146448873,63.3,1146441600,34.18,1146394800,1146376800,9.93,276,5.81
0,2006-05-31 00:00:00,75.92,1149120000,36.35,1149073200,0.06,San Juan,15.6,0.24,1149055200San Juan,37.848391,-107.680381,0.15,,0,0,,0,,1017.4,CO,1149076323,1149128865,75.92,1149120000,38.75,1149076800,1149055200,9.72,228,1.29
0,2006-06-30 00:00:00,79.11,1151697600,53.23,1151668800,0.19,San Juan,36.11,0.35,1151647200San Juan,37.848391,-107.680381,0.16,,0.0002,0.0048,1151712000,0.2,rain,1014.85,CO,1151668384,1151721485,79.11,1151697600,53.23,1151668800,1151647200,9.98,70,1.67
0,2006-07-31 00:00:00,72.91,1154376000,57.64,1154347200,0.52,San Juan,51.34,0.67,1154325600San Juan,37.848391,-107.680381,0.2,,0.0065,0.031,1154401200,0.66,rain,1006.27,CO,1154348073,1154398923,72.91,1154376000,57.64,1154347200,1154325600,9.4,155,0.84
0,2006-08-31 00:00:00,72.35,1157050800,51.45,1157025600,0.3,San Juan,36.43,0.41,1157004000San Juan,37.848391,-107.680381,0.25,,0.0005,0.0048,1157068800,0.2,rain,1013.2,CO,1157028087,1157075012,72.35,1157050800,51.45,1157025600,1157004000,10,174,0.87
0,2006-09-30 00:00:00,70.34,1159653600,40.4,1159621200,0.01,San Juan,23.41,0.33,1159596000San Juan,37.848391,-107.680381,0.26,,0,0,,0,,1016.72,CO,1159621604,1159664219,70.34,1159653600,40.4,1159621200,1159596000,10,227,2.16
0,2006-10-31 00:00:00,52.23,1162328400,29.3,1162292400,0.02,San Juan,14.21,0.37,1162278000San Juan,37.848391,-107.680381,0.32,,0,0,,0,,1014.44,CO,1162301791,1162340075,52.23,1162328400,30.69,1162299600,1162278000,10,246,5.85
0,2006-11-30 00:00:00,17.65,1164931200,-9.94,1164873600,0.08,San Juan,0.08,0.63,1164870000San Juan,37.848391,-107.680381,0.35,,0,0,,0,,1034.02,CO,1164895695,1164930822,25.05,1164931200,-0.84,1164891600,1164870000,9.73,242,3.5
0,2006-12-31 00:00:00,31.47,1167598800,11.87,1167573600,0.06,San Juan,10.2,0.54,1167548400San Juan,37.848391,-107.680381,0.41,,0,0,,0,,1025.52,CO,1167575246,1167609749,34.98,1167598800,17.75,1167570000,1167548400,9.79,168,2.03
0,2007-01-31 00:00:00,19.89,1170273600,4.29,1170288000,0.88,San Juan,17.33,0.84,1170226800San Juan,37.848391,-107.680381,0.45,3.023,0.0092,0.0233,1170259200,0.62,snow,1008.1,CO,1170253025,1170290023,25.43,1170273600,11.66,1170309600,1170226800,5.03,248,5.86
0,2007-02-28 00:00:00,19.92,1172646000,6.34,1172714400,0.76,San Juan,14.96,0.73,1172646000San Juan,37.848391,-107.680381,0.4,2.726,0.0089,0.0265,1172649600,0.64,snow,1002.19,CO,1172670320,1172711049,28.2,1172646000,13.12,1172728800,1172646000,5.68,242,8.92
