,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,31.09,949363200,11.72,949316400,0.8,San Miguel,18.61,0.77,949302000San Miguel,37.9688412,-108.19474,0.85,1.521,0.0055,0.0762,949384800,0.76,snow,1020.99,CO,949328371,949365320,35.41,949363200,19.91,949309200,949302000,7.82,88,1.77
0,2000-02-29 00:00:00,46.98,951861600,26.21,951836400,0.37,San Miguel,25.26,0.67,951807600San Miguel,37.9688412,-108.19474,0.83,,0.0015,0.0254,951843600,0.63,rain,1017.51,CO,951831980,951872816,47.82,951861600,26.9,951832800,951807600,9.73,267,1.26
0,2000-03-31 00:00:00,41.28,954547200,27.68,954518400,0.92,San Miguel,29.76,0.79,954486000San Miguel,37.9688412,-108.19474,0.86,,0.0108,0.0346,954522000,0.67,rain,1014.49,CO,954507570,954552971,44.72,954547200,33,954507600,954486000,7.91,21,4.66
0,2000-04-30 00:00:00,69.62,957139200,41.12,957096000,0.37,San Miguel,31.7,0.45,957074400San Miguel,37.9688412,-108.19474,0.88,,0.0008,0.0194,957128400,0.6,rain,1015.56,CO,957097090,957146641,69.62,957139200,43.55,957099600,957074400,9.96,335,5.58
0,2000-05-31 00:00:00,84.33,959810400,50.8,959770800,0.01,San Miguel,27.05,0.2,959752800San Miguel,37.9688412,-108.19474,0.93,,0,0,,0,,1005.78,CO,959774013,959826632,88.23,959810400,50.8,959770800,959752800,10,223,4.71
0,2000-06-30 00:00:00,83.15,962395200,54.77,962366400,0.15,San Miguel,45.09,0.43,962344800San Miguel,37.9688412,-108.19474,0.96,,0.0004,0.0061,962427600,0.28,rain,1011.55,CO,962366101,962419227,86.2,962395200,54.77,962366400,962344800,10,137,1.5
0,2000-07-31 00:00:00,87.66,965088000,54.07,965048400,0.02,San Miguel,43.34,0.4,965023200San Miguel,37.9688412,-108.19474,0.03,,0,0,,0,,1016.2,CO,965045809,965096631,91.75,965088000,54.07,965048400,965023200,9.97,156,1.64
0,2000-08-31 00:00:00,74.87,967755600,53.32,967726800,0.42,San Miguel,47.22,0.57,967701600San Miguel,37.9688412,-108.19474,0.09,,0.002,0.0171,967705200,0.58,rain,1012.69,CO,967725832,967772693,74.87,967755600,53.32,967726800,967701600,9.94,149,1.64
0,2000-09-30 00:00:00,78.56,970358400,44.58,970318800,0.1,San Miguel,40.7,0.53,970293600San Miguel,37.9688412,-108.19474,0.1,,0,0,,0,,1014.83,CO,970319359,970361889,78.56,970358400,46.43,970318800,970293600,10,259,1.5
0,2000-10-31 00:00:00,42.99,972975600,28.73,973051200,0.72,San Miguel,31.01,0.74,972975600San Miguel,37.9688412,-108.19474,0.15,,0.0111,0.062,972990000,0.74,rain,1010.3,CO,972999562,973037750,42.99,972975600,31.97,973058400,972975600,9.35,227,3.05
0,2000-11-30 00:00:00,43.44,975625200,18.63,975600000,0.1,San Miguel,20.43,0.56,975567600San Miguel,37.9688412,-108.19474,0.15,,0,0,,0,,1021.68,CO,975593469,975628519,47.12,975625200,24.4,975650400,975567600,9.99,301,1.62
0,2000-12-31 00:00:00,35.67,978300000,5.04,978267600,0.02,San Miguel,10.11,0.59,978246000San Miguel,37.9688412,-108.19474,0.19,,0,0,,0,,1027.34,CO,978272996,978307478,38.23,978300000,12.75,978267600,978246000,10,164,1.12
0,2001-01-31 00:00:00,23.01,980985600,-7.72,980949600,0.15,San Miguel,4.45,0.67,980924400San Miguel,37.9688412,-108.19474,0.23,,0,0,,0,,1027.43,CO,980950735,980987771,26.61,980985600,1.93,980949600,980924400,9.85,162,0.96
0,2001-02-28 00:00:00,38.78,983390400,20.91,983365200,0.6,San Miguel,24.52,0.76,983343600San Miguel,37.9688412,-108.19474,0.17,1.07,0.0053,0.0266,983394000,0.64,snow,1013.14,CO,983368002,983408801,38.78,983390400,25.8,983426400,983343600,9.31,133,0.86
0,2001-03-31 00:00:00,57.98,986083200,21.63,986032800,0.04,San Miguel,18.56,0.42,986022000San Miguel,37.9688412,-108.19474,0.23,,0,0,,0,,1014.37,CO,986043594,986088957,57.98,986083200,25.67,986043600,986022000,9.97,235,2.13
