,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,29.34,949352400,2.7,949323600,0.34,Summit,7.89,0.6,949302000Summit,39.6070604,-106.0917826,0.85,,0,0,,0,,1020.17,CO,949328069,949364613,34.11,949352400,9.19,949327200,949302000,9.45,123,0.66
0,2000-02-29 00:00:00,49.21,951858000,21.79,951890400,0.39,Summit,22.22,0.55,951807600Summit,39.6070604,-106.0917826,0.83,,0.0008,0.0181,951843600,0.59,rain,1012.58,CO,951831557,951872230,49.86,951858000,27.86,951890400,951807600,9.76,344,2.92
0,2000-03-31 00:00:00,29.06,954547200,17.75,954565200,0.89,Summit,23.15,0.85,954486000Summit,39.6070604,-106.0917826,0.86,1.851,0.0078,0.0439,954525600,0.7,snow,1020.84,CO,954507009,954552523,33.23,954547200,24.9,954511200,954486000,5.75,221,1.33
0,2000-04-30 00:00:00,54.64,957139200,31.02,957099600,0.82,Summit,31.32,0.65,957074400Summit,39.6070604,-106.0917826,0.88,,0.0045,0.037,957078000,0.68,rain,1017.94,CO,957096401,957146321,54.64,957139200,38.59,957099600,957074400,9.4,1,8.87
0,2000-05-31 00:00:00,78.94,959806800,45.74,959770800,0.24,Summit,40.93,0.45,959752800Summit,39.6070604,-106.0917826,0.93,,0,0,,0,,1006.28,CO,959773222,959826413,78.94,959806800,48.53,959770800,959752800,8.97,222,2.85
0,2000-06-30 00:00:00,80.23,962402400,48.72,962366400,0.28,Summit,41.07,0.45,962344800Summit,39.6070604,-106.0917826,0.96,,0,0,,0,,1011.59,CO,962365292,962419026,82.57,962402400,49.64,962362800,962344800,9.98,175,5.16
0,2000-07-31 00:00:00,82.25,965088000,50.01,965044800,0.1,Summit,36.86,0.37,965023200Summit,39.6070604,-106.0917826,0.03,,0.0006,0.0145,965088000,0.56,rain,1017.42,CO,965045078,965096353,85.5,965088000,50.01,965044800,965023200,9.99,89,0.87
0,2000-08-31 00:00:00,67.94,967766400,48.23,967723200,0.54,Summit,46.99,0.71,967701600Summit,39.6070604,-106.0917826,0.09,,0.0046,0.0541,967770000,0.72,rain,1013.03,CO,967725225,967772291,67.94,967766400,48.23,967723200,967701600,9.87,150,1.47
0,2000-09-30 00:00:00,74.53,970351200,44.58,970311600,0.37,Summit,37.6,0.49,970293600Summit,39.6070604,-106.0917826,0.1,,0,0,,0,,1012.14,CO,970318884,970361355,74.53,970351200,47.07,970318800,970293600,10,251,4.32
0,2000-10-31 00:00:00,37.69,973022400,26.74,972990000,0.68,Summit,28.88,0.77,972975600Summit,39.6070604,-106.0917826,0.15,,0.002,0.0109,973029600,0.52,rain,1006.82,CO,972999219,973037083,39.97,973022400,30.11,973054800,972975600,8,260,1.4
0,2000-11-30 00:00:00,34.69,975618000,16.42,975650400,0.3,Summit,15.68,0.48,975567600Summit,39.6070604,-106.0917826,0.15,,0,0,,0,,1016.66,CO,975593229,975627750,43,975618000,22.2,975650400,975567600,9.66,294,8.21
0,2000-12-31 00:00:00,22.1,978289200,6.86,978249600,0.34,Summit,12.36,0.71,978246000Summit,39.6070604,-106.0917826,0.19,,0,0,,0,,1024.27,CO,978272775,978306689,29.55,978289200,12.09,978267600,978246000,9.21,347,1.2
0,2001-01-31 00:00:00,24.35,980985600,-1.9,980942400,0.51,Summit,3.41,0.62,980924400Summit,39.6070604,-106.0917826,0.23,,0,0,,0,,1022.64,CO,980950430,980987066,24.35,980985600,4.41,980949600,980924400,9.66,223,1.29
0,2001-02-28 00:00:00,36.99,983404800,8.67,983354400,0.65,Summit,17.89,0.77,983343600Summit,39.6070604,-106.0917826,0.17,0.635,0.0026,0.0233,983412000,0.62,snow,1015.44,CO,983367580,983408214,36.99,983404800,15.08,983368800,983343600,8.18,178,0.27
0,2001-03-31 00:00:00,54.9,986083200,20.26,986047200,0.51,Summit,22.47,0.62,986022000Summit,39.6070604,-106.0917826,0.23,0.596,0.0026,0.0216,986058000,0.61,snow,1014.77,CO,986043034,986088508,54.9,986083200,25.65,986047200,986022000,9.02,300,1.14
0,2001-04-30 00:00:00,69.52,988675200,37.84,988621200,0.3,Summit,27.67,0.39,988610400Summit,39.6070604,-106.0917826,0.25,,0,0,,0,,1013.89,CO,988632420,988682306,69.52,988675200,41,988624800,988610400,9.98,257,2.43
0,2001-05-31 00:00:00,72.34,991353600,40.51,991306800,0.22,Summit,35.72,0.5,991288800Summit,39.6070604,-106.0917826,0.32,,0.0033,0.0654,991314000,0.74,rain,1015.16,CO,991309229,991362402,72.34,991353600,40.51,991306800,991288800,9.96,347,2.25
0,2001-06-30 00:00:00,85.03,993938400,54.99,993902400,0.36,Summit,43.12,0.38,993880800Summit,39.6070604,-106.0917826,0.34,,0,0,,0,,1013.52,CO,993901285,993955028,88.81,993938400,54.99,993902400,993880800,10,175,1.92
0,2001-07-31 00:00:00,78.04,996609600,56.65,996642000,0.63,Summit,51.61,0.6,996559200Summit,39.6070604,-106.0917826,0.39,,0.0074,0.065,996627600,0.74,rain,1009.97,CO,996581064,996632369,78.04,996609600,56.65,996642000,996559200,9.88,253,1.78
0,2001-08-31 00:00:00,72.17,999302400,48.37,999262800,0.52,Summit,45.67,0.62,999237600Summit,39.6070604,-106.0917826,0.43,,0.0357,0.276,999259200,0.86,rain,1013.95,CO,999261211,999308315,72.17,999302400,48.37,999262800,999237600,9.98,216,2.61
0,2001-09-30 00:00:00,70.72,1001887200,44.17,1001854800,0.26,Summit,36.69,0.49,1001829600Summit,39.6070604,-106.0917826,0.44,,0,0,,0,,1022.25,CO,1001854869,1001897380,70.72,1001887200,44.17,1001854800,1001829600,9.98,171,0.48
0,2001-10-31 00:00:00,56.22,1004558400,40.45,1004590800,0.57,Summit,31.2,0.48,1004511600Summit,39.6070604,-106.0917826,0.48,,0.0027,0.0392,1004562000,0.69,rain,1005.31,CO,1004535202,1004573101,56.22,1004558400,40.45,1004590800,1004511600,9.68,240,6.75
0,2001-11-30 00:00:00,27.39,1007154000,16.2,1007179200,0.66,Summit,15.25,0.64,1007103600Summit,39.6070604,-106.0917826,0.49,0.067,0.0003,0.003,1007143200,0.1,snow,1009.3,CO,1007129213,1007163754,33.8,1007154000,20.46,1007103600,1007103600,8.76,268,2.83
0,2001-12-31 00:00:00,28.48,1009832400,9.84,1009796400,0.53,Summit,13,0.7,1009782000Summit,39.6070604,-106.0917826,0.55,0.036,0.0001,0.003,1009821600,0.1,snow,1018.21,CO,1009808773,1009842677,31.96,1009832400,10.94,1009807200,1009782000,9.35,83,1.77
0,2002-01-31 00:00:00,12.64,1012521600,-10.64,1012474800,0.34,Summit,-1.44,0.61,1012460400Summit,39.6070604,-106.0917826,0.61,,0,0,,0,,1023.24,CO,1012486444,1012523047,21.61,1012521600,-1.22,1012485600,1012460400,9.72,348,5.2
0,2002-02-28 00:00:00,37.45,1014937200,0.1,1014886800,0.54,Summit,7.87,0.52,1014879600Summit,39.6070604,-106.0917826,0.55,0.392,0.0013,0.0184,1014958800,0.59,snow,1008.68,CO,1014903603,1014944197,37.45,1014937200,10.93,1014886800,1014879600,9.18,51,2.06
0,2002-03-31 00:00:00,63.66,1017619200,18.25,1017583200,0.17,Summit,21.32,0.48,1017558000Summit,39.6070604,-106.0917826,0.61,,0,0,,0,,1015.43,CO,1017579059,1017624492,63.66,1017619200,25.62,1017576000,1017558000,10,244,1.28
0,2002-04-30 00:00:00,69,1020204000,36.97,1020157200,0.13,Summit,22.88,0.32,1020146400Summit,39.6070604,-106.0917826,0.63,,0.0004,0.01,1020211200,0.51,rain,1003.15,CO,1020168439,1020218290,69,1020204000,40.67,1020164400,1020146400,9.88,221,3.01
0,2002-05-31 00:00:00,81.86,1022875200,52.29,1022842800,0.25,Summit,35.33,0.3,1022824800Summit,39.6070604,-106.0917826,0.68,,0,0,,0,,1009.04,CO,1022845236,1022898391,84.96,1022875200,52.29,1022842800,1022824800,10,201,1.31
0,2002-06-30 00:00:00,84.79,1025481600,54.14,1025442000,0.08,Summit,29.38,0.22,1025416800Summit,39.6070604,-106.0917826,0.69,,0,0,,0,,1012.82,CO,1025437278,1025491029,88.74,1025481600,54.14,1025442000,1025416800,9.1,119,2.15
0,2002-07-31 00:00:00,86.26,1028156400,56.32,1028113200,0.23,Summit,31.16,0.23,1028095200Summit,39.6070604,-106.0917826,0.73,,0,0,,0,,1010.77,CO,1028117049,1028168385,90.96,1028156400,56.32,1028113200,1028095200,9.98,139,0.95
0,2002-08-31 00:00:00,78.65,1030827600,49.94,1030798800,0.33,Summit,33.98,0.35,1030773600Summit,39.6070604,-106.0917826,0.77,,0,0,,0,,1016.63,CO,1030797196,1030844339,80.45,1030827600,49.94,1030798800,1030773600,10,204,1.51
0,2002-09-30 00:00:00,66.62,1033426800,41.74,1033376400,0.31,Summit,31.98,0.48,1033365600Summit,39.6070604,-106.0917826,0.79,,0,0,,0,,1008.44,CO,1033390854,1033433405,66.62,1033426800,42.58,1033380000,1033365600,9.65,241,2.71
0,2002-10-31 00:00:00,27.65,1036108800,15.67,1036065600,0.91,Summit,20.34,0.85,1036047600Summit,39.6070604,-106.0917826,0.85,2.504,0.0085,0.0647,1036083600,0.74,snow,1018.12,CO,1036071184,1036109119,27.65,1036108800,19.21,1036072800,1036047600,5.76,58,1.56
