,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.65,949356000,0.65,949320000,0.19,Teller,8.35,0.57,949302000Teller,38.88183467,-105.1634772,0.85,,0,0,,0,,1022.4,CO,949327756,949364480,37.39,949356000,9.92,949320000,949302000,9.35,8,1.33
0,2000-02-29 00:00:00,52.87,951858000,28.25,951890400,0.43,Teller,23.74,0.5,951807600Teller,38.88183467,-105.1634772,0.83,,0,0,,0,,1013.29,CO,951831298,951872044,52.87,951858000,33.78,951890400,951807600,9.34,342,5.81
0,2000-03-31 00:00:00,35.67,954547200,16.85,954507600,0.97,Teller,25.95,0.88,954486000Teller,38.88183467,-105.1634772,0.86,1.536,0.0067,0.0295,954525600,0.65,snow,1025.69,CO,954506812,954552274,35.67,954547200,26.64,954568800,954486000,3.45,356,8.02
0,2000-04-30 00:00:00,58.27,957139200,28.49,957103200,0.88,Teller,33.43,0.73,957074400Teller,38.88183467,-105.1634772,0.88,,0.007,0.0358,957078000,0.67,rain,1020.53,CO,957096261,957146015,58.27,957139200,38.33,957092400,957074400,9.31,348,14.48
0,2000-05-31 00:00:00,81.16,959814000,52.57,959770800,0.35,Teller,49.96,0.61,959752800Teller,38.88183467,-105.1634772,0.93,,0,0,,0,,1008.46,CO,959773128,959826062,82.58,959814000,52.57,959770800,959752800,8.38,147,4.51
0,2000-06-30 00:00:00,80.68,962398800,53.66,962366400,0.32,Teller,45.86,0.48,962344800Teller,38.88183467,-105.1634772,0.96,,0,0,,0,,1013.05,CO,962365206,962418667,82.81,962398800,53.66,962366400,962344800,9.55,177,5.03
0,2000-07-31 00:00:00,83.69,965077200,53.69,965044800,0.15,Teller,44.01,0.44,965023200Teller,38.88183467,-105.1634772,0.03,,0.0001,0.0035,965088000,0.13,rain,1018.13,CO,965044957,965096029,87.2,965077200,53.69,965044800,965023200,9.47,46,2.97
0,2000-08-31 00:00:00,74.07,967766400,54.45,967723200,0.61,Teller,51.59,0.69,967701600Teller,38.88183467,-105.1634772,0.09,,0.0033,0.0385,967770000,0.68,rain,1013.2,CO,967725048,967772023,74.07,967766400,54.45,967723200,967701600,9.39,95,1.51
0,2000-09-30 00:00:00,78.36,970351200,50.03,970318800,0.41,Teller,38.68,0.43,970293600Teller,38.88183467,-105.1634772,0.1,,0,0,,0,,1010.65,CO,970318648,970361146,78.36,970351200,50.03,970318800,970293600,10,275,3.73
0,2000-10-31 00:00:00,46.14,973018800,28.99,972990000,0.5,Teller,31.32,0.71,972975600Teller,38.88183467,-105.1634772,0.15,,0.0007,0.0033,973029600,0.12,rain,1008.68,CO,972998923,973036933,47.95,973018800,33.25,972993600,972975600,8.25,334,2.66
0,2000-11-30 00:00:00,53.46,975610800,20.02,975571200,0.2,Teller,16.41,0.43,975567600Teller,38.88183467,-105.1634772,0.15,,0,0,,0,,1017.98,CO,975592887,975627646,53.46,975610800,25.03,975567600,975567600,9.33,312,4.48
0,2000-12-31 00:00:00,34.43,978289200,10.11,978267600,0.29,Teller,15.37,0.72,978246000Teller,38.88183467,-105.1634772,0.19,,0,0,,0,,1025.27,CO,978272425,978306594,34.43,978289200,14.31,978271200,978246000,9.5,79,1.05
0,2001-01-31 00:00:00,20.29,980971200,2.81,980953200,0.41,Teller,7.5,0.63,980924400Teller,38.88183467,-105.1634772,0.23,,0,0,,0,,1023.84,CO,980950118,980986933,28.58,980971200,8.8,980942400,980924400,9.29,198,0.8
0,2001-02-28 00:00:00,36.16,983404800,4.19,983350800,0.85,Teller,18.31,0.85,983343600Teller,38.88183467,-105.1634772,0.17,0.225,0.0008,0.007,983412000,0.34,snow,1020.1,CO,983367321,983408027,36.16,983404800,14.12,983358000,983343600,6.4,156,2.98
0,2001-03-31 00:00:00,60.9,986083200,21.19,986022000,0.62,Teller,26.65,0.71,986022000Teller,38.88183467,-105.1634772,0.23,,0.0011,0.0087,986058000,0.46,rain,1015.7,CO,986042836,986088260,60.9,986083200,28.39,986047200,986022000,9.25,120,2.68
0,2001-04-30 00:00:00,74.75,988675200,43,988624800,0.4,Teller,28.17,0.35,988610400Teller,38.88183467,-105.1634772,0.25,,0,0,,0,,1014.06,CO,988632280,988682000,74.75,988675200,44.39,988632000,988610400,9.57,217,1.08
0,2001-05-31 00:00:00,73.04,991353600,41.82,991310400,0.32,Teller,45.51,0.66,991288800Teller,38.88183467,-105.1634772,0.32,,0.001,0.0158,991314000,0.57,rain,1017.5,CO,991309135,991362051,73.04,991353600,43.06,991310400,991288800,9.27,39,2.47
0,2001-06-30 00:00:00,85.68,993931200,57.15,993902400,0.46,Teller,46.72,0.4,993880800Teller,38.88183467,-105.1634772,0.34,,0.0015,0.0357,993938400,0.67,rain,1013.31,CO,993901199,993954668,89.38,993931200,57.15,993902400,993880800,10,156,4.45
0,2001-07-31 00:00:00,84.4,996613200,65.11,996642000,0.52,Teller,50.27,0.42,996559200Teller,38.88183467,-105.1634772,0.39,,0.003,0.0557,996627600,0.73,rain,1007.66,CO,996580943,996632044,87.19,996613200,65.11,996642000,996559200,9.35,247,3.57
0,2001-08-31 00:00:00,72.05,999284400,54.28,999262800,0.6,Teller,50.65,0.65,999237600Teller,38.88183467,-105.1634772,0.43,,0.0131,0.0668,999259200,0.74,rain,1013.42,CO,999261034,999308046,72.05,999284400,54.28,999262800,999237600,9.82,198,3.02
0,2001-09-30 00:00:00,72.69,1001887200,46.09,1001854800,0.28,Teller,41.2,0.52,1001829600Teller,38.88183467,-105.1634772,0.44,,0,0,,0,,1022.48,CO,1001854633,1001897170,72.69,1001887200,49.05,1001847600,1001829600,9.99,329,2.1
0,2001-10-31 00:00:00,66.36,1004551200,47.5,1004594400,0.46,Teller,27.98,0.32,1004511600Teller,38.88183467,-105.1634772,0.48,,0.0001,0.0018,1004569200,0.04,rain,1005.59,CO,1004534906,1004572951,66.36,1004551200,47.5,1004594400,1004511600,9.27,248,12.07
0,2001-11-30 00:00:00,35.78,1007150400,16.18,1007128800,0.42,Teller,13.24,0.49,1007103600Teller,38.88183467,-105.1634772,0.49,,0,0,,0,,1009.55,CO,1007128872,1007163650,41.82,1007150400,23.44,1007128800,1007103600,9.44,272,4.21
0,2001-12-31 00:00:00,27.78,1009836000,7.89,1009803600,0.48,Teller,13.72,0.74,1009782000Teller,38.88183467,-105.1634772,0.55,,0,0,,0,,1021.66,CO,1009808422,1009842581,31.37,1009836000,13.22,1009807200,1009782000,8.44,103,2.03
