,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,43.27,949356000,1.24,949327200,0.05,Washington,10.54,0.56,949302000Washington,39.86798533,-103.2269897,0.85,,0,0,,0,,1021.09,CO,949327415,949363891,43.27,949356000,12.96,949327200,949302000,9.98,256,3.34
0,2000-02-29 00:00:00,54.25,951865200,27.21,951890400,0.39,Washington,25.36,0.5,951807600Washington,39.86798533,-103.2269897,0.83,,0.0006,0.0138,951843600,0.55,rain,1011.09,CO,951830883,951871529,54.25,951865200,33.29,951890400,951807600,9.99,359,8.87
0,2000-03-31 00:00:00,37.53,954547200,21.03,954507600,0.94,Washington,29.14,0.9,954486000Washington,39.86798533,-103.2269897,0.86,2.234,0.0115,0.0315,954489600,0.66,snow,1025.65,CO,954506313,954551844,39.77,954547200,29.83,954568800,954486000,4.45,26,6.67
0,2000-04-30 00:00:00,57.87,957139200,29.1,957092400,0.79,Washington,37.02,0.79,957074400Washington,39.86798533,-103.2269897,0.88,,0.0215,0.1456,957078000,0.82,rain,1020.8,CO,957095683,957145664,57.87,957139200,39.1,957085200,957074400,9.31,2,18.17
0,2000-05-31 00:00:00,81.39,959814000,52.67,959763600,0.56,Washington,53.72,0.73,959752800Washington,39.86798533,-103.2269897,0.93,,0.0006,0.0064,959770800,0.3,rain,1008.91,CO,959772488,959825772,81.71,959814000,52.67,959763600,959752800,7.61,125,6.23
0,2000-06-30 00:00:00,84.91,962402400,53.21,962366400,0.11,Washington,48.69,0.51,962344800Washington,39.86798533,-103.2269897,0.96,,0,0,,0,,1011.88,CO,962364555,962418389,88.16,962402400,53.21,962366400,962344800,9.78,166,5.87
0,2000-07-31 00:00:00,86.64,965088000,55.42,965044800,0.04,Washington,49.27,0.5,965023200Washington,39.86798533,-103.2269897,0.03,,0,0,,0,,1017.55,CO,965044353,965095703,90.17,965088000,55.42,965044800,965023200,9.92,151,2.34
0,2000-08-31 00:00:00,77.54,967766400,55.84,967726800,0.53,Washington,55.36,0.79,967701600Washington,39.86798533,-103.2269897,0.09,,0.0079,0.0644,967770000,0.74,rain,1012.85,CO,967724520,967771621,77.54,967766400,55.84,967726800,967701600,9.57,24,5.19
0,2000-09-30 00:00:00,79.38,970344000,52.36,970318800,0.14,Washington,39,0.42,970293600Washington,39.86798533,-103.2269897,0.1,,0,0,,0,,1009.42,CO,970318201,970360663,81.38,970344000,52.36,970318800,970293600,9.99,268,6.99
0,2000-10-31 00:00:00,51.55,973022400,29.05,972993600,0.48,Washington,38.76,0.86,972975600Washington,39.86798533,-103.2269897,0.15,,0.006,0.0568,973033200,0.73,rain,1007.76,CO,972998558,973036369,51.55,973022400,35.48,972993600,972975600,7.48,268,2.91
0,2000-11-30 00:00:00,52.24,975614400,14.36,975574800,0.12,Washington,18.6,0.56,975567600Washington,39.86798533,-103.2269897,0.15,,0,0,,0,,1018.09,CO,975592584,975627019,52.24,975614400,22.23,975574800,975567600,9.88,321,11.31
0,2000-12-31 00:00:00,24.35,978307200,2.62,978271200,0.5,Washington,16.14,0.86,978246000Washington,39.86798533,-103.2269897,0.19,,0,0,,0,,1027.02,CO,978272134,978305954,29.48,978307200,10.13,978271200,978246000,6.48,218,3.29
0,2001-01-31 00:00:00,25.36,980978400,1,980949600,0.21,Washington,10.35,0.65,980924400Washington,39.86798533,-103.2269897,0.23,,0,0,,0,,1022.27,CO,980949776,980986345,30.76,980978400,12.53,980946000,980924400,9.96,277,6.53
0,2001-02-28 00:00:00,36.47,983404800,1.77,983358000,0.52,Washington,16.4,0.8,983343600Washington,39.86798533,-103.2269897,0.17,0.663,0.0025,0.0277,983386800,0.64,snow,1020.99,CO,983366907,983407512,41.61,983404800,11.09,983358000,983343600,9.05,199,5.52
0,2001-03-31 00:00:00,62.09,986083200,21.16,986032800,0.48,Washington,26.79,0.68,986022000Washington,39.86798533,-103.2269897,0.23,0.535,0.0025,0.019,986032800,0.59,snow,1016.67,CO,986042338,986087829,62.09,986083200,27.47,986043600,986022000,8.89,332,3.25
0,2001-04-30 00:00:00,74.85,988675200,41.05,988632000,0.19,Washington,36.04,0.44,988610400Washington,39.86798533,-103.2269897,0.25,,0.0005,0.0056,988610400,0.25,rain,1012.24,CO,988631702,988681648,74.85,988675200,44.58,988632000,988610400,10,287,4.86
0,2001-05-31 00:00:00,76.72,991353600,45.94,991303200,0.28,Washington,48.73,0.71,991288800Washington,39.86798533,-103.2269897,0.32,,0,0,,0,,1015.67,CO,991308495,991361761,76.72,991353600,46.95,991303200,991288800,9.56,6,1.72
0,2001-06-30 00:00:00,90.21,993934800,63.54,993902400,0.16,Washington,53.2,0.44,993880800Washington,39.86798533,-103.2269897,0.34,,0.0065,0.1568,993880800,0.82,rain,1012.99,CO,993900547,993954390,93.24,993934800,63.54,993902400,993880800,10,165,7.78
0,2001-07-31 00:00:00,89.38,996616800,69.2,996642000,0.25,Washington,55.94,0.46,996559200Washington,39.86798533,-103.2269897,0.39,,0.0087,0.1832,996627600,0.84,rain,1007.33,CO,996580338,996631719,91.46,996616800,69.2,996642000,996559200,9.92,210,4.98
0,2001-08-31 00:00:00,80.39,999302400,58.87,999259200,0.37,Washington,54.03,0.64,999237600Washington,39.86798533,-103.2269897,0.43,,0.0047,0.0482,999320400,0.71,rain,1012.87,CO,999260506,999307645,81.83,999302400,58.87,999259200,999237600,9.8,171,9.25
0,2001-09-30 00:00:00,77.03,1001887200,47.37,1001854800,0.12,Washington,46.56,0.6,1001829600Washington,39.86798533,-103.2269897,0.44,,0,0,,0,,1022.29,CO,1001854186,1001896689,77.03,1001887200,49.24,1001854800,1001829600,9.98,13,1.24
0,2001-10-31 00:00:00,72.8,1004554800,39.86,1004594400,0.18,Washington,31.14,0.36,1004511600Washington,39.86798533,-103.2269897,0.48,,0,0,,0,,1003.34,CO,1004534540,1004572388,72.8,1004554800,43.21,1004594400,1004511600,9.93,271,9.97
0,2001-11-30 00:00:00,34.64,1007154000,7.47,1007107200,0.36,Washington,18.45,0.67,1007103600Washington,39.86798533,-103.2269897,0.49,,0,0,,0,,1010.23,CO,1007128568,1007163023,39.96,1007154000,17.48,1007103600,1007103600,9.4,270,6.57
0,2001-12-31 00:00:00,27,1009836000,2.43,1009803600,0.37,Washington,13.02,0.75,1009782000Washington,39.86798533,-103.2269897,0.55,,0,0,,0,,1023.72,CO,1009808132,1009841942,33.16,1009836000,10.48,1009807200,1009782000,9.38,31,0.6
0,2002-01-31 00:00:00,28.72,1012521600,-2.14,1012489200,0.45,Washington,6.74,0.61,1012460400Washington,39.86798533,-103.2269897,0.61,0.508,0.0012,0.0067,1012464000,0.32,snow,1022.74,CO,1012485790,1012522326,31.84,1012521600,11.79,1012489200,1012460400,8.53,338,10.78
