,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,44.29,949356000,0.74,949327200,0.07,Yuma,12.31,0.61,949302000Yuma,39.92061243,-102.4855453,0.85,,0,0,,0,,1021.14,CO,949327244,949363707,44.29,949356000,12.4,949327200,949302000,9.69,273,3.8
0,2000-02-29 00:00:00,54.96,951865200,25.91,951890400,0.32,Yuma,26.21,0.5,951807600Yuma,39.92061243,-102.4855453,0.83,,0.0008,0.0201,951843600,0.6,rain,1010.54,CO,951830708,951871348,54.96,951865200,32.24,951890400,951807600,9.98,359,9.74
0,2000-03-31 00:00:00,40.23,954547200,23.37,954511200,0.92,Yuma,30.53,0.87,954486000Yuma,39.92061243,-102.4855453,0.86,,0.0121,0.04,954500400,0.69,rain,1025.17,CO,954506133,954551668,43.13,954547200,31.45,954568800,954486000,5.63,29,7.08
0,2000-04-30 00:00:00,58.93,957139200,32.27,957103200,0.82,Yuma,38.92,0.8,957074400Yuma,39.92061243,-102.4855453,0.88,,0.0275,0.1514,957078000,0.82,rain,1019.69,CO,957095499,957145492,58.93,957139200,41.53,957157200,957074400,9.12,1,18.38
0,2000-05-31 00:00:00,83.44,959814000,53.28,959763600,0.61,Yuma,54.55,0.74,959752800Yuma,39.92061243,-102.4855453,0.93,,0.0007,0.0067,959778000,0.32,rain,1009.03,CO,959772301,959825604,84.17,959814000,53.28,959763600,959752800,7.54,122,6.28
0,2000-06-30 00:00:00,85.93,962409600,52.28,962366400,0.07,Yuma,49.73,0.54,962344800Yuma,39.92061243,-102.4855453,0.96,,0,0,,0,,1012.17,CO,962364366,962418221,89.13,962409600,52.28,962366400,962344800,9.67,157,4.85
0,2000-07-31 00:00:00,87.45,965088000,55.07,965044800,0.02,Yuma,51.42,0.54,965023200Yuma,39.92061243,-102.4855453,0.03,,0,0,,0,,1017.59,CO,965044167,965095533,90.69,965088000,55.07,965044800,965023200,9.82,154,2.76
0,2000-08-31 00:00:00,79.74,967766400,57.6,967726800,0.41,Yuma,56.27,0.75,967701600Yuma,39.92061243,-102.4855453,0.09,,0.0053,0.0305,967770000,0.65,rain,1012.21,CO,967724339,967771446,79.74,967766400,57.6,967726800,967701600,9.68,17,6.52
0,2000-09-30 00:00:00,80.41,970344000,53.42,970318800,0.08,Yuma,40.97,0.44,970293600Yuma,39.92061243,-102.4855453,0.1,,0,0,,0,,1008.74,CO,970318024,970360485,82.88,970344000,53.42,970318800,970293600,9.98,276,7.27
