,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,36.55,949363200,21.41,949309200,0.68,Ada,27.52,0.8,949302000Ada,43.51501679,-116.2493488,0.85,0.263,0.0013,0.0099,949316400,0.51,snow,1023.26,ID,949331032,949366526,43,949363200,29.23,949330800,949302000,7.97,135,5.45
0,2000-02-29 00:00:00,46.38,951868800,28.66,951825600,0.71,Ada,33.87,0.79,951807600Ada,43.51501679,-116.2493488,0.83,,0.0032,0.0286,951858000,0.65,rain,1015.77,ID,951834201,951874461,47.53,951868800,36.69,951825600,951807600,9.05,141,5.79
0,2000-03-31 00:00:00,63.75,954547200,25.15,954507600,0.01,Ada,24.08,0.47,954486000Ada,43.51501679,-116.2493488,0.86,,0,0,,0,,1027.99,ID,954509295,954555112,63.75,954547200,29.63,954507600,954486000,9.8,314,8.25
0,2000-04-30 00:00:00,79.67,957139200,32.75,957099600,0.02,Ada,26.51,0.38,957074400Ada,43.51501679,-116.2493488,0.88,,0,0,,0,,1023.4,ID,957098352,957149245,79.67,957139200,36.11,957099600,957074400,9.82,135,8.56
0,2000-05-31 00:00:00,67.66,959817600,35.29,959774400,0.13,Ada,32.38,0.51,959752800Ada,43.51501679,-116.2493488,0.93,,0,0,,0,,1019.16,ID,959774906,959829606,67.66,959817600,37.51,959774400,959752800,9.75,315,6.14
0,2000-06-30 00:00:00,90.82,962406000,62.26,962370000,0.05,Ada,43.65,0.3,962344800Ada,43.51501679,-116.2493488,0.96,,0,0,,0,,1005.97,ID,962366930,962422264,94.86,962406000,62.26,962370000,962344800,9.76,104,2.51
0,2000-07-31 00:00:00,97.17,965091600,69.79,965048400,0.05,Ada,51.07,0.34,965023200Ada,43.51501679,-116.2493488,0.03,,0,0,,0,,1010.91,ID,965046925,965099382,99.81,965091600,69.79,965048400,965023200,9.52,345,1.38
0,2000-08-31 00:00:00,78.6,967755600,55.57,967726800,0.18,Ada,45.61,0.51,967701600Ada,43.51501679,-116.2493488,0.09,,0.0085,0.0817,967762800,0.77,rain,1006.72,ID,967727400,967774990,78.6,967755600,55.57,967726800,967701600,9.54,139,8.26
0,2000-09-30 00:00:00,77.77,970354800,50.75,970318800,0.15,Ada,43.8,0.51,970293600Ada,43.51501679,-116.2493488,0.1,,0,0,,0,,1013.83,ID,970321400,970363714,77.77,970354800,50.75,970318800,970293600,9.83,143,1.88
0,2000-10-31 00:00:00,51.5,973033200,27.46,972997200,0.17,Ada,31.82,0.67,972975600Ada,43.51501679,-116.2493488,0.15,,0,0,,0,,1019.25,ID,973002082,973039096,51.5,973033200,34.87,973000800,972975600,9.65,312,11.97
0,2000-11-30 00:00:00,46.82,975621600,24.6,975592800,0.43,Ada,31.49,0.83,975567600Ada,43.51501679,-116.2493488,0.15,,0,0,,0,,1026.99,ID,975596361,975629494,46.82,975621600,30.92,975592800,975567600,9.56,134,4.58
0,2000-12-31 00:00:00,28.99,978307200,18.31,978271200,0.95,Ada,23.32,0.86,978246000Ada,43.51501679,-116.2493488,0.19,,0,0,,0,,1034.52,ID,978275957,978308384,28.99,978307200,25.81,978278400,978246000,6.54,317,3.18
0,2001-01-31 00:00:00,26.34,980978400,7.14,980946000,0.62,Ada,17.71,0.81,980924400Ada,43.51501679,-116.2493488,0.23,,0,0,,0,,1033.11,ID,980953385,980988987,32.76,980978400,15.13,980924400,980924400,6.56,255,3.23
0,2001-02-28 00:00:00,40.15,983404800,13.78,983368800,0.01,Ada,19.73,0.65,983343600Ada,43.51501679,-116.2493488,0.17,,0,0,,0,,1020.63,ID,983370227,983410441,45.77,983404800,20.25,983368800,983343600,9.65,257,0.38
0,2001-03-31 00:00:00,56.96,986083200,28.57,986040000,0.54,Ada,31.59,0.58,986022000Ada,43.51501679,-116.2493488,0.23,,0.0029,0.0297,986101200,0.65,rain,1016.72,ID,986045323,986091093,56.96,986083200,34.67,986036400,986022000,9.63,117,3.18
0,2001-04-30 00:00:00,75.93,988671600,50.23,988635600,0.56,Ada,39.34,0.51,988610400Ada,43.51501679,-116.2493488,0.25,,0.0021,0.0184,988650000,0.59,rain,1015.37,ID,988634374,988685227,75.93,988671600,50.23,988635600,988610400,9.73,335,1.15
0,2001-05-31 00:00:00,86.9,991353600,51.41,991306800,0.02,Ada,40.29,0.4,991288800Ada,43.51501679,-116.2493488,0.32,,0,0,,0,,1018.1,ID,991310914,991365593,91.05,991353600,51.41,991306800,991288800,9.79,286,4.73
0,2001-06-30 00:00:00,86.86,993945600,59.12,993902400,0.04,Ada,49.77,0.45,993880800Ada,43.51501679,-116.2493488,0.34,,0,0,,0,,1011.46,ID,993902922,993958267,90.61,993945600,59.12,993902400,993880800,9.86,289,2.09
0,2001-07-31 00:00:00,85.23,996624000,47.45,996580800,0.11,Ada,45.55,0.6,996559200Ada,43.51501679,-116.2493488,0.39,,0,0,,0,,1015.92,ID,996582908,996635400,88.81,996624000,47.72,996584400,996559200,9.89,303,2.04
0,2001-08-31 00:00:00,86.11,999298800,62.5,999262800,0.04,Ada,44.59,0.33,999237600Ada,43.51501679,-116.2493488,0.43,,0,0,,0,,1007.67,ID,999263383,999311017,89.36,999298800,62.5,999262800,999237600,9.86,236,0.33
0,2001-09-30 00:00:00,81.17,1001894400,43.25,1001854800,0,Ada,35.27,0.4,1001829600Ada,43.51501679,-116.2493488,0.44,,0,0,,0,,1020.18,ID,1001857382,1001899742,83.99,1001894400,46.35,1001854800,1001829600,9.97,116,3.98
0,2001-10-31 00:00:00,59.09,1004565600,40.89,1004536800,0.74,Ada,39.99,0.65,1004511600Ada,43.51501679,-116.2493488,0.48,,0.0011,0.01,1004511600,0.51,rain,1012.34,ID,1004538062,1004575117,59.09,1004565600,43.82,1004536800,1004511600,9.52,250,4.21
0,2001-11-30 00:00:00,33.32,1007164800,19.24,1007132400,0.36,Ada,23.33,0.76,1007103600Ada,43.51501679,-116.2493488,0.49,,0,0,,0,,1014.8,ID,1007132344,1007165500,41.37,1007164800,24.11,1007128800,1007103600,9.78,135,6.72
0,2001-12-31 00:00:00,32.22,1009839600,20.65,1009803600,1,Ada,28.48,0.92,1009782000Ada,43.51501679,-116.2493488,0.55,1.012,0.0046,0.0448,1009810800,0.7,snow,1021.39,ID,1009811956,1009844371,32.22,1009839600,28.6,1009803600,1009782000,3.92,113,0.76
0,2002-01-31 00:00:00,28.3,1012521600,12.21,1012492800,0.89,Ada,18.58,0.75,1012460400Ada,43.51501679,-116.2493488,0.61,,0,0,,0,,1029.51,ID,1012489402,1012524965,32.72,1012521600,21.46,1012482000,1012460400,9.57,143,7.2
0,2002-02-28 00:00:00,28.84,1014930000,16.02,1014962400,0.33,Ada,16.32,0.55,1014879600Ada,43.51501679,-116.2493488,0.55,,0,0,,0,,1018.19,ID,1014906253,1014946421,39.74,1014930000,23.72,1014894000,1014879600,9.59,315,11.69
0,2002-03-31 00:00:00,68.48,1017615600,30.49,1017579600,0.01,Ada,27.63,0.46,1017558000Ada,43.51501679,-116.2493488,0.61,,0,0,,0,,1018.89,ID,1017581350,1017627075,68.48,1017615600,34.75,1017583200,1017558000,9.9,348,0.26
0,2002-04-30 00:00:00,65.76,1020211200,45.54,1020229200,0.76,Ada,40.94,0.63,1020146400Ada,43.51501679,-116.2493488,0.63,,0.0016,0.0088,1020160800,0.47,rain,1007.66,ID,1020170396,1020221208,65.76,1020211200,48.92,1020171600,1020146400,9.87,270,2.6
0,2002-05-31 00:00:00,82.69,1022886000,54.67,1022850000,0.04,Ada,40.11,0.37,1022824800Ada,43.51501679,-116.2493488,0.68,,0,0,,0,,1010.53,ID,1022846922,1022901580,86.01,1022886000,54.67,1022850000,1022824800,9.74,308,7.85
0,2002-06-30 00:00:00,82.3,1025485200,58.03,1025442000,0,Ada,44.14,0.4,1025416800Ada,43.51501679,-116.2493488,0.69,,0,0,,0,,1013.16,ID,1025438914,1025494269,85.31,1025485200,58.03,1025442000,1025416800,9.98,317,6.6
0,2002-07-31 00:00:00,85.55,1028160000,60.71,1028120400,0.01,Ada,34.99,0.29,1028095200Ada,43.51501679,-116.2493488,0.73,,0,0,,0,,1014.64,ID,1028118891,1028171418,89.74,1028160000,60.71,1028120400,1028095200,9.9,313,7.7
0,2002-08-31 00:00:00,81.8,1030834800,58.55,1030798800,0.02,Ada,45.54,0.43,1030773600Ada,43.51501679,-116.2493488,0.77,,0,0,,0,,1015.03,ID,1030799365,1030847045,84.49,1030834800,58.55,1030798800,1030773600,10,305,2.51
0,2002-09-30 00:00:00,57.67,1033430400,36.74,1033448400,0.31,Ada,32.68,0.61,1033365600Ada,43.51501679,-116.2493488,0.79,,0.0001,0.0014,1033405200,0.03,rain,1015.1,ID,1033393364,1033435770,57.67,1033430400,37.85,1033394400,1033365600,9.83,309,3.25
0,2002-10-31 00:00:00,36.24,1036108800,12.13,1036072800,0.16,Ada,12.01,0.6,1036047600Ada,43.51501679,-116.2493488,0.85,,0,0,,0,,1028.11,ID,1036074042,1036111138,36.24,1036108800,14.82,1036076400,1036047600,9.73,283,3.42
0,2002-11-30 00:00:00,45.33,1038693600,21.13,1038668400,0.04,Ada,25.42,0.72,1038639600Ada,43.51501679,-116.2493488,0.87,,0,0,,0,,1024.85,ID,1038668327,1038701506,45.33,1038693600,25.83,1038664800,1038639600,6.98,164,0.85
0,2002-12-31 00:00:00,38.4,1041379200,29.8,1041318000,0.88,Ada,33.75,0.76,1041318000Ada,43.51501679,-116.2493488,0.93,,0.0046,0.0187,1041368400,0.59,rain,1011.5,ID,1041347955,1041380358,43.4,1041379200,36.14,1041400800,1041318000,9.54,144,3.95
0,2003-01-31 00:00:00,57.63,1044046800,34.28,1044057600,0.49,Ada,43.28,0.77,1043996400Ada,43.51501679,-116.2493488,0.98,,0.0004,0.0017,1044000000,0.04,rain,1018.52,ID,1044025418,1044060944,57.63,1044046800,40.79,1044057600,1043996400,9.67,129,9.2
0,2003-02-28 00:00:00,32.82,1046476800,14.48,1046440800,0.35,Ada,20.03,0.65,1046415600Ada,43.51501679,-116.2493488,0.93,,0,0,,0,,1015.82,ID,1046442279,1046482401,41,1046476800,20.6,1046440800,1046415600,9.43,305,4.09
0,2003-03-31 00:00:00,69.74,1049151600,44.54,1049119200,0.27,Ada,35.62,0.45,1049094000Ada,43.51501679,-116.2493488,0.97,,0.0003,0.0047,1049176800,0.2,rain,1010.63,ID,1049117378,1049163057,69.74,1049151600,48,1049119200,1049094000,9.95,130,5.56
0,2003-04-30 00:00:00,60.18,1051747200,38.23,1051725600,0.65,Ada,37.65,0.74,1051682400Ada,43.51501679,-116.2493488,0.98,,0.0074,0.0657,1051729200,0.74,rain,1014.37,ID,1051706418,1051757190,60.18,1051747200,43.08,1051714800,1051682400,9.38,301,4.04
0,2003-05-31 00:00:00,76.7,1054418400,52.97,1054382400,0.13,Ada,47.88,0.56,1054360800Ada,43.51501679,-116.2493488,0.02,,0,0,,0,,1013.85,ID,1054382931,1054437567,76.7,1054418400,52.97,1054382400,1054360800,9.82,302,2.9
0,2003-06-30 00:00:00,85.8,1057014000,67.79,1056974400,0,Ada,35.96,0.21,1056952800Ada,43.51501679,-116.2493488,0.03,,0,0,,0,,1008.48,ID,1056974907,1057030271,89.79,1057014000,67.79,1056974400,1056952800,9.98,318,3.95
0,2003-07-31 00:00:00,92.65,1059692400,65.75,1059656400,0.02,Ada,38.21,0.23,1059631200Ada,43.51501679,-116.2493488,0.08,,0,0,,0,,1010.14,ID,1059654875,1059707436,98.91,1059692400,65.75,1059656400,1059631200,9.86,296,2.95
0,2003-08-31 00:00:00,83.65,1062370800,55.75,1062334800,0,Ada,39.1,0.34,1062309600Ada,43.51501679,-116.2493488,0.14,,0,0,,0,,1015.26,ID,1062335348,1062383072,87.12,1062370800,55.75,1062334800,1062309600,9.98,124,1.83
