,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,31.42,949363200,15.08,949384800,0.75,Adams,24.33,0.86,949302000Adams,44.7888008,-116.4388196,0.85,1.146,0.0046,0.0195,949348800,0.6,snow,1023.54,ID,949331265,949366384,37.79,949363200,25.03,949330800,949302000,6.51,147,5.4
0,2000-02-29 00:00:00,42.92,951868800,25.08,951825600,0.82,Adams,31.93,0.85,951807600Adams,44.7888008,-116.4388196,0.83,,0.0055,0.0223,951865200,0.61,rain,1015.71,ID,951834321,951874433,42.92,951868800,32.69,951825600,951807600,8.49,138,4.73
0,2000-03-31 00:00:00,56.99,954547200,23.24,954507600,0.02,Adams,23.21,0.52,954486000Adams,44.7888008,-116.4388196,0.86,,0,0,,0,,1030.32,ID,954509287,954555210,56.99,954547200,26.7,954507600,954486000,9.62,334,6.44
0,2000-04-30 00:00:00,73.8,957139200,27.93,957099600,0.05,Adams,29.33,0.49,957074400Adams,44.7888008,-116.4388196,0.88,,0,0,,0,,1024.11,ID,957098224,957149464,73.8,957139200,32.64,957099600,957074400,9.77,133,5.97
0,2000-05-31 00:00:00,62.09,959817600,34.29,959770800,0.6,Adams,34.85,0.69,959752800Adams,44.7888008,-116.4388196,0.93,,0.019,0.0482,959778000,0.71,rain,1019.55,ID,959774680,959829923,62.09,959817600,34.29,959770800,959752800,9.22,290,1.75
0,2000-06-30 00:00:00,83.79,962406000,48.73,962366400,0.08,Adams,43.96,0.44,962344800Adams,44.7888008,-116.4388196,0.96,,0,0,,0,,1008.72,ID,962366687,962422599,87.1,962406000,49.48,962366400,962344800,9.66,302,1.78
0,2000-07-31 00:00:00,92.16,965084400,61.57,965048400,0.09,Adams,52.71,0.45,965023200Adams,44.7888008,-116.4388196,0.03,,0,0,,0,,1013.12,ID,965046758,965099639,95.47,965084400,61.57,965048400,965023200,9.7,329,2.36
0,2000-08-31 00:00:00,74.68,967752000,38.7,967726800,0.22,Adams,43.83,0.6,967701600Adams,44.7888008,-116.4388196,0.09,,0.0028,0.0285,967762800,0.65,rain,1007.64,ID,967727351,967775130,74.68,967752000,43.28,967726800,967701600,9.6,164,4.3
0,2000-09-30 00:00:00,67.1,970347600,41.85,970315200,0.59,Adams,45.88,0.69,970293600Adams,44.7888008,-116.4388196,0.1,,0.0136,0.0459,970347600,0.7,rain,1014.58,ID,970321472,970363732,67.1,970347600,44.91,970315200,970293600,9.49,164,1.81
0,2000-10-31 00:00:00,43.52,973029600,24.82,973000800,0.38,Adams,30.11,0.71,972975600Adams,44.7888008,-116.4388196,0.15,,0,0,,0,,1020.58,ID,973002278,973038991,48.44,973029600,32.36,972997200,972975600,9.59,324,9.01
0,2000-11-30 00:00:00,38.51,975621600,20.2,975646800,0.6,Adams,27.78,0.88,975567600Adams,44.7888008,-116.4388196,0.15,0.104,0.0005,0.0096,975600000,0.5,snow,1027.55,ID,975596655,975629292,40.56,975621600,25.44,975646800,975567600,7.58,163,3.1
0,2000-12-31 00:00:00,16.74,978307200,11.33,978278400,0.73,Adams,17.28,0.87,978246000Adams,44.7888008,-116.4388196,0.19,,0,0,,0,,1034.76,ID,978276270,978308162,25.64,978307200,17.73,978325200,978246000,5.87,273,0.71
0,2001-01-31 00:00:00,28.19,980978400,10.31,980946000,0.77,Adams,19.22,0.83,980924400Adams,44.7888008,-116.4388196,0.23,0.59,0.0017,0.011,980946000,0.52,snow,1032.02,ID,980953616,980988847,31.52,980978400,19.21,980924400,980924400,7.14,207,2.8
0,2001-02-28 00:00:00,33.45,983404800,3.97,983365200,0.01,Adams,12.15,0.66,983343600Adams,44.7888008,-116.4388196,0.17,,0,0,,0,,1021.98,ID,983370348,983410412,38.65,983404800,8.61,983372400,983343600,9.54,198,1.06
0,2001-03-31 00:00:00,49.55,986083200,23.65,986043600,0.64,Adams,31.16,0.75,986022000Adams,44.7888008,-116.4388196,0.23,,0.0106,0.0347,986097600,0.67,rain,1017.66,ID,986045316,986091191,49.55,986083200,27.33,986036400,986022000,9.13,124,2.01
0,2001-04-30 00:00:00,62.23,988668000,39.14,988693200,0.76,Adams,39.68,0.71,988610400Adams,44.7888008,-116.4388196,0.25,,0.0189,0.1045,988678800,0.79,rain,1016.04,ID,988634247,988685444,62.23,988668000,43.55,988621200,988610400,9.09,207,1.96
0,2001-05-31 00:00:00,80.08,991353600,40.81,991314000,0.04,Adams,41.33,0.52,991288800Adams,44.7888008,-116.4388196,0.32,,0,0,,0,,1019.83,ID,991310689,991365909,81.75,991353600,43.3,991314000,991288800,9.84,318,2.26
0,2001-06-30 00:00:00,82.79,993945600,50.9,993902400,0.09,Adams,50.29,0.58,993880800Adams,44.7888008,-116.4388196,0.34,,0,0,,0,,1013.96,ID,993902678,993958602,85.26,993945600,50.9,993902400,993880800,9.8,294,1.98
0,2001-07-31 00:00:00,79.56,996624000,44.19,996580800,0.35,Adams,44.97,0.68,996559200Adams,44.7888008,-116.4388196,0.39,,0.0064,0.0356,996577200,0.67,rain,1016.7,ID,996582741,996635658,79.56,996624000,44.19,996580800,996559200,9.43,236,1.04
0,2001-08-31 00:00:00,82.12,999298800,52.8,999262800,0.11,Adams,44.45,0.45,999237600Adams,44.7888008,-116.4388196,0.43,,0,0,,0,,1009.96,ID,999263333,999311158,84.66,999298800,52.8,999262800,999237600,9.87,330,2.7
0,2001-09-30 00:00:00,77.28,1001894400,30.74,1001858400,0,Adams,34.7,0.54,1001829600Adams,44.7888008,-116.4388196,0.44,,0,0,,0,,1022.4,ID,1001857453,1001899762,77.28,1001894400,35.5,1001858400,1001829600,9.89,113,1.47
0,2001-10-31 00:00:00,51.22,1004562000,39.16,1004540400,0.74,Adams,38.36,0.72,1004511600Adams,44.7888008,-116.4388196,0.48,,0.0091,0.0395,1004526000,0.69,rain,1010.87,ID,1004538257,1004575013,51.22,1004562000,44.17,1004533200,1004511600,8.91,206,6.99
