,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,23.85,949273200,7.02,949244400,0.22,Benewah,18.59,0.82,949302000Benewah,47.18057733,-116.7170045,0.82,0.136,0.0005,0.0079,949302000,0.4,snow,1019.8,ID,949245382,949279580,31.85,949273200,17.49,949244400,949219200,8.85,63,6.74
0,2000-02-29 00:00:00,37.46,951775200,29.38,951742800,0.87,Benewah,34.94,0.88,951807600Benewah,47.18057733,-116.7170045,0.8,,0.0026,0.0114,951789600,0.52,rain,1011.18,ID,951748247,951787863,43.67,951775200,34.9,951807600,951724800,7.88,214,6.18
0,2000-03-31 00:00:00,54.82,954460800,26.82,954410400,0.15,Benewah,27.13,0.65,954486000Benewah,47.18057733,-116.7170045,0.84,,0,0,,0,,1031.45,ID,954422967,954468901,54.82,954460800,28.15,954424800,954403200,9.82,206,2.27
0,2000-04-30 00:00:00,63.02,957052800,27.78,957013200,0.31,Benewah,31.08,0.61,957074400Benewah,47.18057733,-116.7170045,0.84,,0,0,,0,,1024.99,ID,957011638,957063397,63.02,957052800,34.32,957013200,956991600,9.59,182,4.84
0,2000-05-31 00:00:00,59.73,959716800,37.7,959688000,0.53,Benewah,41.69,0.77,959752800Benewah,47.18057733,-116.7170045,0.9,,0.0238,0.1261,959752800,0.81,rain,1013.62,ID,959687833,959744085,59.73,959716800,41.69,959688000,959670000,8.89,105,1.04
0,2000-06-30 00:00:00,80.11,962319600,56.75,962280000,0.2,Benewah,46.85,0.46,962344800Benewah,47.18057733,-116.7170045,0.92,,0,0,,0,,1012.53,ID,962279731,962336866,81.54,962319600,56.75,962280000,962262000,9.71,195,0.9
0,2000-07-31 00:00:00,92.74,965001600,60.73,964958400,0.17,Benewah,51.41,0.42,965023200Benewah,47.18057733,-116.7170045,0.99,,0,0,,0,,1013.25,ID,964959921,965013815,95.13,965001600,60.73,964958400,964940400,9.67,14,3.29
0,2000-08-31 00:00:00,74.89,967676400,55.62,967701600,0.33,Benewah,45.62,0.53,967701600Benewah,47.18057733,-116.7170045,0.05,,0.0011,0.02,967647600,0.6,rain,1010.73,ID,967640750,967689102,74.89,967676400,55.62,967701600,967618800,9.63,291,3.01
0,2000-09-30 00:00:00,64.86,970268400,51.78,970236000,0.59,Benewah,43.53,0.59,970293600Benewah,47.18057733,-116.7170045,0.07,,0.0068,0.1114,970272000,0.79,rain,1014.89,ID,970235111,970277467,64.86,970268400,51.78,970236000,970210800,9.68,207,9.06
0,2000-10-31 00:00:00,43.89,972946800,29.84,972910800,0.49,Benewah,34.53,0.9,972975600Benewah,47.18057733,-116.7170045,0.12,,0,0,,0,,1019.96,ID,972916157,972952449,45.17,972946800,33.36,972975600,972892800,6.76,19,1.61
0,2000-11-30 00:00:00,24.46,975531600,18.72,975495600,0.8,Benewah,26.91,0.89,975567600Benewah,47.18057733,-116.7170045,0.12,2.162,0.0104,0.04,975542400,0.69,snow,1013.65,ID,975510750,975542486,31.65,975531600,27.9,975495600,975484800,6.18,75,4.61
0,2000-12-31 00:00:00,28.35,978220800,20.58,978192000,0.88,Benewah,27,0.94,978246000Benewah,47.18057733,-116.7170045,0.16,1.199,0.0047,0.0162,978177600,0.57,snow,1026.89,ID,978190476,978221234,31.69,978220800,25.97,978170400,978163200,5.83,110,1.51
