,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,26.52,949363200,-2.66,949305600,0.69,Bingham,13.11,0.83,949302000Bingham,43.1927921,-112.4185735,0.85,0.769,0.0018,0.009,949305600,0.48,snow,1025.95,ID,949330067,949365652,30.74,949363200,8.63,949320000,949302000,7.33,33,0.73
0,2000-02-29 00:00:00,39.55,951858000,22.61,951829200,0.6,Bingham,27.33,0.69,951807600Bingham,43.1927921,-112.4185735,0.83,,0.0019,0.0233,951868800,0.62,rain,1016.86,ID,951833265,951873559,45.21,951858000,29.89,951829200,951807600,9.75,182,7.56
0,2000-03-31 00:00:00,52.69,954547200,16.3,954507600,0.04,Bingham,17.84,0.49,954486000Bingham,43.1927921,-112.4185735,0.86,,0,0,,0,,1026.93,ID,954508389,954554178,52.69,954547200,22.67,954507600,954486000,10,9,4.64
0,2000-04-30 00:00:00,74.22,957139200,26.5,957092400,0.02,Bingham,23.52,0.43,957074400Bingham,43.1927921,-112.4185735,0.88,,0,0,,0,,1025.82,ID,957097476,957148283,74.22,957139200,28.81,957099600,957074400,10,163,0.52
0,2000-05-31 00:00:00,69.51,959817600,34.6,959774400,0.05,Bingham,27.63,0.41,959752800Bingham,43.1927921,-112.4185735,0.93,,0,0,,0,,1015.22,ID,959774053,959828619,69.51,959817600,40.46,959774400,959752800,10,228,13.1
0,2000-06-30 00:00:00,84.12,962395200,48.49,962366400,0.12,Bingham,43.42,0.44,962344800Bingham,43.1927921,-112.4185735,0.96,,0.0092,0.17,962406000,0.83,rain,1009.9,ID,962366081,962421274,87.51,962395200,49.01,962366400,962344800,9.63,173,3.47
0,2000-07-31 00:00:00,95.67,965080800,56.39,965044800,0.07,Bingham,47.31,0.37,965023200Bingham,43.1927921,-112.4185735,0.03,,0,0,,0,,1013.04,ID,965046057,965098411,98.4,965080800,56.39,965044800,965023200,9.42,324,2.03
0,2000-08-31 00:00:00,71.39,967748400,50.4,967723200,0.47,Bingham,48.75,0.69,967701600Bingham,43.1927921,-112.4185735,0.09,,0.0048,0.0574,967766400,0.73,rain,1010.19,ID,967726503,967774049,71.39,967748400,50.4,967723200,967701600,9.48,195,5.77
0,2000-09-30 00:00:00,72.73,970351200,46.07,970322400,0.13,Bingham,39.73,0.48,970293600Bingham,43.1927921,-112.4185735,0.1,,0,0,,0,,1013.46,ID,970320473,970362802,72.73,970351200,49.61,970322400,970293600,9.87,222,12.31
0,2000-10-31 00:00:00,37.93,973026000,29.68,972993600,0.85,Bingham,34.32,0.87,972975600Bingham,43.1927921,-112.4185735,0.15,,0.0021,0.05,973036800,0.71,rain,1016.25,ID,973001125,973038214,43.39,973026000,35.25,973000800,972975600,8.36,258,6.04
0,2000-11-30 00:00:00,31.69,975614400,13.74,975650400,0.36,Bingham,24.31,0.76,975567600Bingham,43.1927921,-112.4185735,0.15,,0.0001,0.0013,975578400,0.02,rain,1026.63,ID,975595380,975628636,37.89,975614400,19.42,975650400,975567600,9.58,228,8.13
0,2000-12-31 00:00:00,17.98,978296400,2.07,978253200,0.73,Bingham,14.69,0.88,978246000Bingham,43.1927921,-112.4185735,0.19,,0,0,,0,,1034.55,ID,978274972,978307529,23.23,978296400,10.47,978249600,978246000,4.9,258,2.01
0,2001-01-31 00:00:00,17.61,980985600,3.81,980928000,0.86,Bingham,10.79,0.82,980924400Bingham,43.1927921,-112.4185735,0.23,0.065,0.0001,0.0034,980946000,0.12,snow,1033.57,ID,980952421,980988112,23.54,980985600,9.04,980938800,980924400,6.84,288,1.3
0,2001-02-28 00:00:00,26.15,983404800,-7.79,983372400,0.03,Bingham,8.04,0.7,983343600Bingham,43.1927921,-112.4185735,0.17,,0,0,,0,,1022.13,ID,983369291,983409540,31.47,983404800,5,983372400,983343600,9.81,9,2.86
0,2001-03-31 00:00:00,56.54,986083200,21.85,986047200,0.36,Bingham,25.09,0.55,986022000Bingham,43.1927921,-112.4185735,0.23,,0.0004,0.0074,986104800,0.37,rain,1016.55,ID,986044417,986090160,56.54,986083200,25.5,986047200,986022000,9.9,234,5.85
0,2001-04-30 00:00:00,65.74,988678800,39.53,988632000,0.43,Bingham,32.68,0.42,988610400Bingham,43.1927921,-112.4185735,0.25,,0.0003,0.0056,988668000,0.25,rain,1014.6,ID,988633497,988684265,65.74,988678800,43.94,988632000,988610400,9.9,223,12.45
0,2001-05-31 00:00:00,82.09,991353600,43.76,991310400,0.03,Bingham,37.81,0.42,991288800Bingham,43.1927921,-112.4185735,0.32,,0,0,,0,,1018.59,ID,991310061,991364607,85.11,991353600,47.29,991310400,991288800,9.97,226,7.31
0,2001-06-30 00:00:00,87.59,993938400,50.63,993902400,0.06,Bingham,45.69,0.42,993880800Bingham,43.1927921,-112.4185735,0.34,,0,0,,0,,1012.67,ID,993902073,993957277,91.5,993938400,50.63,993902400,993880800,10,223,1.84
0,2001-07-31 00:00:00,83.03,996624000,44.09,996584400,0.25,Bingham,40.95,0.5,996559200Bingham,43.1927921,-112.4185735,0.39,,0,0,,0,,1014.9,ID,996582040,996634429,86.28,996624000,49.48,996584400,996559200,9.99,223,9.7
0,2001-08-31 00:00:00,82.71,999302400,54.41,999262800,0.1,Bingham,45.97,0.47,999237600Bingham,43.1927921,-112.4185735,0.43,,0,0,,0,,1010.27,ID,999262486,999310076,85.83,999302400,54.41,999262800,999237600,9.98,210,1.77
0,2001-09-30 00:00:00,79.54,1001887200,33.63,1001858400,0,Bingham,35.74,0.51,1001829600Bingham,43.1927921,-112.4185735,0.44,,0,0,,0,,1022.19,ID,1001856455,1001898830,79.54,1001887200,37.85,1001854800,1001829600,9.99,23,2.16
0,2001-10-31 00:00:00,50.27,1004558400,35.5,1004540400,0.8,Bingham,38.33,0.75,1004511600Bingham,43.1927921,-112.4185735,0.48,,0.0109,0.0671,1004511600,0.75,rain,1011.42,ID,1004537105,1004574235,50.27,1004558400,43.07,1004540400,1004511600,9.48,227,15.67
0,2001-11-30 00:00:00,18.04,1007164800,6.85,1007136000,0.65,Bingham,18.46,0.78,1007103600Bingham,43.1927921,-112.4185735,0.49,0.23,0.0008,0.0055,1007114400,0.24,snow,1015.11,ID,1007131363,1007164642,30.92,1007164800,19.4,1007172000,1007103600,8.94,215,11.57
0,2001-12-31 00:00:00,21.96,1009832400,9.3,1009782000,0.98,Bingham,20.95,0.9,1009782000Bingham,43.1927921,-112.4185735,0.55,0.387,0.0014,0.0072,1009839600,0.36,snow,1022.3,ID,1009810971,1009843516,27.08,1009832400,18.45,1009782000,1009782000,5.89,30,3.25
0,2002-01-31 00:00:00,12.3,1012521600,-6.11,1012482000,0.89,Bingham,4.99,0.82,1012460400Bingham,43.1927921,-112.4185735,0.61,0.27,0.0006,0.004,1012507200,0.15,snow,1033.65,ID,1012488438,1012524091,18.07,1012521600,4.74,1012482000,1012460400,6.45,32,4.78
0,2002-02-28 00:00:00,16.12,1014937200,1.26,1014958800,0.58,Bingham,12.35,0.74,1014879600Bingham,43.1927921,-112.4185735,0.55,0.491,0.0015,0.0204,1014922800,0.6,snow,1017.44,ID,1014905316,1014945520,26.37,1014937200,13.92,1014958800,1014879600,8.65,344,5.02
0,2002-03-31 00:00:00,62.1,1017615600,28.33,1017579600,0.04,Bingham,25.42,0.44,1017558000Bingham,43.1927921,-112.4185735,0.61,,0,0,,0,,1017.76,ID,1017580445,1017626142,62.1,1017615600,33.44,1017579600,1017558000,10,227,12.38
0,2002-04-30 00:00:00,60.39,1020204000,39.98,1020168000,0.5,Bingham,37.86,0.62,1020146400Bingham,43.1927921,-112.4185735,0.63,,0.0012,0.0062,1020171600,0.29,rain,1006.33,ID,1020169519,1020220246,60.39,1020204000,43.58,1020171600,1020146400,9.95,254,4.55
0,2002-05-31 00:00:00,81.01,1022882400,54.95,1022846400,0.08,Bingham,48.78,0.52,1022824800Bingham,43.1927921,-112.4185735,0.68,,0,0,,0,,1010.07,ID,1022846069,1022900594,82.77,1022882400,54.95,1022846400,1022824800,9.95,235,5.71
0,2002-06-30 00:00:00,83.05,1025474400,53.62,1025438400,0.01,Bingham,47.11,0.46,1025416800Bingham,43.1927921,-112.4185735,0.69,,0,0,,0,,1012.56,ID,1025438065,1025493279,85.68,1025474400,53.62,1025438400,1025416800,10,226,7.73
0,2002-07-31 00:00:00,81.46,1028160000,58.96,1028120400,0.13,Bingham,41.52,0.36,1028095200Bingham,43.1927921,-112.4185735,0.73,,0,0,,0,,1012.88,ID,1028118024,1028170447,84.44,1028160000,58.96,1028120400,1028095200,9.99,220,11.54
0,2002-08-31 00:00:00,79.54,1030834800,44.54,1030795200,0.1,Bingham,42.03,0.5,1030773600Bingham,43.1927921,-112.4185735,0.77,,0,0,,0,,1016.27,ID,1030798469,1030846103,81.21,1030834800,46.93,1030798800,1030773600,9.97,236,3.35
0,2002-09-30 00:00:00,52.57,1033423200,29.13,1033394400,0.48,Bingham,31.36,0.61,1033365600Bingham,43.1927921,-112.4185735,0.79,,0.0014,0.0238,1033369200,0.62,rain,1013.16,ID,1033392438,1033434858,52.57,1033423200,37.49,1033394400,1033365600,9.9,223,10.87
0,2002-10-31 00:00:00,19.92,1036108800,1.61,1036072800,0.52,Bingham,11.91,0.8,1036047600Bingham,43.1927921,-112.4185735,0.85,0.068,0.0002,0.0047,1036047600,0.2,snow,1026.87,ID,1036073085,1036110256,23.69,1036108800,10.76,1036076400,1036047600,9.37,275,2.72
0,2002-11-30 00:00:00,40.83,1038693600,16.73,1038646800,0.1,Bingham,25.89,0.82,1038639600Bingham,43.1927921,-112.4185735,0.87,,0,0,,0,,1024.86,ID,1038667346,1038700647,43.63,1038693600,22.18,1038657600,1038639600,9.15,21,2.9
0,2002-12-31 00:00:00,25.35,1041375600,21.07,1041400800,0.96,Bingham,29.55,0.86,1041318000Bingham,43.1927921,-112.4185735,0.93,,0.0075,0.0324,1041364800,0.66,rain,1012.8,ID,1041346969,1041379503,34.74,1041375600,31.3,1041400800,1041318000,7.14,206,12.7
0,2003-01-31 00:00:00,55.03,1044054000,36.04,1044021600,0.53,Bingham,39.22,0.74,1043996400Bingham,43.1927921,-112.4185735,0.98,,0.0002,0.0015,1044014400,0.03,rain,1019.77,ID,1044024454,1044060070,55.03,1044054000,42.2,1044021600,1043996400,9.68,208,11.74
0,2003-02-28 00:00:00,27.9,1046473200,8.74,1046440800,0.42,Bingham,16.71,0.64,1046415600Bingham,43.1927921,-112.4185735,0.93,48.856,0.1279,1.5251,1046444400,0.94,snow,1013.59,ID,1046441342,1046481500,36.37,1046473200,18.7,1046437200,1046415600,9.96,229,9.32
0,2003-03-31 00:00:00,67.23,1049148000,38.31,1049115600,0.13,Bingham,27.73,0.4,1049094000Bingham,43.1927921,-112.4185735,0.97,,0,0,,0,,1012.69,ID,1049116473,1049162124,67.23,1049148000,40.67,1049115600,1049094000,10,204,8.93
0,2003-04-30 00:00:00,52.97,1051747200,27.55,1051704000,0.48,Bingham,32.22,0.7,1051682400Bingham,43.1927921,-112.4185735,0.98,,0,0,,0,,1013.03,ID,1051705541,1051756228,52.97,1051747200,32.84,1051707600,1051682400,9.97,236,8.74
0,2003-05-31 00:00:00,78.68,1054418400,53.99,1054386000,0.12,Bingham,45.13,0.49,1054360800Bingham,43.1927921,-112.4185735,0.02,,0,0,,0,,1011.64,ID,1054382078,1054436581,78.68,1054418400,53.99,1054386000,1054360800,9.99,230,10.57
0,2003-06-30 00:00:00,84.02,1057010400,55.59,1056970800,0.03,Bingham,42.26,0.37,1056952800Bingham,43.1927921,-112.4185735,0.03,,0,0,,0,,1009.55,ID,1056974058,1057029281,87.54,1057010400,55.59,1056970800,1056952800,10,236,6.33
0,2003-07-31 00:00:00,92.59,1059688800,56.49,1059656400,0.07,Bingham,43.38,0.33,1059631200Bingham,43.1927921,-112.4185735,0.08,,0,0,,0,,1011.58,ID,1059654007,1059706465,96.86,1059688800,56.49,1059656400,1059631200,9.93,230,5.72
0,2003-08-31 00:00:00,79.41,1062370800,46.29,1062334800,0.05,Bingham,44.35,0.56,1062309600Bingham,43.1927921,-112.4185735,0.14,,0.1048,0.8649,1062338400,0.92,rain,1018.25,ID,1062334452,1062382130,80.92,1062370800,46.29,1062334800,1062309600,9.93,83,0.39
0,2003-09-30 00:00:00,78.29,1064962800,40.54,1064930400,0.04,Bingham,36.78,0.44,1064901600Bingham,43.1927921,-112.4185735,0.17,,0.1048,1.1339,1064930400,0.93,rain,1017.88,ID,1064928420,1064970886,78.29,1064962800,44.78,1064930400,1064901600,10,45,5.63
0,2003-10-31 00:00:00,29.52,1067644800,-0.13,1067608800,0.3,Bingham,12.23,0.67,1067583600Bingham,43.1927921,-112.4185735,0.23,25.381,0.0608,1.0069,1067612400,0.93,snow,1019.4,ID,1067609065,1067646276,34.04,1067644800,11.07,1067608800,1067583600,9.7,43,6.25
0,2003-11-30 00:00:00,42.61,1070236800,29.74,1070258400,0.82,Bingham,33.47,0.87,1070175600Bingham,43.1927921,-112.4185735,0.25,,0.083,0.9586,1070204400,0.93,rain,1023.45,ID,1070203329,1070236653,42.61,1070236800,35.15,1070204400,1070175600,7.5,125,1.15
0,2003-12-31 00:00:00,22.71,1072908000,13.33,1072882800,0.96,Bingham,23.44,0.87,1072854000Bingham,43.1927921,-112.4185735,0.29,13.518,0.0626,0.7004,1072929600,0.91,snow,1013.3,ID,1072882968,1072915491,30.93,1072908000,20.2,1072861200,1072854000,6.28,192,7.2
0,2004-01-31 00:00:00,12.9,1075579200,5.73,1075561200,0.37,Bingham,15.88,0.8,1075532400Bingham,43.1927921,-112.4185735,0.33,21.743,0.0522,1.2521,1075561200,0.94,snow,1015.34,ID,1075560470,1075596049,24.95,1075579200,17.64,1075615200,1075532400,9.82,233,10.55
0,2004-02-29 00:00:00,29.16,1078099200,18.34,1078066800,0.87,Bingham,25.42,0.84,1078038000Bingham,43.1927921,-112.4185735,0.3,8.947,0.0366,0.8263,1078063200,0.92,snow,1015.06,ID,1078063669,1078103956,32.9,1078099200,27.03,1078066800,1078038000,8.41,247,6.78
0,2004-03-31 00:00:00,65.78,1080770400,36.12,1080741600,0.16,Bingham,29.62,0.43,1080716400Bingham,43.1927921,-112.4185735,0.34,,0.1048,1.2106,1080745200,0.93,rain,1010.05,ID,1080738794,1080784576,65.78,1080770400,42.04,1080738000,1080716400,10,224,8.96
0,2004-04-30 00:00:00,68.53,1083369600,26.56,1083330000,0.02,Bingham,27.65,0.5,1083304800Bingham,43.1927921,-112.4185735,0.35,,0.1048,1.0673,1083333600,0.93,rain,1020.52,ID,1083327879,1083378680,68.53,1083369600,31.8,1083330000,1083304800,9.99,347,1.86
0,2004-05-31 00:00:00,71.84,1086048000,33.66,1086001200,0.14,Bingham,34.53,0.52,1085983200Bingham,43.1927921,-112.4185735,0.41,,0.0048,0.0578,1086062400,0.73,rain,1015.28,ID,1086004455,1086059018,71.84,1086048000,38.03,1086004800,1085983200,10,229,8.93
0,2004-06-30 00:00:00,78.94,1088629200,52.1,1088596800,0.28,Bingham,49.04,0.59,1088575200Bingham,43.1927921,-112.4185735,0.44,,0.0424,0.7872,1088650800,0.92,rain,1014.36,ID,1088596480,1088651675,78.94,1088629200,52.1,1088596800,1088575200,9.98,51,3.09
0,2004-07-31 00:00:00,85.53,1091314800,51.49,1091275200,0.08,Bingham,42.91,0.41,1091253600Bingham,43.1927921,-112.4185735,0.51,,0,0,,0,,1009.75,ID,1091276454,1091328814,89.3,1091314800,51.49,1091275200,1091253600,9.92,219,1.71
0,2004-08-31 00:00:00,82.27,1093989600,45.32,1093957200,0.03,Bingham,39.6,0.47,1093932000Bingham,43.1927921,-112.4185735,0.56,,0,0,,0,,1018.74,ID,1093956901,1094004453,85.48,1093989600,45.32,1093957200,1093932000,9.99,62,1.92
0,2004-09-30 00:00:00,64.22,1096588800,47.38,1096538400,0.7,Bingham,47.02,0.79,1096524000Bingham,43.1927921,-112.4185735,0.58,,0.0715,0.821,1096552800,0.92,rain,1010.92,ID,1096550870,1096593206,64.22,1096588800,48.15,1096552800,1096524000,9.37,191,1.29
0,2004-10-31 00:00:00,29.61,1099256400,18.68,1099281600,0.55,Bingham,25.2,0.77,1099202400Bingham,43.1927921,-112.4185735,0.62,9.959,0.0422,0.8124,1099231200,0.92,snow,1019.38,ID,1099231522,1099268617,36.99,1099256400,25.51,1099288800,1099202400,9.71,251,9.53
0,2004-11-30 00:00:00,24.38,1101848400,-1.38,1101830400,0.59,Bingham,8.88,0.78,1101798000Bingham,43.1927921,-112.4185735,0.62,19.94,0.0447,0.8848,1101823200,0.92,snow,1031.49,ID,1101825778,1101859037,24.38,1101848400,5.49,1101823200,1101798000,8.47,191,1.24
0,2004-12-31 00:00:00,15.14,1104476400,8.12,1104498000,0.61,Bingham,18.7,0.85,1104476400Bingham,43.1927921,-112.4185735,0.66,0.811,0.0029,0.0149,1104541200,0.56,snow,1014.81,ID,1104505372,1104537927,27,1104476400,15.76,1104508800,1104476400,8.58,200,5.3
0,2005-01-31 00:00:00,28.82,1107205200,19.31,1107237600,0.71,Bingham,21.84,0.89,1107154800Bingham,43.1927921,-112.4185735,0.7,0.027,0.0001,0.0011,1107194400,0.02,snow,1031.14,ID,1107182824,1107218509,28.82,1107205200,20.28,1107172800,1107154800,8.25,323,1.09
0,2005-02-28 00:00:00,39.65,1109635200,7.22,1109599200,0.38,Bingham,21.33,0.8,1109574000Bingham,43.1927921,-112.4185735,0.65,0.065,0.0002,0.0015,1109631600,0.03,snow,1021.25,ID,1109599694,1109639937,39.65,1109635200,16.12,1109595600,1109574000,8.76,12,1.55
0,2005-03-31 00:00:00,52.57,1112313600,13.49,1112270400,0.18,Bingham,20.18,0.63,1112252400Bingham,43.1927921,-112.4185735,0.71,,0.0001,0.0022,1112281200,0.06,rain,1032.8,ID,1112274821,1112320558,52.57,1112313600,20.59,1112274000,1112252400,9.91,214,5.58
0,2005-04-30 00:00:00,57.11,1114905600,30.68,1114862400,0.55,Bingham,26.7,0.56,1114840800Bingham,43.1927921,-112.4185735,0.73,,0.0007,0.0055,1114851600,0.24,rain,1019.41,ID,1114863901,1114914662,57.11,1114905600,34.58,1114862400,1114840800,9.9,4,4.05
0,2005-05-31 00:00:00,69.86,1117573200,43.81,1117540800,0.43,Bingham,41.58,0.61,1117519200Bingham,43.1927921,-112.4185735,0.79,,0.0012,0.0067,1117598400,0.32,rain,1011.07,ID,1117540463,1117595005,69.86,1117573200,43.81,1117540800,1117519200,9.91,237,7.04
0,2005-06-30 00:00:00,81.73,1120176000,44.81,1120132800,0.14,Bingham,43.33,0.53,1120111200Bingham,43.1927921,-112.4185735,0.82,,0,0,,0,,1016.79,ID,1120132472,1120187677,84.63,1120176000,46.55,1120132800,1120111200,10,219,3.97
0,2005-07-31 00:00:00,82.16,1122850800,57.55,1122811200,0.21,Bingham,52.64,0.57,1122789600Bingham,43.1927921,-112.4185735,0.87,,0.001,0.0111,1122818400,0.52,rain,1017.28,ID,1122812438,1122864832,84,1122850800,57.55,1122811200,1122789600,9.98,70,2.23
0,2005-08-31 00:00:00,78.43,1125532800,33.05,1125489600,0.01,Bingham,30.95,0.45,1125468000Bingham,43.1927921,-112.4185735,0.91,,0.0001,0.0011,1125540000,0.02,rain,1020.37,ID,1125492884,1125540480,80.03,1125532800,36,1125489600,1125468000,10,243,1.39
0,2005-09-30 00:00:00,77.17,1128117600,39.81,1128088800,0.02,Bingham,28.8,0.36,1128060000Bingham,43.1927921,-112.4185735,0.91,,0,0,,0,,1012.5,ID,1128086853,1128129234,77.17,1128117600,41.41,1128088800,1128060000,9.98,213,6.33
0,2005-10-31 00:00:00,57.2,1130803200,23.5,1130752800,0.53,Bingham,28.45,0.68,1130742000Bingham,43.1927921,-112.4185735,0.95,,0,0,,0,,1030.04,ID,1130767502,1130804638,57.2,1130803200,26.71,1130756400,1130742000,9.86,193,6.63
0,2005-11-30 00:00:00,28.67,1133395200,5.95,1133362800,0.38,Bingham,16.82,0.75,1133334000Bingham,43.1927921,-112.4185735,0.97,0.246,0.0008,0.0066,1133395200,0.32,snow,1019.41,ID,1133361761,1133395043,28.67,1133395200,18.81,1133362800,1133334000,9.35,226,10
0,2005-12-31 00:00:00,32.75,1136059200,27.23,1136012400,0.93,Bingham,33.86,0.83,1136012400Bingham,43.1927921,-112.4185735,0.03,,0.0171,0.049,1136077200,0.71,rain,999.46,ID,1136041371,1136073914,41.15,1136059200,36.05,1136095200,1136012400,9.44,188,14.37
