,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,32.95,949363200,17.49,949305600,0.71,Boise,24.52,0.84,949302000Boise,44.02422083,-115.8751483,0.85,0.801,0.0036,0.0315,949348800,0.66,snow,1023.76,ID,949331016,949366362,38.34,949363200,24.69,949330800,949302000,7.44,129,4.72
0,2000-02-29 00:00:00,45.4,951868800,25.25,951825600,0.75,Boise,32.59,0.81,951807600Boise,44.02422083,-115.8751483,0.83,,0.0047,0.0268,951858000,0.64,rain,1015.7,ID,951834141,951874342,45.4,951868800,33.33,951825600,951807600,8.61,135,4.75
0,2000-03-31 00:00:00,60.95,954547200,24.67,954504000,0.03,Boise,22.92,0.47,954486000Boise,44.02422083,-115.8751483,0.86,,0,0,,0,,1028.68,ID,954509184,954555043,60.95,954547200,29,954507600,954486000,9.56,321,6.67
0,2000-04-30 00:00:00,76.06,957139200,27.63,957099600,0.05,Boise,26.83,0.43,957074400Boise,44.02422083,-115.8751483,0.88,,0,0,,0,,1024.09,ID,957098194,957149224,76.06,957139200,32.8,957099600,957074400,9.64,129,6.25
0,2000-05-31 00:00:00,67.13,959817600,33.38,959770800,0.28,Boise,32.69,0.55,959752800Boise,44.02422083,-115.8751483,0.93,,0.0003,0.0075,959810400,0.38,rain,1018.69,ID,959774709,959829623,67.13,959817600,37.52,959770800,959752800,9.21,303,4.85
0,2000-06-30 00:00:00,87.16,962406000,56.6,962366400,0.11,Boise,44.96,0.38,962344800Boise,44.02422083,-115.8751483,0.96,,0,0,,0,,1007.45,ID,962366727,962422288,90.78,962406000,56.6,962366400,962344800,9.45,97,1.38
0,2000-07-31 00:00:00,95.78,965084400,64.17,965048400,0.14,Boise,52.46,0.41,965023200Boise,44.02422083,-115.8751483,0.03,,0,0,,0,,1012.23,ID,965046751,965099376,98.29,965084400,64.17,965048400,965023200,9.55,343,1.71
0,2000-08-31 00:00:00,76.46,967755600,46.68,967726800,0.25,Boise,44.98,0.55,967701600Boise,44.02422083,-115.8751483,0.09,,0.0056,0.0548,967762800,0.72,rain,1007.33,ID,967727273,967774938,76.46,967755600,48.9,967726800,967701600,9.29,147,5.78
0,2000-09-30 00:00:00,73.92,970354800,44.01,970315200,0.33,Boise,43.35,0.56,970293600Boise,44.02422083,-115.8751483,0.1,,0.0003,0.0081,970376400,0.42,rain,1014.29,ID,970321320,970363613,73.92,970354800,46.73,970315200,970293600,9.65,181,1.28
