,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,21.93,949269600,8.85,949244400,0.28,Bonner,16.41,0.8,949302000Bonner,48.29694756,-116.6208583,0.82,0.083,0.0002,0.0053,949302000,0.23,snow,1020.96,ID,949245552,949279365,29.24,949269600,17.71,949244400,949219200,9.19,48,5.92
0,2000-02-29 00:00:00,37.72,951775200,29.4,951732000,0.88,Bonner,33.88,0.89,951807600Bonner,48.29694756,-116.6208583,0.8,,0.0029,0.0143,951789600,0.56,rain,1010.18,ID,951748301,951787763,42.46,951775200,34.35,951735600,951724800,7.57,203,5.74
0,2000-03-31 00:00:00,54.11,954460800,26.88,954428400,0.25,Bonner,27.03,0.65,954486000Bonner,48.29694756,-116.6208583,0.84,,0,0,,0,,1030.82,ID,954422894,954468927,54.11,954460800,28.1,954424800,954403200,9.67,213,2.17
0,2000-04-30 00:00:00,59.77,957052800,29.18,957009600,0.42,Bonner,31.82,0.64,957074400Bonner,48.29694756,-116.6208583,0.84,,0,0,,0,,1024.26,ID,957011444,957063545,59.77,957052800,34.53,957013200,956991600,9.54,193,4.38
0,2000-05-31 00:00:00,59.71,959716800,38.22,959684400,0.57,Bonner,42.02,0.76,959752800Bonner,48.29694756,-116.6208583,0.9,,0.0241,0.1379,959752800,0.81,rain,1014.03,ID,959687533,959744339,59.71,959716800,41.55,959684400,959670000,8.97,46,2.99
0,2000-06-30 00:00:00,79.93,962319600,53.89,962280000,0.29,Bonner,48.49,0.53,962344800Bonner,48.29694756,-116.6208583,0.92,,0,0,,0,,1012.63,ID,962279408,962337143,80.86,962319600,53.89,962280000,962262000,9.72,174,1.34
0,2000-07-31 00:00:00,91.21,965001600,59.71,964958400,0.21,Bonner,52.6,0.46,965023200Bonner,48.29694756,-116.6208583,0.99,,0,0,,0,,1014.24,ID,964959678,965014012,93.31,965001600,59.71,964958400,964940400,9.66,13,3.17
0,2000-08-31 00:00:00,73.17,967676400,54.28,967644000,0.42,Bonner,46.71,0.6,967701600Bonner,48.29694756,-116.6208583,0.05,,0.0016,0.0235,967647600,0.62,rain,1011.22,ID,967640629,967689178,73.17,967676400,54.28,967644000,967618800,9.59,319,2.6
0,2000-09-30 00:00:00,61.94,970268400,50.54,970236000,0.65,Bonner,44.76,0.67,970293600Bonner,48.29694756,-116.6208583,0.07,,0.0056,0.0784,970272000,0.76,rain,1013.9,ID,970235110,970277422,61.94,970268400,50.54,970236000,970210800,9.69,195,7.33
0,2000-10-31 00:00:00,45.47,972946800,29.01,972910800,0.53,Bonner,33.66,0.89,972975600Bonner,48.29694756,-116.6208583,0.12,,0,0,,0,,1020.09,ID,972916280,972952279,45.47,972946800,31.27,972975600,972892800,6.72,27,1.6
0,2000-11-30 00:00:00,29.92,975549600,16.45,975506400,0.8,Bonner,24.84,0.88,975567600Bonner,48.29694756,-116.6208583,0.12,2.51,0.0107,0.0298,975538800,0.65,snow,1014.7,ID,975510977,975542213,29.92,975549600,25.82,975499200,975484800,6.25,45,3.86
0,2000-12-31 00:00:00,30.88,978213600,21.86,978238800,0.9,Bonner,25.19,0.91,978246000Bonner,48.29694756,-116.6208583,0.16,0.827,0.0032,0.0174,978224400,0.58,snow,1026.68,ID,978190728,978220936,30.88,978213600,24.55,978177600,978163200,6.58,149,0.73
0,2001-01-31 00:00:00,27.28,980899200,14.51,980848800,0.81,Bonner,24.14,0.86,980924400Bonner,48.29694756,-116.6208583,0.2,0.318,0.0016,0.0176,980924400,0.58,snow,1025.48,ID,980867895,980901836,34.13,980899200,20.12,980859600,980841600,7.97,196,7.28
0,2001-02-28 00:00:00,36.55,983318400,7.59,983278800,0.05,Bonner,13.94,0.66,983343600Bonner,48.29694756,-116.6208583,0.14,,0,0,,0,,1030.31,ID,983284331,983323738,36.55,983318400,15.71,983286000,983260800,9.65,57,1.62
0,2001-03-31 00:00:00,44.66,985989600,25,985953600,0.46,Bonner,25.41,0.64,986022000Bonner,48.29694756,-116.6208583,0.19,,0.0028,0.0183,985978800,0.59,rain,1019.8,ID,985958926,986004905,47.03,985989600,31.51,985960800,985939200,9.07,279,4.5
0,2001-04-30 00:00:00,42.5,988588800,28.8,988545600,0.72,Bonner,34.42,0.75,988610400Bonner,48.29694756,-116.6208583,0.22,,0.0181,0.4059,988531200,0.89,rain,1015.16,ID,988547470,988599523,48.04,988588800,36.56,988545600,988527600,9.26,189,11.18
0,2001-05-31 00:00:00,70.65,991267200,34.13,991224000,0.41,Bonner,33.94,0.51,991288800Bonner,48.29694756,-116.6208583,0.28,,0,0,,0,,1024.56,ID,991223545,991280323,70.65,991267200,37.03,991224000,991206000,9.56,224,4.72
0,2001-06-30 00:00:00,79.23,993859200,49.39,993816000,0.21,Bonner,49.5,0.65,993880800Bonner,48.29694756,-116.6208583,0.31,,0,0,,0,,1019.42,ID,993815400,993873145,79.23,993859200,49.39,993816000,993798000,9.8,326,0.66
