,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,26.13,949269600,9.63,949244400,0.4,Boundary,14.61,0.76,949302000Boundary,48.7412212,-116.4178416,0.82,,0,0,,0,,1022,ID,949245582,949279236,29.45,949269600,16.41,949298400,949219200,9.23,48,3.29
0,2000-02-29 00:00:00,37.6,951775200,29.17,951732000,0.85,Boundary,31.86,0.82,951807600Boundary,48.7412212,-116.4178416,0.8,,0.0026,0.0118,951789600,0.53,rain,1009.7,ID,951748284,951787682,41.95,951775200,34.23,951735600,951724800,7.52,204,5.5
0,2000-03-31 00:00:00,52.84,954460800,27.98,954424800,0.3,Boundary,26.51,0.64,954486000Boundary,48.7412212,-116.4178416,0.84,,0,0,,0,,1030.48,ID,954422825,954468899,52.84,954460800,27.98,954424800,954403200,9.6,221,2.23
0,2000-04-30 00:00:00,57.48,957052800,30.74,957009600,0.47,Boundary,30.96,0.61,957074400Boundary,48.7412212,-116.4178416,0.84,,0,0,,0,,1023.77,ID,957011325,957063567,57.48,957052800,34.77,957013200,956991600,9.56,203,4.27
0,2000-05-31 00:00:00,57.13,959720400,39.61,959684400,0.62,Boundary,42.01,0.78,959752800Boundary,48.7412212,-116.4178416,0.9,,0.0236,0.141,959752800,0.81,rain,1014.81,ID,959687370,959744405,57.13,959720400,41.52,959684400,959670000,9.15,34,2.46
0,2000-06-30 00:00:00,79.96,962319600,52.12,962280000,0.34,Boundary,48.64,0.55,962344800Boundary,48.7412212,-116.4178416,0.92,,0,0,,0,,1012.72,ID,962279235,962337218,80.83,962319600,52.12,962280000,962262000,9.75,182,2
0,2000-07-31 00:00:00,88.97,965001600,59.14,964958400,0.22,Boundary,52.75,0.49,965023200Boundary,48.7412212,-116.4178416,0.99,,0,0,,0,,1014.69,ID,964959539,965014054,91.16,965001600,59.14,964958400,964940400,9.69,5,1.72
0,2000-08-31 00:00:00,69.61,967676400,52.09,967640400,0.48,Boundary,47.45,0.67,967701600Boundary,48.7412212,-116.4178416,0.05,,0.0017,0.0234,967647600,0.62,rain,1011.78,ID,967640539,967689170,69.61,967676400,52.09,967640400,967618800,9.61,340,1.82
0,2000-09-30 00:00:00,60.33,970268400,48.12,970236000,0.68,Boundary,44.52,0.68,970293600Boundary,48.7412212,-116.4178416,0.07,,0.0056,0.0845,970272000,0.77,rain,1013.41,ID,970235071,970277364,60.33,970268400,49.47,970236000,970210800,9.69,193,5.58
0,2000-10-31 00:00:00,46.22,972946800,26.55,972910800,0.48,Boundary,32.02,0.86,972975600Boundary,48.7412212,-116.4178416,0.12,,0,0,,0,,1020.26,ID,972916292,972952170,46.22,972946800,30.01,972975600,972892800,6.98,30,0.68
0,2000-11-30 00:00:00,29.79,975549600,14.92,975506400,0.81,Boundary,23.15,0.88,975567600Boundary,48.7412212,-116.4178416,0.12,2.49,0.01,0.0303,975535200,0.65,snow,1015.58,ID,975511032,975542061,29.79,975549600,22.59,975484800,975484800,6.13,37,2.36
0,2000-12-31 00:00:00,31.38,978213600,19.4,978174000,0.87,Boundary,24.1,0.87,978246000Boundary,48.7412212,-116.4178416,0.16,0.329,0.0014,0.0159,978224400,0.57,snow,1026.92,ID,978190793,978220774,31.38,978213600,25.12,978188400,978163200,7.07,225,2.57
0,2001-01-31 00:00:00,26.08,980899200,16.66,980848800,0.8,Boundary,22.89,0.83,980924400Boundary,48.7412212,-116.4178416,0.2,0.331,0.0015,0.0169,980924400,0.58,snow,1024.28,ID,980867925,980901709,32.84,980899200,21.42,980859600,980841600,8.11,197,5.7
0,2001-02-28 00:00:00,33.12,983318400,4.48,983278800,0.08,Boundary,11.56,0.65,983343600Boundary,48.7412212,-116.4178416,0.14,,0,0,,0,,1031,ID,983284315,983323658,35.38,983318400,11.2,983286000,983260800,9.66,10,0.66
0,2001-03-31 00:00:00,42.32,986000400,25,985953600,0.5,Boundary,25.47,0.68,986022000Boundary,48.7412212,-116.4178416,0.19,,0.0029,0.0237,985978800,0.62,rain,1019.86,ID,985958858,986004876,44.69,986000400,29.82,985950000,985939200,8.97,299,2.65
