,aDate,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,county,dewPoint,humidity,key,lat,long,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,pressure,state,sunriseTime,sunsetTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,visibility,windBearing,windSpeed
0,2000-01-01,52.97,946681200,40.82,946634400,0.8,custer,42.15,0.79,946710000custer,37.8267,-122.4233,0.82,,0,0,,0,,1017.74,MT,946653980,946688485,52.97,946681200,42.61,946630800,946627200,6.64,243,4.68
0,2000-01-31 00:00:00,27.62,949363200,-2,949320000,0.65,Butte,13.52,0.82,949302000Butte,43.75749867,-113.2518453,0.85,1.429,0.0033,0.0186,949305600,0.59,snow,1025.54,ID,949330348,949365771,30.5,949363200,7.91,949320000,949302000,7.65,123,1.05
0,2000-02-29 00:00:00,40.85,951858000,22.86,951829200,0.59,Butte,27.35,0.7,951807600Butte,43.75749867,-113.2518453,0.83,,0.0027,0.0191,951868800,0.59,rain,1016.11,ID,951833497,951873727,45.9,951858000,30.14,951829200,951807600,9.39,178,6.46
0,2000-03-31 00:00:00,54.36,954547200,23.56,954507600,0.04,Butte,18.18,0.48,954486000Butte,43.75749867,-113.2518453,0.86,,0,0,,0,,1027.31,ID,954508566,954554402,54.36,954547200,23.56,954507600,954486000,9.84,354,2.39
0,2000-04-30 00:00:00,75.36,957139200,28.63,957085200,0.03,Butte,23.88,0.42,957074400Butte,43.75749867,-113.2518453,0.88,,0,0,,0,,1025.34,ID,957097601,957148558,75.36,957139200,29.27,957096000,957074400,9.84,127,1.42
0,2000-05-31 00:00:00,69.17,959817600,33.85,959774400,0.14,Butte,29.61,0.47,959752800Butte,43.75749867,-113.2518453,0.93,,0.001,0.0114,959821200,0.53,rain,1015.32,ID,959774136,959828937,69.17,959817600,39.75,959774400,959752800,9.53,230,9.45
0,2000-06-30 00:00:00,83.96,962395200,50.99,962362800,0.15,Butte,43.5,0.42,962344800Butte,43.75749867,-113.2518453,0.96,,0.0092,0.17,962406000,0.83,rain,1009.41,ID,962366157,962421599,87.2,962395200,50.99,962362800,962344800,9.58,172,3.99
0,2000-07-31 00:00:00,94.9,965080800,58.78,965044800,0.15,Butte,48.51,0.37,965023200Butte,43.75749867,-113.2518453,0.03,,0,0,,0,,1013.33,ID,965046165,965098702,96.95,965080800,58.78,965044800,965023200,9.6,292,1.2
0,2000-08-31 00:00:00,71.41,967748400,50.01,967719600,0.41,Butte,47.31,0.65,967701600Butte,43.75749867,-113.2518453,0.09,,0.0051,0.0526,967766400,0.72,rain,1009.36,ID,967726663,967774289,71.41,967748400,50.01,967719600,967701600,9.33,195,5.6
0,2000-09-30 00:00:00,71.6,970351200,46.13,970322400,0.25,Butte,40.33,0.5,970293600Butte,43.75749867,-113.2518453,0.1,,0.0009,0.0207,970376400,0.61,rain,1013.19,ID,970320685,970362990,71.6,970351200,48.91,970322400,970293600,9.78,221,9.48
